,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250325,2080.0269,2005.1465,2124.5889,1981.4083,97201.0,1083.0,101182.0,2.0,-4.0,778.0,-1604.0,2.0,-1.0,824.0,-49.0,2009.8489,2039.67848,2058.962095,-29.82957999999985,-49.11319499999968,-2.0,-826.0,1.0,775.0,0.011141860680445674,-4.273800791991909,,
20250326,2090.0457,2085.2554,2137.3853,2055.6617,89843.0,-7358.0,71631.0,2.0,-3.0,779.0,-1601.0,2.0,-1.0,766.0,-42.0,2030.46076,2036.05755,2061.561215,-5.596790000000283,-31.10045500000024,-1.0,-822.0,1.0,724.0,-0.08189842280422514,-3.9069943701352208,,
20250327,2097.1934,2106.0037,2119.0994,2072.8179,87460.0,-2383.0,43173.0,2.0,-3.0,851.0,-1798.0,3.0,0.0,753.0,0.0,2056.98702,2045.2769,2062.47921,11.71011999999973,-5.492190000000392,-1.0,-947.0,3.0,753.0,-0.02724674136748228,-3.2994802986241933,,
20250328,2188.116,2123.5709,2206.1074,2112.2164,88715.0,1255.0,92140.0,1.0,-2.0,684.0,-1202.0,2.0,-1.0,270.0,0.0,2093.79842,2061.38403,2069.469990000001,32.41438999999991,24.32842999999957,-1.0,-518.0,1.0,270.0,0.014146423941836217,-4.080892798778269,,
20250331,2106.6129,2204.6039,2212.7583,2102.2794,84789.0,-3926.0,64746.0,2.0,-2.0,729.0,-1000.0,1.0,-2.0,44.0,-677.0,2112.39898,2064.14758,2067.92776,48.25140000000056,44.47122000000036,0.0,-271.0,-1.0,-633.0,-0.04630317611954381,-4.126428220529525,,
20250401,2158.5639,2120.4425,2188.2093,2108.0439,85772.0,983.0,57408.0,2.0,-3.0,108.0,-1036.0,2.0,-3.0,79.0,-585.0,2128.10638,2068.97764,2081.1584,59.12874000000011,46.94798000000037,-1.0,-928.0,-1.0,-506.0,0.011460616518211071,-4.0027631550018725,,
20250402,2098.4153,2110.13,2123.8616,2063.5788,86292.0,520.0,67631.0,2.0,-2.0,742.0,-1035.0,1.0,-2.0,401.0,-638.0,2129.7803,2080.12053,2087.86938,49.65976999999975,41.91091999999981,0.0,-293.0,-1.0,-237.0,0.006026051082371483,-3.4331608968513,,
20250403,2110.5431,1994.9648,2111.5551,1992.0548,83918.0,-2374.0,71675.0,2.0,-3.0,645.0,-1060.0,2.0,-1.0,925.0,-209.0,2132.45024,2094.71863,2085.3752,37.73160999999936,47.07503999999972,-1.0,-415.0,1.0,716.0,-0.028289520722610168,-3.396091619787164,,
20250407,1817.6547,1856.6316,1932.7245,1791.2292,81272.0,-2646.0,120506.0,2.0,-2.0,1286.0,-704.0,2.0,-1.0,613.0,-212.0,2058.35798,2076.0782,2067.8833,-17.72022000000015,-9.525320000000193,0.0,582.0,1.0,401.0,-0.03255733832070085,-0.968472396982783,,
20250408,1669.3031,1811.0736,1855.0034,1621.0404,84066.0,2794.0,131322.0,4.0,-1.0,1705.0,-452.0,2.0,-1.0,203.0,-11.0,1970.89602,2041.6475,2045.712435,-70.75148000000013,-74.81641499999978,3.0,1253.0,1.0,192.0,0.03323579092617705,1.4695112436242126,,
