,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250221,9266.4471,9264.8661,9353.1652,9247.3283,750711.0,-14739.0,976868.0,1.0,-3.0,5292.0,-24749.0,2.0,-1.0,40987.0,-9384.0,9116.99554,9044.14007,8743.286974999999,72.85547000000042,373.7085650000008,-2.0,-19457.0,1.0,31603.0,-0.019633387548603925,1.2184647805793145,0.212,0.2363013698630137
20250224,9130.7416,9260.3531,9281.5676,9072.109,709424.0,-41287.0,1124892.0,1.0,-3.0,5693.0,-19870.0,1.0,-2.0,43007.0,-21657.0,9145.553779999998,9068.82238,8781.407015,76.73139999999876,364.1467649999977,-2.0,-14177.0,-1.0,21350.0,-0.05819791831119331,1.2261441821845571,0.2181,0.30593607305936066
20250225,9067.1192,9085.8909,9204.8809,9012.6777,700417.0,-9007.0,1313096.0,1.0,-3.0,8160.0,-18732.0,1.0,-2.0,37192.0,-22415.0,9171.747399999998,9074.76564,8814.329119999999,96.98175999999876,357.4182799999999,-2.0,-10572.0,-1.0,14777.0,-0.012859482279841865,1.101750710053432,0.2093,0.20547945205479473
20250226,9110.5573,9043.7264,9122.1496,9017.8455,704421.0,4004.0,1017708.0,1.0,-3.0,9139.0,-18829.0,2.0,-1.0,34756.0,-17198.0,9170.94424,9078.166029999998,8849.06971,92.77821000000222,321.874530000001,-2.0,-9690.0,1.0,17558.0,0.005684100843103769,1.1528534000094868,0.2126,0.24315068493150704
20250227,8964.9807,9113.5682,9123.8387,8912.0084,659731.0,-44690.0,1356757.0,3.0,-1.0,8806.0,-8178.0,1.0,-2.0,35103.0,-23833.0,9107.96918,9086.43775,8880.718745,21.53143000000091,227.2504349999999,2.0,628.0,-1.0,11270.0,-0.06773973028400969,1.0813146264888491,0.2089,0.20091324200913252
20250228,9025.5043,8971.9343,9029.7602,8904.7192,683202.0,23471.0,1079155.0,1.0,-3.0,1743.0,-17547.0,2.0,-1.0,38996.0,-18559.0,9059.78062,9088.38808,8920.831409999999,-28.60746000000108,138.9492100000007,-2.0,-15804.0,1.0,20437.0,0.034354407627612334,1.1857195929301312,0.2086,0.197488584474886
20250303,8918.0188,9025.1266,9036.4757,8893.6038,660987.0,-22215.0,1014925.0,2.0,-2.0,2350.0,-7916.0,1.0,-2.0,29254.0,-21395.0,9017.236060000001,9081.39492,8955.192495,-64.15885999999955,62.04356500000176,0.0,-5566.0,-1.0,7859.0,-0.03360883043085568,1.2688403669830772,0.2048,0.15410958904109606
20250304,8690.6323,8929.3896,8957.0712,8685.6086,636419.0,-24568.0,1204226.0,2.0,-1.0,3496.0,-469.0,1.0,-2.0,18276.0,-26833.0,8941.938680000001,9056.84304,8969.42134,-114.9043599999986,-27.48265999999967,1.0,3027.0,-1.0,-8557.0,-0.0386034986384756,1.3796196711169832,0.2061,0.16894977168949785
20250305,8689.1941,8660.0153,8717.9528,8640.9346,607122.0,-29297.0,856344.0,3.0,-1.0,3204.0,-1553.0,1.0,-2.0,19673.0,-16934.0,8857.66604,9014.30514,8975.666009999999,-156.6391000000003,-117.9999699999989,2.0,1651.0,-1.0,2739.0,-0.04825554007267073,1.4034288546449192,0.2007,0.10730593607305929
20250306,8826.1327,8723.3873,8840.1902,8650.3886,601033.0,-6089.0,1070077.0,1.0,-2.0,2479.0,-9357.0,1.0,-2.0,24380.0,-7535.0,8829.89644,8968.93281,8984.81804,-139.0363699999998,-154.9215999999997,-1.0,-6878.0,-1.0,16845.0,-0.010130891315451897,1.3196545837532678,0.1985,0.09068010075566765
