,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250303,2316.323,2292.6651,2319.351,2290.7304,2079118.0,1005.0,767692.0,1.0,-1.0,31468.0,-24346.0,1.0,-2.0,77497.0,-189400.0,2292.36854,2287.25619,2288.17106,5.112350000000333,4.197480000000724,0.0,7122.0,-1.0,-111903.0,0.0004833780478068104,-1.1778335263555646,0.1041,0.0848920863309353
20250304,2315.6237,2318.8548,2327.3651,2313.1345,2023392.0,-55726.0,989492.0,1.0,-1.0,29873.0,-24365.0,1.0,-2.0,76044.0,-170440.0,2299.97702,2289.96428,2290.15433,10.01273999999967,9.822689999999511,0.0,5508.0,-1.0,-94396.0,-0.027540881845930003,-0.9347369521395812,0.1047,0.0935251798561152
20250305,2291.4383,2315.6761,2317.0711,2290.4961,1981355.0,-42037.0,1117700.0,1.0,-1.0,32835.0,-20967.0,1.0,-2.0,84642.0,-209962.0,2303.17438,2290.21026,2290.768915,12.96412000000009,12.40546499999982,0.0,11868.0,-1.0,-125320.0,-0.02121628885283051,-0.9711760524122623,0.1053,0.1021582733812951
20250306,2317.1911,2294.0568,2317.6547,2293.7813,2059766.0,78411.0,852707.0,1.0,-1.0,34276.0,-24317.0,1.0,-2.0,76396.0,-212062.0,2307.31478,2295.09565,2291.99311,12.2191299999995,15.32166999999936,0.0,9959.0,-1.0,-135666.0,0.038067916452645595,-1.2944693110331644,0.1165,0.2633093525179858
20250307,2315.9576,2316.4495,2324.3259,2312.403,2068896.0,9130.0,694359.0,1.0,-1.0,35593.0,-24408.0,1.0,-2.0,77151.0,-184152.0,2311.30674,2299.11528,2293.781705,12.19146000000001,17.52503499999966,0.0,11185.0,-1.0,-107001.0,0.004412981609515413,-1.053285706136715,0.1104,0.1755395683453238
20250310,2326.467,2313.2349,2342.7811,2306.8163,2068723.0,-173.0,945685.0,1.0,-1.0,35705.0,-23221.0,1.0,-2.0,82195.0,-182872.0,2313.33554,2302.85204,2295.670895,10.48349999999982,17.66464499999984,0.0,12484.0,-1.0,-100677.0,-8.362646908261764e-05,-1.1126576355322473,0.1104,0.2469635627530364
20250311,2334.6648,2327.4712,2338.1239,2319.3236,2101116.0,32393.0,724282.0,1.0,-1.0,34259.0,-23338.0,1.0,-2.0,82630.0,-162531.0,2317.14376,2308.56039,2297.815015,8.583369999999832,19.3287449999998,0.0,10921.0,-1.0,-79901.0,0.015417045037018422,-0.4071780348053054,0.1162,0.36437246963562747
20250312,2324.5189,2332.2358,2336.3735,2323.4579,2083211.0,-17905.0,662526.0,1.0,-1.0,32667.0,-20217.0,1.0,-2.0,74911.0,-156834.0,2323.75988,2313.46713,2299.14013,10.29275000000007,24.61974999999984,0.0,12450.0,-1.0,-81923.0,-0.008594904692803561,-0.3087834730189251,0.1103,0.24493927125506065
20250313,2309.2356,2320.8223,2320.8223,2304.1248,2079064.0,-4147.0,985440.0,1.0,-1.0,33940.0,-25201.0,1.0,-2.0,87964.0,-184540.0,2322.16878,2314.74178,2299.673885,7.427000000000135,22.49489499999981,0.0,8739.0,-1.0,-96576.0,-0.0019946475914161374,-0.2253198517518162,0.1128,0.2955465587044534
20250314,2319.0657,2309.5456,2322.0896,2307.8356,2071452.0,-7612.0,640797.0,1.0,-1.0,35677.0,-25575.0,1.0,-2.0,88517.0,-179951.0,2322.7904,2317.04857,2300.660765,5.741830000000391,22.12963500000069,0.0,10102.0,-1.0,-91434.0,-0.003674717058372581,-1.0899110546272934,0.1113,0.26518218623481776
