,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,9104.3633,9080.1338,9153.7715,9056.2568,101522.0,-536.0,65661.0,2.0,0.0,3001.0,0.0,2.0,-2.0,434.0,-2018.0,9027.750600000001,9099.317490000001,9248.54053,-71.56689000000006,-220.789929999999,2.0,3001.0,0.0,-1584.0,-0.0052796438210437144,0.2823169633657215,,,0.0645
20240507,9158.9873,9120.6025,9171.1367,9090.3154,105821.0,4299.0,56782.0,2.0,0.0,3218.0,0.0,2.0,-2.0,1330.0,-2295.0,9057.25724,9103.35177,9238.164165,-46.09452999999849,-180.9069249999993,2.0,3218.0,0.0,-965.0,0.04062520671700324,0.3825876385413151,,,0.0806
20240508,9112.8838,9136.3838,9136.3838,9092.6885,106186.0,365.0,40601.0,2.0,0.0,3573.0,0.0,2.0,-2.0,1388.0,-2849.0,9080.874619999999,9096.551669999999,9224.159625,-15.67705000000024,-143.2850050000015,2.0,3573.0,0.0,-1461.0,0.003437364624338425,0.3632137604279139,,,0.0968
20240509,8995.1143,9091.1143,9091.1143,8962.5957,112867.0,6681.0,74206.0,2.0,0.0,4050.0,0.0,1.0,-2.0,888.0,-3339.0,9074.771499999999,9079.64279,9200.38419,-4.871290000000954,-125.6126900000017,2.0,4050.0,-1.0,-2451.0,0.05919356410642615,0.1394071284111743,,,0.0968
20240510,8925.9111,8959.3535,8981.3232,8893.1309,119043.0,6176.0,62095.0,2.0,0.0,4214.0,0.0,1.0,-2.0,787.0,-2482.0,9059.45196,9051.75499,9173.15831,7.696970000000874,-113.7063500000004,2.0,4214.0,-1.0,-1695.0,0.05188041296002285,0.0334273933529589,,,0.0968
20240513,9020.3213,8926.1797,9075.1455,8926.1797,113884.0,-5159.0,69263.0,2.0,0.0,3843.0,0.0,1.0,-2.0,850.0,-2714.0,9042.64356,9035.197080000002,9150.128865,7.446479999998701,-107.4853050000002,2.0,3843.0,-1.0,-1864.0,-0.04530048119138773,0.179994451970242,,,0.1129
20240514,9238.4727,9034.0449,9273.9971,9001.4902,121354.0,7470.0,163838.0,1.0,0.0,2362.0,-278.0,1.0,-1.0,2258.0,-1799.0,9058.54064,9057.898940000001,9136.896980000001,0.6416999999983091,-78.35634000000209,1.0,2084.0,0.0,459.0,0.06155544934653988,0.54741651392846,,,0.1452
20240515,9181.7842,9206.5996,9317.1357,9136.4521,114054.0,-7300.0,175271.0,2.0,0.0,2071.0,-318.0,1.0,-1.0,286.0,-1701.0,9072.32072,9076.59767,9120.489754999999,-4.276949999999488,-48.16903499999898,2.0,1753.0,0.0,-1415.0,-0.06400476967050696,0.4264205474338851,,,0.1452
20240516,9211.7314,9203.4951,9221.3809,9157.2979,109656.0,-4398.0,61319.0,2.0,0.0,2661.0,0.0,0.0,-2.0,0.0,-2536.0,9115.64414,9095.20782,9114.262064999999,20.43632000000071,1.38207500000135,2.0,2661.0,-2.0,-2536.0,-0.04010724447362662,0.4515945678268783,,,0.129
20240517,9240.1143,9205.666,9254.8525,9192.2646,109764.0,108.0,56565.0,2.0,0.0,1221.0,0.0,0.0,-2.0,0.0,-2835.0,9178.48478,9118.96837,9111.630720000001,59.51641000000018,66.85405999999966,2.0,1221.0,-2.0,-2835.0,0.0009839291571006887,0.4722835800122188,,,0.1613
