,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
2025-02-19,2592.2883,2537.0719,2592.2883,2537.0719,1169335.0,86857.0,1600023.0,2.0,-2.0,7919.0,-8011.0,1.0,-3.0,861.0,-26461.0,2532.22096,2526.67248,2493.94147,5.548479999999927,38.2794899999999,0.0,-92.0,-2.0,-25600.0,0.07427897052598272,0.5959810715679931,0.2449,0.5765472312703587
2025-02-20,2617.9941,2594.184,2618.8187,2568.9654,1190708.0,21373.0,1263612.0,1.0,-3.0,3845.0,-16502.0,2.0,-1.0,436.0,-17831.0,2555.6021,2538.13078,2503.91329,17.47132000000011,51.6888100000001,-2.0,-12657.0,1.0,-17395.0,0.017949824810112976,0.7673710509792392,0.2461,0.6500888099467146
2025-02-21,2624.6622,2605.9775,2654.263,2605.9775,1204857.0,14149.0,1555674.0,1.0,-3.0,3952.0,-23865.0,2.0,-2.0,4007.0,-20145.0,2572.87166,2549.82692,2514.970965,23.04473999999936,57.90069499999981,-2.0,-19913.0,0.0,-16138.0,0.011743302317204449,0.621627546031922,0.2344,0.44227353463587943
2025-02-24,2596.0561,2627.5536,2667.5209,2595.1838,1186000.0,-18857.0,1977937.0,2.0,-4.0,0.0,-13157.0,2.0,-1.0,13358.0,-32250.0,2592.031,2556.18799,2523.559765,35.84301000000005,68.47123499999998,-2.0,-13157.0,1.0,-18892.0,-0.01589966273187184,0.5165577824967269,0.2446,0.6370235934664249
2025-02-25,2585.1885,2596.011,2602.9636,2570.2892,1187027.0,1027.0,1272661.0,2.0,-2.0,2201.0,-6489.0,1.0,-2.0,13427.0,-35597.0,2603.23784,2560.9291,2529.94768,42.30873999999994,73.29016000000001,0.0,-4288.0,-1.0,-22170.0,0.0008651867227956904,0.4310764470368663,0.243,0.7023060796645704
2025-02-26,2569.9794,2577.0644,2586.6522,2553.3878,1177148.0,-9879.0,1412659.0,2.0,-1.0,5810.0,-7461.0,1.0,-2.0,15470.0,-34932.0,2598.77606,2565.49851,2534.95074,33.27754999999979,63.82532000000037,1.0,-1651.0,-1.0,-19462.0,-0.008392317703466344,0.6229220722142416,0.2443,0.729559748427673
2025-02-27,2609.5809,2565.5653,2617.8497,2552.7703,1212310.0,35162.0,1634463.0,3.0,-1.0,9365.0,-14025.0,0.0,-3.0,0.0,-33126.0,2597.09342,2576.34776,2542.10886,20.74566000000004,54.98456000000033,2.0,-4660.0,-3.0,-33126.0,0.02900413260634656,0.7530262194460471,0.2432,0.706498951781971
2025-02-28,2580.9861,2613.1137,2621.3464,2562.0716,1184663.0,-27647.0,1549406.0,2.0,-2.0,19301.0,-19277.0,0.0,-3.0,0.0,-67320.0,2588.3582,2580.61493,2548.17553,7.743270000000393,40.18267000000014,0.0,24.0,-3.0,-67320.0,-0.02333743857957917,0.6090610582445207,0.2484,0.8155136268343821
2025-03-03,2646.7268,2576.0653,2648.661,2565.3407,1208299.0,23636.0,1905983.0,1.0,-3.0,4901.0,-34564.0,0.0,-3.0,0.0,-59398.0,2598.49234,2595.26167,2555.82254,3.230669999999918,42.66979999999967,-2.0,-29663.0,-3.0,-59398.0,0.019561383399307623,0.8081985766243497,0.258,1.0
2025-03-04,2591.1279,2643.8236,2654.1133,2585.4518,1186303.0,-21996.0,2231522.0,3.0,-1.0,16746.0,-9335.0,0.0,-3.0,0.0,-91059.0,2599.68022,2601.45903,2562.40362,-1.778810000000703,37.27659999999969,2.0,7411.0,-3.0,-91059.0,-0.01854163733885862,0.5734909487754516,0.2566,0.9702127659574465
2025-03-05,2494.6328,2581.4692,2588.6148,2489.8012,1220237.0,33934.0,2319254.0,3.0,-1.0,23202.0,-1587.0,0.0,-3.0,0.0,-104923.0,2584.6109,2591.69348,2559.18298,-7.082580000000235,25.42792000000009,2.0,21615.0,-3.0,-104923.0,0.027809351789857217,0.686791678473948,0.2495,0.8191489361702127
2025-03-06,2493.8108,2503.1475,2512.1398,2480.8832,1274114.0,53877.0,1691781.0,4.0,-1.0,27500.0,-1754.0,0.0,-3.0,0.0,-112970.0,2561.45688,2579.27515,2558.702965,-17.81827000000021,2.753915000000234,3.0,25746.0,-3.0,-112970.0,0.04228585511186597,0.3809048783371491,0.2426,0.6484018264840183
2025-03-07,2479.2319,2494.0708,2504.0417,2473.7717,1316571.0,42457.0,1567536.0,3.0,-1.0,23510.0,-1465.0,0.0,-3.0,0.0,-102130.0,2541.10604,2564.73212,2557.27952,-23.62608,-16.17348000000038,2.0,22045.0,-3.0,-102130.0,0.032248165879394275,0.3872790916040812,0.2393,0.5526315789473686
2025-03-10,2639.6415,2488.728,2639.6638,2475.6171,1191430.0,-125141.0,686691.0,3.0,-1.0,17783.0,-5374.0,0.0,-3.0,0.0,-70431.0,2539.68898,2569.09066,2562.639325,-29.4016800000004,-22.9503450000002,2.0,12409.0,-3.0,-70431.0,-0.10503428652963245,0.2275703097647818,0.3327,1.0
2025-03-11,2716.3314,2755.118,2755.5936,2668.2343,1359248.0,167818.0,4073952.0,2.0,-2.0,19645.0,-25923.0,0.0,-3.0,0.0,-49779.0,2564.72968,2582.20495,2571.567025,-17.47527000000036,-6.837345000000369,0.0,-6278.0,-3.0,-49779.0,0.12346385648535073,1.0211619508411576,0.2932,0.6609442060085838
2025-03-12,2764.0876,2727.821,2768.387,2682.4685,1476785.0,117537.0,4020005.0,2.0,-2.0,20805.0,-33859.0,0.0,-3.0,0.0,-23337.0,2618.62064,2601.61577,2583.55714,17.00487000000021,35.0635000000002,0.0,-13054.0,-3.0,-23337.0,0.07958978456579664,1.1388048358869225,0.2864,0.6025751072961373
2025-03-13,2722.4217,2767.5016,2767.8578,2676.7448,1406844.0,-69941.0,3429022.0,2.0,-2.0,10128.0,-10344.0,0.0,-3.0,0.0,-25296.0,2664.34282,2612.89985,2594.623805,51.44297000000006,69.71901500000013,0.0,-216.0,-3.0,-25296.0,-0.04971482268112171,0.7300470778975271,0.2761,0.5141630901287555
2025-03-14,2718.3798,2716.8028,2726.7276,2691.8756,1447612.0,40768.0,1848761.0,1.0,-2.0,4952.0,-12527.0,1.0,-2.0,10568.0,-23806.0,2712.1724,2626.63922,2603.627075,85.53318000000036,108.545325,-1.0,-7575.0,-1.0,-13238.0,0.028162242368811534,0.5055501993827249,0.2686,0.44978540772532194
2025-03-17,2702.4618,2723.1135,2735.7762,2700.2111,1452106.0,4494.0,1405296.0,2.0,-1.0,8464.0,-895.0,1.0,-2.0,8728.0,-25758.0,2724.73646,2632.21272,2613.737195,92.52373999999963,110.9992649999999,1.0,7569.0,-1.0,-17030.0,0.003094815392264752,1.341766981999914,0.2611,0.3854077253218884
