,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,4008.1321,3981.1543,4026.3196,3971.4341,125605.0,16396.0,108304.0,2.0,-1.0,2733.0,-1089.0,2.0,-1.0,3156.0,-7763.0,3918.06022,3866.38387,3830.57395,51.67635000000018,87.48626999999988,1.0,1644.0,1.0,-4607.0,0.13053620476891845,-0.1222640988955102,,,0.4516
20240507,4110.5503,4000.2324,4116.0835,4000.2324,147046.0,21441.0,203378.0,2.0,-2.0,1823.0,-1649.0,2.0,-1.0,3774.0,-5936.0,3967.64216,3900.60201,3845.606825,67.04015000000027,122.035335,0.0,174.0,1.0,-2162.0,0.14581151476408744,-0.0907212896328292,,,0.2742
20240508,4106.8325,4097.1118,4120.0708,4074.9661,149308.0,2262.0,183291.0,2.0,-1.0,2126.0,-1561.0,2.0,-1.0,3409.0,-6206.0,4008.41774,3933.1418,3860.81936,75.27593999999999,147.5983799999995,1.0,565.0,1.0,-2797.0,0.015149891499450799,-0.1875590479389595,,,0.5
20240509,4065.4409,4093.6372,4108.7266,4059.5842,151769.0,2461.0,176712.0,3.0,0.0,3372.0,0.0,2.0,-1.0,1965.0,-6941.0,4040.8524,3961.80623,3873.61495,79.04617000000007,167.2374499999996,3.0,3372.0,1.0,-4976.0,0.016215432664114543,-0.1077771134236126,,,0.4839
20240510,4013.6736,4056.7588,4072.0247,3993.6045,151651.0,-118.0,171743.0,2.0,-1.0,2285.0,-1259.0,2.0,-1.0,2119.0,-8417.0,4060.92588,3978.94244,3884.59084,81.98343999999997,176.3350400000004,1.0,1026.0,1.0,-6298.0,-0.0007781023534299147,0.0399589535322383,,,0.4355
20240513,4058.0198,4003.5862,4060.8931,4003.4167,149200.0,-2451.0,134983.0,3.0,-1.0,5097.0,-1444.0,2.0,-1.0,1756.0,-9770.0,4070.90342,3994.48182,3898.25893,76.42160000000058,172.6444900000001,2.0,3653.0,1.0,-8014.0,-0.016427613941018767,-0.0155888628589131,,,0.4355
20240514,4049.0649,4061.0789,4091.356,4039.2407,149299.0,99.0,142172.0,3.0,-1.0,5831.0,-1529.0,2.0,-1.0,2918.0,-9011.0,4058.60634,4013.12425,3912.24362,45.48208999999997,146.3627200000001,2.0,4302.0,1.0,-6093.0,0.0006630988821090564,-0.3069582192245537,,,0.4194
20240515,4081.8694,4027.5754,4083.4031,4019.9836,149521.0,222.0,126157.0,3.0,-2.0,5721.0,-3169.0,2.0,-1.0,3003.0,-9721.0,4053.61372,4031.01573,3926.834355,22.59799000000021,126.7793649999999,1.0,2552.0,1.0,-6718.0,0.0014847412738010046,-0.3489255289380332,,,0.3548
20240516,4055.9231,4098.3271,4105.8838,4047.8723,150882.0,1361.0,155256.0,4.0,-1.0,4161.0,-2158.0,2.0,-1.0,1859.0,-9549.0,4051.71016,4046.28128,3938.64302,5.428879999999936,113.0671399999997,3.0,2003.0,1.0,-7690.0,0.009020294004586366,-0.3562988208753563,,,0.3548
20240517,4117.7285,4061.6296,4124.5059,4046.4714,157097.0,6215.0,141884.0,3.0,-1.0,3087.0,-3249.0,2.0,-1.0,2244.0,-9545.0,4072.52114,4066.723510000001,3952.54668,5.797629999999117,119.9744599999995,2.0,-162.0,1.0,-7301.0,0.03956154477806705,-0.1150079917038886,,,0.2903
