,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,7699.1572,7653.4653,7732.9849,7651.9351,880286.0,27050.0,409631.0,1.0,0.0,12589.0,0.0,3.0,-2.0,32597.0,0.0,7632.863579999999,7588.760649999999,7637.8487,44.10293000000001,-4.985120000000279,1.0,12589.0,1.0,32597.0,0.03072864955253179,-0.0014390100796456,,,
20240507,7817.1484,7702.7622,7843.3691,7702.7622,921689.0,41403.0,599683.0,1.0,0.0,13145.0,0.0,2.0,-1.0,31023.0,0.0,7684.44258,7619.60396,7639.480585,64.83861999999954,44.96199499999966,1.0,13145.0,1.0,31023.0,0.04492079215440349,-0.0647890482235688,,,
20240508,7787.3467,7801.3057,7858.917,7768.0801,943034.0,21345.0,521886.0,1.0,0.0,11093.0,0.0,3.0,-1.0,28296.0,0.0,7717.690919999999,7654.174419999998,7635.1393,63.51650000000063,82.55161999999928,1.0,11093.0,2.0,28296.0,0.02263439070065342,-0.013161762520242,,,
20240509,7706.8271,7756.875,7774.8154,7691.3945,935857.0,-7177.0,502342.0,1.0,0.0,8613.0,0.0,2.0,-2.0,16935.0,0.0,7728.264539999999,7675.987889999999,7635.060954999999,52.27664999999979,93.2035850000002,1.0,8613.0,0.0,16935.0,-0.00766890668125579,0.0642714866543233,,,
20240510,7579.98,7693.5029,7720.1753,7554.6553,957726.0,21869.0,626884.0,1.0,0.0,9312.0,0.0,2.0,-2.0,14539.0,-12897.0,7718.09188,7672.288769999999,7628.29992,45.80311000000074,89.79195999999956,1.0,9312.0,0.0,1642.0,0.022834297074528623,-0.3163073827935337,,,0.8871
20240513,7745.894,7583.8286,7755.7866,7572.6758,936295.0,-21431.0,522052.0,1.0,0.0,10417.0,0.0,2.0,-2.0,12989.0,-2891.0,7727.43924,7680.15141,7629.71796,47.2878299999993,97.72127999999975,1.0,10417.0,0.0,10098.0,-0.022889153525331225,-0.4781995026577079,,,
20240514,7762.9824,7755.1265,7816.0767,7730.106,961515.0,25220.0,641342.0,1.0,0.0,13295.0,0.0,2.0,-2.0,13942.0,-846.0,7716.606040000001,7700.524310000001,7631.986125,16.08172999999988,84.61991500000022,1.0,13295.0,0.0,13096.0,0.02622943999833596,-0.4387609106204106,,,
20240515,7819.2583,7668.3784,7829.0137,7613.9756,966935.0,5420.0,814242.0,1.0,0.0,15755.0,0.0,2.0,-1.0,21292.0,0.0,7722.98836,7720.33964,7640.686199999999,2.648720000000139,82.3021600000011,1.0,15755.0,1.0,21292.0,0.005605340586492371,-0.3853020788711696,,,
20240516,7797.7979,7803.9878,7848.0522,7764.5537,963144.0,-3791.0,681228.0,1.0,0.0,12421.0,0.0,2.0,-1.0,25726.0,-594.0,7741.182519999999,7734.72353,7648.379515000001,6.458989999999176,92.80300499999885,1.0,12421.0,1.0,25132.0,-0.003936067711577916,-0.1793781641369125,,,
20240517,7974.5825,7819.7065,7980.731,7803.1245,990478.0,27334.0,718320.0,1.0,0.0,5598.0,0.0,2.0,-2.0,22962.0,-3913.0,7820.10302,7769.097449999999,7668.415355,51.00557000000117,151.6876650000004,1.0,5598.0,0.0,19049.0,0.027596776505889077,-0.5032102523000199,,,0.8871
