,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,3461.8667,3465.022,3480.2742,3444.9255,2815137.0,67817.0,1463998.0,3.0,0.0,106811.0,0.0,2.0,-1.0,56388.0,-101765.0,3390.33988,3365.4392,3332.780895,24.90068000000065,57.55898500000058,3.0,106811.0,1.0,-45377.0,0.024090124210651206,0.4364162297769747,,,
20240507,3573.2412,3472.4045,3574.1118,3472.2266,2941622.0,126485.0,2789540.0,3.0,0.0,119322.0,0.0,2.0,-1.0,35567.0,-5868.0,3432.38162,3391.87143,3347.17992,40.51018999999997,85.20170000000007,3.0,119322.0,1.0,29699.0,0.042998386604397164,0.5310773247551435,,,
20240508,3578.8035,3557.9414,3595.5293,3548.7705,3074896.0,133274.0,2448927.0,2.0,0.0,89271.0,0.0,2.0,-2.0,37471.0,-6181.0,3473.44994,3415.8643,3362.861245,57.58564000000024,110.5886949999999,2.0,89271.0,0.0,31290.0,0.04334260410758608,0.5494872731134901,,,
20240509,3557.8059,3567.4802,3604.0144,3540.6306,3172277.0,97381.0,2398550.0,2.0,0.0,93366.0,0.0,1.0,-2.0,38377.0,-21296.0,3512.21308,3439.09369,3375.945755,73.11938999999984,136.2673250000003,2.0,93366.0,-1.0,17081.0,0.030697508445826138,0.7457430202043336,,,
20240510,3508.4463,3547.3433,3559.7874,3490.3323,3096773.0,-75504.0,2472706.0,2.0,0.0,92800.0,0.0,1.0,-2.0,19193.0,-53113.0,3536.03272,3455.142350000001,3386.091005,80.89036999999962,149.9417150000004,2.0,92800.0,-1.0,-33920.0,-0.02438150939704008,0.5575117790395265,,,0.6129
20240513,3544.0283,3509.8347,3549.1648,3507.0435,3130224.0,33451.0,1651647.0,2.0,0.0,93083.0,0.0,2.0,-2.0,12059.0,-56004.0,3552.46504,3471.40246,3398.522865,81.06258000000025,153.9421750000001,2.0,93083.0,0.0,-43945.0,0.010686455665792608,0.6891410319137337,,,
20240514,3522.4238,3537.0869,3565.7595,3517.0933,3152822.0,22598.0,1733220.0,2.0,0.0,95288.0,0.0,2.0,-2.0,10985.0,-41175.0,3542.30156,3487.34159,3411.28711,54.95996999999988,131.0144499999997,2.0,95288.0,0.0,-30190.0,0.00716754704198334,0.7038318261970455,,,
20240515,3551.8657,3514.4636,3556.7881,3509.665,3184176.0,31354.0,1439395.0,2.0,0.0,93594.0,0.0,2.0,-2.0,11293.0,-38803.0,3536.914,3505.18197,3423.64651,31.73202999999967,113.2674899999997,2.0,93594.0,0.0,-27510.0,0.009846817512599805,0.606549406279156,,,
20240516,3536.6331,3565.7517,3567.8015,3528.9236,3202585.0,18409.0,1423866.0,2.0,0.0,94832.0,0.0,2.0,-2.0,16855.0,-32711.0,3532.67944,3522.44626,3433.551835,10.23318000000017,99.12760500000013,2.0,94832.0,0.0,-15856.0,0.005748169057183494,0.6595008608044648,,,
20240517,3578.9031,3540.5647,3586.8276,3530.1072,3257880.0,55295.0,1639376.0,2.0,0.0,91635.0,0.0,2.0,-2.0,28010.0,-23709.0,3546.7708,3541.40176,3444.015705,5.369040000000041,102.7550949999995,2.0,91635.0,0.0,4301.0,0.016972693899100028,0.716353168266273,,,0.5484
