,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,15519.0664,15559.5039,15629.1191,15469.8486,674561.0,19172.0,242619.0,1.0,0.0,9468.0,0.0,1.0,-3.0,0.0,-23640.0,15637.06072,15722.55917,16002.429295,-85.49844999999914,-365.3685749999986,1.0,9468.0,-2.0,-23640.0,0.02842144743025464,-0.1648145597416737,,,
20240507,15536.7656,15444.3975,15571.7617,15428.3594,696839.0,22278.0,337240.0,2.0,0.0,18834.0,0.0,1.0,-3.0,251.0,-21441.0,15614.23806,15686.94901,15964.280465,-72.7109500000006,-350.0424050000001,2.0,18834.0,-2.0,-21190.0,0.03197008204190638,-0.1129405863043859,,,
20240508,15581.4629,15554.3213,15649.8223,15552.042,701974.0,5135.0,371362.0,2.0,0.0,22883.0,0.0,1.0,-3.0,594.0,-24978.0,15593.52498,15667.23173,15926.71362,-73.70675000000483,-333.1886400000021,2.0,22883.0,-2.0,-24384.0,0.007315085743916441,-0.1386878532117848,,,
20240509,15267.8389,15610.9482,15642.2627,15252.5732,768093.0,66119.0,681627.0,2.0,0.0,24293.0,0.0,1.0,-3.0,0.0,-35325.0,15503.82558,15611.69296,15876.6457,-107.8673799999997,-372.8201200000021,2.0,24293.0,-2.0,-35325.0,0.08608202392158242,-0.2399224519273051,,,
20240510,15162.3779,15285.6279,15294.3213,15022.707,774579.0,6486.0,659727.0,2.0,0.0,26225.0,0.0,1.0,-3.0,0.0,-37992.0,15413.50234,15548.71171,15817.258395,-135.2093699999987,-403.7560549999998,2.0,26225.0,-2.0,-37992.0,0.008373581003357953,-0.2149675893461853,,,0.2698
20240513,15102.1172,15174.2344,15206.5586,15010.9238,782947.0,8368.0,413964.0,2.0,0.0,26710.0,0.0,1.0,-3.0,0.0,-38078.0,15330.1125,15483.58661,15753.6812,-153.4741100000028,-423.5687000000016,2.0,26710.0,-2.0,-38078.0,0.01068782433549142,-0.24366632600282,,,
20240514,15126.7119,15101.9141,15241.8457,15082.373,786336.0,3389.0,398347.0,2.0,0.0,27647.0,0.0,1.0,-3.0,0.0,-44181.0,15248.10176,15431.16991,15694.56323,-183.0681499999992,-446.4614699999984,2.0,27647.0,-2.0,-44181.0,0.004309862450657225,-0.1824553927410676,,,
20240515,14888.6436,15069.3955,15100.2686,14812.0303,819450.0,33114.0,595904.0,2.0,0.0,28197.0,0.0,0.0,-3.0,0.0,-44464.0,15109.5379,15351.53144,15625.873435,-241.9935399999995,-516.3355349999965,2.0,28197.0,-3.0,-44464.0,0.040410031118433096,-0.2253538407785691,,,
20240516,15168.3867,14922.4805,15209.4775,14869.8896,765933.0,-53517.0,547176.0,2.0,0.0,27391.0,0.0,1.0,-3.0,0.0,-39240.0,15089.64746,15296.73652,15568.7331,-207.0890599999984,-479.0856399999993,2.0,27391.0,-2.0,-39240.0,-0.06987164673672501,-0.1879379969473648,,,
20240517,15209.5859,15128.2207,15259.4199,15128.2207,754785.0,-11148.0,339337.0,2.0,0.0,27227.0,0.0,1.0,-3.0,216.0,-35072.0,15099.08906,15256.2957,15515.73891,-157.2066399999967,-416.649849999998,2.0,27227.0,-2.0,-34856.0,-0.014769768874580178,-0.2410204202202451,,,0.3906
20240520,15297.792,15227.9678,15337.2568,15203.4219,730535.0,-24250.0,408576.0,2.0,0.0,26464.0,0.0,1.0,-3.0,739.0,-37212.0,15138.22402,15234.16826,15478.363715,-95.94424000000072,-340.1396950000035,2.0,26464.0,-2.0,-36473.0,-0.033194850349401464,-0.0613176002738766,,,
20240521,15319.5117,15303.3711,15337.6514,15242.7559,727586.0,-2949.0,343821.0,2.0,0.0,27275.0,0.0,1.0,-3.0,1391.0,-30552.0,15176.78398,15212.44287,15449.69594,-35.65889000000061,-272.9119600000013,2.0,27275.0,-2.0,-29161.0,-0.004053129114633872,-0.0740642358548345,,,
20240522,15355.7354,15286.6631,15405.4365,15285.6094,716140.0,-11446.0,363701.0,2.0,0.0,28058.0,0.0,1.0,-3.0,578.0,-28902.0,15270.20234,15189.87012,15428.550925,80.33222000000205,-158.3485849999997,2.0,28058.0,-2.0,-28324.0,-0.015982908369871814,-0.0868691981061682,,,
20240523,15507.374,15372.4531,15547.5195,15352.1191,695651.0,-20489.0,549177.0,2.0,0.0,23350.0,0.0,1.0,-3.0,0.0,-24451.0,15337.9998,15213.82363,15412.758295,124.1761700000006,-74.75849500000186,2.0,23350.0,-2.0,-24451.0,-0.029452987201915904,-0.1451906479035954,,,
20240524,15517.6113,15544.1133,15566.3809,15460.9473,677387.0,-18264.0,353819.0,2.0,0.0,22497.0,0.0,1.0,-3.0,0.0,-24958.0,15399.60488,15249.34697,15399.02934,150.2579100000003,0.575539999999819,2.0,22497.0,-2.0,-24958.0,-0.026962430634186955,-0.19780136898947,,,0.3438
20240527,15446.876,15542.2295,15542.2295,15353.8867,673903.0,-3484.0,353816.0,2.0,0.0,22763.0,0.0,1.0,-3.0,0.0,-15798.0,15429.42168,15283.82285,15383.70473,145.598829999999,45.71694999999818,2.0,22763.0,-2.0,-15798.0,-0.00516988349955409,-0.2246732147899604,,,
20240528,15472.7178,15456.2305,15536.6025,15443.0527,668439.0,-5464.0,260546.0,2.0,0.0,22599.0,0.0,1.0,-3.0,0.0,-16950.0,15460.0629,15318.42344,15374.796675,141.6394600000003,85.2662249999994,2.0,22599.0,-2.0,-16950.0,-0.008174268706643388,-0.2631637588444439,,,
20240529,15552.2861,15523.8701,15610.8457,15507.873,668469.0,30.0,305819.0,2.0,0.0,22125.0,0.0,1.0,-3.0,135.0,-18725.0,15499.37304,15384.78769,15368.159565,114.5853499999994,131.2134750000005,2.0,22125.0,-2.0,-18590.0,4.487867051426468e-05,-0.2553081764361574,,,
20240530,15458.8428,15504.0801,15514.3848,15415.3115,663896.0,-4573.0,321306.0,2.0,0.0,21222.0,0.0,1.0,-3.0,0.0,-15665.0,15489.6668,15413.8333,15355.28491,75.83349999999882,134.3818900000024,2.0,21222.0,-2.0,-15665.0,-0.006888127056044923,-0.3218526466349252,,,
20240531,15119.7598,15466.04,15486.7607,15119.7598,702356.0,38460.0,571678.0,2.0,0.0,25802.0,0.0,0.0,-3.0,0.0,-23054.0,15410.0965,15404.85069,15330.573195,5.245809999998528,79.52330500000062,2.0,25802.0,-3.0,-23054.0,0.0547585554903781,-0.4217325780330221,,,0.3906
20240603,15007.1914,15116.3916,15178.5215,14960.6572,709335.0,6979.0,466261.0,2.0,0.0,26577.0,0.0,0.0,-3.0,0.0,-30109.0,15322.15958,15375.79063,15304.979445,-53.63104999999814,17.18013500000234,2.0,26577.0,-3.0,-30109.0,0.009838792672009699,-0.3915924211828925,,,
20240604,14939.0957,14997.7881,15015.8184,14871.2598,720091.0,10756.0,395376.0,2.0,0.0,28069.0,0.0,0.0,-3.0,0.0,-35624.0,15215.43516,15337.74903,15275.09595,-122.3138700000018,-59.66078999999991,2.0,28069.0,-3.0,-35624.0,0.014937001017926901,-0.3514663883557567,,,
20240605,15142.5654,14919.0039,15188.3955,14906.9492,717111.0,-2980.0,541213.0,2.0,0.0,28365.0,0.0,0.0,-3.0,0.0,-38013.0,15133.49102,15316.43203,15253.151075,-182.9410100000023,-119.6600550000003,2.0,28365.0,-3.0,-38013.0,-0.004155563085770544,-0.2674358449075701,,,
20240606,15136.1865,15116.7178,15164.1045,15054.8232,715019.0,-2092.0,365069.0,2.0,0.0,29545.0,0.0,0.0,-3.0,0.0,-36765.0,15068.95976,15279.31328,15246.568455,-210.3535199999969,-177.6086949999954,2.0,29545.0,-3.0,-36765.0,-0.0029257963774389213,-0.2341029145635777,,,
20240607,15128.6143,15122.873,15211.4434,15084.3438,722890.0,7871.0,330659.0,2.0,0.0,30016.0,0.0,1.0,-3.0,0.0,-36325.0,15070.73066,15240.41358,15244.880275,-169.6829199999975,-174.1496149999984,2.0,30016.0,-2.0,-36325.0,0.010888240257853891,-0.2473197333154038,,,0.5625
20240611,14984.4746,14966.2021,15045.2656,14882.0811,742382.0,19492.0,397747.0,2.0,0.0,30366.0,0.0,1.0,-3.0,0.0,-32622.0,15066.1873,15194.17344,15238.998145,-127.9861399999991,-172.810845,2.0,30366.0,-2.0,-32622.0,0.026256024526456728,-0.2638924272270986,,,
20240612,14989.3926,14971.333,15084.3906,14971.333,748868.0,6486.0,335119.0,2.0,0.0,29502.0,0.0,1.0,-3.0,0.0,-33975.0,15076.24668,15145.84092,15232.13218,-69.59423999999854,-155.8854999999967,2.0,29502.0,-2.0,-33975.0,0.008661072445344174,-0.3242388074392483,,,
20240613,14756.3428,14981.6719,15006.6563,14715.3574,776002.0,27134.0,636543.0,2.0,0.0,30820.0,0.0,1.0,-3.0,0.0,-42896.0,14999.00216,15066.24659,15225.51714,-67.24443000000247,-226.5149800000036,2.0,30820.0,-2.0,-42896.0,0.03496640472576101,-0.3633944707342352,,,
20240614,14792.8662,14738.4004,14835.7471,14738.1133,778799.0,2797.0,368061.0,2.0,0.0,29340.0,0.0,1.0,-3.0,0.0,-39481.0,14930.3381,14999.64893,15206.741115,-69.31083000000035,-276.4030150000017,2.0,29340.0,-2.0,-39481.0,0.003591427313080782,-0.363291787805433,,,0.4062
20240617,14442.5488,14809.1445,14828.6836,14428.1563,788768.0,9969.0,671798.0,2.0,0.0,29678.0,0.0,0.0,-3.0,0.0,-42555.0,14793.125,14931.92783,15168.38926,-138.8028300000005,-375.2642599999999,2.0,29678.0,-3.0,-42555.0,0.01263869731023571,-0.476088857272745,,,
20240618,14497.5088,14397.6211,14574.5332,14346.5635,764296.0,-24472.0,558591.0,1.0,0.0,16723.0,0.0,0.0,-3.0,0.0,-39270.0,14695.73184,14880.95957,15128.3751,-185.2277300000023,-432.6432600000026,1.0,16723.0,-3.0,-39270.0,-0.032019008342317634,-0.4807782946283372,,,
20240619,14565.3643,14492.1875,14608.3652,14487.166,761140.0,-3156.0,342822.0,2.0,0.0,27563.0,0.0,0.0,-3.0,0.0,-44713.0,14610.92618,14843.58643,15090.66773,-232.6602500000008,-479.7415500000006,2.0,27563.0,-3.0,-44713.0,-0.00414641196100586,-0.464640471950676,,,
20240620,14587.0752,14558.6465,14668.2061,14514.6611,750021.0,-11119.0,323989.0,2.0,0.0,27139.0,0.0,0.0,-3.0,0.0,-48403.0,14577.07266,14788.03741,15052.23472,-210.964750000001,-475.1620599999987,2.0,27139.0,-3.0,-48403.0,-0.014824918235622736,-0.5385179585709571,,,
20240621,14572.3154,14611.2383,14623.7012,14454.2295,751805.0,1784.0,428123.0,2.0,0.0,25910.0,0.0,0.0,-3.0,0.0,-40829.0,14532.9625,14731.6503,15005.48179,-198.6877999999997,-472.5192900000002,2.0,25910.0,-3.0,-40829.0,0.002372955753154076,-0.5683173098842804,,,0.4308
20240624,14567.4121,14597.6475,14616.9922,14479.877,740693.0,-11112.0,368975.0,2.0,0.0,25954.0,0.0,0.0,-3.0,0.0,-40219.0,14557.93516,14675.53008,14957.97183,-117.5949200000032,-400.0366700000013,2.0,25954.0,-3.0,-40219.0,-0.015002166889656039,-0.4998099452061829,,,
20240625,14602.9297,14618.4922,14647.6426,14518.46,730633.0,-10060.0,368938.0,3.0,0.0,31288.0,0.0,0.0,-3.0,0.0,-42637.0,14579.01934,14637.37559,14915.774515,-58.35625000000073,-336.7551750000021,3.0,31288.0,-3.0,-42637.0,-0.013768882599061363,-0.5127974431902326,,,
20240626,14740.3955,14623.4775,14781.1191,14623.2881,720659.0,-9974.0,483751.0,2.0,0.0,19189.0,0.0,0.0,-3.0,0.0,-40646.0,14614.02558,14612.47588,14879.1584,1.549699999999575,-265.1328199999989,2.0,19189.0,-3.0,-40646.0,-0.01384011023244003,-0.5366373482673227,,,
20240627,14682.0303,14717.0635,14760.3193,14632.2441,719945.0,-714.0,331485.0,2.0,0.0,22483.0,0.0,0.0,-3.0,0.0,-41321.0,14633.0166,14605.04463,14835.64561,27.97197000000051,-202.6290099999987,2.0,22483.0,-3.0,-41321.0,-0.0009917424247685588,-0.5598114753008233,,,
20240628,14715.0967,14685.6709,14768.6982,14610.9775,704726.0,-15219.0,306435.0,2.0,0.0,18103.0,0.0,1.0,-3.0,0.0,-36054.0,14661.57286,14597.26768,14798.458305,64.30517999999938,-136.8854450000017,2.0,18103.0,-2.0,-36054.0,-0.021595627236684897,-0.5785919231379708,,,0.4242
20240701,14831.7959,14713.8896,14868.2793,14531.3496,700456.0,-4270.0,580255.0,3.0,0.0,26791.0,0.0,1.0,-3.0,0.0,-32901.0,14714.44962,14636.19239,14784.06011,78.25722999999743,-69.61049000000094,3.0,26791.0,-2.0,-32901.0,-0.006096028872620122,-0.4732682292851746,,,
20240702,14846.4619,14798.3906,14877.2764,14766.2422,695871.0,-4585.0,345398.0,3.0,0.0,27014.0,0.0,1.0,-3.0,0.0,-35348.0,14763.15606,14671.0877,14776.023635,92.0683599999993,-12.86757500000022,3.0,27014.0,-2.0,-35348.0,-0.0065888648901879805,-0.4920625258295236,,,
20240703,14823.0215,14802.1514,14828.0273,14731.0303,693777.0,-2094.0,349635.0,3.0,0.0,27596.0,0.0,1.0,-3.0,0.0,-36341.0,14779.68126,14696.85342,14770.219925,82.82784000000174,9.461334999999963,3.0,27596.0,-2.0,-36341.0,-0.00301826091092671,-0.459704203549455,,,
20240704,14653.8398,14818.4492,14855.3779,14627.2656,701497.0,7720.0,418540.0,3.0,0.0,28903.0,0.0,1.0,-3.0,0.0,-37346.0,14774.04316,14703.52988,14745.783645,70.51328000000285,28.25951500000156,3.0,28903.0,-2.0,-37346.0,0.01100503637221542,-0.5339806250453721,,,
