,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250221,13374.3419,13416.0634,13446.3664,13359.8821,155419.0,2097.0,37237.0,4.0,-1.0,8456.0,-266.0,0.0,-3.0,0.0,-11716.0,13395.9189,13348.50067,13295.17774,47.41823000000113,100.7411600000014,3.0,8190.0,-3.0,-11716.0,0.013492558824854103,-1.6128347214928416,0.1349,0.0
20250224,13377.7331,13361.1862,13387.4789,13299.868,157602.0,2183.0,46779.0,4.0,0.0,8645.0,-391.0,0.0,-3.0,0.0,-11795.0,13395.59348,13362.59105,13308.032605,33.00243000000228,87.56087500000103,4.0,8254.0,-3.0,-11795.0,0.013851347064123552,-1.4552316908502445,0.1283,0.0
20250225,13385.4832,13388.9407,13415.0293,13364.5939,153025.0,-4577.0,31622.0,4.0,0.0,8472.0,-351.0,0.0,-3.0,0.0,-11903.0,13393.64978,13379.70996,13322.74125,13.9398199999996,70.90853000000061,4.0,8121.0,-3.0,-11903.0,-0.029910145401078257,-1.2428628613391466,0.1288,0.005820721769499423
20250226,13311.3526,13384.5867,13402.5549,13298.7485,154094.0,1069.0,41645.0,4.0,0.0,8819.0,-125.0,0.0,-3.0,0.0,-12788.0,13373.41404,13378.88368,13328.20735,-5.469639999999345,45.20668999999907,4.0,8694.0,-3.0,-12788.0,0.006937323971082586,-1.2584406141360032,0.1242,0.0
20250227,13326.4589,13304.0463,13345.9158,13285.7394,151841.0,-2253.0,29095.0,4.0,0.0,8814.0,-31.0,0.0,-3.0,0.0,-12525.0,13355.07394,13372.47139,13335.367305,-17.39745000000221,19.70663499999682,4.0,8783.0,-3.0,-12525.0,-0.014837889634551932,-1.057168208289469,0.1217,0.0
20250228,13314.9454,13329.5535,13351.7732,13292.8165,150200.0,-1641.0,26321.0,4.0,0.0,9211.0,0.0,0.0,-3.0,0.0,-12573.0,13343.19464,13369.55677,13340.18708,-26.36212999999771,3.007560000001831,4.0,9211.0,-3.0,-12573.0,-0.0109254327563249,-0.8491644270395153,0.1168,0.0
20250303,13443.2495,13328.9155,13465.9965,13328.0695,157061.0,6861.0,70229.0,3.0,-1.0,7927.0,-548.0,0.0,-3.0,0.0,-10529.0,13356.29792,13375.9457,13353.368205,-19.64777999999933,2.929715000000215,2.0,7379.0,-3.0,-10529.0,0.04368366430877175,-0.6479120969354872,0.1219,0.05236139630390137
20250304,13479.1603,13428.8327,13568.617,13383.6711,166096.0,9035.0,87706.0,3.0,-1.0,7263.0,-1050.0,0.0,-3.0,0.0,-10602.0,13375.03334,13384.34156,13363.731795,-9.308220000000802,11.30154500000026,2.0,6213.0,-3.0,-10602.0,0.054396252769482706,-0.5758045737140681,0.1305,0.14065708418891174
20250305,13383.5283,13452.5765,13483.8372,13380.3245,160589.0,-5507.0,55573.0,3.0,-1.0,8653.0,-1248.0,0.0,-3.0,0.0,-12607.0,13389.46848,13381.44126,13360.11458,8.027219999998124,29.35390000000007,2.0,7405.0,-3.0,-12607.0,-0.03429251069500402,-0.590494448597422,0.1254,0.08829568788501037
20250306,13415.0851,13382.3198,13436.9358,13353.3004,158126.0,-2463.0,38336.0,3.0,-1.0,8493.0,-1187.0,0.0,-3.0,0.0,-12187.0,13407.19372,13381.13383,13363.03488,26.05989000000045,44.15884000000005,2.0,7306.0,-3.0,-12187.0,-0.015576186079455623,-0.7325297773904846,0.1285,0.12012320328542096
20250307,13445.6958,13416.3988,13458.601,13396.5488,159834.0,1708.0,37845.0,3.0,-1.0,8633.0,-1399.0,0.0,-3.0,0.0,-11906.0,13433.3438,13388.26922,13368.384945,45.07458000000042,64.95885499999713,2.0,7234.0,-3.0,-11906.0,0.010686086815070635,-0.6198218989639037,0.1289,0.12422997946611895
20250310,13545.1231,13485.523,13611.1594,13485.523,169855.0,10021.0,83764.0,3.0,-1.0,8886.0,-1033.0,0.0,-3.0,0.0,-11772.0,13453.71852,13405.00822,13383.799635,48.71030000000064,69.91888500000096,2.0,7853.0,-3.0,-11772.0,0.058997380118336225,-0.5676179709746608,0.1407,0.24537987679671447
20250311,13645.7479,13535.3658,13651.6878,13489.3514,171610.0,1755.0,76368.0,3.0,-1.0,7532.0,-1141.0,0.0,-3.0,0.0,-11603.0,13487.03604,13431.03469,13405.372325,56.00135000000046,81.6637150000006,2.0,6391.0,-3.0,-11603.0,0.010226676767088164,-0.1542053486203792,0.1431,0.2700205338809035
20250312,13606.1663,13624.8248,13655.6627,13579.615,170814.0,-796.0,55236.0,2.0,-1.0,6458.0,-1475.0,0.0,-3.0,0.0,-11805.0,13531.56364,13460.51606,13419.69987,71.0475800000022,111.8637700000018,1.0,4983.0,-3.0,-11805.0,-0.004660039575210463,-0.0319635974848361,0.1402,0.2402464065708418
20250313,13552.1405,13587.5175,13587.5175,13524.3702,168799.0,-2015.0,46104.0,2.0,-1.0,6355.0,-1542.0,0.0,-3.0,0.0,-12054.0,13558.97472,13483.08422,13427.777805,75.89050000000134,131.1969150000023,1.0,4813.0,-3.0,-12054.0,-0.011937274509920083,-0.1403682074773755,0.148,0.32032854209445577
20250314,13695.6044,13563.9252,13707.4161,13563.9252,170813.0,2014.0,68360.0,2.0,-1.0,6093.0,-1897.0,0.0,-3.0,0.0,-10932.0,13608.95644,13521.15012,13445.353445,87.80631999999969,163.6029949999993,1.0,4196.0,-3.0,-10932.0,0.011790671670189037,0.0063680320726738,0.1493,0.3336755646817247
