,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,12684.8799,12600.9639,12778.6279,12575.3203,76909.0,1741.0,32441.0,3.0,-1.0,2112.0,-934.0,1.0,-2.0,1853.0,-3748.0,12610.71348,12649.00684,12513.860305,-38.29335999999785,96.85317500000201,12605.48963579365,12522.76161592063,52763.1,,,2.0,1178.0,-1.0,-1895.0,0.022637142597095268,-1.431198977341583,,,0.7903
20240507,12936.1074,12696.6406,12945.2217,12696.6406,83244.0,6335.0,58598.0,4.0,-1.0,3504.0,-1013.0,2.0,-1.0,1232.0,-2548.0,12688.76954,12683.72061,12560.360155,5.048930000000837,128.4093850000008,12637.14196476191,12544.80321355555,53384.6,,,3.0,2491.0,1.0,-1316.0,0.07610158089471913,-1.2984563804659708,,,0.9677
20240508,12878.0947,12976.2471,13059.0762,12816.6289,85995.0,2751.0,58195.0,4.0,-1.0,3699.0,-1059.0,2.0,-1.0,1038.0,-2655.0,12739.84258,12723.06074,12598.843115,16.78183999999965,140.9994650000008,12671.06622142857,12568.96712595238,54961.7,,,3.0,2640.0,1.0,-1617.0,0.03199023199023199,-1.0615675375686389,,,0.9677
20240509,12924.0137,12894.0947,13026.791,12842.1729,87710.0,1715.0,37285.0,4.0,-1.0,3543.0,-1086.0,2.0,-1.0,1106.0,-2592.0,12799.417,12714.32979,12634.65176,85.08720999999969,164.7652400000006,12701.94220071429,12592.15045528571,51573.8,,,3.0,2457.0,1.0,-1486.0,0.019553072625698324,-1.4033078381979849,,,0.9194
20240510,12829.6953,12925.8467,13018.21,12692.2451,82973.0,-4737.0,48146.0,4.0,-1.0,3079.0,-976.0,1.0,-2.0,1214.0,-2832.0,12850.5582,12731.61914,12663.22134,118.9390599999988,187.3368599999994,12721.72468730158,12613.79626407143,44961.8,,,3.0,2103.0,-1.0,-1618.0,-0.05709086088245574,-1.5333396023574304,,,0.9032
20240513,13017.8506,12837.1973,13073.4785,12837.1973,87052.0,4079.0,47063.0,4.0,-1.0,3405.0,-999.0,2.0,-1.0,1213.0,-2533.0,12917.15234,12763.93291,12683.479595,153.2194299999992,233.672744999998,12750.75840134921,12635.91189879365,45807.6,,,3.0,2406.0,1.0,-1320.0,0.04685705095804806,-1.2173987886586934,,,0.8548
20240514,12862.7822,13071.7695,13142.2725,12747.1533,85058.0,-1994.0,46599.0,4.0,-1.0,3196.0,-993.0,2.0,-2.0,1487.0,-2790.0,12902.4873,12795.62842,12690.496635,106.8588799999998,211.9906649999994,12773.83656380952,12658.55932781746,45995.4,,,3.0,2203.0,0.0,-1303.0,-0.023442827247290084,-1.33229657068387,,,0.8548
20240515,12858.0908,12866.8359,12903.4355,12754.1191,84991.0,-67.0,28764.0,4.0,-1.0,3356.0,-981.0,1.0,-2.0,1416.0,-2988.0,12898.48652,12819.16455,12700.894045,79.32196999999906,197.5924749999995,12788.54705373016,12681.61376580159,45106.5,,,3.0,2375.0,-1.0,-1572.0,-0.0007883187631631584,-1.385204992244955,,,0.8548
20240516,12853.9434,12915.3145,12917.1523,12797.5908,84273.0,-718.0,23652.0,4.0,-1.0,3103.0,-975.0,1.0,-2.0,1441.0,-2835.0,12884.47246,12841.94473,12719.11216,42.52773000000161,165.3603000000003,12803.06214468254,12704.27140142857,41436.2,,,3.0,2128.0,-1.0,-1394.0,-0.008519929277467279,-1.2697216946135592,,,0.8065
20240517,12891.5537,12852.8711,12999.1396,12813.71,84557.0,284.0,38122.0,4.0,-1.0,3165.0,-962.0,1.0,-2.0,1004.0,-2958.0,12896.84414,12873.70117,12744.92881,23.14296999999897,151.915329999998,12818.31982134921,12727.18886949206,41886.5,,,3.0,2203.0,-1.0,-1954.0,0.0033586811263408116,-1.1276710134233647,,,0.6935
20240520,12860.3789,12922.2246,13035.0352,12851.6904,85685.0,1128.0,40924.0,4.0,-1.0,3421.0,-964.0,1.0,-2.0,381.0,-3187.0,12865.3498,12891.25107,12770.128955,-25.9012700000003,95.22084499999983,12831.26347253968,12749.76625316667,42734.8,,,3.0,2457.0,-1.0,-2806.0,0.01316449787010562,-1.0834478737764572,,,0.6774
20240521,12199.5254,12845.2861,12873.6973,12182.3311,92166.0,6481.0,103462.0,4.0,0.0,3951.0,0.0,1.0,-2.0,1089.0,-3651.0,12732.69844,12817.59287,12750.65674,-84.89442999999847,-17.95830000000024,12797.79493714286,12765.83155040476,47221.2,124154.4,,4.0,3951.0,-1.0,-2562.0,0.07031877264935009,-1.418687030064541,,,0.7258
20240522,12103.5762,12224.4072,12315.0098,12097.9443,95580.0,3414.0,64362.0,4.0,0.0,4038.0,0.0,1.0,-2.0,1618.0,-4058.0,12581.79552,12740.14102,12731.60088,-158.3454999999994,-149.8053600000003,12738.09387714286,12772.53431597619,47837.9,77234.4,,4.0,4038.0,-1.0,-2440.0,0.0357187696170747,-1.2441570730277527,,,0.7419
20240523,12239.627,12077.6084,12269.5186,11810.1963,93029.0,-2551.0,79098.0,4.0,-1.0,3352.0,-17.0,1.0,-2.0,1319.0,-3282.0,12458.93224,12671.70235,12693.01607,-212.7701099999995,-234.0838300000014,12682.06378293651,12770.54647419841,52019.2,94917.59999999999,,3.0,3335.0,-1.0,-1963.0,-0.02742155671887261,-1.0981088154387408,,,0.7742
20240524,11996.2881,12191.7285,12288.7705,11969.6279,97917.0,4888.0,59046.0,5.0,0.0,3882.0,0.0,1.0,-2.0,350.0,-3812.0,12279.87912,12588.36163,12659.990385,-308.482509999998,-380.1112649999977,12621.07255230159,12760.48126069841,53109.2,,,5.0,3882.0,-1.0,-3462.0,0.049919830060152985,-1.1985333597438477,,,0.7742
20240527,11963.9707,12055.1533,12149.583,11911.8242,101400.0,3483.0,52437.0,4.0,0.0,3837.0,0.0,1.0,-2.0,205.0,-3871.0,12100.59748,12482.97364,12623.453275,-382.3761599999998,-522.8557949999995,12556.39744039683,12741.04516460317,53646.6,,,4.0,3837.0,-1.0,-3666.0,0.0343491124260355,-1.118343388810462,,,0.7903
