,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,7355.8247,7539.4209,7539.4209,7348.7148,177277.0,35808.0,150512.0,3.0,0.0,8197.0,0.0,1.0,-2.0,771.0,-13490.0,7440.41974,7473.884039999999,7619.18838,-33.46429999999873,-178.7686399999993,3.0,8197.0,-1.0,-12719.0,0.2019889777015631,-5.640065150131026,,,
20240507,7401.2661,7357.8008,7414.2632,7343.4341,174581.0,-2696.0,98733.0,3.0,0.0,8256.0,0.0,1.0,-2.0,650.0,-12534.0,7444.6209,7457.5126,7599.274975,-12.89170000000013,-154.6540750000004,3.0,8256.0,-1.0,-11884.0,-0.015442688494166032,-7.148574793208224,,,
20240508,7426.5376,7385.0615,7458.5518,7377.0483,180021.0,5440.0,109424.0,3.0,0.0,8842.0,0.0,1.0,-2.0,808.0,-11981.0,7450.189840000001,7455.091559999999,7582.76946,-4.901719999998022,-132.5796199999995,3.0,8842.0,-1.0,-11173.0,0.030218696707606334,-7.7874982451746,,,
20240509,7379.3569,7436.7104,7478.3828,7351.5938,186765.0,6744.0,127012.0,3.0,0.0,9858.0,0.0,1.0,-2.0,1231.0,-15388.0,7425.63846,7442.88008,7566.327635,-17.24161999999978,-140.6891749999995,3.0,9858.0,-1.0,-14157.0,0.03610954943378042,-9.969071800490774,,,
20240510,7383.7334,7381.1377,7413.4321,7276.7402,185571.0,-1194.0,176813.0,3.0,0.0,8872.0,0.0,1.0,-2.0,3040.0,-10788.0,7389.343739999999,7426.674119999999,7549.020164999999,-37.33037999999942,-159.6764249999997,3.0,8872.0,-1.0,-7748.0,-0.006434194998140874,-9.36175579498894,,,0.2381
20240513,7411.0366,7406.5586,7452.9224,7380.376,173646.0,-11925.0,105321.0,3.0,0.0,8823.0,0.0,1.0,-2.0,2899.0,-9953.0,7400.38612,7420.402929999999,7530.045065,-20.01680999999917,-129.6589450000001,3.0,8823.0,-1.0,-7054.0,-0.06867419923292215,-9.133770677949828,,,
20240514,7404.8657,7416.7002,7461.9355,7351.5239,175590.0,1944.0,113076.0,3.0,0.0,8655.0,0.0,1.0,-2.0,2691.0,-12123.0,7401.106040000001,7422.863469999999,7512.54858,-21.75742999999875,-111.4425399999991,3.0,8655.0,-1.0,-9432.0,0.011071245515120452,-9.872243080446363,,,
20240515,7404.1177,7395.4048,7450.3237,7366.6035,169794.0,-5796.0,98092.0,3.0,0.0,8741.0,0.0,1.0,-2.0,2638.0,-13060.0,7396.62206,7423.40595,7491.59238,-26.78389000000061,-94.97032000000036,3.0,8741.0,-1.0,-10422.0,-0.03413548181914555,-10.004709265871648,,,
20240516,7431.6885,7417.6777,7456.7671,7381.9526,171145.0,1351.0,90892.0,3.0,0.0,9099.0,0.0,1.0,-2.0,2475.0,-13440.0,7407.088379999999,7416.36342,7467.5573,-9.275040000000445,-60.46892000000116,3.0,9099.0,-1.0,-10965.0,0.007893891144935581,-10.028727636167504,,,
20240517,7498.2148,7441.9644,7541.0566,7441.8438,172813.0,1668.0,141909.0,3.0,0.0,10907.0,0.0,1.0,-2.0,0.0,-10466.0,7429.98466,7409.664200000001,7456.110815,20.320459999999,-26.12615499999993,3.0,10907.0,-1.0,-10466.0,0.009652051639633593,-9.958166011686432,,,0.2188
20240520,7524.7148,7500.458,7576.4067,7491.0327,164859.0,-7954.0,120622.0,3.0,0.0,10648.0,0.0,1.0,-2.0,165.0,-12294.0,7452.720299999999,7426.553210000001,7450.218625,26.1670899999981,2.501674999999523,3.0,10648.0,-1.0,-12129.0,-0.04824729010851698,-0.2034304307020849,,,
20240521,7470.4751,7539.4849,7551.1455,7384.2061,177484.0,12625.0,141846.0,3.0,0.0,11254.0,0.0,1.0,-2.0,474.0,-12265.0,7465.84218,7433.47411,7445.493355000001,32.36806999999953,20.34882499999912,3.0,11254.0,-1.0,-11791.0,0.07113317256766807,-0.2243539386247191,,,
20240522,7457.8896,7471.1626,7524.9551,7436.8057,170965.0,-6519.0,95656.0,3.0,0.0,11879.0,0.0,1.0,-2.0,483.0,-13376.0,7476.59656,7436.60931,7445.850435,39.98725000000013,30.74612499999967,3.0,11879.0,-1.0,-12893.0,-0.03813061152867546,-0.3191867752122637,,,
20240523,7448.1274,7453.4448,7503.894,7424.2012,175295.0,4330.0,94738.0,3.0,0.0,12817.0,0.0,1.0,-3.0,164.0,-14340.0,7479.88434,7443.48636,7443.183220000001,36.39797999999973,36.70111999999881,3.0,12817.0,-2.0,-14176.0,0.02470121794688953,-0.2917085883287474,,,
