,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,104.115,104.115,104.175,103.915,169436.0,-7085.0,59489.0,2.0,-2.0,12644.0,-3510.0,3.0,-1.0,17328.0,-922.0,104.136,104.3835,104.3085,-0.2475000000000023,-0.1725000000000136,0.0,9134.0,2.0,16406.0,-0.04181519865908071,0.0720543158637412,,,
20240507,104.375,104.245,104.405,104.245,162150.0,-7286.0,71323.0,2.0,-1.0,10352.0,-3010.0,3.0,0.0,20160.0,0.0,104.117,104.36,104.33175,-0.2429999999999808,-0.2147499999999809,1.0,7342.0,3.0,20160.0,-0.04493370336108542,0.1174163047357653,,,
20240508,104.425,104.33,104.465,104.31,157082.0,-5068.0,55510.0,2.0,-1.0,11015.0,-3053.0,3.0,0.0,19295.0,0.0,104.163,104.345,104.35175,-0.1819999999999737,-0.1887499999999847,1.0,7962.0,3.0,19295.0,-0.03226340382730039,0.1125664201980486,,,
20240509,104.215,104.36,104.43,104.21,152013.0,-5069.0,61286.0,2.0,-1.0,9977.0,-3055.0,3.0,0.0,18357.0,0.0,104.249,104.302,104.357,-0.05299999999999727,-0.1080000000000041,1.0,6922.0,3.0,18357.0,-0.033345832264345815,0.1512090157022954,,,
20240510,104.295,104.28,104.365,104.175,145047.0,-6966.0,55147.0,2.0,-2.0,9292.0,-3495.0,3.0,0.0,20702.0,0.0,104.285,104.247,104.35975,0.0379999999999967,-0.07475000000000875,0.0,5797.0,3.0,20702.0,-0.048025812322902234,0.218321476649467,,,0.9839
20240513,104.445,104.4,104.49,104.32,136116.0,-8931.0,66479.0,2.0,-1.0,8004.0,-2515.0,3.0,0.0,21712.0,0.0,104.351,104.2435,104.375,0.1075000000000017,-0.02400000000000091,1.0,5489.0,3.0,21712.0,-0.0656131534867319,0.1125448563200024,,,
20240514,104.465,104.495,104.55,104.415,124809.0,-11307.0,51740.0,2.0,-1.0,7615.0,-2717.0,3.0,0.0,21571.0,0.0,104.369,104.243,104.3895,0.1259999999999906,-0.02049999999999841,1.0,4898.0,3.0,21571.0,-0.09059442828642165,0.1221243121741076,,,
20240515,104.44,104.51,104.525,104.355,114753.0,-10056.0,50495.0,2.0,-2.0,8007.0,-2833.0,3.0,0.0,23553.0,0.0,104.372,104.2675,104.39175,0.1045000000000016,-0.01975000000000193,0.0,5174.0,3.0,23553.0,-0.08763169590337508,0.1149644726916632,,,
20240516,104.27,104.4,104.43,104.245,103407.0,-11346.0,49490.0,2.0,-2.0,10711.0,-3432.0,3.0,0.0,23486.0,0.0,104.383,104.316,104.3845,0.06700000000000728,-0.001500000000007162,0.0,7279.0,3.0,23486.0,-0.10972177898981694,0.1127515236701407,,,
20240517,104.25,104.16,104.28,104.105,91428.0,-11979.0,53694.0,1.0,-2.0,11065.0,-4285.0,3.0,0.0,25329.0,0.0,104.374,104.3295,104.374,0.04449999999998511,0.0,-1.0,6780.0,3.0,25329.0,-0.13102113138207114,0.1319801836613257,,,0.9516
20240520,104.28,104.18,104.31,104.13,126889.0,35461.0,67721.0,2.0,-2.0,10150.0,-3887.0,3.0,0.0,25600.0,0.0,104.341,104.346,104.36475,-0.004999999999995453,-0.02374999999999261,0.0,6263.0,3.0,25600.0,0.2794647290151235,0.088684076198718,,,
20240521,104.21,104.165,104.23,104.11,133790.0,6901.0,52353.0,2.0,-2.0,11654.0,-3720.0,3.0,0.0,24296.0,0.0,104.29,104.3295,104.34475,-0.03949999999998965,-0.05475000000001273,0.0,7934.0,3.0,24296.0,0.05158083563794005,0.1055228506603839,,,
20240522,104.275,104.25,104.29,104.205,140965.0,7175.0,48870.0,2.0,-2.0,11703.0,-4041.0,3.0,0.0,24922.0,0.0,104.257,104.3145,104.32975,-0.05750000000000455,-0.07275000000002763,0.0,7662.0,3.0,24922.0,0.05089915936580002,0.1054347077257781,,,
20240523,104.36,104.35,104.41,104.34,144808.0,3843.0,45356.0,2.0,-2.0,9400.0,-2737.0,3.0,0.0,26587.0,0.0,104.275,104.329,104.3155,-0.05399999999998784,-0.04049999999999443,0.0,6663.0,3.0,26587.0,0.026538589028230485,0.1172985769169895,,,
