,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250227,44834.7146,44689.4406,45028.6323,44637.885,34699.0,289.0,16610.0,0.0,-3.0,84.0,-639.0,1.0,-2.0,442.0,-5216.0,44436.5278,44411.28315,44246.19566,25.24464999999327,190.3321399999986,-3.0,-555.0,-1.0,-4774.0,0.008328770281564311,-0.5628627534666873,0.1727,
20250228,44592.881,44812.7603,44867.7377,44484.9017,33517.0,-1182.0,9406.0,1.0,-2.0,23.0,-298.0,1.0,-2.0,504.0,-5165.0,44525.25108,44424.92742,44290.97897,100.3236600000018,234.2721099999981,-1.0,-275.0,-1.0,-4661.0,-0.03526568606975564,-0.6431396254009669,0.1628,
20250303,44682.2227,44636.9832,44751.9632,44508.9059,33842.0,325.0,6941.0,0.0,-2.0,0.0,-607.0,1.0,-2.0,516.0,-5230.0,44619.17272,44438.8326,44345.83787,180.3401200000008,273.3348499999993,-2.0,-607.0,-1.0,-4714.0,0.009603451332663554,-0.6055463916610844,0.1679,
20250304,44356.375,44620.3367,44686.2842,44302.8882,33551.0,-291.0,9430.0,0.0,-2.0,0.0,-545.0,1.0,-2.0,580.0,-5439.0,44649.6327,44428.18638000001,44359.543795,221.4463199999955,290.0889050000042,-2.0,-545.0,-1.0,-4859.0,-0.008673362940001789,-0.5427155035493493,0.1583,
20250305,44125.13,44400.7847,44419.5754,44066.9965,34468.0,917.0,9073.0,0.0,-1.0,0.0,-417.0,1.0,-2.0,667.0,-5305.0,44518.26466,44402.00006,44386.741835,116.2646000000022,131.522825,-1.0,-417.0,-1.0,-4638.0,0.026604386677497968,-0.6659464746823418,0.1625,
20250306,44552.9084,44173.681,44615.3325,43981.564,36465.0,1997.0,20515.0,0.0,-2.0,0.0,-879.0,1.0,-2.0,1186.0,-5887.0,44461.90342,44449.21561,44407.584235,12.68781000000308,54.31918500000029,-2.0,-879.0,-1.0,-4701.0,0.05476484300013712,-0.5072716742043355,0.1598,
20250307,44185.6253,44506.8969,44551.3724,44156.16,35437.0,-1028.0,8767.0,0.0,-2.0,0.0,-669.0,1.0,-2.0,839.0,-5952.0,44380.45228,44452.85168000001,44397.507355,-72.39940000000206,-17.05507499999658,-2.0,-669.0,-1.0,-5113.0,-0.02900922764342354,-0.6172764600635405,0.1502,
20250310,44028.2039,44301.3148,44366.8083,44010.9026,36252.0,815.0,8122.0,0.0,-2.0,0.0,-669.0,1.0,-2.0,867.0,-5897.0,44249.64852,44434.41062,44363.75709499999,-184.7620999999999,-114.1085749999911,-2.0,-669.0,-1.0,-5030.0,0.02248151826106146,-0.6653690343951317,0.1545,
20250311,44308.6255,44114.7188,44348.5786,44096.9135,36517.0,265.0,8592.0,0.0,-2.0,0.0,-638.0,1.0,-2.0,824.0,-5687.0,44240.09862,44444.86566,44369.008565,-204.7670399999988,-128.9099450000067,-2.0,-638.0,-1.0,-4863.0,0.00725689404934688,-0.5776399331740918,0.1544,
20250312,44220.2547,44311.6171,44397.0465,44098.1987,36697.0,180.0,6602.0,0.0,-2.0,0.0,-614.0,1.0,-2.0,762.0,-5766.0,44259.12356,44388.69411,44366.669295,-129.5705499999967,-107.5457349999997,-2.0,-614.0,-1.0,-5004.0,0.004905033108973485,-0.6063343349689804,0.1466,
20250313,44269.6431,44229.4911,44366.9132,44142.292,36882.0,185.0,6987.0,0.0,-2.0,0.0,-638.0,1.0,-2.0,713.0,-5552.0,44202.4705,44332.18696,44371.735055,-129.716459999996,-169.2645549999943,-2.0,-638.0,-1.0,-4839.0,0.005015996963288325,-0.5870852470610024,0.1474,
20250314,43946.6012,44183.0063,44365.3654,43933.1437,38004.0,1122.0,13010.0,1.0,-1.0,288.0,-353.0,1.0,-2.0,764.0,-5691.0,44154.66568,44267.55898,44346.2432,-112.8933000000034,-191.5775200000062,0.0,-65.0,-1.0,-4927.0,0.029523208083359648,-0.6883171347925938,0.1515,
20250317,43385.1148,44005.9594,44005.9594,43284.9167,41414.0,3410.0,27996.0,1.0,-1.0,118.0,-486.0,1.0,-2.0,1045.0,-5168.0,44026.04786000001,44137.84819,44288.340395,-111.8003299999982,-262.2925349999932,0.0,-368.0,-1.0,-4123.0,0.08233930554884822,-0.6337620225195584,0.1657,
20250318,43189.7453,43444.0133,43552.6843,42647.3214,42960.0,1546.0,38549.0,1.0,-1.0,72.0,-524.0,1.0,-2.0,1019.0,-4045.0,43802.27182,44021.18522,44224.6858,-218.9133999999976,-422.4139799999975,0.0,-452.0,-1.0,-3026.0,0.03598696461824953,-0.6705031397379074,0.1677,
20250319,43555.2279,43187.8577,43585.5853,42847.1567,43541.0,581.0,27664.0,1.0,-1.0,129.0,-717.0,1.0,-2.0,714.0,-3233.0,43669.26646,43964.19501,44183.097535,-294.9285500000042,-513.8310750000019,0.0,-588.0,-1.0,-2519.0,0.013343744975999633,-0.5390558597802136,0.163,
20250320,43603.8165,43523.9269,43873.4368,43278.6887,43133.0,-408.0,30301.0,0.0,-2.0,0.0,-1099.0,1.0,-2.0,891.0,-2272.0,43536.10114,43869.28582,44159.25071499999,-333.1846800000058,-623.1495749999958,-2.0,-1099.0,-1.0,-1381.0,-0.009459114830871954,-0.5177428132091658,0.1769,
20250321,43413.5037,43658.6514,43736.4017,43310.6123,43773.0,640.0,15368.0,1.0,-2.0,0.0,-735.0,1.0,-2.0,848.0,-2189.0,43429.48164,43792.07366,44122.46266999999,-362.5920200000037,-692.9810299999954,-1.0,-735.0,-1.0,-1341.0,0.014620885020446395,-0.5478279683323324,0.1721,
20250324,43532.1447,43490.9032,43624.1215,43321.2026,42481.0,-1292.0,10049.0,0.0,-2.0,0.0,-879.0,1.0,-2.0,824.0,-2692.0,43458.88762000001,43742.46774,44088.43918,-283.5801199999914,-629.5515599999926,-2.0,-879.0,-1.0,-1868.0,-0.030413596666745132,-0.5190123301011363,0.1672,
20250325,43672.9382,43523.0328,43725.6753,43518.0523,41913.0,-568.0,9832.0,0.0,-2.0,0.0,-853.0,1.0,-2.0,962.0,-2842.0,43555.5262,43678.89901,44061.882335,-123.3728100000008,-506.3561350000018,-2.0,-853.0,-1.0,-1880.0,-0.013551881277885144,-0.4792597440049621,0.1583,
20250326,43554.5749,43702.509,43912.7399,43532.1687,42168.0,255.0,14046.0,0.0,-2.0,0.0,-948.0,1.0,-2.0,768.0,-2667.0,43555.3956,43612.33103,44000.51257,-56.93542999999772,-445.1169699999955,-2.0,-948.0,-1.0,-1899.0,0.0060472396129766645,-0.5179218564770991,0.165,
20250327,43629.1581,43645.4364,43726.0299,43519.143,42196.0,28.0,8456.0,0.0,-2.0,0.0,-943.0,1.0,-2.0,844.0,-2508.0,43560.46391999999,43548.28253,43940.234745,12.18138999999064,-379.7708250000069,-2.0,-943.0,-1.0,-1664.0,0.0006635700066357001,-0.4875528876600287,0.1656,
20250328,43553.4355,43631.8075,43726.0099,43453.57,42272.0,76.0,7354.0,0.0,-2.0,0.0,-955.0,1.0,-2.0,490.0,-2220.0,43588.45028,43508.96596,43888.26247,79.48431999999593,-299.8121900000042,-2.0,-955.0,-1.0,-1730.0,0.001797880393641181,-0.5082642135464551,0.1601,
20250331,43363.6189,43547.4383,43547.4383,43255.42,42393.0,121.0,9782.0,0.0,-1.0,0.0,-732.0,1.0,-2.0,435.0,-2451.0,43554.74512,43506.81637,43822.33228,47.92874999999913,-267.5871600000028,-1.0,-732.0,-1.0,-2016.0,0.002854244804566792,-0.5577930567520406,0.1641,0.251798561151079
20250401,43407.855,43396.7909,43500.8206,43258.2305,40962.0,-1431.0,8108.0,0.0,-2.0,0.0,-655.0,1.0,-2.0,423.0,-2762.0,43501.72848000001,43528.62734,43774.90628,-26.89885999999387,-273.1777999999977,-2.0,-655.0,-1.0,-2339.0,-0.03493481763585762,-0.5353655588317001,0.1634,0.24172661870503578
20250402,43539.5031,43386.1793,43606.3907,43328.6006,43549.0,2587.0,13270.0,0.0,-1.0,0.0,-203.0,1.0,-2.0,764.0,-2981.0,43498.71412,43527.05486,43745.624935,-28.34073999999237,-246.9108149999956,-1.0,-203.0,-1.0,-2217.0,0.05940434912397529,-0.5028097084255531,0.164,0.2503597122302159
20250403,43490.4089,43443.6894,43599.9282,43268.3305,48339.0,4790.0,16571.0,0.0,-1.0,0.0,-372.0,1.0,-2.0,948.0,-3735.0,43470.96428,43515.7141,43692.49996,-44.74981999999727,-221.5356800000009,-1.0,-372.0,-1.0,-2787.0,0.09909183061296262,-0.5030782792612893,0.1723,0.36978417266187064
20250407,43114.6384,43052.0572,43454.8463,42800.4399,50697.0,2358.0,26656.0,0.0,-1.0,0.0,-561.0,1.0,-2.0,1243.0,-3621.0,43383.20486000001,43485.82757,43638.950615,-102.622709999996,-255.7457549999963,-1.0,-561.0,-1.0,-2378.0,0.046511627906976744,-0.5708140601327317,0.1906,0.6330935251798561
20250408,42239.0838,43133.9498,43223.1239,40824.1448,55035.0,4338.0,59431.0,0.0,-1.0,0.0,-140.0,1.0,-2.0,1230.0,-2243.0,43158.29784,43356.52148,43549.49461,-198.2236400000038,-391.1967700000023,-1.0,-140.0,-1.0,-1013.0,0.07882256745707278,-0.4597912806103836,0.2417,1.0
20250409,42003.0099,41977.7188,42087.3342,40930.7965,55681.0,646.0,35373.0,0.0,-1.0,0.0,-78.0,2.0,-1.0,996.0,-2605.0,42877.32882,43189.52865000001,43434.21383,-312.199830000005,-556.8850099999981,-1.0,-78.0,1.0,-1609.0,0.011601803128535766,-0.2323782200019116,0.2621,1.0
20250410,41959.0867,42341.3748,42836.9541,41895.2951,57095.0,1414.0,25701.0,0.0,-1.0,0.0,-88.0,2.0,-1.0,115.0,-2750.0,42561.24554,43029.97983,43321.15543,-468.7342900000076,-759.9098900000026,-1.0,-88.0,1.0,-2635.0,0.02476574130834574,0.0348795876943304,0.2327,0.7454545454545454
20250411,41556.6683,41715.1109,41872.6295,41138.838,58835.0,1740.0,32400.0,0.0,-1.0,0.0,-220.0,2.0,-2.0,323.0,-2965.0,42174.49742,42822.73085,43185.50669,-648.2334300000002,-1011.009270000002,-1.0,-220.0,0.0,-2642.0,0.02957423302456021,-0.0639043012193407,0.2436,0.8398268398268399
20250414,41275.2566,41726.1132,41726.1132,41185.6046,62977.0,4142.0,32634.0,0.0,-1.0,0.0,-295.0,1.0,-2.0,299.0,-3273.0,41806.62106,42594.91296,43051.93946,-788.2919000000038,-1245.318400000004,-1.0,-295.0,-1.0,-2974.0,0.06577004303158296,-0.0021606122432036,0.2403,0.8112554112554113
20250415,40161.8842,41270.8048,41284.5499,39850.61,74324.0,11347.0,76523.0,1.0,0.0,322.0,0.0,1.0,-2.0,340.0,-4006.0,41391.18114,42274.73948999999,42890.77793,-883.5583499999921,-1499.596789999996,1.0,322.0,-1.0,-3666.0,0.15266939346644423,0.0827268781229129,0.2671,1.0
20250416,39566.1254,40346.7562,40425.6765,39110.0057,80963.0,6639.0,87723.0,1.0,-1.0,427.0,-777.0,1.0,-2.0,522.0,-3409.0,40903.80424,41890.56653,42709.59693499999,-986.7622899999988,-1805.792694999996,0.0,-350.0,-1.0,-2887.0,0.08200041994491311,0.2054953442001456,0.2872,1.0
20250417,38732.8736,39493.301,39780.5647,38680.9413,87834.0,6871.0,85809.0,1.0,-2.0,214.0,0.0,1.0,-2.0,1300.0,-4356.0,40258.56161999999,41409.90358,42468.47922,-1151.341960000005,-2209.917600000008,-1.0,214.0,-1.0,-3056.0,0.07822711023066238,0.0046692756186066,0.2872,1.0
20250418,37028.1618,38730.6917,38730.6917,36813.1839,108149.0,20315.0,255361.0,1.0,0.0,335.0,0.0,1.0,-2.0,951.0,-6066.0,39352.86032,40763.67887,42139.69648500001,-1410.818549999996,-2786.836165000008,1.0,335.0,-1.0,-5115.0,0.18784269849929264,0.0123191361890032,0.3218,1.0
20250421,37764.2322,37145.6082,38097.5891,36617.7169,115546.0,7397.0,190386.0,1.0,-1.0,718.0,-823.0,1.0,-2.0,2295.0,-4563.0,38650.65544,40228.63825,41857.23291000001,-1577.982810000001,-3206.577470000004,0.0,-105.0,-1.0,-2268.0,0.06401779377910097,0.3571123354797795,0.3391,1.0
20250422,37361.0023,37391.5009,37852.4645,37099.4304,117488.0,1942.0,150387.0,1.0,-1.0,1198.0,-1002.0,1.0,-2.0,3141.0,-3624.0,38090.47906,39740.8301,41548.67578999999,-1650.351040000001,-3458.196729999996,0.0,196.0,-1.0,-483.0,0.01652934767806074,0.3234491755499108,0.3393,1.0
20250423,38384.8697,37613.1619,38571.6566,37454.7948,110904.0,-6584.0,109668.0,1.0,-1.0,447.0,0.0,1.0,-2.0,3531.0,-3550.0,37854.22792,39379.01608,41284.272365,-1524.788160000004,-3430.044445,0.0,447.0,-1.0,-19.0,-0.0593666594532208,0.5265496610279298,0.3016,0.8043591074208614
20250424,38489.5776,38108.6595,38997.5499,37824.4261,108076.0,-2828.0,128463.0,1.0,-1.0,1243.0,-919.0,1.0,-2.0,3745.0,-4330.0,37805.56872,39032.06517,41031.0225,-1226.496449999999,-3225.453779999996,0.0,324.0,-1.0,-585.0,-0.02616677153114475,0.4371532527857985,0.3089,0.8422418266735859
20250425,37697.7216,38495.1504,38523.923,37688.8784,105186.0,-2890.0,114311.0,2.0,-1.0,314.0,-790.0,1.0,-2.0,3919.0,-4916.0,37939.48068,38646.1705,40734.450675,-706.6898199999996,-2794.969994999999,1.0,-476.0,-1.0,-997.0,-0.027475139277090107,0.1408515349648647,0.3318,0.9610793980280228
20250428,37098.6039,37750.1724,37761.4663,37074.2133,106762.0,1576.0,95915.0,1.0,-1.0,222.0,-814.0,1.0,-2.0,3720.0,-3973.0,37806.35502,38228.50523,40411.709095,-422.1502099999998,-2605.354075000003,0.0,-592.0,-1.0,-253.0,0.014761806635319683,0.1545290512881118,0.3279,0.9408406850025949
20250429,36674.5597,37003.5336,37105.9697,36323.6463,112817.0,6055.0,138816.0,0.0,-2.0,0.0,-985.0,1.0,-2.0,4403.0,-4536.0,37669.0665,37879.77278,40077.256135,-210.7062799999985,-2408.189634999995,-2.0,-985.0,-1.0,-133.0,0.05367098930125779,0.0700778590532531,0.307,0.8323819408406851
20250430,36350.076,36554.9223,37218.7487,35995.2311,112407.0,-410.0,152672.0,1.0,-1.0,266.0,0.0,1.0,-2.0,4482.0,-4848.0,37262.10776,37558.16783999999,39724.367185,-296.0600799999957,-2462.259424999997,0.0,266.0,-1.0,-366.0,-0.003647459677778074,0.1304078481202591,0.3065,0.8297872340425532
20250506,35693.0309,36322.0588,36443.0993,35554.5529,114471.0,2064.0,109492.0,1.0,0.0,159.0,0.0,1.0,-2.0,4003.0,-4068.0,36702.79841999999,37254.18357,39332.043575,-551.3851500000092,-2629.245155000011,1.0,159.0,-1.0,-65.0,0.018030767617999318,0.1272508884517663,0.2979,0.7851582771146861
20250507,34869.0717,35905.9615,36550.9577,34831.8597,134864.0,20393.0,180370.0,1.0,0.0,453.0,0.0,1.0,-2.0,3731.0,-6150.0,36137.06844,37038.27456000001,38900.976715,-901.2061200000026,-2763.908274999994,1.0,453.0,-1.0,-2419.0,0.1512115909360541,0.1544210701740291,0.2577,0.5765438505448883
20250508,36027.2161,34783.2263,36464.6077,33752.2138,146053.0,11189.0,557065.0,1.0,-2.0,2119.0,-2721.0,1.0,-2.0,5254.0,-4150.0,35922.79088,36864.57294999999,38546.6056,-941.7820699999938,-2623.814719999995,-1.0,-602.0,-1.0,1104.0,0.07660917612099717,0.3248196885869098,0.4081,1.0
20250509,36325.4413,36495.6404,36901.9346,35623.9195,157717.0,11664.0,537401.0,1.0,-2.0,1359.0,-3589.0,1.0,-2.0,6439.0,-4092.0,35852.9672,36761.01685,38250.923475,-908.0496500000008,-2397.956275000004,-1.0,-2230.0,-1.0,2347.0,0.0739552489585777,0.7270254728126665,0.3822,0.9009560229445506
20250512,37088.8914,36614.7522,37292.6764,35694.2805,163048.0,5331.0,444164.0,0.0,-3.0,0.0,-3384.0,2.0,-1.0,8870.0,-933.0,36000.73028,36631.41902,38005.21754999999,-630.6887399999978,-2004.487269999991,-3.0,-3384.0,1.0,7937.0,0.03269589323389431,0.6754464324015376,0.3332,0.7135755258126194
20250513,37197.1629,36835.0508,38316.8855,36394.4664,159208.0,-3840.0,553569.0,1.0,-2.0,0.0,-2435.0,1.0,-2.0,8511.0,-2588.0,36301.55668,36502.17755,37767.12136,-200.6208699999988,-1465.564680000003,-1.0,-2435.0,-1.0,5923.0,-0.02411939098537762,0.3595520321090884,0.3301,0.7017208413001912
20250514,37635.4066,37536.4986,37882.9148,36674.4155,155443.0,-3765.0,397151.0,1.0,-2.0,165.0,-1222.0,1.0,-2.0,5957.0,-2418.0,36854.82365999999,36495.94605,37571.058275,358.8776099999959,-716.2346150000085,-1.0,-1057.0,-1.0,3539.0,-0.024221097122417865,0.1135516516215907,0.3171,0.6520076481835563
