,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,2133.4443,2061.2798,2134.5281,2061.2798,284714.0,19625.0,311256.0,3.0,0.0,10610.0,0.0,2.0,-1.0,8074.0,-3721.0,2080.53442,2062.77397,2004.286285,17.76045000000022,76.24813500000027,3.0,10610.0,1.0,4353.0,0.06892881979811319,0.8346721162756764,,,
20240507,2121.7925,2140.3665,2182.8298,2118.0183,281297.0,-3417.0,405509.0,2.0,0.0,9100.0,0.0,2.0,-1.0,7989.0,-2829.0,2089.12666,2070.89428,2016.229945,18.23237999999992,72.89671499999963,2.0,9100.0,1.0,5160.0,-0.012147303383967835,0.8055294953756524,,,
20240508,2114.22,2116.7207,2119.5608,2091.5886,284965.0,3668.0,270925.0,2.0,0.0,9882.0,0.0,2.0,-1.0,6290.0,-103.0,2098.973,2075.29355,2026.67071,23.67945000000009,72.30229000000008,2.0,9882.0,1.0,6187.0,0.012871756180583581,0.7714480405743277,,,
20240509,2113.5515,2124.0142,2137.896,2101.0801,287218.0,2253.0,240194.0,3.0,0.0,14882.0,0.0,3.0,-2.0,1121.0,0.0,2106.7043,2082.19139,2036.02611,24.51290999999992,70.67818999999986,3.0,14882.0,1.0,1121.0,0.00784421589176166,0.8078365894760431,,,
20240510,2080.9453,2123.9836,2132.4592,2078.5486,281963.0,-5255.0,306156.0,2.0,0.0,7698.0,0.0,2.0,-1.0,7428.0,-2416.0,2112.79072,2088.89307,2045.59835,23.89764999999989,67.19236999999976,2.0,7698.0,1.0,5012.0,-0.01863719707904938,0.8286956573715842,,,0.2857
20240513,2132.7922,2104.2209,2136.6799,2100.696,290306.0,8343.0,240422.0,3.0,-1.0,6148.0,0.0,2.0,-1.0,7378.0,-3236.0,2112.6603,2096.59736,2056.027775,16.06294000000025,56.63252500000044,2.0,6148.0,1.0,4142.0,0.028738641295736223,0.8229645035880618,,,
20240514,2123.2705,2143.5256,2151.2573,2107.9099,285357.0,-4949.0,263598.0,2.0,-1.0,3066.0,0.0,2.0,-1.0,1631.0,-2272.0,2112.9559,2101.04128,2067.224355,11.91462000000001,45.7315450000001,1.0,3066.0,1.0,-641.0,-0.017343187656164032,0.921605606005452,,,
20240515,2120.6853,2122.948,2134.8499,2105.429,282386.0,-2971.0,195711.0,3.0,0.0,11449.0,0.0,2.0,-1.0,2214.0,-1502.0,2114.24896,2106.61098,2073.45575,7.63797999999997,40.79320999999982,3.0,11449.0,1.0,712.0,-0.01052105982591205,0.9511242493572256,,,
20240516,2109.9182,2138.5422,2141.0657,2097.968,279447.0,-2939.0,232514.0,3.0,0.0,12414.0,0.0,1.0,-2.0,1701.0,-2454.0,2113.5223,2110.1133,2079.09673,3.409000000000106,34.42556999999988,3.0,12414.0,-1.0,-753.0,-0.010517200041510555,1.0466930316506429,,,
20240517,2124.7146,2125.9634,2166.6367,2115.2417,284463.0,5016.0,372857.0,4.0,0.0,17136.0,0.0,1.0,-3.0,1135.0,-7164.0,2122.27616,2117.53344,2084.967875,4.742719999999736,37.30828499999961,4.0,17136.0,-2.0,-6029.0,0.017633224707606966,1.030479687631317,,,0.1875
20240520,2227.521,2129.9531,2228.2817,2084.8398,296282.0,11819.0,651636.0,3.0,0.0,9453.0,0.0,1.0,-3.0,422.0,-5353.0,2141.22192,2126.94111,2094.85754,14.2808100000002,46.36437999999998,3.0,9453.0,-2.0,-4931.0,0.03989104974315011,0.9832126884243384,,,
20240521,2176.6699,2225.7239,2240.2332,2158.6414,280202.0,-16080.0,420338.0,3.0,0.0,13965.0,0.0,0.0,-3.0,0.0,-13468.0,2151.9018,2132.42885,2101.661565,19.47295000000031,50.24023500000021,3.0,13965.0,-3.0,-13468.0,-0.05738717068400654,0.8057263593298093,,,
20240522,2184.0313,2187.187,2225.1831,2179.9409,284740.0,4538.0,358021.0,3.0,0.0,16514.0,0.0,1.0,-3.0,0.0,-11866.0,2164.571,2139.40998,2107.351765,25.16102000000001,57.21923500000003,3.0,16514.0,-2.0,-11866.0,0.015937346351057105,0.7768720656086814,,,
20240523,2166.0293,2170.2971,2185.1267,2147.0562,281538.0,-3202.0,273520.0,4.0,0.0,18786.0,0.0,0.0,-3.0,0.0,-11135.0,2175.79322,2144.65776,2113.424575,31.13545999999997,62.36864500000001,4.0,18786.0,-3.0,-11135.0,-0.011373242688375992,0.7416748123908498,,,
20240524,2187.1885,2164.7271,2213.0183,2164.7271,282903.0,1365.0,327909.0,3.0,0.0,13873.0,0.0,1.0,-3.0,0.0,-10015.0,2188.288,2155.28208,2122.087575,33.00592000000006,66.200425,3.0,13873.0,-2.0,-10015.0,0.004824975344906205,0.7561626613671024,,,0.1719
20240527,2179.0542,2191.8838,2195.1912,2167.3679,282201.0,-702.0,232243.0,3.0,0.0,13256.0,0.0,1.0,-3.0,0.0,-13048.0,2178.59464,2159.90828,2128.25282,18.68636000000015,50.3418200000001,3.0,13256.0,-2.0,-13048.0,-0.002487588633633474,0.7081079400025572,,,
20240528,2177.0557,2194.8047,2207.8923,2174.1526,277164.0,-5037.0,255465.0,3.0,0.0,12624.0,0.0,1.0,-3.0,0.0,-12616.0,2178.6718,2165.2868,2133.16404,13.38499999999976,45.50775999999996,3.0,12624.0,-2.0,-12616.0,-0.018173355847079707,0.7082316324508621,,,
20240529,2191.7578,2159.5266,2199.5776,2153.646,282748.0,5584.0,213739.0,3.0,0.0,12908.0,0.0,1.0,-3.0,0.0,-8048.0,2180.2171,2172.39405,2139.502515,7.823050000000421,40.71458500000017,3.0,12908.0,-2.0,-8048.0,0.019749034475929097,0.7625015086264092,,,
20240530,2175.0078,2208.0034,2220.4224,2170.4482,280646.0,-2102.0,280970.0,3.0,0.0,12177.0,0.0,0.0,-3.0,0.0,-9589.0,2182.0128,2178.90301,2144.508155,3.109789999999975,37.50464499999998,3.0,12177.0,-3.0,-9589.0,-0.007489862673973618,0.7582387878012613,,,
20240531,2165.3606,2169.01,2184.8813,2151.5181,268483.0,-12163.0,217011.0,3.0,0.0,13212.0,0.0,1.0,-3.0,0.0,-5601.0,2177.64722,2182.96761,2150.250525,-5.320390000000316,27.39669499999991,3.0,13212.0,-2.0,-5601.0,-0.04530268210650209,0.7770722510108239,,,0.1875
20240603,2107.6445,2142.7192,2143.978,2099.7917,255131.0,-13352.0,280872.0,3.0,0.0,11217.0,0.0,2.0,-2.0,1574.0,-1308.0,2163.36528,2170.97996,2148.960535,-7.614680000000135,14.40474499999937,3.0,11217.0,0.0,266.0,-0.05233389905577919,0.9877468671407296,,,
20240604,2160.835,2119.0881,2177.3684,2111.8467,255471.0,340.0,366098.0,2.0,0.0,4442.0,0.0,2.0,-1.0,6373.0,-467.0,2160.12114,2169.39647,2150.91266,-9.27532999999994,9.208480000000236,2.0,4442.0,1.0,5906.0,0.001330875128683882,1.062805399799427,,,
20240605,2174.3953,2180.0532,2192.7815,2165.2214,257949.0,2478.0,271423.0,3.0,0.0,8416.0,0.0,2.0,-2.0,5601.0,-1055.0,2156.64864,2168.43287,2153.921425,-11.78422999999975,2.727215000000797,3.0,8416.0,0.0,4546.0,0.009606550132002838,0.9473822073955191,,,
20240606,2140.1321,2168.489,2169.0669,2129.927,256865.0,-1084.0,292946.0,2.0,0.0,8107.0,0.0,1.0,-2.0,4655.0,-3956.0,2149.6735,2165.84315,2155.250455,-16.16964999999982,-5.576955000000453,2.0,8107.0,-1.0,699.0,-0.004220115624939171,1.0399980298145202,,,
20240607,2115.8796,2169.78,2176.3594,2115.3333,270438.0,13573.0,293695.0,3.0,0.0,14608.0,0.0,1.0,-2.0,2589.0,-5407.0,2139.7773,2158.71226,2156.99717,-18.93495999999959,-17.2198699999999,3.0,14608.0,-1.0,-2818.0,0.05018895273593208,1.071571904449396,,,0.2344
20240611,2064.1702,2083.5911,2094.9653,2061.8328,281183.0,10745.0,273932.0,3.0,0.0,17082.0,0.0,2.0,-2.0,1403.0,-2449.0,2131.08244,2147.22386,2153.56607,-16.14141999999993,-22.48362999999972,3.0,17082.0,0.0,-1046.0,0.038213547760710995,1.0881119450770091,,,
20240612,2047.5387,2055.012,2068.0508,2047.4003,290782.0,9599.0,187401.0,3.0,0.0,15839.0,0.0,2.0,-1.0,359.0,-1744.0,2108.42318,2134.27216,2149.77948,-25.84897999999976,-41.35629999999992,3.0,15839.0,1.0,-1385.0,0.03301098417371089,1.1358973505389602,,,
20240613,2032.8779,2038.2181,2047.5205,2025.4287,290317.0,-465.0,183734.0,3.0,0.0,13311.0,0.0,2.0,-1.0,1586.0,-1952.0,2080.1197,2118.38417,2145.38911,-38.26447000000007,-65.26940999999943,3.0,13311.0,1.0,-366.0,-0.0016016974548510765,1.1483580738439418,,,
20240614,2078.9287,2040.1072,2080.5591,2039.1693,276797.0,-13520.0,282781.0,3.0,0.0,11280.0,0.0,3.0,-3.0,0.0,-1877.0,2067.87902,2108.77626,2143.839635,-40.89723999999978,-75.9606149999995,3.0,11280.0,0.0,-1877.0,-0.048844460019436625,0.9415868894331624,,,0.375
20240617,2076.0325,2079.4016,2086.8853,2057.0251,275277.0,-1520.0,245214.0,3.0,0.0,11222.0,0.0,3.0,-2.0,0.0,-1565.0,2059.9096,2099.84345,2141.40553,-39.93384999999989,-81.49593000000004,3.0,11222.0,1.0,-1565.0,-0.005521710858517058,1.0986893247008234,,,
20240618,2057.9199,2086.7239,2091.9463,2049.7639,265104.0,-10173.0,247665.0,3.0,0.0,12509.0,0.0,2.0,-2.0,2380.0,-2098.0,2058.65954,2094.87099,2132.925475,-36.2114500000007,-74.26593500000035,3.0,12509.0,0.0,282.0,-0.038373619409741086,0.8480516990590711,,,
20240619,2049.8896,2064.9797,2076.5308,2047.9988,269068.0,3964.0,202894.0,3.0,0.0,12786.0,0.0,2.0,-2.0,3065.0,-1517.0,2059.12972,2083.77645,2126.58646,-24.64672999999993,-67.45674000000008,3.0,12786.0,0.0,1548.0,0.014732335320439443,0.8351376692918522,,,
20240620,2066.3931,2049.4412,2071.4248,2044.6763,265832.0,-3236.0,170856.0,3.0,0.0,12043.0,0.0,2.0,-1.0,4587.0,-2107.0,2065.83276,2072.97623,2120.70455,-7.143469999999979,-54.87179000000015,3.0,12043.0,1.0,2480.0,-0.012173101808661109,0.8402776197966336,,,
