,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250228,17750.5751,17782.4413,17814.1354,17593.969,234217.0,-946.0,376818.0,2.0,-1.0,3912.0,-541.0,2.0,-2.0,1686.0,-12009.0,17748.66922,17817.23114,17674.619745,-68.56191999999646,74.0494749999998,1.0,3371.0,0.0,-10323.0,-0.004038989484110888,-0.8008734959113707,0.1869,0.1922330097087382
20250303,17795.2832,17819.5242,17902.9234,17708.9231,236574.0,2357.0,382258.0,1.0,0.0,3548.0,0.0,2.0,-2.0,1669.0,-11627.0,17721.22036,17812.45489,17691.439325,-91.23453000000154,29.78103499999997,1.0,3548.0,0.0,-9958.0,0.009963055957121238,-0.8265487503891737,0.1855,0.16504854368932048
20250304,17714.7553,17813.5778,17918.8932,17688.0788,238052.0,1478.0,457420.0,1.0,0.0,4208.0,0.0,2.0,-2.0,786.0,-12717.0,17725.79036,17793.43073,17703.226505,-67.64036999999735,22.56385500000397,1.0,4208.0,0.0,-11931.0,0.006208727504914893,-0.840591262102602,0.182,0.09708737864077675
20250305,17426.2792,17660.5932,17660.5932,17325.73,242376.0,4324.0,498325.0,2.0,0.0,6549.0,0.0,1.0,-3.0,348.0,-15196.0,17682.83312,17754.66381,17719.66428,-71.8306900000025,-36.83116000000155,2.0,6549.0,-2.0,-14848.0,0.017840050169983825,-0.8625528606709385,0.1779,0.017475728155340032
20250306,17612.5611,17462.4518,17622.2872,17276.6128,233651.0,-8725.0,478291.0,2.0,0.0,5669.0,0.0,2.0,-2.0,4065.0,-8100.0,17659.89078,17717.54389,17734.309855,-57.65310999999929,-74.41907499999797,2.0,5669.0,0.0,-4035.0,-0.03734201865174983,-0.9033430643362896,0.1767,0.0
20250307,17431.1465,17628.6408,17641.5657,17393.3976,232344.0,-1307.0,420519.0,2.0,0.0,5767.0,0.0,1.0,-2.0,1701.0,-11160.0,17596.00506,17672.33714,17729.37507,-76.3320799999965,-133.3700099999987,2.0,5767.0,-1.0,-9459.0,-0.0056252797576007985,-0.8099105951132689,0.1771,0.007722007722007942
20250310,17152.9095,17367.5061,17370.3066,17108.121,243595.0,11251.0,445746.0,2.0,0.0,6708.0,0.0,1.0,-2.0,751.0,-14442.0,17467.53032,17594.37534,17709.63237,-126.8450200000043,-242.1020500000013,2.0,6708.0,-1.0,-13691.0,0.0461873191157454,-0.9201292742743248,0.1811,0.08494208494208522
20250311,17206.2085,17122.9706,17234.7635,16982.6105,241973.0,-1622.0,376226.0,2.0,0.0,6737.0,0.0,1.0,-2.0,666.0,-13418.0,17365.82096,17545.80566,17698.957815,-179.9847000000009,-333.136854999997,2.0,6737.0,-1.0,-12752.0,-0.0067032272195658195,-0.8426591032913492,0.1723,0.0
20250312,17309.2114,17274.6577,17407.3313,17141.3914,236779.0,-5194.0,433572.0,2.0,0.0,6232.0,0.0,1.0,-3.0,0.0,-12618.0,17342.4074,17512.62026,17671.68521,-170.2128599999996,-329.2778099999996,2.0,6232.0,-2.0,-12618.0,-0.021936066965398113,-0.9049494701214224,0.1762,0.08041237113402036
20250313,17145.6107,17346.7964,17348.4036,17093.6919,237945.0,1166.0,362822.0,2.0,0.0,7023.0,0.0,1.0,-3.0,0.0,-14139.0,17249.01732,17454.45405,17646.823255,-205.4367300000013,-397.8059350000003,2.0,7023.0,-2.0,-14139.0,0.004900292084305196,-0.8050152500396557,0.1722,0.0
20250314,17252.7203,17117.6964,17278.2542,17092.9584,235196.0,-2749.0,357928.0,2.0,0.0,5776.0,0.0,1.0,-2.0,230.0,-13127.0,17213.33208,17404.66857,17610.949855,-191.3364900000015,-397.6177749999988,2.0,5776.0,-1.0,-12897.0,-0.011688123947686185,-0.8701113214281556,0.1704,0.0
20250317,16990.1032,17241.0703,17244.8913,16928.4385,246018.0,10822.0,510183.0,2.0,0.0,7683.0,0.0,1.0,-2.0,0.0,-14968.0,17180.77082,17324.15057,17568.30273,-143.3797500000037,-387.5319100000015,2.0,7683.0,-1.0,-14968.0,0.04398865123690136,-0.7164165790501172,0.1696,0.0
20250318,17038.971,16982.1818,17069.0804,16914.8288,242296.0,-3722.0,283059.0,2.0,0.0,7335.0,0.0,1.0,-2.0,614.0,-15531.0,17147.32332,17256.57214,17525.001435,-109.2488200000007,-377.6781150000024,2.0,7335.0,-1.0,-14917.0,-0.015361376167992867,-0.850518146082705,0.1674,0.0
20250319,16945.3047,17061.4322,17087.6688,16891.9592,244755.0,2459.0,291349.0,2.0,0.0,6782.0,0.0,1.0,-2.0,0.0,-17822.0,17074.54198,17208.47469,17481.56925,-133.9327099999973,-407.0272699999987,2.0,6782.0,-1.0,-17822.0,0.010046781475352904,-0.8468250333064639,0.1657,0.0
20250320,17138.4239,16951.0781,17145.269,16721.6719,246860.0,2105.0,505724.0,2.0,-1.0,3986.0,0.0,1.0,-2.0,866.0,-13730.0,17073.10462,17161.06097,17439.30243,-87.95634999999675,-366.1978099999978,1.0,3986.0,-1.0,-12864.0,0.00852710038078263,-0.8485012979541691,0.1761,0.22608695652173952
20250321,17041.3244,17101.8899,17135.0485,17007.8459,238516.0,-8344.0,303788.0,2.0,0.0,7654.0,0.0,1.0,-3.0,0.0,-13033.0,17030.82544,17122.07876,17397.20795,-91.25331999999617,-366.3825099999995,2.0,7654.0,-2.0,-13033.0,-0.03498297808113502,-0.8119932927042405,0.1736,0.17173913043478295
20250324,17194.245,17023.3004,17207.5549,16990.3732,235101.0,-3415.0,294843.0,2.0,0.0,7027.0,0.0,0.0,-3.0,0.0,-12091.0,17071.6538,17126.21231,17360.293825,-54.55850999999893,-288.6400250000006,2.0,7027.0,-3.0,-12091.0,-0.014525671945249063,-0.7394726242141428,0.1856,0.4326086956521738
20250325,17202.0738,17196.1069,17304.0405,17152.2136,225174.0,-9927.0,307047.0,2.0,0.0,6942.0,0.0,1.0,-2.0,440.0,-11296.0,17104.27436,17125.79884,17335.80225,-21.52448000000004,-231.5278899999976,2.0,6942.0,-1.0,-10856.0,-0.04408590689866503,-0.8275393799931955,0.1719,0.13478260869565237
20250326,17010.9209,17203.47,17257.9435,17004.1907,227078.0,1904.0,293201.0,2.0,0.0,5768.0,0.0,1.0,-2.0,565.0,-12894.0,17117.3976,17095.96979,17304.295025,21.42781000000105,-186.8974249999992,2.0,5768.0,-1.0,-12329.0,0.008384784083002316,-0.8471536064381726,0.1688,0.06739130434782649
20250327,17079.4161,17020.7186,17124.5991,16943.4198,224967.0,-2111.0,275273.0,2.0,0.0,7150.0,0.0,1.0,-2.0,840.0,-11695.0,17105.59604,17089.35033,17271.90219,16.24570999999924,-166.3061500000003,2.0,7150.0,-1.0,-10855.0,-0.009383598483333111,-0.8408984922872443,0.1641,0.0
20250328,16780.1792,17078.7362,17172.7551,16742.0188,235213.0,10246.0,449190.0,2.0,0.0,5271.0,0.0,0.0,-3.0,0.0,-16688.0,17053.367,17042.09622,17223.382395,11.27078000000256,-170.0153949999985,2.0,5271.0,-3.0,-16688.0,0.04356051748840413,-0.8068648502126274,0.1662,0.04411764705882333
20250331,16681.5245,16794.413,16903.4532,16656.9429,229274.0,-5939.0,398402.0,2.0,0.0,4481.0,0.0,1.0,-2.0,185.0,-14416.0,16950.8229,17011.23835,17167.69446,-60.41545000000042,-216.8715599999996,2.0,4481.0,-1.0,-14231.0,-0.025903504104259532,-0.8852064207554883,0.1764,0.2584033613445379
20250401,16718.5979,16682.3807,16749.2515,16507.2349,226120.0,-3154.0,349173.0,2.0,0.0,4659.0,0.0,1.0,-2.0,839.0,-13814.0,16854.12772,16979.20104,17117.88659,-125.0733200000032,-263.7588700000051,2.0,4659.0,-1.0,-12975.0,-0.013948346010967628,-0.8949103751326685,0.1603,0.0
20250402,16854.4903,16736.1275,16866.2455,16717.3042,216884.0,-9236.0,279829.0,2.0,0.0,4281.0,0.0,1.0,-2.0,2349.0,-10581.0,16822.8416,16970.1196,17089.297145,-147.2779999999984,-266.4555449999971,2.0,4281.0,-1.0,-8232.0,-0.042584976300695306,-0.8389206126586933,0.1673,0.1361867704280157
