,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250311,3202.2973,3209.7464,3225.9009,3187.6427,292315.0,253.0,135181.0,3.0,-1.0,14978.0,-4929.0,0.0,-3.0,0.0,-30609.0,3257.8733,3309.28344,3355.976369999999,-51.41013999999996,-98.1030699999992,2.0,10049.0,-3.0,-30609.0,0.0008655046781725193,-0.4047560781641971,0.2198,0.14720194647201948
20250312,3182.0287,3205.0231,3235.2366,3168.1933,306784.0,14469.0,182920.0,3.0,-1.0,16690.0,-4614.0,0.0,-3.0,0.0,-33879.0,3234.8075,3292.61423,3345.768355,-57.80673000000024,-110.9608550000003,2.0,12076.0,-3.0,-33879.0,0.04716347658287264,-0.4050156806383532,0.2274,0.19343065693430656
20250313,3151.9296,3191.0191,3191.1649,3144.3976,324186.0,17402.0,158002.0,3.0,-1.0,15885.0,-7055.0,0.0,-3.0,0.0,-37516.0,3205.490479999999,3268.92843,3335.4266,-63.43795000000046,-129.9361200000008,2.0,8830.0,-3.0,-37516.0,0.053679060786091935,-0.3730586594857051,0.2183,0.1380778588807786
20250314,3163.1936,3150.735,3169.3315,3123.7054,325394.0,1208.0,187344.0,3.0,-1.0,17394.0,-7695.0,0.0,-3.0,0.0,-38346.0,3181.45264,3248.34154,3327.010505,-66.88890000000038,-145.5578649999998,2.0,9699.0,-3.0,-38346.0,0.00371242247859518,-0.362625866771236,0.2179,0.13564476885644777
20250317,3119.7317,3161.7765,3167.0262,3110.5822,340137.0,14743.0,168711.0,3.0,-1.0,19708.0,-7693.0,0.0,-3.0,0.0,-43223.0,3163.83618,3224.91497,3312.52764,-61.07879000000048,-148.6914600000005,2.0,12015.0,-3.0,-43223.0,0.043344299502847385,-0.2639648596074925,0.2247,0.17700729927007308
20250318,3088.7062,3118.0135,3130.2971,3087.389,352059.0,11922.0,134514.0,3.0,-1.0,20449.0,-7426.0,0.0,-3.0,0.0,-45335.0,3141.11796,3199.49563,3295.21298,-58.37766999999985,-154.0950200000002,2.0,13023.0,-3.0,-45335.0,0.03386364217361294,-0.27752797535142,0.2189,0.14172749391727504
20250319,3031.7849,3092.6578,3092.6578,3018.0533,358501.0,6442.0,214164.0,3.0,-1.0,19819.0,-7309.0,0.0,-3.0,0.0,-45962.0,3111.0692,3172.93835,3275.97744,-61.86914999999954,-164.9082399999998,2.0,12510.0,-3.0,-45962.0,0.017969266473454745,-0.3514318570262036,0.2182,0.13746958637469592
20250320,3007.5356,3036.2072,3039.8454,2977.8603,354131.0,-4370.0,311736.0,3.0,-1.0,18332.0,-7952.0,0.0,-3.0,0.0,-41298.0,3082.1904,3143.84044,3253.11642,-61.65003999999954,-170.9260199999994,2.0,10380.0,-3.0,-41298.0,-0.01234006624667143,-0.4278102763651524,0.2278,0.1958637469586375
20250321,3034.648,3007.9888,3054.4391,2994.9995,355202.0,1071.0,339619.0,3.0,-1.0,14569.0,-9240.0,1.0,-3.0,0.0,-42255.0,3056.48128,3118.96696,3233.36813,-62.48568000000023,-176.8868499999999,2.0,5329.0,-2.0,-42255.0,0.003015185725305601,-0.3918113466306975,0.2212,0.1557177615571777
20250324,3082.9616,3032.1416,3102.9291,3026.0505,349777.0,-5425.0,362885.0,3.0,-1.0,13340.0,-9910.0,1.0,-3.0,0.0,-42580.0,3049.12726,3106.48172,3217.35615,-57.35446000000002,-168.2288899999999,2.0,3430.0,-2.0,-42580.0,-0.015509882010538142,-0.3419962220349964,0.2034,0.047445255474452566
20250325,3074.9206,3086.0733,3123.1107,3053.5253,367453.0,17676.0,358319.0,3.0,-1.0,13748.0,-8894.0,0.0,-3.0,0.0,-43583.0,3046.37014,3093.74405,3201.513745,-47.37391000000025,-155.1436049999998,2.0,4854.0,-3.0,-43583.0,0.04810411127409492,-0.3494395524743163,0.2005,0.029805352798053623
20250326,3116.4495,3073.9903,3127.3347,3072.2351,355594.0,-11859.0,297054.0,3.0,-1.0,7727.0,-8913.0,0.0,-3.0,0.0,-39942.0,3063.30306,3087.18613,3189.90018,-23.88306999999986,-126.5971199999999,2.0,-1186.0,-3.0,-39942.0,-0.033349831549463714,-0.3330567960061996,0.1971,0.009124087591240884
20250327,3068.6648,3116.236,3120.7581,3060.7045,376781.0,21187.0,266700.0,3.0,-1.0,14058.0,-9635.0,0.0,-3.0,0.0,-46612.0,3075.5289,3078.85965,3173.89404,-3.330749999999625,-98.36513999999988,2.0,4423.0,-3.0,-46612.0,0.05623160403523532,-0.3296404214580062,0.2006,0.030413625304136282
20250328,3045.011,3063.0722,3074.395,3037.9837,380490.0,3709.0,231391.0,3.0,-1.0,16526.0,-9162.0,0.0,-3.0,0.0,-49163.0,3077.6015,3067.04139,3157.691465,10.56011000000035,-80.08996499999967,2.0,7364.0,-3.0,-49163.0,0.00974795658230177,-0.3404413709901054,0.2046,0.05474452554744531
20250331,2956.2974,3046.046,3046.6998,2947.4939,401964.0,21474.0,339924.0,3.0,-1.0,22229.0,-8387.0,0.0,-3.0,0.0,-51390.0,3052.26866,3050.69796,3137.806465,1.570699999999761,-85.53780499999993,2.0,13842.0,-3.0,-51390.0,0.053422694569662955,-0.4737257069154816,0.2177,0.1344282238442823
20250401,2971.3579,2956.8552,2988.0907,2942.8282,396954.0,-5010.0,287639.0,3.0,-1.0,21414.0,-7940.0,0.0,-3.0,0.0,-51750.0,3031.55612,3038.96313,3119.22938,-7.407010000000355,-87.67326000000048,2.0,13474.0,-3.0,-51750.0,-0.012621109750751976,-0.4243186986524963,0.2122,0.10097323600973239
20250402,2911.1015,2966.7019,2994.6571,2898.0863,442168.0,45214.0,382161.0,3.0,-1.0,24001.0,-4783.0,0.0,-3.0,0.0,-53940.0,2990.48652,3026.89479,3099.91657,-36.4082699999999,-109.4300500000004,2.0,19218.0,-3.0,-53940.0,0.10225525139765881,-0.463049653903705,0.2286,0.2007299270072993
