,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,2698.1746,2659.488,2705.7405,2645.3792,27905.0,-172.0,29690.0,3.0,0.0,2465.0,0.0,1.0,-2.0,0.0,-862.0,2574.2882,2545.46033,2503.995415,28.82787000000008,70.2927850000001,2523.622048730159,2493.957551944444,57253.4,,,3.0,2465.0,-1.0,-862.0,-0.006163769933703637,-0.8103743800964202,,,0.6613
20240507,2712.2256,2691.8491,2720.8145,2691.8491,29086.0,1181.0,42213.0,3.0,0.0,2318.0,0.0,2.0,-1.0,0.0,-712.0,2615.42794,2566.05425,2515.58742,49.3736899999999,99.8405200000002,2543.323791587302,2499.640685055555,53062.3,,,3.0,2318.0,1.0,-712.0,0.04060372687891082,-0.9778768200729044,,,0.6774
20240508,2759.5742,2715.5754,2785.1765,2702.8125,30747.0,1661.0,79385.0,3.0,0.0,1602.0,0.0,1.0,-3.0,0.0,-1935.0,2665.01002,2591.78237,2528.93997,73.22765000000027,136.0700499999998,2566.062796984128,2507.853256087302,54001.1,95262.0,,3.0,1602.0,-2.0,-1935.0,0.054021530555826584,-1.0634145373121484,,,0.6774
20240509,2771.0137,2762.1731,2804.6426,2743.2979,32978.0,2231.0,85596.0,3.0,-1.0,1706.0,-335.0,0.0,-3.0,0.0,-2300.0,2718.58732,2614.10474,2545.523405,104.4825799999999,173.0639149999993,2589.409432857143,2518.195327793651,56154.3,102715.2,,2.0,1371.0,-3.0,-2300.0,0.06765116138031414,-0.7529517846332598,,,0.8871
20240510,2773.8013,2784.2695,2784.2695,2739.655,32099.0,-879.0,50066.0,3.0,0.0,1661.0,0.0,1.0,-3.0,0.0,-1627.0,2742.95788,2638.53624,2563.419025,104.42164,179.5388549999998,2610.991745714286,2530.404684531746,56776.0,,,3.0,1661.0,-2.0,-1627.0,-0.027384030655160596,-1.1038885517731043,,,0.8226
20240513,2780.3081,2775.5452,2814.4675,2751.748,33618.0,1519.0,90810.0,3.0,0.0,1901.0,0.0,0.0,-3.0,0.0,-2456.0,2759.38458,2666.83639,2577.472735,92.54819000000043,181.9118450000005,2632.405716031745,2544.705579015873,60570.4,108972.0,,3.0,1901.0,-3.0,-2456.0,0.04518412755071688,-1.1084865573424472,,,0.8226
20240514,2755.8325,2779.6794,2797.6499,2744.2119,33265.0,-353.0,50641.0,3.0,0.0,2052.0,0.0,0.0,-3.0,0.0,-2899.0,2768.10596,2691.76695,2592.92405,76.33900999999969,175.1819099999998,2650.567180952381,2560.759954325397,60670.6,,,3.0,2052.0,-3.0,-2899.0,-0.010611754095896589,-1.1281028496262486,,,0.8226
20240515,2773.8682,2755.9626,2794.8774,2747.6855,34606.0,1341.0,51288.0,3.0,0.0,1660.0,0.0,0.0,-3.0,0.0,-3503.0,2770.96476,2717.98739,2608.6824,52.97737000000006,162.2823599999997,2667.578330317461,2578.299927,62332.7,,,3.0,1660.0,-3.0,-3503.0,0.03875050569265445,-1.1192160013471446,,,0.8065
20240516,2779.4185,2771.2488,2783.3472,2751.0085,34211.0,-395.0,46105.0,3.0,0.0,1729.0,0.0,0.0,-3.0,0.0,-3182.0,2772.64572,2745.61652,2623.23946,27.02919999999949,149.4062600000002,2683.933869841268,2597.306664357143,58907.0,,,3.0,1729.0,-3.0,-3182.0,-0.011545993978544913,-1.1344748577791106,,,0.7581
20240517,2796.9844,2783.0679,2823.4094,2775.783,35129.0,918.0,59278.0,4.0,0.0,1819.0,0.0,0.0,-3.0,0.0,-3261.0,2777.28234,2760.12011,2641.4003,17.16223000000036,135.88204,2700.501879682539,2616.839679269841,58507.2,,,4.0,1819.0,-3.0,-3261.0,0.026132255401520112,-1.2478645169394895,,,0.6774
