,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,7017.3076,7030.9316,7106.6514,6968.3213,391032.0,15032.0,422731.0,2.0,0.0,12487.0,0.0,1.0,-2.0,504.0,-16153.0,6915.463860000001,6836.99442,6702.12331,78.46944000000076,213.3405500000008,2.0,12487.0,-1.0,-15649.0,0.03844186665029972,-0.3194602101195644,,,0.2097
20240507,7043.123,7075.1592,7102.2168,6987.0605,404343.0,13311.0,359442.0,2.0,0.0,13086.0,0.0,1.0,-3.0,0.0,-17484.0,6954.36278,6865.455500000001,6729.622574999999,88.90727999999945,224.740205000001,2.0,13086.0,-2.0,-17484.0,0.03292007033632337,-0.3016608350386863,,,0.1935
20240508,7020.6445,7040.5747,7166.0259,6976.0605,406551.0,2208.0,562041.0,3.0,0.0,20383.0,0.0,1.0,-2.0,0.0,-12917.0,6991.18406,6891.411409999999,6756.186465000001,99.7726500000008,234.9975949999989,3.0,20383.0,-1.0,-12917.0,0.005431052930628629,-0.2868172273763121,,,0.1452
20240509,7155.9419,7054.521,7228.1157,7035.6831,428984.0,22433.0,679353.0,2.0,0.0,13766.0,0.0,2.0,-2.0,4132.0,-7788.0,7053.168240000001,6924.079180000001,6786.60846,129.0890600000002,266.5597800000005,2.0,13766.0,0.0,-3656.0,0.052293325625198145,-0.2533477412320165,,,0.129
20240510,7141.6924,7166.2646,7201.0059,7061.2407,425187.0,-3797.0,457583.0,2.0,0.0,13967.0,0.0,1.0,-2.0,5732.0,-12373.0,7075.74188,6971.02196,6814.6922,104.7199199999995,261.0496799999992,2.0,13967.0,-1.0,-6641.0,-0.008930188364178585,-0.3233775916908917,,,0.129
20240513,7184.749,7152.8403,7328.3389,7128.1328,452631.0,27444.0,703538.0,2.0,-1.0,11854.0,-74.0,1.0,-2.0,3838.0,-16686.0,7109.230160000001,7012.347009999999,6846.059729999999,96.88315000000148,263.1704300000019,1.0,11780.0,-1.0,-12848.0,0.06063217057603213,-0.3502428252901979,,,0.1613
20240514,7138.6934,7176.9966,7234.0352,7037.5806,417204.0,-35427.0,561023.0,2.0,0.0,12756.0,0.0,2.0,-2.0,5466.0,-12543.0,7128.34424,7041.353510000001,6874.91088,86.99072999999953,253.43336,2.0,12756.0,0.0,-7077.0,-0.08491529323784049,-0.2901123234085804,,,0.0968
20240515,7194.188,7156.498,7308.3652,7133.5103,425562.0,8358.0,731809.0,2.0,0.0,12475.0,0.0,2.0,-1.0,10252.0,-13622.0,7163.05294,7077.1185,6904.67758,85.93444,258.3753599999991,2.0,12475.0,1.0,-3370.0,0.0196399114582599,-0.2599669767230889,,,0.2742
20240516,7358.7236,7205.5029,7363.4395,7149.7554,464207.0,38645.0,566562.0,2.0,-1.0,11408.0,-3154.0,2.0,-1.0,17461.0,-10506.0,7203.60928,7128.38876,6942.367985,75.22051999999985,261.2412949999998,1.0,8254.0,1.0,6955.0,0.08324949860730235,-0.3948576432485682,,,0.2419
20240517,7326.0747,7394.4258,7457.1436,7269.937,444739.0,-19468.0,575954.0,2.0,0.0,11597.0,0.0,2.0,-2.0,7604.0,-14855.0,7240.485740000001,7158.11381,6979.104605,82.37193000000116,261.3811350000005,2.0,11597.0,0.0,-7251.0,-0.043773988788930136,-0.4485145801199421,,,0.1935
20240520,7396.1445,7368.9575,7477.8267,7346.897,418958.0,-25781.0,439645.0,2.0,-1.0,8005.0,-392.0,2.0,-1.0,5644.0,-14097.0,7282.764840000001,7195.9975,7016.49596,86.76734000000033,266.2688800000005,1.0,7613.0,1.0,-8453.0,-0.06153600122207954,-0.2855461473536821,,,0.129
20240521,7315.2061,7408.0571,7543.4897,7312.355,397838.0,-21120.0,536860.0,2.0,-1.0,6677.0,0.0,2.0,-1.0,8132.0,-15268.0,7318.06738,7223.205809999999,7044.330655000001,94.86157000000094,273.7367249999998,1.0,6677.0,1.0,-7136.0,-0.05308693488304285,-0.3352626285495317,,,0.1452
20240522,7311.7451,7376.1475,7376.1475,7246.7881,399336.0,1498.0,362052.0,2.0,-1.0,7439.0,0.0,2.0,-1.0,6790.0,-18059.0,7341.5788,7252.31587,7071.86364,89.26292999999987,269.7151599999997,1.0,7439.0,1.0,-11269.0,0.0037512270368812227,-0.4363857055144727,,,0.129
