,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250305,75599.1575,75617.1954,75817.1154,75303.4686,379344.0,-8558.0,124958.0,3.0,0.0,15848.0,-1251.0,1.0,-2.0,3300.0,-39679.0,75722.1465,76240.15697,76825.12982,-518.0104699999938,-1102.983319999999,3.0,14597.0,-1.0,-36379.0,-0.022559998312876965,-0.796957427582781,0.1683,0.0
20250306,77011.6434,75586.8937,77098.5233,75326.6823,371208.0,-8136.0,179389.0,3.0,-1.0,14678.0,-3773.0,1.0,-2.0,3087.0,-37886.0,75855.40241999998,76218.51082,76803.33219,-363.1084000000119,-947.929770000017,2.0,10905.0,-1.0,-34799.0,-0.02191763108553695,-0.7167134319137686,0.1763,0.06628003314001664
20250307,76395.9041,76932.9454,77208.7818,76286.7952,373960.0,2752.0,193742.0,3.0,-1.0,14555.0,-2769.0,1.0,-2.0,3017.0,-43490.0,76043.51646,76185.93390999999,76737.08548,-142.4174499999936,-693.5690199999954,2.0,11786.0,-1.0,-40473.0,0.0073590758369879135,-0.7640584763582646,0.1749,0.05468102734051364
20250310,76016.2827,76372.4671,76739.7922,75908.7834,372409.0,-1551.0,126479.0,3.0,-1.0,14607.0,-1853.0,1.0,-2.0,3283.0,-43853.0,76108.83716,76101.30725,76611.58749,7.529909999997471,-502.7503300000099,2.0,12754.0,-1.0,-40570.0,-0.004164775824429592,-0.7553653802416461,0.1717,0.028169014084506935
20250311,76214.1779,75945.5417,76261.0927,75673.519,372361.0,-48.0,99280.0,3.0,-1.0,14534.0,-2576.0,1.0,-2.0,2807.0,-44725.0,76247.43312,76043.84898,76559.317225,203.5841400000063,-311.8841050000046,2.0,11958.0,-1.0,-41918.0,-0.0001289071626727826,-0.7838871269168444,0.1712,0.026951672862453407
20250312,75871.6561,76307.3046,76346.944,75833.1838,372868.0,507.0,89475.0,3.0,-1.0,14268.0,-2504.0,1.0,-2.0,2784.0,-45489.0,76301.93284,76012.03967,76478.57367,289.8931699999957,-176.6408300000039,2.0,11764.0,-1.0,-42705.0,0.0013597305212568523,-0.749755919236725,0.1624,0.0
20250313,75598.4554,75935.0791,76104.322,75568.3218,374924.0,2056.0,81039.0,4.0,0.0,14702.0,-1207.0,1.0,-2.0,1698.0,-44299.0,76019.29523999999,75937.34883,76393.72695,81.94640999998956,-374.4317100000044,4.0,13495.0,-1.0,-42601.0,0.005483778045683925,-0.7656891575043956,0.1579,0.0
20250314,75811.3871,75750.3804,76278.7265,75669.6362,373880.0,-1044.0,113520.0,3.0,0.0,15007.0,-1935.0,1.0,-2.0,1128.0,-38952.0,75902.39184,75972.95414999999,76344.65163000001,-70.56230999999389,-442.259790000011,3.0,13072.0,-1.0,-37824.0,-0.0027923397881673266,-0.7543715401847092,0.1701,0.10338983050847451
20250317,76483.9269,76001.8239,76736.5954,75951.2244,377358.0,3478.0,158446.0,3.0,-1.0,14554.0,-4549.0,1.0,-2.0,359.0,-37152.0,75995.92068000001,76052.37892,76310.623645,-56.45823999999266,-314.7029649999895,2.0,10005.0,-1.0,-36793.0,0.009216711981725577,-0.4813692095193707,0.1781,0.17118644067796612
20250318,75682.0191,76446.2589,76728.6523,75517.2937,382184.0,4826.0,159240.0,3.0,0.0,14747.0,-1218.0,1.0,-2.0,1.0,-40500.0,75889.48892,76068.46102,76240.60243,-178.972099999999,-351.1135099999956,3.0,13529.0,-1.0,-40499.0,0.012627425533251,-0.5621095889658306,0.1655,0.06440677966101693
20250319,75477.4319,75823.8104,75823.8104,75458.1529,379904.0,-2280.0,83269.0,4.0,0.0,14497.0,-923.0,1.0,-2.0,0.0,-41007.0,75810.64408000001,76056.28846,76148.22271500001,-245.6443799999834,-337.578634999998,4.0,13574.0,-1.0,-41007.0,-0.006001516172506738,-0.5522398638555601,0.1547,0.0
20250320,73579.1336,75521.0817,75521.0817,73463.6383,395206.0,15302.0,292666.0,4.0,0.0,17584.0,0.0,0.0,-3.0,0.0,-32121.0,75406.77972,75713.03748,75965.77415,-306.2577599999931,-558.9944299999916,4.0,17584.0,-3.0,-32121.0,0.038719047787736015,-0.5900488598424245,0.1882,0.2764026402640265
20250321,73551.8038,73762.6961,73955.3422,72749.5318,391937.0,-3269.0,186859.0,4.0,0.0,17057.0,0.0,0.0,-3.0,0.0,-28814.0,74954.86306,75428.62745,75807.28068,-473.7643899999966,-852.4176199999929,4.0,17057.0,-3.0,-28814.0,-0.008340626172063367,-0.5588193071315751,0.186,0.25825082508250824
