,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250319,5853.5065,5849.0196,5865.5599,5826.489,300914.0,-13490.0,141634.0,1.0,-1.0,3688.0,-2812.0,1.0,-2.0,2804.0,-7135.0,5880.91338,5883.86868,5928.581695,-2.955300000000534,-47.66831499999989,0.0,876.0,-1.0,-4331.0,-0.044830084343034884,-0.4159004712082448,,
20250320,5906.478,5862.2862,5916.0004,5848.2538,283410.0,-17504.0,223085.0,1.0,-1.0,1687.0,-2519.0,2.0,-2.0,3337.0,-4782.0,5885.154960000001,5888.05303,5921.819,-2.898069999999279,-36.66403999999966,0.0,-832.0,0.0,-1445.0,-0.061762111428672245,-0.2716983977398197,,
20250321,5772.2692,5901.807,5917.3935,5767.9527,302929.0,19519.0,296881.0,1.0,0.0,3631.0,0.0,1.0,-3.0,45.0,-7710.0,5854.715020000001,5878.19351,5908.42,-23.47848999999951,-53.70497999999952,1.0,3631.0,-2.0,-7665.0,0.06443424036655454,-0.5244598330402459,,
20250324,5789.9732,5774.6799,5799.6296,5734.1258,309628.0,6699.0,293792.0,1.0,0.0,4047.0,0.0,1.0,-3.0,0.0,-7825.0,5833.25962,5869.58747,5896.444875,-36.32785000000058,-63.18525500000032,1.0,4047.0,-2.0,-7825.0,0.021635640187579935,-0.3164415436508752,,
20250325,5771.8505,5790.5502,5805.4868,5763.3763,311789.0,2161.0,182070.0,1.0,0.0,4637.0,0.0,2.0,-2.0,379.0,-9117.0,5818.81548,5856.186619999999,5886.325320000001,-37.37113999999929,-67.50984000000062,1.0,4637.0,0.0,-8738.0,0.006930969341445657,-0.3481459336031177,,
20250326,5741.7001,5770.4538,5781.4068,5734.0058,319411.0,7622.0,209123.0,1.0,0.0,5486.0,0.0,1.0,-3.0,0.0,-13625.0,5796.454199999999,5838.68379,5874.31275,-42.22959000000083,-77.85855000000083,1.0,5486.0,-2.0,-13625.0,0.023862672231075324,-0.2986789083258212,,
20250327,5733.7358,5739.5321,5759.1741,5685.7547,321171.0,1760.0,331722.0,1.0,0.0,5601.0,0.0,1.0,-3.0,0.0,-14262.0,5761.90576,5823.53036,5861.455660000001,-61.6246000000001,-99.54990000000089,1.0,5601.0,-2.0,-14262.0,0.005479946819607001,-0.3820871309170691,,
20250328,5740.7976,5733.0118,5763.9646,5728.1414,322910.0,1739.0,216567.0,1.0,0.0,7414.0,0.0,2.0,-2.0,1841.0,-5226.0,5755.61144,5805.16323,5850.11991,-49.55179000000044,-94.50847000000067,1.0,7414.0,0.0,-3385.0,0.00538540150506333,-0.3252319449208182,,
20250331,5668.0295,5737.2669,5754.5051,5663.2452,317297.0,-5613.0,276518.0,1.0,0.0,5142.0,0.0,2.0,-1.0,2696.0,-3297.0,5731.2227,5782.24116,5835.981615,-51.01846000000023,-104.7589149999994,1.0,5142.0,1.0,-601.0,-0.01769005064655512,-0.473141599561278,,
20250401,5660.5005,5668.3163,5673.0862,5621.2553,316919.0,-378.0,237585.0,1.0,0.0,6131.0,0.0,2.0,-1.0,2545.0,-3567.0,5708.9527,5763.88409,5824.24982,-54.93138999999974,-115.2971200000002,1.0,6131.0,1.0,-1022.0,-0.001192733790022056,-0.3638480480015283,,
