,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,1594.1956,1526.2212,1603.1552,1526.2212,895737.0,5841.0,1029566.0,5.0,0.0,85989.0,0.0,2.0,-1.0,11114.0,-41154.0,1567.88022,1545.56729,1516.859125,22.31292999999982,51.02109500000006,5.0,85989.0,1.0,-30040.0,0.006520887269365896,-0.2267751069395503,,,
20240507,1600.9415,1592.4479,1622.5631,1587.2223,926899.0,31162.0,1272140.0,4.0,0.0,81435.0,0.0,2.0,-1.0,14850.0,-44726.0,1573.6551,1554.19601,1524.83001,19.45908999999983,48.82508999999982,4.0,81435.0,1.0,-29876.0,0.033619628460058754,-0.4650290102838069,,,
20240508,1585.6465,1597.4303,1607.1316,1578.7029,946143.0,19244.0,956901.0,5.0,0.0,97138.0,0.0,2.0,-2.0,4812.0,-47132.0,1575.3612,1562.2003,1531.881965,13.16089999999986,43.47923499999979,5.0,97138.0,0.0,-42320.0,0.02033942015107653,-0.5199228432238795,,,
20240509,1609.1506,1589.4196,1611.4379,1581.8439,951774.0,5631.0,955915.0,5.0,0.0,94084.0,0.0,2.0,-2.0,0.0,-47225.0,1584.11672,1570.27735,1536.639845,13.83937000000014,47.47687499999984,5.0,94084.0,0.0,-47225.0,0.005916320471036191,-0.6024684472142722,,,
20240510,1610.3901,1620.2822,1641.6969,1597.2461,921902.0,-29872.0,1492056.0,5.0,0.0,87399.0,0.0,2.0,-1.0,0.0,-46645.0,1600.06486,1579.75927,1540.888105,20.30558999999994,59.17675499999996,5.0,87399.0,1.0,-46645.0,-0.03240257641267727,-0.5033714755312821,,,0.619
20240513,1609.8018,1610.2148,1614.7697,1585.446,906995.0,-14907.0,957875.0,5.0,0.0,92372.0,0.0,1.0,-3.0,0.0,-60500.0,1603.1861,1585.53316,1544.993735,17.65294000000017,58.19236500000011,5.0,92372.0,-2.0,-60500.0,-0.016435592257950705,-0.5877025409219094,,,
20240514,1571.6563,1606.9432,1607.8414,1561.7992,928358.0,21363.0,1139059.0,5.0,0.0,96794.0,0.0,1.0,-2.0,419.0,-71897.0,1597.32906,1585.49208,1548.447295,11.83698000000004,48.88176500000009,5.0,96794.0,-1.0,-71478.0,0.023011596819330474,-1.013712316757737,,,
20240515,1571.361,1572.6875,1576.1365,1550.1644,934915.0,6557.0,834605.0,5.0,0.0,96205.0,0.0,1.0,-2.0,4925.0,-75064.0,1594.47196,1584.91658,1551.606395,9.555380000000014,42.86556500000006,5.0,96205.0,-1.0,-70139.0,0.007013471812945562,-0.961556337285077,,,
20240516,1588.3702,1567.8074,1591.3147,1557.0845,947552.0,12637.0,846313.0,5.0,0.0,97939.0,0.0,1.0,-2.0,6140.0,-72995.0,1590.31588,1587.2163,1557.05444,3.09958000000006,33.26143999999999,5.0,97939.0,-1.0,-66855.0,0.013336471243794536,-1.1966013663019286,,,
20240517,1632.0286,1593.8069,1635.5396,1583.29,923928.0,-23624.0,1287134.0,4.0,0.0,61414.0,0.0,1.0,-2.0,12898.0,-57102.0,1594.64358,1597.35422,1565.388565,-2.710640000000012,29.25501499999996,4.0,61414.0,-1.0,-44204.0,-0.025569091963875974,-1.3965181079948052,,,0.4844
20240520,1635.2784,1637.2896,1652.266,1622.0219,918851.0,-5077.0,1103790.0,4.0,0.0,74896.0,0.0,1.0,-2.0,6053.0,-61194.0,1599.7389,1601.4625,1573.514895,-1.723600000000033,26.22400500000003,4.0,74896.0,-1.0,-55141.0,-0.005525378978746282,-0.4733894447297568,,,
20240521,1655.1211,1630.6602,1679.1298,1630.4607,898391.0,-20460.0,1247158.0,4.0,0.0,63276.0,0.0,2.0,-1.0,3631.0,-38591.0,1616.43186,1606.88046,1580.538235,9.551400000000285,35.89362500000016,4.0,63276.0,1.0,-34960.0,-0.022774048270741806,-0.5052829186325388,,,
20240522,1676.4017,1660.7844,1685.9773,1650.3428,882123.0,-16268.0,1122992.0,4.0,0.0,51984.0,0.0,1.0,-2.0,816.0,-38840.0,1637.44,1615.95598,1589.07814,21.4840200000001,48.36185999999998,4.0,51984.0,-1.0,-38024.0,-0.01844187261867109,-0.746894852112468,,,
20240523,1660.8827,1672.1461,1691.532,1641.9449,859002.0,-23121.0,1169336.0,4.0,0.0,64345.0,0.0,1.0,-2.0,9557.0,-48503.0,1651.9425,1621.12919,1595.70327,30.81330999999977,56.23922999999968,4.0,64345.0,-1.0,-38946.0,-0.026916118938023426,-0.7944376800018426,,,
20240524,1713.4796,1670.4357,1731.5139,1664.6305,856492.0,-2510.0,1491473.0,3.0,-2.0,15059.0,-1138.0,2.0,-1.0,28792.0,-37391.0,1668.2327,1631.43814,1605.598705,36.79456000000005,62.63399500000014,1.0,13921.0,1.0,-8599.0,-0.002930558604166764,-1.0822144207031066,,,0.4062
