,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250318,1435.6505,1445.4586,1457.6116,1433.8592,1667746.0,2497.0,938438.0,4.0,0.0,134437.0,0.0,0.0,-3.0,0.0,-178650.0,1450.93872,1457.98795,1499.535155,-7.04923000000008,-48.59643499999993,4.0,134437.0,-3.0,-178650.0,0.0014972303935971065,-0.6284782586905837,0.2603,0.1664355062413312
20250319,1437.2203,1439.4297,1440.8512,1421.5111,1651146.0,-16600.0,983723.0,4.0,0.0,116976.0,0.0,0.0,-3.0,0.0,-171228.0,1448.689,1453.31801,1495.53654,-4.629010000000108,-46.84754000000021,4.0,116976.0,-3.0,-171228.0,-0.010053623362198134,-0.6519854318589191,0.2582,0.13730929264909833
20250320,1448.4669,1442.0771,1449.8821,1429.4273,1607617.0,-43529.0,817927.0,4.0,0.0,115318.0,0.0,0.0,-3.0,0.0,-163037.0,1446.86602,1449.59077,1490.72161,-2.724750000000085,-43.85559000000012,4.0,115318.0,-3.0,-163037.0,-0.027076722876157693,-0.5980900435780283,0.2555,0.09986130374479903
20250321,1426.8115,1449.2719,1449.2719,1412.8139,1649816.0,42199.0,1188658.0,4.0,0.0,135109.0,0.0,0.0,-3.0,0.0,-163201.0,1439.23808,1446.62573,1485.59841,-7.387650000000349,-46.3603300000002,4.0,135109.0,-3.0,-163201.0,0.02557800385012632,-0.6979227635817865,0.2457,0.0
20250324,1461.6066,1427.67,1466.8898,1420.6379,1575627.0,-74189.0,1446664.0,4.0,0.0,110798.0,0.0,0.0,-3.0,0.0,-147312.0,1441.95116,1447.69455,1481.8001,-5.743389999999863,-39.84893999999986,4.0,110798.0,-3.0,-147312.0,-0.04708538251756285,-0.5080023859788064,0.2592,0.1807228915662648
20250325,1453.1519,1461.379,1464.6986,1439.5504,1595755.0,20128.0,933236.0,4.0,0.0,119201.0,0.0,0.0,-3.0,0.0,-149433.0,1445.45144,1448.19508,1478.86355,-2.743639999999914,-33.41210999999998,4.0,119201.0,-3.0,-149433.0,0.012613465099592356,-0.5597139854448228,0.2684,0.3038821954484608
20250326,1442.92,1453.0554,1465.9229,1441.6041,1589463.0,-6292.0,940035.0,4.0,0.0,113653.0,0.0,0.0,-3.0,0.0,-146216.0,1446.59138,1447.64019,1474.884845,-1.048809999999776,-28.29346499999974,4.0,113653.0,-3.0,-146216.0,-0.003958569655286093,-0.6361562438875913,0.2599,0.19009370816599752
20250327,1434.5599,1441.71,1447.1272,1431.339,1648809.0,59346.0,888701.0,4.0,0.0,135108.0,0.0,0.0,-3.0,0.0,-159339.0,1443.80998,1445.338,1468.218515,-1.528020000000197,-24.40853500000003,4.0,135108.0,-3.0,-159339.0,0.03599325331193607,-0.6516116267774907,0.2477,0.026773761713520767
20250328,1410.3843,1433.4059,1437.0837,1403.6424,1788037.0,139228.0,1229305.0,4.0,0.0,153203.0,0.0,0.0,-3.0,0.0,-188198.0,1440.52454,1439.88131,1459.70355,0.6432299999996758,-19.17901000000006,4.0,153203.0,-3.0,-188198.0,0.07786639761928864,-0.649373333038052,0.2431,0.0
20250331,1391.7586,1409.2055,1413.4986,1387.8797,1821303.0,33266.0,1133941.0,4.0,0.0,156118.0,0.0,0.0,-3.0,0.0,-178809.0,1426.55494,1434.25305,1451.188365,-7.698109999999815,-24.63342499999999,4.0,156118.0,-3.0,-178809.0,0.01826494548133946,-0.7117325314553866,0.2387,0.0
20250401,1406.3835,1393.3916,1420.5154,1389.9912,1761365.0,-59938.0,1126469.0,4.0,0.0,146075.0,0.0,0.0,-3.0,0.0,-169994.0,1417.20126,1431.32635,1444.65715,-14.12509,-27.45589000000018,4.0,146075.0,-3.0,-169994.0,-0.03402928978377565,-0.6369972033959842,0.2166,0.0
