,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,891.2379,874.005,893.5,869.1146,713389.0,30776.0,336461.0,0.0,-1.0,0.0,-13940.0,1.0,-2.0,15136.0,-21586.0,877.4952999999999,872.4743000000001,844.35616,5.020999999999844,33.13913999999988,-1.0,-13940.0,-1.0,-6450.0,0.04314055865733842,0.6042673774692486,,,0.0484
20240507,883.236,891.3342,897.113,878.5833,726352.0,12963.0,337720.0,0.0,-1.0,0.0,-14086.0,1.0,-2.0,11929.0,-21235.0,878.9192800000001,873.5644199999999,849.951765,5.354860000000144,28.96751500000005,-1.0,-14086.0,-1.0,-9306.0,0.01784671894618587,0.549311472507457,,,0.0645
20240508,863.6058,884.5153,887.7642,863.4045,741079.0,14727.0,415293.0,0.0,-1.0,0.0,-13192.0,1.0,-2.0,10200.0,-19920.0,875.53882,873.0210000000001,855.407395,2.517819999999915,20.13142500000004,-1.0,-13192.0,-1.0,-9720.0,0.019872375279828467,0.6652932655648502,,,0.1129
20240509,862.988,865.8067,878.4037,858.0119,758440.0,17361.0,435338.0,0.0,-1.0,0.0,-11511.0,1.0,-2.0,11445.0,-24904.0,874.01204,872.88383,858.7736600000001,1.128209999999967,15.23837999999989,-1.0,-11511.0,-1.0,-13459.0,0.0228904066241232,0.6410333425731515,,,0.0806
20240510,870.5316,867.1533,874.0533,854.8008,762952.0,4512.0,472168.0,0.0,-1.0,0.0,-8303.0,1.0,-2.0,13029.0,-30779.0,874.31986,875.2261699999999,861.45008,-0.9063099999999622,12.86977999999999,-1.0,-8303.0,-1.0,-17750.0,0.00591387138378299,0.5645745417383391,,,0.0806
20240513,884.0494,869.8722,886.668,852.7819,778602.0,15650.0,516556.0,0.0,-1.0,0.0,-8568.0,1.0,-2.0,11418.0,-28202.0,872.8821599999999,875.1887300000001,864.9082999999998,-2.306570000000193,7.973860000000059,-1.0,-8568.0,-1.0,-16784.0,0.020100128178453178,0.494687493294885,,,0.0645
20240514,862.697,883.0812,886.2874,855.2606,760774.0,-17828.0,453703.0,0.0,-1.0,0.0,-7362.0,1.0,-2.0,2857.0,-22254.0,868.77436,873.84682,866.6962149999999,-5.072459999999978,2.078145000000063,-1.0,-7362.0,-1.0,-19397.0,-0.023434029028331672,0.9021046138990296,,,0.129
20240515,855.1544,864.7647,864.7647,847.667,768476.0,7702.0,464658.0,0.0,-1.0,0.0,-7069.0,1.0,-2.0,1755.0,-23541.0,867.08408,871.3114499999999,867.27829,-4.227369999999951,-0.1942099999999982,-1.0,-7069.0,-1.0,-21786.0,0.010022434012252822,0.7484398548716692,,,0.129
20240516,876.2874,856.8381,884.9008,853.4063,761815.0,-6661.0,538119.0,1.0,0.0,838.0,0.0,1.0,-2.0,4927.0,-16296.0,869.74396,871.878,868.860325,-2.134040000000027,0.8836350000000266,1.0,838.0,-1.0,-11369.0,-0.008743592604503718,0.6067871249815255,,,0.2258
20240517,886.6594,874.7429,888.5455,872.8869,762457.0,642.0,351204.0,0.0,-1.0,0.0,-6869.0,1.0,-2.0,4223.0,-17247.0,872.96952,873.6446899999999,871.91832,-0.6751699999998664,1.051199999999994,-1.0,-6869.0,-1.0,-13024.0,0.0008420146972222696,0.447238571291242,,,0.2581
