,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250305,6360.0847,6329.9796,6372.8214,6274.7085,625494.0,8833.0,412784.0,2.0,0.0,14737.0,0.0,1.0,-2.0,4253.0,-57433.0,6349.56782,6399.85846,6544.73223,-50.29064000000017,-195.1644099999994,2.0,14737.0,-1.0,-53180.0,0.014121638257121571,-0.19577176920713,0.1852,0.3958333333333333
20250306,6389.2569,6350.5365,6482.38,6339.6295,632203.0,6709.0,651083.0,1.0,0.0,8317.0,0.0,1.0,-2.0,2914.0,-61839.0,6357.19984,6386.11319,6501.146965,-28.91334999999981,-143.9471249999997,1.0,8317.0,-1.0,-58925.0,0.010612097696467749,-0.1824167470566488,0.1953,0.4577205882352941
20250307,6414.1125,6498.8702,6507.8599,6408.8916,637257.0,5054.0,481508.0,2.0,0.0,9135.0,0.0,1.0,-2.0,4311.0,-67283.0,6372.35428,6380.14999,6458.118795,-7.795709999999417,-85.76451499999985,2.0,9135.0,-1.0,-62972.0,0.007930866196840521,-0.1732839746841694,0.1971,0.46874999999999994
20250310,6350.7328,6416.3589,6462.5525,6332.3925,637229.0,-28.0,338542.0,1.0,0.0,8418.0,0.0,1.0,-2.0,4981.0,-64322.0,6373.38144,6366.31518,6418.72098,7.066260000000511,-45.33953999999994,1.0,8418.0,-1.0,-59341.0,-4.394024754052311e-05,-0.2158074149534145,0.1855,0.39767156862745096
20250311,6363.7954,6339.4767,6368.8533,6315.9003,632645.0,-4584.0,288023.0,1.0,0.0,8197.0,0.0,1.0,-2.0,4375.0,-63185.0,6375.59646,6365.80042,6404.694255,9.796040000000175,-29.09779500000059,1.0,8197.0,-1.0,-58810.0,-0.007245769744485454,-0.2149691450586555,0.1809,0.3694852941176471
20250312,6329.0798,6369.6891,6369.6891,6317.8246,641457.0,8812.0,273109.0,1.0,0.0,8309.0,0.0,1.0,-2.0,2449.0,-63882.0,6369.39548,6359.48165,6399.01477,9.913830000000416,-29.61928999999964,1.0,8309.0,-1.0,-61433.0,0.013737475777799603,-0.2071041352120892,0.1772,0.346813725490196
20250313,6311.9197,6348.9735,6348.9735,6296.6311,643302.0,1845.0,282351.0,1.0,0.0,8086.0,0.0,1.0,-2.0,1298.0,-62745.0,6353.928040000001,6355.56394,6392.89613,-1.63589999999931,-38.96808999999939,1.0,8086.0,-1.0,-61447.0,0.0028680153333892947,-0.2221400693465195,0.1673,0.28615196078431376
20250314,6322.9789,6313.9755,6389.892,6292.0255,638142.0,-5160.0,391298.0,1.0,0.0,8691.0,0.0,1.0,-2.0,3086.0,-61945.0,6335.70132,6354.027800000001,6391.59503,-18.32648000000063,-55.89371000000028,1.0,8691.0,-1.0,-58859.0,-0.008085974594996099,-0.1899504134764434,0.1742,0.32843137254901955
20250317,6203.197,6328.4805,6330.4683,6175.1293,661057.0,22915.0,493139.0,1.0,0.0,7782.0,0.0,1.0,-2.0,3542.0,-62363.0,6306.194160000001,6339.7878,6382.18645,-33.59363999999914,-75.99228999999923,1.0,7782.0,-1.0,-58821.0,0.03466418175739762,-0.222443173733276,0.1798,0.3627450980392156
20250318,6191.2664,6194.5133,6253.5773,6185.6734,654821.0,-6236.0,293464.0,1.0,0.0,7783.0,0.0,1.0,-3.0,911.0,-55926.0,6271.68836,6323.64241,6368.229295,-51.95405000000028,-96.54093499999999,1.0,7783.0,-2.0,-55015.0,-0.009523213213992831,-0.242933024168282,0.1749,0.3327205882352941
20250319,6125.8332,6175.2007,6177.6359,6122.2213,668572.0,13751.0,266144.0,1.0,0.0,9923.0,0.0,1.0,-3.0,1798.0,-60470.0,6231.039040000001,6300.217259999999,6350.03786,-69.17821999999887,-118.9988199999998,1.0,9923.0,-2.0,-58672.0,0.020567717463489347,-0.2667749530404081,0.1662,0.27941176470588225
20250320,6122.6335,6116.976,6136.979,6080.9291,675415.0,6843.0,255291.0,1.0,0.0,11921.0,0.0,1.0,-3.0,0.0,-61692.0,6193.1818,6273.55492,6329.834055,-80.3731200000002,-136.652255,1.0,11921.0,-2.0,-61692.0,0.010131548751508332,-0.2716426696852848,0.1577,0.22732843137254904
20250321,6089.2142,6133.8041,6133.8045,6068.3441,679019.0,3604.0,244079.0,1.0,0.0,11638.0,0.0,1.0,-2.0,1063.0,-63676.0,6146.42886,6241.065090000001,6310.60754,-94.63623000000098,-164.17868,1.0,11638.0,-1.0,-62613.0,0.0053076570758697475,-0.2415971661416265,0.154,0.204656862745098
20250324,6137.8656,6108.4509,6170.7071,6108.4509,661729.0,-17290.0,259985.0,1.0,0.0,9158.0,0.0,0.0,-3.0,0.0,-63890.0,6133.36258,6219.77837,6293.046775,-86.41579000000002,-159.6841949999998,1.0,9158.0,-3.0,-63890.0,-0.026128520889971574,-0.2454548105248272,0.1434,0.13970588235294118
20250325,6125.3942,6140.0421,6176.4507,6122.3339,656497.0,-5232.0,253678.0,1.0,0.0,9127.0,0.0,1.0,-3.0,161.0,-62854.0,6120.18814,6195.938250000001,6280.869335,-75.75011000000086,-160.6811950000001,1.0,9127.0,-2.0,-62693.0,-0.007969571833534654,-0.2489638628156616,0.1506,0.18382352941176477
20250326,6160.8274,6138.9776,6191.7938,6134.0935,635867.0,-20630.0,290750.0,1.0,0.0,8377.0,0.0,1.0,-3.0,0.0,-62415.0,6127.18698,6179.113009999999,6269.297329999999,-51.92602999999872,-142.110349999999,1.0,8377.0,-2.0,-62415.0,-0.03244389156851983,-0.2064214267389773,0.1553,0.2126225490196078
20250327,6146.1319,6166.4504,6183.6814,6139.183,633669.0,-2198.0,189920.0,1.0,0.0,9228.0,0.0,1.0,-3.0,0.0,-58945.0,6131.88666,6162.534229999999,6259.049085000001,-30.64756999999918,-127.1624250000004,1.0,9228.0,-2.0,-58945.0,-0.0034686879111965395,-0.2157189135600596,0.1504,0.1825980392156863
20250328,6092.6449,6144.7583,6152.3388,6071.8403,648379.0,14710.0,294640.0,1.0,0.0,9346.0,0.0,1.0,-2.0,69.0,-57746.0,6132.5728,6139.50083,6246.764315,-6.928030000000035,-114.1915150000004,1.0,9346.0,-1.0,-57677.0,0.0226873479862858,-0.2709896209304698,0.1715,0.31188725490196084
