,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
2025-02-19,15152.5105,15204.3402,15285.1535,15000.9898,194175.0,-7462.0,236497.0,1.0,0.0,3101.0,0.0,0.0,-3.0,0.0,-23265.0,15190.47896,15032.06442,14946.95582,158.4145399999979,243.5231399999993,1.0,3101.0,-3.0,-23265.0,-0.038429251963435045,0.0572924767303101,,
2025-02-20,15344.5208,15188.5238,15403.1045,15152.4595,203597.0,9422.0,221376.0,1.0,0.0,3746.0,0.0,0.0,-3.0,0.0,-20767.0,15265.09798,15091.14251,14961.39495,173.9554700000008,303.7030300000024,1.0,3746.0,-3.0,-20767.0,0.04627769564384544,0.0988042270438729,,
2025-02-21,15257.4127,15386.7312,15710.4726,15242.3607,207832.0,4235.0,339575.0,1.0,0.0,4291.0,0.0,0.0,-3.0,0.0,-18213.0,15238.98828,15131.15899,14966.33826,107.8292899999997,272.6500200000028,1.0,4291.0,-3.0,-18213.0,0.020377035297740483,0.1086604158068841,,
2025-02-24,15361.9524,15264.8407,15390.8915,15175.3086,208726.0,894.0,221933.0,1.0,0.0,4081.0,0.0,1.0,-2.0,2554.0,-19637.0,15273.28566,15179.30468,14992.377715,93.98098000000209,280.907944999999,1.0,4081.0,-1.0,-17083.0,0.004283127161925204,0.1859439671868805,,
2025-02-25,15165.8295,15425.1122,15626.271,15136.211,202551.0,-6175.0,386956.0,1.0,0.0,4083.0,0.0,1.0,-2.0,1965.0,-16835.0,15256.44518,15220.86366,15006.681365,35.58151999999791,249.7638150000002,1.0,4083.0,-1.0,-14870.0,-0.030486149167370195,0.0332922044132798,,
2025-02-26,15204.963,15208.675,15349.4618,15022.0219,204459.0,1908.0,330077.0,1.0,0.0,3311.0,0.0,0.0,-3.0,0.0,-19349.0,15266.93568,15228.70732,15024.303965,38.22835999999916,242.6317150000013,1.0,3311.0,-3.0,-19349.0,0.009331944301791557,0.214327881488741,,
2025-02-27,15258.1066,15213.9008,15290.4874,14991.6063,205084.0,625.0,276181.0,1.0,0.0,2654.0,0.0,1.0,-3.0,0.0,-23657.0,15249.65284,15257.37541,15039.52621,-7.722569999998086,210.1266300000007,1.0,2654.0,-2.0,-23657.0,0.003047531743090636,0.2329701039877272,,
2025-02-28,15324.6358,15292.093,15408.2739,15092.253,206157.0,1073.0,272318.0,1.0,0.0,2508.0,0.0,1.0,-2.0,0.0,-22265.0,15263.09746,15251.04287,15070.293955,12.05458999999973,192.803504999998,1.0,2508.0,-1.0,-22265.0,0.00520477112103882,0.3036700805826378,,
2025-03-03,15403.5073,15341.9693,15469.813,15297.5489,215415.0,9258.0,206597.0,1.0,0.0,3662.0,0.0,1.0,-3.0,0.0,-21394.0,15271.40844,15272.34705,15096.265415,-0.9386100000010629,175.1430249999976,1.0,3662.0,-2.0,-21394.0,0.04297750853004666,0.3392045429653653,,
2025-03-04,15384.4239,15458.5101,15579.427,15334.8753,217407.0,1992.0,251726.0,1.0,0.0,3314.0,0.0,1.0,-3.0,0.0,-19776.0,15315.12732,15285.78625,15123.396065,29.34106999999858,191.7312550000006,1.0,3314.0,-2.0,-19776.0,0.009162538464722847,0.2220833467078919,,
2025-03-05,15151.5219,15330.0216,15330.0216,14979.7189,209390.0,-8017.0,326737.0,1.0,0.0,5450.0,0.0,0.0,-3.0,0.0,-22182.0,15304.4391,15285.68739,15158.875905,18.75170999999864,145.5631950000006,1.0,5450.0,-3.0,-22182.0,-0.03828740627537132,0.2779593625057929,,
