,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250220,4491.8982,4509.9203,4518.4365,4482.6268,110014.0,4672.0,59760.0,3.0,-1.0,1534.0,0.0,3.0,0.0,8702.0,0.0,4484.3298,4506.31808,4525.826825,-21.98827999999958,-41.49702499999967,2.0,1534.0,3.0,8702.0,0.04246732234079299,-0.0533076023926863,,
20250221,4452.7727,4495.5814,4506.2555,4449.3264,113399.0,3385.0,73723.0,2.0,0.0,2164.0,0.0,3.0,0.0,8454.0,0.0,4482.350359999999,4500.44447,4514.2734,-18.09411000000091,-31.92304000000058,2.0,2164.0,3.0,8454.0,0.029850351414033634,0.2248240379642886,,
20250224,4475.8202,4456.8023,4508.7719,4455.181,105373.0,-8026.0,85306.0,2.0,-1.0,616.0,0.0,3.0,0.0,6214.0,0.0,4485.36926,4496.57276,4504.576085,-11.20349999999962,-19.2068249999993,1.0,616.0,3.0,6214.0,-0.07616751919372135,0.1927846488574061,,
20250225,4458.9993,4476.5318,4485.6409,4451.1518,104997.0,-376.0,64126.0,1.0,0.0,633.0,0.0,3.0,-1.0,6888.0,0.0,4476.961799999999,4486.21186,4496.50745,-9.250060000001213,-19.54565000000093,1.0,633.0,2.0,6888.0,-0.003581054696800861,0.261333379555492,,
20250226,4400.8127,4434.2505,4456.6396,4382.8841,112684.0,7687.0,98574.0,1.0,0.0,751.0,0.0,3.0,0.0,7747.0,0.0,4456.06062,4466.960410000001,4487.07908,-10.89979000000039,-31.01845999999932,1.0,751.0,3.0,7747.0,0.06821731567924462,0.0146802778738761,,
20250227,4430.2284,4399.3038,4437.9788,4391.3444,111187.0,-1497.0,68922.0,1.0,-1.0,693.0,-694.0,2.0,-1.0,6587.0,-51.0,4443.72666,4464.02823,4482.021535,-20.30156999999963,-38.29487499999959,0.0,-1.0,1.0,6536.0,-0.013463804221716568,0.1636640828355203,,
20250228,4450.4534,4435.5841,4471.9104,4434.8514,107372.0,-3815.0,77303.0,2.0,0.0,658.0,0.0,2.0,-1.0,6692.0,-55.0,4443.2628,4462.806579999999,4480.750344999999,-19.54377999999997,-37.48754499999995,2.0,658.0,1.0,6637.0,-0.035530678389151735,0.42216253701515,,
20250303,4471.0976,4446.0333,4481.7402,4432.4192,108255.0,883.0,68624.0,2.0,0.0,1669.0,0.0,3.0,-1.0,8135.0,0.0,4442.31828,4463.84377,4482.13111,-21.52548999999999,-39.81282999999985,2.0,1669.0,2.0,8135.0,0.008156667128539097,0.4887603529097655,,
20250304,4405.9555,4469.7004,4478.0659,4402.1671,107543.0,-712.0,74216.0,1.0,-1.0,1065.0,-656.0,3.0,0.0,9893.0,0.0,4431.70952,4454.33566,4481.03007,-22.6261399999994,-49.32054999999946,0.0,409.0,3.0,9893.0,-0.0066206075709251185,0.3442323103553543,,
20250305,4429.2648,4397.1348,4439.8816,4375.8471,110947.0,3404.0,86337.0,1.0,-1.0,1232.0,-402.0,3.0,0.0,8653.0,0.0,4437.39994,4446.730280000001,4477.66213,-9.330340000000433,-40.26218999999946,0.0,830.0,3.0,8653.0,0.030681316304181274,0.366604017421282,,
20250306,4462.4817,4409.4949,4470.5219,4387.6792,111670.0,723.0,148400.0,1.0,-2.0,1363.0,-146.0,3.0,0.0,8083.0,0.0,4443.8506,4443.78863,4475.053355,0.06196999999974651,-31.20275500000025,-1.0,1217.0,3.0,8083.0,0.006474433598997045,0.5078722732568679,,
20250307,4435.6381,4461.4604,4482.9363,4434.3803,114879.0,3209.0,117678.0,1.0,-1.0,1439.0,-1353.0,2.0,-1.0,6265.0,-136.0,4440.887540000001,4442.07517,4471.25982,-1.187629999999444,-30.37227999999959,0.0,86.0,1.0,6129.0,0.027933738977532884,0.5868341425436618,,
20250310,4435.3375,4447.4123,4460.4806,4409.4849,116176.0,1297.0,81009.0,1.0,-1.0,359.0,-1321.0,3.0,0.0,5895.0,0.0,4433.73552,4438.026900000001,4467.29983,-4.291380000000572,-33.56430999999975,0.0,-962.0,3.0,5895.0,0.011164095854565487,0.5878131885824319,,
20250311,4489.1386,4439.4886,4490.91,4423.0506,121866.0,5690.0,123353.0,2.0,-1.0,1273.0,-1329.0,3.0,-1.0,4566.0,-191.0,4450.37214,4441.04083,4463.626345,9.331310000000485,-13.25420499999927,1.0,-56.0,2.0,4375.0,0.046690627410434414,0.5983460504045882,,
20250312,4466.2243,4487.1987,4498.5649,4452.7472,125824.0,3958.0,90822.0,2.0,-2.0,852.0,-1365.0,3.0,0.0,2063.0,0.0,4457.76404,4447.581990000001,4457.2712,10.18204999999944,0.4928399999998874,0.0,-513.0,3.0,2063.0,0.03145663784333672,1.0712419464382572,,
20250313,4530.7647,4478.9164,4548.479,4475.7176,132918.0,7094.0,129911.0,0.0,-2.0,0.0,-1822.0,1.0,-2.0,2614.0,-2023.0,4471.420639999999,4457.63562,4460.831925,13.78501999999935,10.58871499999896,-2.0,-1822.0,-1.0,591.0,0.05337125144826133,1.0053682863260789,,
20250314,4550.1566,4528.0059,4556.945,4512.623,136916.0,3998.0,79903.0,1.0,-1.0,141.0,-1275.0,1.0,-2.0,1684.0,-2673.0,4494.32434,4467.605939999999,4465.20626,26.71840000000066,29.11808000000019,0.0,-1134.0,-1.0,-989.0,0.029200385637909373,1.121740685105564,,
20250317,4507.6017,4551.1109,4551.1109,4492.7208,133558.0,-3358.0,88996.0,0.0,-2.0,0.0,-1887.0,1.0,-2.0,1671.0,-3007.0,4508.77718,4471.256350000001,4467.55006,37.52082999999948,41.22712000000047,-2.0,-1887.0,-1.0,-1336.0,-0.025142634660596894,1.418167343983591,,
20250318,4550.2256,4511.8839,4571.5049,4502.2902,141125.0,7567.0,95668.0,1.0,-1.0,251.0,-2088.0,1.0,-2.0,1410.0,-3399.0,4520.99458,4485.683360000001,4470.00951,35.31121999999959,50.98507000000063,0.0,-1837.0,-1.0,-1989.0,0.05361913197519929,1.4596236936540803,,
20250319,4511.0141,4549.911,4566.9039,4500.1137,143258.0,2133.0,101810.0,2.0,-1.0,1086.0,-1532.0,1.0,-2.0,930.0,-4414.0,4529.95254,4493.85829,4470.294285,36.0942500000001,59.65825500000028,1.0,-446.0,-1.0,-3484.0,0.014889220846305267,1.4544088001367073,,
20250320,4476.0226,4519.7981,4528.6241,4465.7242,140895.0,-2363.0,102961.0,1.0,-1.0,575.0,-1610.0,1.0,-2.0,1208.0,-2394.0,4519.004120000001,4495.21238,4469.500505,23.79174000000057,49.50361500000054,0.0,-1035.0,-1.0,-1186.0,-0.01677135455481032,1.4353071144527565,,
20250321,4510.1603,4490.3536,4540.73,4490.3536,143622.0,2727.0,87249.0,1.0,-1.0,1172.0,-1668.0,2.0,-1.0,1271.0,-2321.0,4511.004859999999,4502.6646,4472.369885,8.340259999999034,38.63497499999903,0.0,-496.0,1.0,-1050.0,0.0189873417721519,1.436157015488212,,
20250324,4538.5735,4507.4083,4550.4571,4487.9779,150006.0,6384.0,99275.0,1.0,-1.0,1158.0,-4030.0,1.0,-2.0,2258.0,-2618.0,4517.19922,4512.9882,4475.50755,4.211020000000644,41.69167000000016,0.0,-2872.0,-1.0,-360.0,0.04255829766809328,1.584346167265509,,
20250325,4546.6055,4542.5397,4560.3873,4514.6182,147244.0,-2762.0,82879.0,1.0,-1.0,1132.0,-4144.0,1.0,-2.0,2418.0,-2359.0,4516.475199999999,4518.73489,4479.887860000001,-2.259690000000774,36.58733999999822,0.0,-3012.0,-1.0,59.0,-0.01875797995164489,1.9065144463626564,,
20250326,4594.6887,4554.8293,4609.122,4548.0293,159101.0,11857.0,100970.0,1.0,-1.0,1211.0,-4288.0,1.0,-2.0,3556.0,-2843.0,4533.21012,4531.581329999999,4489.581660000001,1.628790000000663,43.628459999999,0.0,-3077.0,-1.0,713.0,0.07452498727223587,1.3796165015432793,,
20250327,4566.403,4601.8537,4625.613,4558.3668,157608.0,-1493.0,129446.0,1.0,-2.0,1097.0,-4471.0,2.0,-1.0,3735.0,-2859.0,4551.2862,4535.14516,4496.39039,16.14103999999952,54.89580999999998,-1.0,-3374.0,1.0,876.0,-0.009472869397492513,0.7299811823867489,,
20250328,4565.2039,4575.164,4593.129,4557.7986,161381.0,3773.0,79346.0,1.0,-1.0,1139.0,-4487.0,2.0,-1.0,4211.0,-2671.0,4562.29492,4536.649890000001,4502.127915,25.64502999999968,60.16700500000024,0.0,-3348.0,1.0,1540.0,0.02337945606979756,0.6902904812450513,,
20250331,4563.7585,4566.0953,4575.7325,4523.3538,159402.0,-1979.0,83473.0,1.0,-1.0,1210.0,-4453.0,2.0,-1.0,3883.0,-3430.0,4567.33192,4542.26557,4506.76096,25.06634999999915,60.57096000000001,0.0,-3243.0,1.0,453.0,-0.012415151629214189,0.7182351660925155,,
20250401,4591.3778,4570.745,4604.5735,4541.5464,156645.0,-2757.0,85635.0,1.0,-1.0,1427.0,-4452.0,2.0,-1.0,1041.0,-3360.0,4576.28638,4546.38079,4516.032075,29.9055900000003,60.25430500000039,0.0,-3025.0,1.0,-2319.0,-0.017600306425356697,0.913768643879096,,
20250402,4606.9676,4580.6312,4650.9469,4556.8163,163461.0,6816.0,128998.0,1.0,-1.0,1926.0,-4691.0,2.0,-1.0,1558.0,-3483.0,4578.74216,4555.97614,4524.917215,22.76602000000003,53.82494499999939,0.0,-2765.0,1.0,-1925.0,0.04169801971112375,0.6974601586762345,,
20250403,4620.6299,4598.9339,4642.5676,4582.4648,163589.0,128.0,106569.0,1.0,-1.0,1846.0,-4624.0,2.0,-1.0,1262.0,-3330.0,4589.58754,4570.43687,4532.824625,19.1506700000009,56.76291500000025,0.0,-2778.0,1.0,-2068.0,0.0007824486976508201,0.6509921708676528,,
20250407,4507.0196,4659.8758,4685.6568,4441.1892,143599.0,-19990.0,249061.0,2.0,-1.0,2574.0,-4283.0,2.0,-1.0,3666.0,-1162.0,4577.95068,4570.122799999999,4536.393700000001,7.827880000000732,41.55697999999938,1.0,-1709.0,1.0,2504.0,-0.139207097542462,0.9333202747673056,,
20250408,4468.9353,4534.7755,4555.0836,4460.8009,139257.0,-4342.0,167442.0,2.0,-1.0,2415.0,-4088.0,2.0,-1.0,3283.0,-1587.0,4558.986040000001,4563.15898,4538.07359,-4.172939999999471,20.91245000000072,1.0,-1673.0,1.0,1696.0,-0.031179761161018834,1.0689537841395862,,
20250409,4301.8142,4463.7313,4482.1589,4287.2945,135019.0,-4238.0,174408.0,2.0,-1.0,2208.0,-4177.0,2.0,-1.0,1148.0,-396.0,4501.07332,4538.67985,4528.70737,-37.60653000000093,-27.63405000000057,1.0,-1969.0,1.0,752.0,-0.03138817499759293,1.0101900058803022,,
20250410,4408.9758,4268.507,4428.8446,4236.8227,127754.0,-7265.0,156734.0,2.0,-1.0,1800.0,-3933.0,1.0,-2.0,1095.0,-1269.0,4461.47496,4520.108560000001,4525.844945,-58.63360000000102,-64.36998500000027,1.0,-2133.0,-1.0,-174.0,-0.05686710396543357,0.9146569726605108,,
20250411,4325.502,4377.3228,4392.2769,4303.1722,130075.0,2321.0,114046.0,1.0,-1.0,1222.0,-4006.0,0.0,-3.0,0.0,-2316.0,4402.44938,4496.01846,4515.581810000001,-93.56908000000021,-113.1324300000006,0.0,-2784.0,-3.0,-2316.0,0.01784355179704017,0.9607998828460486,,
20250414,4354.2402,4318.529,4357.8024,4282.0299,128158.0,-1917.0,176393.0,2.0,-1.0,1982.0,-4074.0,1.0,-2.0,240.0,-2371.0,4371.8935,4474.92209,4505.78599,-103.0285899999999,-133.8924900000002,1.0,-2092.0,-1.0,-2131.0,-0.014958098597044273,0.7583242135329256,,
20250415,4319.7972,4370.9019,4393.7977,4306.9091,128615.0,457.0,142622.0,2.0,-1.0,1609.0,-1749.0,1.0,-2.0,1402.0,-5019.0,4342.06588,4450.525960000001,4496.395765,-108.4600800000007,-154.3298850000001,1.0,-140.0,-1.0,-3617.0,0.0035532402907903432,1.1254578365287644,,
20250416,4304.4866,4308.5027,4332.2381,4281.2944,129481.0,866.0,115481.0,2.0,-1.0,1439.0,-2020.0,1.0,-2.0,1469.0,-7281.0,4342.60036,4421.83684,4484.108815,-79.23647999999957,-141.5084549999992,1.0,-581.0,-1.0,-5812.0,0.006688239973432396,1.0221930327181443,,
20250417,4333.6732,4324.8497,4357.5488,4312.9237,126545.0,-2936.0,109416.0,2.0,-2.0,186.0,-1836.0,1.0,-2.0,988.0,-6012.0,4327.53984,4394.5074,4475.24177,-66.96756000000005,-147.7019299999993,0.0,-1650.0,-1.0,-5024.0,-0.023201232763048717,1.0189906231542387,,
20250418,4368.8499,4341.2476,4373.1315,4336.2739,123975.0,-2570.0,78972.0,2.0,-1.0,1077.0,-1880.0,1.0,-2.0,997.0,-5013.0,4336.209420000001,4369.329400000001,4469.883135,-33.11997999999949,-133.673714999999,1.0,-803.0,-1.0,-4016.0,-0.020729985884250856,1.0414918506998316,,
20250421,4361.996,4370.2143,4385.3708,4346.8304,125123.0,1148.0,91804.0,2.0,-1.0,1328.0,-1090.0,1.0,-2.0,1092.0,-5298.0,4337.76058,4354.82704,4462.47492,-17.06646000000001,-124.7143399999995,1.0,238.0,-1.0,-4206.0,0.009174971827721522,1.002180048951263,,
20250422,4369.6876,4356.2785,4381.3538,4346.9948,121528.0,-3595.0,80874.0,1.0,-2.0,359.0,-1136.0,1.0,-2.0,1447.0,-5236.0,4347.73866,4344.90227,4454.030625,2.836389999999483,-106.2919650000003,-1.0,-777.0,-1.0,-3789.0,-0.029581660193535645,0.8585033331360579,,
20250423,4417.4648,4371.0929,4434.004,4347.9478,118506.0,-3022.0,101091.0,1.0,-1.0,301.0,-1996.0,1.0,-3.0,0.0,-3256.0,4370.3343,4356.467329999999,4447.57359,13.86697000000095,-77.23928999999953,0.0,-1695.0,-2.0,-3256.0,-0.02550081852395659,0.7042526559119544,,
20250424,4389.6577,4395.2003,4407.2109,4367.0957,118801.0,295.0,66953.0,2.0,-1.0,1339.0,-2000.0,0.0,-3.0,0.0,-4499.0,4381.531199999999,4354.535519999999,4437.32204,26.99567999999999,-55.79084000000057,1.0,-661.0,-3.0,-4499.0,0.002483144081278777,0.7280007820392422,,
20250425,4351.4182,4389.2872,4391.1292,4349.1174,123274.0,4473.0,77984.0,2.0,-1.0,1520.0,-2065.0,0.0,-3.0,0.0,-3156.0,4378.04486,4357.12714,4426.5728,20.91772000000037,-48.52793999999994,1.0,-545.0,-3.0,-3156.0,0.03628502360595097,0.9669988960557184,,
20250428,4357.0595,4323.227,4366.4875,4317.3926,118778.0,-4496.0,77894.0,2.0,-1.0,1180.0,-2153.0,2.0,-1.0,1982.0,-1571.0,4377.057559999999,4357.40907,4416.16558,19.64848999999958,-39.10802000000058,1.0,-973.0,1.0,411.0,-0.037852127498358284,0.359903687930697,,
20250429,4340.4774,4352.2783,4354.2405,4304.3693,117606.0,-1172.0,68737.0,1.0,-1.0,185.0,-1995.0,2.0,-1.0,2312.0,-315.0,4371.21552,4359.477089999999,4405.001525000001,11.73843000000033,-33.78600500000084,0.0,-1810.0,1.0,1997.0,-0.00996547795180518,0.5182880760367655,,
20250430,4340.7511,4325.7568,4369.1644,4304.5572,120882.0,3276.0,107385.0,1.0,-1.0,207.0,-1935.0,2.0,-1.0,3463.0,-310.0,4355.87278,4363.10354,4392.47019,-7.230760000000373,-36.59741000000031,0.0,-1728.0,1.0,3153.0,0.02710080905345709,0.8375105774188697,,
20250506,4386.3899,4306.0717,4393.4429,4272.0276,129170.0,8288.0,95573.0,1.0,-1.0,162.0,-2093.0,3.0,0.0,3205.0,0.0,4355.219220000001,4368.37521,4381.441304999999,-13.15598999999929,-26.22208499999851,0.0,-1931.0,3.0,3205.0,0.06416350545792367,0.9666239192770654,,
20250507,4391.7116,4395.2837,4430.2679,4379.5451,135086.0,5916.0,91514.0,2.0,-1.0,1242.0,-2115.0,2.0,-1.0,3319.0,-1579.0,4363.2779,4370.66138,4369.99539,-7.383479999999508,-6.717489999999998,1.0,-873.0,1.0,1740.0,0.043794323616066805,0.3264567149896729,,
20250508,4324.0029,4382.0389,4397.7023,4313.1877,132183.0,-2903.0,92678.0,2.0,-1.0,1251.0,-1905.0,2.0,-1.0,2159.0,-2969.0,4356.66658,4366.86207,4360.844555,-10.19549000000006,-4.177974999999606,1.0,-654.0,1.0,-810.0,-0.021961976956189525,0.3639820144839479,,
20250509,4301.6802,4333.3103,4352.3165,4295.2018,137183.0,5000.0,86091.0,1.0,-2.0,754.0,-2119.0,1.0,-2.0,3044.0,-179.0,4348.90714,4360.06133,4352.4818,-11.15418999999929,-3.574659999999312,-1.0,-1365.0,-1.0,2865.0,0.03644766479811638,0.3734297899970058,,
