,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250219,5153.4349,5147.1107,5173.2533,5119.8137,1406623.0,-17089.0,597098.0,1.0,0.0,14708.0,0.0,1.0,-2.0,37283.0,-36772.0,5121.54476,5122.33115,5126.62017,-0.7863900000002104,-5.075410000000375,1.0,14708.0,-1.0,511.0,-0.0121489553348694,-0.1168329469372289,0.1518,0.04793028322440043
20250220,5154.1783,5163.9065,5177.3754,5128.7052,1431043.0,24420.0,655450.0,1.0,0.0,14951.0,0.0,2.0,-1.0,36559.0,-33923.0,5137.48532,5138.932839999999,5124.82207,-1.447519999999713,12.66324999999961,1.0,14951.0,1.0,2636.0,0.017064476748776942,-0.0886203409170019,0.1517,0.04575163398692791
20250221,5112.0452,5175.0093,5199.2032,5105.8093,1453838.0,22795.0,1201284.0,1.0,0.0,14954.0,0.0,1.0,-1.0,33735.0,-41060.0,5139.00686,5139.8458,5116.278710000001,-0.838940000000548,22.728149999999,1.0,14954.0,0.0,-7325.0,0.015679188465289807,-0.1305099788002467,0.1538,0.09150326797385581
20250224,5061.9313,5107.4985,5128.8473,5045.6436,1468445.0,14607.0,817727.0,1.0,0.0,14958.0,0.0,2.0,-1.0,15689.0,-30507.0,5125.23482,5128.69148,5107.012655,-3.456659999999829,18.22216500000013,1.0,14958.0,1.0,-14818.0,0.00994725713254497,-0.0940248132163168,0.1529,0.07189542483660126
20250225,5050.6044,5061.2801,5069.3773,5032.2166,1478082.0,9637.0,541947.0,1.0,0.0,15173.0,0.0,2.0,-1.0,11925.0,-25039.0,5106.438819999999,5116.13473,5100.646125,-9.695910000000367,5.792694999999185,1.0,15173.0,1.0,-13114.0,0.00651993597107603,-0.115592384677703,0.1467,0.0
20250226,4983.7518,5034.3364,5062.4493,4980.1217,1531488.0,53406.0,864079.0,1.0,0.0,15541.0,0.0,1.0,-1.0,12962.0,-22322.0,5072.502200000001,5097.02348,5090.347940000001,-24.52127999999902,-17.84573999999975,1.0,15541.0,0.0,-9360.0,0.03487196765498652,-0.1461354043035133,0.1483,0.03278688524590143
20250227,4997.7473,4973.4644,5001.2201,4963.0644,1597879.0,66391.0,755407.0,1.0,0.0,16442.0,0.0,1.0,-1.0,11872.0,-11103.0,5041.215999999999,5089.35066,5083.027355,-48.13466000000062,-41.81135500000073,1.0,16442.0,0.0,769.0,0.04154945399495206,-0.0948162383185256,0.1439,0.0
20250228,4996.8762,5018.2385,5029.5673,4991.5993,1605071.0,7192.0,625658.0,1.0,0.0,16717.0,0.0,1.0,-1.0,16324.0,-2106.0,5018.1822,5078.59453,5079.38633,-60.41233000000011,-61.20413000000008,1.0,16717.0,0.0,14218.0,0.0044807986687193276,-0.1167146966295015,0.1472,0.06395348837209297
20250303,5017.509,4990.7712,5071.3919,4974.019,1598642.0,-6429.0,975216.0,1.0,-1.0,15373.0,-11963.0,2.0,-1.0,28163.0,-13990.0,5009.29774,5067.26628,5079.045819999999,-57.96853999999985,-69.74807999999939,0.0,3410.0,1.0,14173.0,-0.004021538280615673,-0.0661125170169626,0.1493,0.10465116279069743
20250304,4888.9828,5017.3088,5032.2789,4882.4605,1737872.0,139230.0,1119333.0,0.0,-1.0,5278.0,-13609.0,2.0,-1.0,37731.0,-16462.0,4976.97342,5041.70612,5073.957965,-64.73269999999957,-96.98454499999934,-1.0,-8331.0,1.0,21269.0,0.08011522137418636,-0.1266839016239239,0.154,0.19573643410852706
20250305,4878.7539,4873.2665,4908.7089,4868.6831,1752646.0,14774.0,706795.0,1.0,-1.0,16995.0,-12275.0,2.0,-1.0,34889.0,-17719.0,4955.97384,5014.23802,5068.284585,-58.26418000000012,-112.3107450000007,0.0,4720.0,1.0,17170.0,0.008429540249428578,-0.0968497768991164,0.1513,0.14341085271317808
20250306,4848.7613,4864.5837,4879.6109,4800.0032,1785180.0,32534.0,861123.0,1.0,-1.0,17808.0,-12398.0,2.0,-1.0,28033.0,-19332.0,4926.17664,4983.69632,5061.31458,-57.51968000000033,-135.1379400000005,0.0,5410.0,1.0,8701.0,0.018224492768236258,-0.1539503177159412,0.1663,0.43410852713178294
20250307,4868.3934,4849.692,4872.6473,4825.8069,1800250.0,15070.0,612140.0,0.0,-2.0,805.0,-11905.0,2.0,-1.0,22198.0,-21830.0,4900.480079999999,4959.33114,5049.588470000001,-58.85106000000087,-149.1083900000012,-2.0,-11100.0,1.0,368.0,0.00837105957505902,-0.1344965449033734,0.1567,0.24806201550387605
20250310,4833.0868,4878.9856,4900.5536,4828.0344,1797176.0,-3074.0,799418.0,0.0,-1.0,6146.0,-11238.0,2.0,-1.0,24525.0,-13441.0,4863.59564,4936.44669,5032.569085,-72.85105000000021,-168.9734450000005,-1.0,-5092.0,1.0,11084.0,-0.001710461301508589,-0.1738056355047584,0.1625,0.3604651162790698
20250311,4798.3861,4856.211,4857.0195,4756.9647,1865632.0,68456.0,854270.0,0.0,-2.0,4490.0,-11633.0,2.0,-1.0,30922.0,-2268.0,4845.4763,4911.22486,5013.679795,-65.74856,-168.2034949999997,-2.0,-7143.0,1.0,28654.0,0.03669319565702132,-0.1631947759711331,0.1715,0.5348837209302327
20250312,4729.602,4806.902,4833.4876,4723.9492,1962295.0,96663.0,966564.0,1.0,-1.0,22954.0,-998.0,1.0,-1.0,15258.0,-12149.0,4815.64592,4885.80988,4991.41668,-70.16395999999986,-175.7707600000003,0.0,21956.0,0.0,3109.0,0.04926017749624802,-0.2053405848234919,0.1848,0.7926356589147284
20250313,4776.5035,4761.668,4818.0034,4748.7253,1928313.0,-33982.0,856317.0,1.0,0.0,11343.0,0.0,1.0,-2.0,10317.0,-13066.0,4801.19436,4863.6855,4976.51808,-62.49114000000009,-175.3237200000003,1.0,11343.0,-1.0,-2749.0,-0.01762265773243244,-0.1825482885842146,0.168,0.46705426356589164
20250314,4838.192,4766.4966,4846.3741,4756.1661,1913409.0,-14904.0,787632.0,1.0,0.0,12760.0,0.0,1.0,-2.0,11667.0,-16983.0,4795.154079999999,4847.81708,4963.205805,-52.66300000000047,-168.0517250000003,1.0,12760.0,-1.0,-5316.0,-0.007789238996994369,-0.1692109236005811,0.1591,0.2945736434108525
20250317,4843.1249,4843.5191,4873.5587,4793.3842,1886139.0,-27270.0,908089.0,1.0,-1.0,18335.0,-1036.0,1.0,-2.0,26714.0,-26799.0,4797.1617,4830.37867,4948.822474999999,-33.2169700000004,-151.6607749999994,0.0,17299.0,-1.0,-85.0,-0.014458107276292998,-0.1132618405107583,0.1604,0.3197674418604648
