,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250314,5081.2989,5052.6648,5087.975,5027.7124,1414114.0,-38434.0,813822.0,2.0,0.0,51617.0,0.0,0.0,-3.0,0.0,-178330.0,5065.41418,5115.06267,5178.90316,-49.64849000000049,-113.4889800000001,2.0,51617.0,-3.0,-178330.0,-0.027178855452954995,-1.1846307916575338,0.1322,0.023941068139963592
20250317,5091.8076,5095.5874,5097.5872,5060.4515,1395064.0,-19050.0,774888.0,2.0,0.0,51761.0,0.0,0.0,-3.0,0.0,-173143.0,5065.19326,5099.834489999999,5170.30177,-34.64122999999927,-105.10851,2.0,51761.0,-3.0,-173143.0,-0.013655287499354869,-0.595236891970093,0.135,0.07550644567219188
20250318,5035.0127,5091.935,5092.8008,5034.1699,1434419.0,39355.0,847645.0,2.0,0.0,54738.0,0.0,0.0,-3.0,0.0,-190339.0,5057.80334,5083.941089999999,5158.690225,-26.13774999999896,-100.8868849999999,2.0,54738.0,-3.0,-190339.0,0.027436195421282065,-0.6501763901597745,0.1365,0.10831721470019379
20250319,5053.8214,5036.3078,5059.519,5021.9268,1412028.0,-22391.0,767784.0,2.0,0.0,53452.0,0.0,0.0,-3.0,0.0,-179427.0,5062.42446,5077.39884,5147.683494999999,-14.97437999999966,-85.25903499999913,2.0,53452.0,-3.0,-179427.0,-0.0158573342738246,-0.6132906661444641,0.1362,0.10251450676982586
20250320,5059.745,5054.4357,5085.2844,5041.0988,1394220.0,-17808.0,771487.0,2.0,0.0,53567.0,0.0,0.0,-3.0,0.0,-170975.0,5064.337119999999,5068.85552,5135.98221,-4.518400000000838,-71.64509000000089,2.0,53567.0,-3.0,-170975.0,-0.012772733141111159,-0.6351041545636179,0.1318,0.017408123791102736
20250321,5048.7302,5056.6952,5073.8466,5035.3948,1398970.0,4750.0,658903.0,2.0,0.0,54759.0,0.0,0.0,-3.0,0.0,-174250.0,5057.82338,5061.61878,5124.95674,-3.795399999999972,-67.13335999999981,2.0,54759.0,-3.0,-174250.0,0.003395355154149124,-0.6172865780828697,0.126,0.0
20250324,5190.1663,5048.91,5190.9171,5041.0432,1309022.0,-89948.0,1431957.0,2.0,0.0,33316.0,0.0,0.0,-3.0,0.0,-134585.0,5077.49512,5071.34419,5121.371335,6.150930000000699,-43.87621499999932,2.0,33316.0,-3.0,-134585.0,-0.06871389480085133,-0.5559204178719986,0.1367,0.18904593639575945
20250325,5162.0436,5189.6765,5202.3741,5147.0626,1302924.0,-6098.0,880107.0,2.0,0.0,32067.0,0.0,0.0,-3.0,0.0,-146612.0,5102.9013,5080.35232,5118.466205,22.54897999999957,-15.56490500000018,2.0,32067.0,-3.0,-146612.0,-0.004680242285812527,-0.5911818200192765,0.1311,0.09010600706713767
20250326,5153.5924,5164.5052,5173.3065,5134.6853,1300618.0,-2306.0,668840.0,2.0,0.0,33753.0,0.0,0.0,-3.0,0.0,-161006.0,5122.8555,5092.639980000001,5117.223459999999,30.21551999999883,5.632040000000416,2.0,33753.0,-3.0,-161006.0,-0.001773003295356515,-0.5480971435511799,0.1265,0.008833922261484104
20250327,5169.44,5154.7336,5181.7655,5142.5967,1289321.0,-11297.0,740812.0,3.0,0.0,44416.0,0.0,0.0,-3.0,0.0,-151816.0,5144.794500000001,5104.56581,5115.5319,40.22869000000082,29.26260000000093,3.0,44416.0,-3.0,-151816.0,-0.00876197626502632,-0.5553738760036284,0.1255,0.0
20250328,5158.0517,5170.8711,5188.2823,5145.4747,1285318.0,-4003.0,661895.0,3.0,0.0,41656.0,0.0,0.0,-3.0,0.0,-154696.0,5166.6588,5112.24109,5113.651879999999,54.41770999999972,53.00692000000072,3.0,41656.0,-3.0,-154696.0,-0.0031144043730812142,-0.5867105197782867,0.1181,0.0
