,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,13011.2656,13036.7246,13103.4873,12962.7529,26564.0,1639.0,17467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13085.57382,13066.01542,13238.63163,19.55840000000171,-153.0578099999984,13144.18626888889,13254.61977729365,28881.3,,,0.0,0.0,0.0,0.0,0.06170004517391959,-0.1279271118592859,,,0.4355
20240507,13177.7695,13013.207,13313.5537,13004.6797,28439.0,1875.0,38647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13129.19256,13057.44667,13225.88749,71.74588999999833,-96.69492999999966,13134.8302945238,13229.0256377619,30729.3,46376.4,,0.0,0.0,0.0,0.0,0.06593058827666233,-0.1204452295563647,,,0.4516
20240508,13219.5254,13204.125,13311.4639,13176.1494,30625.0,2186.0,32378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13132.76718,13057.6872,13221.696135,75.07997999999861,-88.92895500000122,13133.754025,13205.43932213492,31229.3,,,0.0,0.0,0.0,0.0,0.07137959183673469,-0.1751100817275268,,,0.4516
20240509,13130.209,13219.6289,13230.7627,13048.6084,32989.0,2364.0,40440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13121.55078,13070.84433,13199.581,50.70644999999786,-78.03022000000055,13126.29727126984,13184.3424590873,32817.0,48528.0,,0.0,0.0,0.0,0.0,0.07166025038649247,-0.1957567789264797,,,0.4677
20240510,13228.8047,13165.1104,13318.3896,13162.1748,35112.0,2123.0,47493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13153.51484,13104.4414,13172.607025,49.07344000000012,-19.09218500000134,13128.9014315873,13167.44203713492,35016.2,56991.6,,0.0,0.0,0.0,0.0,0.06046365914786967,-0.2552644182253367,,,0.5323
20240513,13328.0645,13231.7432,13332.6992,12994.5957,37652.0,2540.0,70597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13216.87462,13151.22422,13155.857125,65.65039999999863,61.01749499999823,13136.58862095238,13155.87261916666,40078.3,84716.4,0.26689,0.0,0.0,0.0,0.0,0.0674598958886646,-0.2443790168258562,,,0.6129
20240514,13179.6953,13345.2861,13504.4336,13173.7695,41618.0,3966.0,62886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13217.25978,13173.22617,13139.393845,44.03361000000223,77.86593499999981,13146.55056722222,13149.17365875397,43931.7,75463.2,,0.0,0.0,0.0,0.0,0.09529530491614205,-0.1819157142583583,,,0.6452
20240515,13292.7109,13194.4072,13305.29,13114.6719,42661.0,1043.0,36279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13231.89688,13182.33203,13141.36518,49.56485000000066,90.53170000000136,13155.50682960317,13145.36611326984,42134.6,,0.27014,0.0,0.0,0.0,0.0,0.024448559574318462,-0.1206453188006556,,,0.6774
20240516,13445.0371,13279.1602,13495.0869,13175.2793,46057.0,3396.0,48143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13294.8625,13208.20664,13150.919525,86.65585999999894,143.9429749999999,13178.16662087302,13145.13183446825,43268.2,,,0.0,0.0,0.0,0.0,0.07373472002084373,-0.095382981492042,,,0.6935
20240517,13489.8193,13454.9775,13507.5303,13390.4102,45840.0,-217.0,33872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13347.06542,13250.29013,13169.539395,96.77528999999959,177.5260249999992,13208.17528809524,13149.29572180159,42820.2,,,0.0,0.0,0.0,0.0,-0.004733856893542758,-0.2350575627690194,,,0.7097
