,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,4471.4063,4439.0698,4485.9678,4422.9404,398591.0,-680.0,259631.0,0.0,0.0,0.0,0.0,1.0,-2.0,5743.0,-17675.0,4450.762540000001,4469.75892,4472.564545,-18.99637999999959,-21.80200499999955,0.0,0.0,-1.0,-11932.0,-0.0017060094181755234,-0.4349964670769439,,,
20240507,4486.9336,4470.2505,4504.8276,4456.8301,403651.0,5060.0,278850.0,0.0,0.0,0.0,0.0,2.0,-2.0,7252.0,-19092.0,4463.3431,4468.57708,4471.553925,-5.233979999999974,-8.210825000000114,0.0,0.0,0.0,-11840.0,0.012535581480040926,-0.392780803216303,,,
20240508,4437.5938,4477.3853,4486.0005,4434.6738,432325.0,28674.0,257673.0,0.0,0.0,0.0,0.0,1.0,-2.0,11095.0,-28906.0,4462.42318,4461.19852,4467.42275,1.224659999999858,-4.999569999999949,0.0,0.0,-1.0,-17811.0,0.06632510264268779,-0.503739546643491,,,
20240509,4402.9658,4433.8843,4453.748,4395.8794,467082.0,34757.0,285870.0,0.0,0.0,0.0,0.0,1.0,-2.0,11760.0,-34893.0,4452.25266,4448.82586,4464.279095,3.426800000000185,-12.02643499999976,0.0,0.0,-1.0,-23133.0,0.07441305809258332,-0.6327319566706993,,,
20240510,4386.4097,4410.7358,4410.7358,4359.5815,476438.0,9356.0,275723.0,1.0,0.0,6842.0,0.0,1.0,-2.0,11719.0,-42665.0,4437.06184,4439.39124,4460.499435,-2.329399999999623,-23.43759499999942,1.0,6842.0,-1.0,-30946.0,0.019637392483387136,-0.6160535553291084,,,0.8548
20240513,4412.4854,4397.7827,4418.4229,4368.731,467592.0,-8846.0,216322.0,1.0,0.0,6062.0,0.0,1.0,-2.0,7640.0,-34983.0,4425.277660000001,4438.0201,4457.387229999999,-12.74243999999908,-32.10956999999871,1.0,6062.0,-1.0,-27343.0,-0.018918202193365156,-0.5231956096879061,,,
20240514,4461.7856,4426.4258,4469.0391,4416.2388,440777.0,-26815.0,340430.0,2.0,0.0,12723.0,0.0,1.0,-2.0,6368.0,-22334.0,4420.24806,4441.79558,4457.748724999999,-21.54752000000008,-37.50066499999957,2.0,12723.0,-1.0,-15966.0,-0.06083575141171159,-0.2329822693902475,,,
20240515,4457.2656,4461.4268,4483.9473,4448.9009,428619.0,-12158.0,259450.0,1.0,0.0,6686.0,0.0,1.0,-2.0,6259.0,-17253.0,4424.182419999999,4443.302799999999,4457.592695,-19.1203800000003,-33.41027500000109,1.0,6686.0,-1.0,-10994.0,-0.028365518094158215,-0.238549575078726,,,
20240516,4455.6011,4471.4878,4477.5806,4451.4771,426477.0,-2142.0,201077.0,2.0,0.0,12930.0,0.0,1.0,-2.0,6086.0,-23314.0,4434.70948,4443.48107,4455.46594,-8.771590000000288,-20.75646000000052,2.0,12930.0,-1.0,-17228.0,-0.005022545178286285,-0.256518325560723,,,
20240517,4520.5957,4457.3037,4530.4746,4457.3037,427083.0,606.0,333778.0,2.0,0.0,14868.0,0.0,1.0,-2.0,6166.0,-16008.0,4461.54668,4449.30426,4459.345115,12.24242000000049,2.201565000000301,2.0,14868.0,-1.0,-9842.0,0.0014189279367242433,-0.3259501409060131,,,0.9839
