,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250225,7837.9977,7856.4045,7860.0006,7813.7382,608191.0,-760.0,214016.0,1.0,-1.0,0.0,-4618.0,1.0,-2.0,5730.0,-23773.0,7863.957339999999,7843.924830000001,7806.31891,20.03250999999818,57.63842999999906,0.0,-4618.0,-1.0,-18043.0,-0.0012496074423988517,0.4057396336884563,,
20250226,7819.874,7831.4068,7836.6203,7785.5454,603949.0,-4242.0,300116.0,1.0,-1.0,5800.0,-4618.0,1.0,-2.0,4961.0,-24139.0,7855.28648,7840.636469999999,7806.94935,14.65001000000029,48.33712999999989,0.0,1182.0,-1.0,-19178.0,-0.007023771874777506,0.4274648145259189,,
20250227,7899.4783,7816.8258,7907.6513,7814.4423,606137.0,2188.0,446558.0,1.0,-1.0,5957.0,-12062.0,1.0,-2.0,2412.0,-11919.0,7856.912579999999,7853.606020000001,7813.161015000001,3.306559999998171,43.75156499999866,0.0,-6105.0,-1.0,-9507.0,0.0036097449916438033,0.4202661656482583,,
20250228,7899.8215,7906.1822,7923.6282,7889.8003,611952.0,5815.0,303062.0,1.0,-1.0,6665.0,-13121.0,1.0,-2.0,1955.0,-10802.0,7861.407099999999,7862.24028,7821.201789999999,-0.8331800000005387,40.20531000000028,0.0,-6456.0,-1.0,-8847.0,0.009502379271576857,0.4013108310408059,,
20250303,7912.1671,7899.6498,7927.3037,7871.2622,597124.0,-14828.0,297575.0,1.0,-1.0,6678.0,-13329.0,1.0,-2.0,0.0,-12653.0,7873.86772,7868.29783,7829.8189,5.569889999999759,44.04881999999998,0.0,-6651.0,-1.0,-12653.0,-0.02483236312725665,0.4194855429434714,,
20250304,7891.0932,7914.9455,7927.1078,7873.9788,608900.0,11776.0,285979.0,1.0,-1.0,6752.0,-13445.0,1.0,-2.0,0.0,-22618.0,7884.48682,7874.22208,7835.096614999999,10.26474000000053,49.39020500000061,0.0,-6693.0,-1.0,-22618.0,0.019339793069469535,0.3962016632401263,,
20250305,7861.4136,7882.4955,7882.6339,7841.94,596600.0,-12300.0,345045.0,1.0,-1.0,7029.0,-12598.0,0.0,-3.0,0.0,-32849.0,7892.79474,7874.040610000001,7842.501459999999,18.75412999999935,50.29328000000078,0.0,-5569.0,-3.0,-32849.0,-0.02061682869594368,0.4238061877789066,,
20250306,7898.7653,7855.8212,7904.38,7789.2814,612490.0,15890.0,561476.0,1.0,-1.0,6494.0,-11032.0,1.0,-2.0,2279.0,-28262.0,7892.65214,7874.78236,7850.892809999999,17.86977999999999,41.75933000000077,0.0,-4538.0,-1.0,-25983.0,0.025943280706623783,0.4418781322993067,,
20250307,7861.9795,7895.7563,7901.412,7847.4105,608497.0,-3993.0,302581.0,1.0,-1.0,6670.0,-11243.0,1.0,-2.0,461.0,-24357.0,7885.08374,7873.245420000001,7855.147005000001,11.83831999999893,29.93673499999932,0.0,-4573.0,-1.0,-23896.0,-0.006562070149893919,0.3770162721199955,,
20250310,7839.3214,7872.9433,7894.659,7826.7088,611419.0,2922.0,363469.0,1.0,-1.0,6399.0,-12025.0,0.0,-3.0,0.0,-27775.0,7870.5146,7872.19116,7858.086415,-1.676559999999881,12.42818500000067,0.0,-5626.0,-3.0,-27775.0,0.004779046774797643,0.4477233930806657,,
