,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250312,6635.3262,6728.5849,6773.0908,6622.124,298178.0,9356.0,219433.0,2.0,0.0,4508.0,0.0,1.0,-3.0,537.0,-20393.0,6742.482739999999,6857.675010000001,7033.250955,-115.1922700000014,-290.768215000001,2.0,4508.0,-2.0,-19856.0,0.03137723104990978,-0.5140254203505618,,
20250313,6748.2037,6680.914,6815.5417,6662.9161,295361.0,-2817.0,283182.0,2.0,0.0,4939.0,0.0,1.0,-2.0,1748.0,-16448.0,6732.561879999999,6827.29989,7011.45728,-94.73801000000094,-278.8954000000003,2.0,4939.0,-1.0,-14700.0,-0.009537481251756325,-0.5716134109217439,,
20250314,6840.744,6732.0365,6848.4266,6720.8038,291639.0,-3722.0,204209.0,2.0,0.0,4557.0,0.0,1.0,-2.0,1199.0,-16910.0,6739.52454,6807.69806,6991.7186,-68.17351999999937,-252.1940599999998,2.0,4557.0,-1.0,-15711.0,-0.012762353457527971,-0.6684809692041428,,
20250317,6854.5694,6836.21,6872.4794,6761.0296,286156.0,-5483.0,191190.0,2.0,0.0,3847.0,0.0,1.0,-2.0,1686.0,-17197.0,6757.664699999999,6787.17959,6970.817140000001,-29.51489000000038,-213.1524400000017,2.0,3847.0,-1.0,-15511.0,-0.01916087728371937,-0.1094387679293947,,
20250318,6879.5683,6856.1164,6900.2959,6802.7874,285288.0,-868.0,173089.0,2.0,-1.0,1508.0,-63.0,1.0,-2.0,2144.0,-17338.0,6791.68232,6787.738039999999,6949.20916,3.944280000000617,-157.5268400000004,1.0,1445.0,-1.0,-15194.0,-0.00304253946888758,-0.1125945423099136,,
20250319,6815.5346,6885.5172,6904.911,6794.4628,282228.0,-3060.0,201474.0,2.0,0.0,6386.0,0.0,1.0,-2.0,1719.0,-20035.0,6827.723999999999,6785.10337,6925.147575,42.62062999999944,-97.42357500000071,2.0,6386.0,-1.0,-18316.0,-0.010842297716739658,-0.2044883777772697,,
20250320,6874.1824,6833.0664,6892.9518,6793.6038,281868.0,-360.0,189989.0,0.0,-1.0,0.0,-1335.0,1.0,-2.0,2950.0,-15469.0,6852.91974,6792.74081,6903.746734999999,60.17893000000004,-50.82699499999853,-1.0,-1335.0,-1.0,-12519.0,-0.0012771935799736048,-0.1477154540853905,,
20250321,6885.4091,6860.0946,6956.7791,6817.7082,276184.0,-5684.0,208140.0,0.0,-2.0,0.0,-4779.0,2.0,-1.0,4876.0,-13355.0,6861.85276,6800.688649999999,6887.880815,61.16411000000062,-26.02805499999977,-2.0,-4779.0,1.0,-8479.0,-0.020580482576832836,-0.1098439128183155,,
20250324,6925.3247,6876.9504,6938.6138,6839.1018,272656.0,-3528.0,188084.0,0.0,-2.0,0.0,-4213.0,1.0,-2.0,0.0,-14210.0,6876.003820000001,6816.834260000001,6877.700200000001,59.16956000000027,-1.696380000000318,-2.0,-4213.0,-1.0,-14210.0,-0.012939381491696496,-0.0403375886588062,,
20250325,6911.1798,6916.7448,6939.559,6880.0782,272674.0,18.0,130646.0,1.0,-2.0,0.0,-4126.0,1.0,-2.0,0.0,-15060.0,6882.32612,6837.00422,6866.920385,45.32189999999991,15.40573499999937,-1.0,-4126.0,-1.0,-15060.0,6.601289451872933e-05,-0.0992194301818435,,
20250326,6958.0217,6921.8075,6986.3113,6914.5951,256555.0,-16119.0,183448.0,1.0,-1.0,424.0,-3247.0,1.0,-2.0,386.0,-13536.0,6910.82354,6869.27377,6863.47439,41.54977000000054,47.34915000000001,0.0,-2823.0,-1.0,-13150.0,-0.06282863323653798,-0.0149177530066472,,
20250327,6996.9666,6965.7916,7019.7549,6941.0149,257407.0,852.0,136575.0,1.0,-2.0,0.0,-4715.0,1.0,-1.0,2278.0,-14235.0,6935.380380000001,6894.15006,6860.724975,41.23032000000057,74.65540500000043,-1.0,-4715.0,0.0,-11957.0,0.0033099332962973037,-0.0640488439476075,,
