,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,1868.1854,1804.7156,1869.1156,1787.9606,192678.0,10891.0,120690.0,0.0,-1.0,0.0,-2228.0,2.0,-2.0,3770.0,-2565.0,1812.58688,1789.04499,1702.44586,23.54189000000019,110.1410200000003,-1.0,-2228.0,0.0,1205.0,0.0565243566987409,-2.040340891571415,,,
20240507,1849.1808,1867.4514,1884.9863,1840.8633,189783.0,-2895.0,120791.0,1.0,0.0,2069.0,0.0,2.0,-2.0,2916.0,-3338.0,1824.3009,1796.24843,1720.68916,28.05247000000008,103.6117400000003,1.0,2069.0,0.0,-422.0,-0.01525426408055516,-1.9706643219027944,,,
20240508,1776.9652,1847.1577,1854.6733,1770.3129,187985.0,-1798.0,167274.0,1.0,0.0,2368.0,0.0,1.0,-2.0,1440.0,-5358.0,1818.64194,1795.4495,1734.462365,23.19244000000003,84.17957500000011,1.0,2368.0,-1.0,-3918.0,-0.009564592919647844,-1.991541962833928,,,
20240509,1768.8484,1771.5208,1796.5873,1748.2456,181074.0,-6911.0,158207.0,1.0,0.0,2416.0,0.0,2.0,-2.0,1243.0,-5122.0,1812.52758,1795.03085,1746.374335,17.49673000000053,66.15324500000042,1.0,2416.0,0.0,-3879.0,-0.038166716370102834,-2.425951467260268,,,
20240510,1751.5859,1772.3478,1778.9045,1733.4344,176913.0,-4161.0,137588.0,2.0,0.0,4338.0,0.0,1.0,-2.0,1435.0,-6432.0,1802.95314,1798.25763,1755.534665,4.695510000000013,47.41847500000017,2.0,4338.0,-1.0,-4997.0,-0.023520035271574164,-2.2063724430008214,,,0.4839
20240513,1734.1862,1762.5074,1762.7941,1703.1667,176970.0,57.0,144363.0,2.0,0.0,4575.0,0.0,1.0,-2.0,1986.0,-5192.0,1776.1533,1794.37009,1763.847435,-18.21678999999949,12.30586500000027,2.0,4575.0,-1.0,-3206.0,0.00032208848957450414,-2.7705234044724505,,,
20240514,1664.8472,1722.0649,1728.866,1652.8807,177752.0,782.0,186860.0,2.0,0.0,5171.0,0.0,1.0,-2.0,224.0,-9389.0,1739.28658,1781.79374,1766.023775,-42.50715999999989,-26.73719500000016,2.0,5171.0,-1.0,-9165.0,0.004399387911247131,-2.3334844855993477,,,
20240515,1665.8439,1666.6576,1679.7174,1649.7053,167762.0,-9990.0,112390.0,2.0,0.0,5039.0,0.0,1.0,-3.0,0.0,-11309.0,1717.06232,1767.85213,1765.23697,-50.78980999999976,-48.1746499999997,2.0,5039.0,-2.0,-11309.0,-0.059548646296539144,-2.3358504931856783,,,
20240516,1723.7164,1667.6667,1738.1636,1645.7272,182617.0,14855.0,211702.0,2.0,0.0,5076.0,0.0,0.0,-3.0,0.0,-12354.0,1708.03592,1760.28175,1765.74431,-52.2458300000003,-57.70839000000024,2.0,5076.0,-3.0,-12354.0,0.08134511025808112,-2.3025739957514797,,,
20240517,1728.5654,1722.3407,1748.3817,1711.4036,168183.0,-14434.0,128830.0,2.0,0.0,5409.0,0.0,0.0,-3.0,0.0,-14641.0,1703.43182,1753.19248,1766.114785,-49.76065999999992,-62.68296499999997,2.0,5409.0,-3.0,-14641.0,-0.08582318070197345,-2.170845217912309,,,0.4516
20240520,1748.2122,1729.531,1765.1873,1707.0645,175354.0,7171.0,150879.0,2.0,0.0,5869.0,0.0,0.0,-3.0,0.0,-14433.0,1706.23702,1741.19516,1765.120075,-34.95813999999996,-58.88305500000001,2.0,5869.0,-3.0,-14433.0,0.040894419288981146,-2.23517840758493,,,
20240521,1742.3296,1735.8563,1764.6681,1692.1902,176409.0,1055.0,179080.0,2.0,0.0,6261.0,0.0,0.0,-3.0,0.0,-14043.0,1721.7335,1730.51004,1763.379235,-8.776540000000068,-41.64573500000006,2.0,6261.0,-3.0,-14043.0,0.005980420500087864,-2.139955414477249,,,
20240522,1805.7723,1745.2921,1816.5449,1745.2921,184828.0,8419.0,188246.0,2.0,0.0,5193.0,0.0,0.0,-3.0,0.0,-9996.0,1749.71918,1733.39075,1764.420125,16.32843000000003,-14.70094499999982,2.0,5193.0,-3.0,-9996.0,0.04555045772285585,-2.0425381288846167,,,
20240523,1791.9216,1795.9072,1833.472,1757.6765,180041.0,-4787.0,193498.0,2.0,0.0,5156.0,0.0,0.0,-3.0,0.0,-8698.0,1763.36022,1735.69807,1765.36446,27.66215000000011,-2.004239999999982,2.0,5156.0,-3.0,-8698.0,-0.02658838820046545,-2.698553454118441,,,
20240524,1820.4487,1795.1381,1836.4622,1784.9698,179201.0,-840.0,146874.0,2.0,0.0,4945.0,0.0,1.0,-3.0,0.0,-8549.0,1781.73688,1742.58435,1770.42099,39.15253000000007,11.31588999999985,2.0,4945.0,-2.0,-8549.0,-0.004687473842221863,-2.3955338932408083,,,0.2419
