,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250327,3154.2389,3171.2526,3182.1635,3154.2389,470983.0,3635.0,579526.0,1.0,-2.0,1685.0,-4591.0,2.0,-1.0,11189.0,-7893.0,3129.73554,3093.7363,3084.808575,35.9992400000001,44.92696500000011,-1.0,-2906.0,1.0,3296.0,0.007717900646095507,0.864317271609887,,
20250328,3159.7963,3161.4034,3167.7865,3139.879,472669.0,1686.0,657451.0,1.0,-2.0,747.0,-5731.0,2.0,-1.0,15294.0,-7719.0,3142.7544,3103.36859,3081.314035,39.38580999999976,61.44036499999947,-1.0,-4984.0,1.0,7575.0,0.003566978160192439,0.739205810430105,,
20250331,3139.2893,3165.7406,3167.7002,3113.8548,460322.0,-12347.0,668454.0,2.0,-2.0,1526.0,-1113.0,2.0,-1.0,18341.0,-8331.0,3148.48732,3111.76198,3077.746535,36.72533999999996,70.74078500000041,0.0,413.0,1.0,10010.0,-0.02682252857782161,0.7274762022500842,,
20250401,3236.6447,3151.6712,3238.5749,3148.5403,482401.0,22079.0,850335.0,0.0,-3.0,0.0,-5130.0,2.0,-1.0,19357.0,-8238.0,3170.2087,3126.88064,3086.18038,43.32806000000028,84.02832000000035,-3.0,-5130.0,1.0,11119.0,0.04576897643247008,1.0607007824255266,,
20250402,3223.7456,3231.0447,3250.4906,3220.1836,478450.0,-3951.0,617354.0,1.0,-2.0,214.0,-3846.0,2.0,-1.0,22153.0,-8250.0,3182.74296,3147.78382,3095.561245,34.95913999999948,87.18171499999971,-1.0,-3632.0,1.0,13903.0,-0.008257916187689413,1.0112636539766402,,
20250403,3214.8545,3220.1755,3246.1967,3188.3762,456514.0,-21936.0,725962.0,1.0,-2.0,0.0,-3353.0,2.0,-1.0,17119.0,-6901.0,3194.86608,3162.30081,3105.228335,32.56527000000051,89.637745,-1.0,-3353.0,1.0,10218.0,-0.048051100294843094,1.0696703781031505,,
20250407,2989.0739,2991.6409,2991.6409,2989.0739,436113.0,-20401.0,34678.0,0.0,-1.0,0.0,-2743.0,2.0,-1.0,14917.0,-7006.0,3160.7216,3151.738,3102.15987,8.983600000000024,58.56172999999944,-1.0,-2743.0,1.0,7911.0,-0.04677916044694838,1.034037771275524,,
20250408,2881.3582,2915.1441,2934.7042,2857.6844,402870.0,-33243.0,1416403.0,2.0,-1.0,1935.0,-4072.0,1.0,-2.0,3116.0,-8283.0,3109.13538,3128.81135,3093.412,-19.67596999999978,15.72338000000036,1.0,-2137.0,-1.0,-5167.0,-0.0825154516345223,0.891933364491315,,
20250409,2763.4937,2878.9015,2898.8454,2713.0355,427586.0,24716.0,1303516.0,2.0,-2.0,4226.0,-4780.0,2.0,-2.0,3823.0,-6423.0,3014.50518,3092.35694,3079.73444,-77.85176000000001,-65.22925999999961,0.0,-554.0,0.0,-2600.0,0.05780357635656921,0.8324980800379608,,
20250410,2872.6453,2684.904,2904.7418,2684.3238,416331.0,-11255.0,1484763.0,1.0,-1.0,3447.0,-4603.0,1.0,-2.0,2073.0,-10542.0,2944.28512,3063.51404,3073.04929,-119.2289200000005,-128.7641700000004,0.0,-1156.0,-1.0,-8469.0,-0.02703377841188862,0.8835429435200705,,
