,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250228,2570.8612,2575.2905,2578.1269,2558.5859,1022746.0,-13411.0,544588.0,0.0,-2.0,73.0,-21932.0,1.0,-2.0,28058.0,-38681.0,2553.20822,2544.29017,2552.36409,8.918050000000221,0.8441299999999501,-2.0,-21859.0,-1.0,-10623.0,-0.01311273766898135,0.1808303247196416,0.1486,0.06818181818181827
20250303,2590.2086,2570.4151,2603.7207,2566.9251,1102186.0,79440.0,792660.0,0.0,-2.0,0.0,-24807.0,2.0,-1.0,23535.0,-37732.0,2560.54254,2548.79856,2554.56995,11.74397999999974,5.972589999999855,-2.0,-24807.0,1.0,-14197.0,0.07207494923724309,0.2586920318027326,0.1481,0.05681818181818189
20250304,2590.0876,2585.4237,2600.7011,2576.3187,1128240.0,26054.0,668782.0,0.0,-2.0,0.0,-26410.0,2.0,-1.0,25069.0,-33577.0,2573.14308,2554.30738,2556.84736,18.83570000000009,16.29571999999962,-2.0,-26410.0,1.0,-8508.0,0.023092604410409133,0.2767353798481586,0.1485,0.06590909090909061
20250305,2573.6302,2584.1375,2586.2266,2561.163,1118054.0,-10186.0,673938.0,0.0,-2.0,0.0,-26042.0,2.0,-1.0,23237.0,-42518.0,2579.70986,2559.17343,2557.58344,20.53643000000011,22.12642000000005,-2.0,-26042.0,1.0,-19281.0,-0.009110472302768919,0.3163390147390172,0.1511,0.12500000000000017
20250306,2554.0913,2573.6505,2573.8972,2540.6379,1080014.0,-38040.0,857570.0,0.0,-2.0,0.0,-21989.0,1.0,-2.0,16589.0,-45244.0,2575.77578,2560.92934,2556.7897,14.84644000000026,18.98607999999967,-2.0,-21989.0,-1.0,-28655.0,-0.03522176564377869,0.3249017433609577,0.1567,0.2522727272727273
20250307,2572.8049,2553.2059,2578.4235,2548.9419,1109335.0,29321.0,654401.0,0.0,-2.0,0.0,-23536.0,2.0,-1.0,17165.0,-42187.0,2576.16452,2564.68637,2556.54972,11.47814999999991,19.61479999999983,-2.0,-23536.0,1.0,-25022.0,0.026431150193584444,0.4088668850487548,0.1527,0.16136363636363632
20250310,2570.7321,2579.9226,2602.545,2562.4728,1101736.0,-7599.0,892544.0,0.0,-2.0,0.0,-23583.0,1.0,-1.0,12502.0,-43108.0,2572.26922,2566.40588,2555.1896,5.86333999999988,17.07961999999952,-2.0,-23583.0,0.0,-30606.0,-0.006897296630045673,0.4197179445029562,0.1565,0.24772727272727266
20250311,2562.4411,2569.7363,2577.1975,2538.3706,1121771.0,20035.0,922116.0,0.0,-2.0,0.0,-24021.0,2.0,-1.0,20102.0,-43149.0,2566.73992,2569.9415,2553.79449,-3.201579999999922,12.94543000000021,-2.0,-24021.0,1.0,-23047.0,0.01786015149259519,0.4161573300922722,0.1571,0.2613636363636361
20250312,2504.2804,2565.0097,2572.7024,2504.2801,1162012.0,40241.0,1160588.0,0.0,-1.0,2605.0,-95.0,1.0,-2.0,15474.0,-73610.0,2552.86996,2566.28991,2550.56263,-13.41994999999952,2.307330000000547,-1.0,2510.0,-1.0,-58136.0,0.03463045132064041,0.5220148420771743,0.1731,0.6250000000000001
20250313,2514.9945,2510.7907,2528.7001,2496.7709,1160459.0,-1553.0,871748.0,1.0,-1.0,1246.0,-6347.0,1.0,-2.0,19512.0,-51734.0,2545.0506,2560.41319,2549.68809,-15.36259000000064,-4.637490000000071,0.0,-5101.0,-1.0,-32222.0,-0.0013382635663991575,0.4219894960597606,0.1555,0.2249999999999999
20250314,2559.7703,2515.6662,2562.1403,2510.6701,1129606.0,-30853.0,991479.0,0.0,-2.0,0.0,-21557.0,2.0,-1.0,28606.0,-18771.0,2542.44368,2559.3041,2551.797135,-16.86042000000043,-9.35345499999994,-2.0,-21557.0,1.0,9835.0,-0.027313063138828936,0.4667806705108641,0.1522,0.14999999999999994
