,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,7350.6157,7318.0552,7354.1719,7301.1831,291253.0,40444.0,119707.0,1.0,0.0,787.0,0.0,3.0,-2.0,3870.0,-882.0,7382.95282,7391.966899999999,7419.540944999999,-9.014079999999012,-36.5881249999984,1.0,787.0,1.0,2988.0,0.13886208897419083,-0.4072586083749729,,,
20240507,7354.3535,7348.9229,7376.3516,7337.1211,289274.0,-1979.0,124878.0,1.0,0.0,1436.0,0.0,2.0,-2.0,2104.0,-1615.0,7382.78866,7387.027929999999,7411.082814999999,-4.239269999999124,-28.29415499999868,1.0,1436.0,0.0,489.0,-0.006841264683310633,-0.3990233370076009,,,
20240508,7322.1104,7349.6162,7355.2896,7319.8716,316169.0,26895.0,178622.0,1.0,0.0,1530.0,0.0,2.0,-2.0,3182.0,-2358.0,7363.837399999999,7378.934719999999,7401.188749999999,-15.09731999999985,-37.35134999999991,1.0,1530.0,0.0,824.0,0.08506526572813906,-0.3425547874086377,,,
20240509,7325.6563,7315.6089,7367.6694,7309.7983,328763.0,12594.0,185939.0,1.0,0.0,1068.0,0.0,3.0,-2.0,3647.0,-728.0,7345.513099999999,7368.17315,7393.46883,-22.66005000000041,-47.95573000000059,1.0,1068.0,1.0,2919.0,0.03830723043651506,-0.3108082839116726,,,
20240510,7326.3926,7332.7959,7337.2705,7256.1807,331928.0,3165.0,178417.0,1.0,0.0,1686.0,0.0,2.0,-2.0,6042.0,-1855.0,7335.825699999999,7362.3752,7387.29271,-26.54950000000099,-51.4670100000003,1.0,1686.0,0.0,4187.0,0.009535200404907088,-0.3598682105156192,,,0.9839
20240513,7306.9106,7328.1001,7338.7524,7284.7432,321784.0,-10144.0,150260.0,1.0,0.0,1613.0,0.0,2.0,-2.0,926.0,-3437.0,7327.08468,7355.01875,7380.664409999999,-27.93407000000025,-53.57972999999947,1.0,1613.0,0.0,-2511.0,-0.031524252293463936,-0.3821297320900809,,,
20240514,7284.2373,7304.4761,7317.3252,7275.7603,325581.0,3797.0,122515.0,1.0,0.0,677.0,0.0,2.0,-3.0,775.0,-4083.0,7313.061439999999,7347.925050000001,7374.53089,-34.86361000000124,-61.46945000000051,1.0,677.0,-1.0,-3308.0,0.011662228446991685,-0.3551494984710586,,,
20240515,7334.6519,7271.0303,7337.0107,7264.5259,314085.0,-11496.0,113991.0,1.0,0.0,439.0,0.0,2.0,-3.0,435.0,-2016.0,7315.569740000001,7339.703570000001,7372.685504999999,-24.13382999999976,-57.11576499999865,1.0,439.0,-1.0,-1581.0,-0.036601556903386026,-0.3302508728389429,,,
20240516,7387.8716,7345.8369,7393.8398,7306.6978,298906.0,-15179.0,162534.0,1.0,-1.0,0.0,-514.0,1.0,-3.0,658.0,-2142.0,7328.0128,7336.762949999999,7372.169370000001,-8.750149999999849,-44.15657000000101,0.0,-514.0,-2.0,-1484.0,-0.050781851150528926,-0.3918679147726091,,,
20240517,7405.6816,7388.2822,7414.3511,7358.4097,294208.0,-4698.0,114950.0,1.0,-1.0,0.0,-446.0,1.0,-2.0,332.0,-5362.0,7343.8706,7339.84815,7370.910529999999,4.02245000000039,-27.039929999999,0.0,-446.0,-1.0,-5030.0,-0.015968294539917337,-0.2973074322658645,,,0.9032
