,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,7526.9502,7575.3398,7577.2856,7506.6919,442699.0,19449.0,399590.0,1.0,0.0,5406.0,0.0,1.0,-2.0,6160.0,-45309.0,7592.89092,7593.448000000001,7592.608725,-0.557080000001406,0.2821949999997742,1.0,5406.0,-1.0,-39149.0,0.0439327850300091,-0.0762856727948602,,,
20240507,7589.6021,7527.6772,7605.0586,7520.853,467859.0,25160.0,407223.0,1.0,0.0,5495.0,0.0,1.0,-2.0,4098.0,-49866.0,7597.7546,7592.325099999999,7593.776795,5.429500000001099,3.977805000000444,1.0,5495.0,-1.0,-45768.0,0.053776885771140454,-0.10065310267061,,,
20240508,7564.7456,7582.2144,7608.6792,7561.3052,468571.0,712.0,343334.0,1.0,0.0,5739.0,0.0,2.0,-1.0,5863.0,-48012.0,7586.17764,7584.391509999999,7591.995639999999,1.786130000000412,-5.817999999999302,1.0,5739.0,1.0,-42149.0,0.0015195135849209618,-0.0521318048440134,,,
20240509,7555.0757,7565.0547,7586.6758,7535.9683,461650.0,-6921.0,358934.0,1.0,0.0,5609.0,0.0,1.0,-2.0,5187.0,-53147.0,7570.552160000001,7577.79932,7590.006820000001,-7.247159999998985,-19.45465999999942,1.0,5609.0,-1.0,-47960.0,-0.014991876963067259,-0.0665380719206581,,,
20240510,7536.811,7558.0884,7569.7344,7500.3394,467801.0,6151.0,375110.0,0.0,0.0,0.0,0.0,2.0,-1.0,7863.0,-48972.0,7554.63692,7576.371880000001,7586.63155,-21.73496000000068,-31.99463000000014,0.0,0.0,1.0,-41109.0,0.013148753422929836,-0.0764647601154044,,,0.8065
20240513,7581.1206,7536.4917,7582.0435,7514.4512,483446.0,15645.0,372123.0,1.0,0.0,5779.0,0.0,2.0,-1.0,10448.0,-46644.0,7565.471,7579.18096,7586.416095,-13.70995999999923,-20.94509500000004,1.0,5779.0,1.0,-36196.0,0.03236142195819181,-0.0364022054767192,,,
20240514,7561.0234,7585.6191,7601.916,7552.8228,484845.0,1399.0,385778.0,0.0,0.0,0.0,0.0,2.0,-1.0,12081.0,-50397.0,7559.75526,7578.75493,7583.70435,-18.99967000000015,-23.94909000000007,0.0,0.0,1.0,-38316.0,0.0028854582392310946,-0.1410465453586717,,,
20240515,7586.3564,7551.1133,7589.6206,7545.2188,502499.0,17654.0,300812.0,0.0,0.0,0.0,0.0,2.0,-1.0,13126.0,-45171.0,7564.07742,7575.12753,7583.693775000002,-11.05011000000013,-19.61635500000193,0.0,0.0,1.0,-32045.0,0.03513240822369796,-0.1303121264771859,,,
20240516,7616.2124,7571.8994,7620.0254,7560.0962,532795.0,30296.0,388949.0,1.0,0.0,6132.0,0.0,2.0,-1.0,8542.0,-44670.0,7576.304760000001,7573.42846,7585.188744999999,2.876300000000811,-8.883984999998574,1.0,6132.0,1.0,-36128.0,0.05686239548043807,-0.0649784616818603,,,
20240517,7760.9878,7614.6045,7772.7456,7614.6045,626904.0,94109.0,633505.0,1.0,0.0,6499.0,0.0,2.0,-1.0,12256.0,-50529.0,7621.140119999999,7587.88852,7594.73076,33.25159999999869,26.40935999999874,1.0,6499.0,1.0,-38273.0,0.15011708331738194,-0.5453386861710721,,,0.871
