,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250317,17643.7376,17672.8469,17699.5231,17607.1169,107048.0,5755.0,77419.0,1.0,0.0,1148.0,0.0,1.0,-1.0,1603.0,-1201.0,17566.9061,17474.04877,17310.05838,92.85732999999891,256.8477200000016,1.0,1148.0,0.0,402.0,0.053760929676406846,-0.044190063621716,,
20250318,17577.3922,17655.9701,17662.3884,17571.3037,108140.0,1092.0,56145.0,1.0,0.0,1405.0,0.0,1.0,-1.0,1459.0,0.0,17602.61636,17509.60167,17330.42315,93.01468999999997,272.1932100000013,1.0,1405.0,0.0,1459.0,0.010098021083780285,-0.0543671521791127,,
20250319,17713.5611,17637.6163,17723.3277,17577.4388,105874.0,-2266.0,70497.0,1.0,0.0,1341.0,0.0,1.0,-1.0,1329.0,-699.0,17645.72496,17543.45005,17366.441295,102.2749100000001,279.283664999999,1.0,1341.0,0.0,630.0,-0.021402799554187054,0.0230602005869142,,
20250320,17640.0652,17713.3795,17741.1414,17614.0323,105723.0,-151.0,71269.0,1.0,0.0,1064.0,0.0,1.0,-1.0,1496.0,-979.0,17659.48964,17566.8994,17389.68055,92.59023999999772,269.8090900000025,1.0,1064.0,0.0,517.0,-0.001428260643379397,-0.02075366586081,,
20250321,17424.7897,17584.8989,17611.1757,17320.8486,98621.0,-7102.0,112295.0,1.0,0.0,814.0,0.0,1.0,-1.0,1091.0,-2051.0,17599.90916,17567.17879,17405.51642,32.73037000000113,194.3927399999993,1.0,814.0,0.0,-960.0,-0.07201306009876193,-0.0421676756989544,,
20250324,17662.4758,17426.151,17786.045,17375.4324,106464.0,7843.0,125678.0,2.0,0.0,2701.0,0.0,0.0,-1.0,380.0,-197.0,17603.6568,17585.28145,17431.101775,18.37534999999843,172.5550250000015,2.0,2701.0,-1.0,183.0,0.0736680943793207,-0.0812929438478388,,
20250325,17556.9234,17646.262,17646.262,17476.3092,103019.0,-3445.0,84627.0,2.0,0.0,3078.0,0.0,0.0,-2.0,0.0,-2321.0,17599.56304,17601.0897,17452.91098,-1.526660000003176,146.6520600000003,2.0,3078.0,-2.0,-2321.0,-0.03344043331812578,-0.0847018111772625,,
20250326,17617.8473,17559.1131,17667.6953,17510.2712,98373.0,-4646.0,76824.0,2.0,0.0,3086.0,0.0,0.0,-2.0,0.0,-2440.0,17580.42028,17613.07262,17476.7381,-32.65234000000055,103.6821799999962,2.0,3086.0,-2.0,-2440.0,-0.0472284061683592,-0.059470378424259,,
20250327,17619.9839,17620.9097,17674.5388,17592.0776,97811.0,-562.0,82769.0,2.0,0.0,1969.0,0.0,0.0,-1.0,0.0,-808.0,17576.40402,17617.94683,17500.51938,-41.54281000000265,75.88463999999658,2.0,1969.0,-1.0,-808.0,-0.005745775015080104,-0.0800906536293359,,
20250328,17454.5157,17559.0449,17605.7163,17428.5918,93904.0,-3907.0,72228.0,2.0,0.0,2944.0,0.0,0.0,-2.0,0.0,-2728.0,17582.34922,17591.12919,17513.343255,-8.779969999999594,69.00596500000029,2.0,2944.0,-2.0,-2728.0,-0.04160632134946328,-0.1094763683602175,,
20250331,17448.7848,17438.6564,17462.5449,17374.0047,93420.0,-484.0,56001.0,2.0,0.0,3030.0,0.0,0.0,-2.0,0.0,-3418.0,17539.61102,17571.63391,17522.84134,-32.02289000000019,16.76967999999761,2.0,3030.0,-2.0,-3418.0,-0.0051809034467994,-0.1402697577227891,,
20250401,17415.0885,17444.7637,17454.8688,17373.1598,92826.0,-594.0,44815.0,2.0,0.0,3101.0,0.0,0.0,-3.0,0.0,-3953.0,17511.24404,17555.40354,17532.502605,-44.15949999999793,-21.25856499999645,2.0,3101.0,-3.0,-3953.0,-0.006399069226294357,-0.093798940332574,,
20250402,17355.1166,17381.1529,17399.7728,17305.3879,92531.0,-295.0,57525.0,2.0,0.0,3120.0,0.0,0.0,-2.0,0.0,-3816.0,17458.6979,17519.55909,17531.50457,-60.86119000000326,-72.80666999999812,2.0,3120.0,-2.0,-3816.0,-0.003188120737914861,-0.1279403441330848,,
