,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,81352.4766,80382.0391,81394.7578,80261.1016,603214.0,-13338.0,168306.0,0.0,0.0,0.0,0.0,3.0,0.0,32985.0,0.0,81202.03438,80143.15469,78059.980865,1058.879690000002,3142.053514999992,0.0,0.0,3.0,32985.0,-0.022111555766278636,-0.0057083150073084,,,0.129
20240507,80575.6875,81359.3047,81714.7422,80567.5156,600210.0,-3004.0,250781.0,0.0,0.0,0.0,0.0,3.0,0.0,31268.0,0.0,81275.46093999999,80315.94453,78423.538675,959.5164099999965,2851.922264999987,0.0,0.0,3.0,31268.0,-0.0050049149464354145,-0.0249774228251943,,,0.0968
20240508,79621.8281,80617.8672,80947.7188,79517.4688,591669.0,-8541.0,269928.0,0.0,0.0,0.0,0.0,3.0,0.0,33263.0,0.0,80967.13437999999,80336.94062,78701.97070500001,630.1937599999947,2265.163674999974,0.0,0.0,3.0,33263.0,-0.014435436029266363,-0.0344199656997919,,,0.0323
20240509,79755.9219,79573.3672,80146.4844,79538.1641,589688.0,-1981.0,196622.0,1.0,-1.0,0.0,-1500.0,3.0,0.0,32651.0,0.0,80715.53594,80348.59297,78909.783205,366.9429700000037,1805.752735000002,0.0,-1500.0,3.0,32651.0,-0.0033594036168278817,-0.0389022982763179,,,0.0161
20240510,81086.7266,79874.6484,81144.3047,79725.5547,602355.0,12667.0,275903.0,0.0,0.0,0.0,0.0,3.0,0.0,37314.0,0.0,80478.52814,80648.67266000001,79159.470315,-170.1445200000162,1319.057824999996,0.0,0.0,3.0,37314.0,0.021029127341849904,-0.023764810510865,,,0.0161
20240513,81350.5469,80741.0703,81497.1016,80386.375,611313.0,8958.0,285634.0,0.0,0.0,0.0,0.0,3.0,0.0,37376.0,0.0,80478.1422,80840.08829,79389.19024,-361.9460899999976,1088.951960000006,0.0,0.0,3.0,37376.0,0.014653704403472526,-0.0417354540961134,,,0.0161
20240514,82483.0859,81643.4453,82647.1641,81581.7031,625594.0,14281.0,285374.0,0.0,-1.0,0.0,-3314.0,3.0,0.0,34432.0,0.0,80859.62188,81067.54141,79700.49141,-207.9195299999992,1159.130470000004,-1.0,-3314.0,3.0,34432.0,0.022827904359696543,-0.0731346667527176,,,0.0161
20240515,82070.5781,82343.8984,82540.2344,81221.1875,625402.0,-192.0,332254.0,0.0,0.0,0.0,0.0,3.0,0.0,30766.0,0.0,81349.37188,81158.25313,79958.97305,191.1187500000087,1390.398830000006,0.0,0.0,3.0,30766.0,-0.00030700253596886484,-0.0534554390224401,,,0.0161
20240516,82558.8828,82323.4297,82916.3203,81333.7734,629011.0,3609.0,388940.0,0.0,0.0,0.0,0.0,3.0,0.0,31300.0,0.0,81909.96406,81312.75,80236.16641,597.2140599999984,1673.797649999993,0.0,0.0,3.0,31300.0,0.005737578516114981,-0.0496756761493034,,,0.0161
20240517,84234.5781,82732.6328,84476.8516,82436.3281,633564.0,4553.0,313641.0,0.0,0.0,0.0,0.0,3.0,0.0,36603.0,0.0,82539.53436,81509.03125,80608.015625,1030.503110000005,1931.518735000005,0.0,0.0,3.0,36603.0,0.0071863300313780454,-0.0282475718993845,,,0.0161
20240520,87690.0234,84591.8906,88924.2734,84419.5156,632094.0,-1470.0,583697.0,0.0,0.0,0.0,0.0,3.0,0.0,34503.0,0.0,83807.42966,82142.78593,81142.97030999999,1664.643729999996,2664.459350000005,0.0,0.0,3.0,34503.0,-0.0023256034703699135,-0.0105413895902566,,,0.0161
20240521,87124.3516,87002.7656,88579.5234,85981.2188,624334.0,-7760.0,482162.0,0.0,0.0,0.0,0.0,3.0,0.0,31089.0,0.0,84735.6828,82797.65234,81556.798435,1938.030459999994,3178.884364999991,0.0,0.0,3.0,31089.0,-0.012429244603049009,-0.0241848801845778,,,0.0484
20240522,86296.7344,87622.6094,87983.4844,85697.3047,622653.0,-1681.0,414824.0,0.0,0.0,0.0,0.0,3.0,0.0,32492.0,0.0,85580.91406000001,83465.14297,81901.041795,2115.771090000009,3679.872265000013,0.0,0.0,3.0,32492.0,-0.0026997380563492024,-0.0823116173896253,,,0.0484
20240523,83208.1875,84837.5313,85188.9609,82921.5156,610746.0,-11907.0,547889.0,0.0,0.0,0.0,0.0,3.0,0.0,29851.0,0.0,85710.775,83810.36953,82079.48125,1900.405469999998,3631.293749999997,0.0,0.0,3.0,29851.0,-0.019495829690247664,-0.0570692076803339,,,0.0645
20240524,84131.3438,83770.0469,84503.1953,83336.75,610268.0,-478.0,355551.0,0.0,0.0,0.0,0.0,3.0,0.0,31725.0,0.0,85690.12814,84114.83125,82381.751955,1575.296889999998,3308.376185000001,0.0,0.0,3.0,31725.0,-0.0007832624355201322,-0.0348068246998651,,,0.0645
20240527,83710.7266,83851.2813,84269.3906,83569.3438,605443.0,-4825.0,219521.0,0.0,0.0,0.0,0.0,3.0,0.0,31961.0,0.0,84894.26878,84350.84922,82595.468755,543.4195599999948,2298.800025000004,0.0,0.0,3.0,31961.0,-0.007969371187708834,-0.0719125141839034,,,0.0645
20240528,84764.5703,84073.7813,85550.3047,84023.4531,609809.0,4366.0,299072.0,0.0,0.0,0.0,0.0,3.0,0.0,29973.0,0.0,84422.31252,84578.99766,82823.269535,-156.6851399999869,1599.042985000007,0.0,0.0,3.0,29973.0,0.007159618831470181,-0.0667981469415339,,,0.0645
20240529,85670.0391,85041.0781,85860.3438,84323.6016,612714.0,2905.0,292390.0,0.0,0.0,0.0,0.0,3.0,0.0,31703.0,0.0,84296.97346,84938.94376000001,83048.59844500001,-641.9703000000154,1248.375014999983,0.0,0.0,3.0,31703.0,0.004741200625414141,-0.0798793027251947,,,0.0645
20240530,83096.8516,84670.4766,85049.9922,82674.2109,601608.0,-11106.0,449545.0,0.0,0.0,0.0,0.0,3.0,0.0,26940.0,0.0,84274.70628,84992.74064,83152.74532,-718.0343600000051,1121.960959999997,0.0,0.0,3.0,26940.0,-0.01846052579088044,-0.0834322745051168,,,0.1129
20240531,82716.1094,82283.8984,82804.4375,81883.0313,588027.0,-13581.0,354827.0,0.0,0.0,0.0,0.0,3.0,0.0,31360.0,0.0,83991.6594,84840.89377,83174.96251000001,-849.234369999991,816.696889999992,0.0,0.0,3.0,31360.0,-0.023095878250488498,-0.0848061280687717,,,0.129
20240603,81729.5547,82448.2422,82849.2344,81347.4766,581663.0,-6364.0,343549.0,0.0,0.0,0.0,0.0,3.0,0.0,31057.0,0.0,83595.42502,84244.8469,83193.816415,-649.421880000009,401.6086050000013,0.0,0.0,3.0,31057.0,-0.010941043181361028,-0.0903004466574395,,,0.0968
20240604,82172.6016,82088.8516,82608.8906,81831.7891,575425.0,-6238.0,246922.0,0.0,0.0,0.0,0.0,3.0,0.0,35386.0,0.0,83077.03128,83749.67189999999,83273.66212,-672.640619999991,-196.630839999998,0.0,0.0,3.0,35386.0,-0.010840682973454403,-0.0975166960500089,,,0.0806
20240605,80199.1172,81151.0156,81220.5469,80195.2578,577750.0,2325.0,324963.0,0.0,0.0,0.0,0.0,3.0,0.0,30340.0,0.0,81982.84689999999,83139.91017999999,83302.526575,-1157.063280000002,-1319.679675000007,0.0,0.0,3.0,30340.0,0.004024231934227607,-0.0795166421658809,,,0.0806
20240606,81395.6328,80450.2188,81825.6719,80213.2109,568868.0,-8882.0,299759.0,0.0,0.0,0.0,0.0,2.0,0.0,27380.0,0.0,81642.60313999999,82958.65471,83384.51212,-1316.051570000011,-1741.908980000007,0.0,0.0,2.0,27380.0,-0.015613463931878749,-0.0638893080540692,,,0.0968
