,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250324,20747.3457,20677.357,20761.6926,20639.8381,501856.0,-10887.0,236395.0,1.0,0.0,10635.0,0.0,1.0,-2.0,1760.0,-17952.0,20749.8775,20842.80517,20774.17858,-92.92767000000094,-24.30108000000109,1.0,10635.0,-1.0,-16192.0,-0.021693473825161003,0.0306951327176101,0.0927,0.0
20250325,20702.8092,20747.3698,20747.476,20593.1536,499851.0,-2005.0,228142.0,1.0,0.0,11133.0,0.0,1.0,-2.0,1884.0,-18903.0,20746.27614,20828.09704,20782.177695,-81.8208999999988,-35.90155499999673,1.0,11133.0,-1.0,-17019.0,-0.00401119533621019,0.0329640414661726,0.09,0.0
20250326,20722.6448,20704.9719,20753.5313,20650.4859,501157.0,1306.0,263022.0,1.0,0.0,10957.0,0.0,1.0,-2.0,2111.0,-18430.0,20750.8723,20802.13747,20786.498325,-51.26516999999876,-35.62602500000139,1.0,10957.0,-1.0,-16319.0,0.002605969785915392,0.0219052352129756,0.0931,0.08333333333333345
20250327,20815.2859,20706.9231,20870.8377,20669.548,505869.0,4712.0,298318.0,1.0,0.0,8531.0,0.0,1.0,-2.0,5618.0,-15473.0,20737.43354,20788.21503,20795.32799,-50.78148999999758,-57.89444999999614,1.0,8531.0,-1.0,-9855.0,0.00931466446846911,0.0130572629505908,0.0921,0.056451612903225916
20250328,20585.5659,20712.3451,20721.797,20555.5207,498142.0,-7727.0,377553.0,1.0,0.0,11263.0,0.0,1.0,-2.0,944.0,-27681.0,20714.7303,20749.03397,20791.88214,-34.30366999999387,-77.15183999999863,1.0,11263.0,-1.0,-26737.0,-0.01551164125891814,0.0176500901395831,0.0894,0.0
20250331,20473.0977,20603.1575,20642.2763,20455.1607,498242.0,100.0,311260.0,1.0,0.0,11624.0,0.0,1.0,-2.0,1056.0,-27692.0,20659.8807,20704.8791,20781.54036,-44.99839999999676,-121.6596599999975,1.0,11624.0,-1.0,-26636.0,0.00020070568117501133,0.0421279635662568,0.0863,0.0
20250401,20515.0071,20474.0036,20562.8319,20399.2457,495407.0,-2835.0,244875.0,1.0,0.0,11740.0,0.0,1.0,-2.0,918.0,-23203.0,20622.32028,20684.29821,20775.209015,-61.97793000000456,-152.8887350000041,1.0,11740.0,-1.0,-22285.0,-0.005722567505101866,0.0420363269797189,0.0866,0.007334963325183244
20250402,20417.8344,20433.9209,20494.9351,20352.0119,492595.0,-2812.0,236569.0,1.0,0.0,12458.0,0.0,1.0,-2.0,725.0,-24246.0,20561.3582,20656.11525,20764.507915,-94.75704999999653,-203.1497150000032,1.0,12458.0,-1.0,-23521.0,-0.005708543529674479,0.0599817292479346,0.087,0.01711491442542768
20250403,20379.2269,20426.5286,20489.3614,20309.7438,486230.0,-6365.0,285912.0,1.0,0.0,11995.0,0.0,1.0,-2.0,0.0,-27803.0,20474.1464,20605.78997,20739.77221,-131.6435700000002,-265.6258100000014,1.0,11995.0,-1.0,-27803.0,-0.013090512720317546,0.1114216998506489,0.0934,0.1735941320293397
20250407,19656.0244,19378.72,19866.5533,19087.931,487686.0,1456.0,619930.0,1.0,0.0,7869.0,0.0,0.0,-3.0,0.0,-22547.0,20288.2381,20501.4842,20680.21981,-213.2461000000003,-391.98171,1.0,7869.0,-3.0,-22547.0,0.002985527573069557,0.0595388213580882,0.1894,1.0
20250408,19574.0862,19652.3638,19835.7917,19540.3094,500260.0,12574.0,455769.0,1.0,0.0,7691.0,0.0,1.0,-3.0,0.0,-22620.0,20108.4358,20384.15825,20613.48171,-275.7224500000011,-505.0459100000007,1.0,7691.0,-2.0,-22620.0,0.025134929836485027,0.0715172006750061,0.1593,0.708050436469447
20250409,19272.532,19658.1941,19710.0892,19159.3522,529432.0,29172.0,607649.0,1.0,0.0,9367.0,0.0,0.0,-3.0,0.0,-41539.0,19859.94078,20241.13053,20534.613785,-381.1897500000014,-674.6730050000006,1.0,9367.0,-3.0,-41539.0,0.055100560600794816,0.0444471744526135,0.1835,0.9427740058195925
20250410,19754.4088,19266.8075,19828.0147,19158.2753,509830.0,-19602.0,566355.0,1.0,0.0,9528.0,0.0,1.0,-3.0,0.0,-39712.0,19727.25566,20144.30693,20473.2222,-417.0512699999963,-745.9665399999976,1.0,9528.0,-2.0,-39712.0,-0.03844811015436518,0.0228863706764564,0.1322,0.44519883608147437
20250411,19637.6076,19710.9999,19762.644,19490.2871,520592.0,10762.0,339523.0,1.0,0.0,9839.0,0.0,0.0,-3.0,0.0,-42687.0,19578.9318,20026.5391,20407.377065,-447.6073000000033,-828.4452650000021,1.0,9839.0,-3.0,-42687.0,0.020672618864677136,0.0137213431574889,0.1479,0.597478176527643
20250414,19687.733,19686.7583,19798.3337,19641.1577,530118.0,9526.0,292177.0,1.0,0.0,10837.0,0.0,0.0,-3.0,0.0,-42012.0,19585.27352,19936.75581,20342.89489,-351.4822900000036,-757.6213700000008,1.0,10837.0,-3.0,-42012.0,0.017969584130325702,0.0252225716080477,0.1286,0.41028128031037814
20250415,19596.1003,19708.8531,19713.0897,19543.668,543202.0,13084.0,210047.0,1.0,0.0,10989.0,0.0,0.0,-3.0,0.0,-44222.0,19589.67634,19849.05607,20276.967585,-259.3797300000006,-687.2912450000003,1.0,10989.0,-3.0,-44222.0,0.024086803804109706,0.0021561759574932,0.1284,0.40834141610087277
20250416,19544.3646,19584.653,19647.3083,19491.8781,552011.0,8809.0,237825.0,1.0,0.0,10941.0,0.0,0.0,-3.0,0.0,-45070.0,19644.04286,19751.99182,20218.145015,-107.9489600000052,-574.1021550000005,1.0,10941.0,-3.0,-45070.0,0.01595801532940467,0.0277401009970849,0.131,0.43355965082444226
20250417,19634.7778,19552.385,19706.8586,19507.8678,543833.0,-8178.0,244301.0,1.0,0.0,10656.0,0.0,1.0,-2.0,1457.0,-37277.0,19620.11666,19673.68616,20164.900705,-53.56950000000143,-544.7840450000003,1.0,10656.0,-1.0,-35820.0,-0.015037704589460367,0.0298384005604347,0.1236,0.36178467507274487
20250418,19672.0379,19651.8007,19758.6423,19632.699,538998.0,-4835.0,228946.0,1.0,0.0,9668.0,0.0,1.0,-2.0,2664.0,-42353.0,19627.00272,19602.96726,20104.378615,24.03546000000279,-477.375895000001,1.0,9668.0,-1.0,-39689.0,-0.008970348684039644,0.0852234581911228,0.1227,0.3530552861299709
20250421,19841.2251,19673.0261,19870.1496,19603.7844,532282.0,-6716.0,306631.0,1.0,0.0,10201.0,0.0,1.0,-3.0,1602.0,-33593.0,19657.70114,19621.48733,20061.485765,36.21380999999747,-403.7846250000039,1.0,10201.0,-2.0,-31991.0,-0.012617371994544246,0.0592687107480749,0.113,0.25897187196896215
20250422,19711.9352,19838.5177,19860.2383,19626.3728,534200.0,1918.0,248481.0,1.0,0.0,11102.0,0.0,1.0,-3.0,1108.0,-37699.0,19680.86812,19635.27223,20009.71524,45.59589000000051,-328.8471199999985,1.0,11102.0,-2.0,-36591.0,0.0035904155746911267,0.0596035425531043,0.1274,0.39864209505334636
20250423,19818.8861,19730.5609,19858.4412,19704.348,528367.0,-5833.0,254765.0,1.0,0.0,11431.0,0.0,1.0,-2.0,2257.0,-37783.0,19735.77242,19689.90764,19965.519085,45.86477999999988,-229.7466649999988,1.0,11431.0,-1.0,-35526.0,-0.011039675074332803,0.0617048818706081,0.122,0.3462657613967022
20250424,19889.8296,19831.5894,19906.6706,19826.5194,533475.0,5108.0,266052.0,1.0,0.0,10756.0,0.0,1.0,-2.0,2426.0,-35132.0,19786.78278,19703.44972,19923.878325,83.33306000000084,-137.0955449999965,1.0,10756.0,-1.0,-32706.0,0.009574956652139276,0.0363416183743186,0.1191,0.3181377303588748
20250425,19985.63,19877.4601,20000.6275,19812.8047,535096.0,1621.0,268212.0,1.0,0.0,10307.0,0.0,1.0,-2.0,2836.0,-34931.0,19849.5012,19738.25196,19882.39553,111.2492399999974,-32.89433000000281,1.0,10307.0,-1.0,-32095.0,0.003029362955432296,0.0338308586433979,0.1094,0.2240543161978661
20250428,19896.4011,19922.8427,19957.5333,19822.5596,526443.0,-8653.0,238585.0,1.0,0.0,10107.0,0.0,1.0,-3.0,1771.0,-31328.0,19860.5364,19759.11877,19847.93729,101.4176300000036,12.59911000000284,1.0,10107.0,-2.0,-29557.0,-0.016436727243025362,0.0796907599036927,0.1058,0.18913676042677013
20250429,19887.4572,19915.9824,19916.3232,19842.8125,523983.0,-2460.0,179215.0,1.0,0.0,8358.0,0.0,1.0,-3.0,1908.0,-29435.0,19895.6408,19788.25446,19818.655265,107.3863400000009,76.9855349999998,1.0,8358.0,-2.0,-27527.0,-0.004694808801048889,0.0613955767481667,0.1136,0.2647914645974782
20250430,19858.9788,19923.2563,19996.3731,19848.5484,512828.0,-11155.0,217684.0,1.0,0.0,9010.0,0.0,1.0,-3.0,1495.0,-34052.0,19903.65934,19819.71588,19785.85385,83.9434599999986,117.8054899999988,1.0,9010.0,-2.0,-32557.0,-0.021751932421786642,0.0729336366740103,0.1359,0.48108632395732287
