,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250314,8387.2171,8158.816,8412.5599,8147.4462,872258.0,84576.0,1801228.0,1.0,-3.0,9944.0,-26258.0,3.0,0.0,64553.0,0.0,8148.7819,8079.067910000001,8060.991364999999,69.71398999999928,87.790535000001,-2.0,-16314.0,3.0,64553.0,0.09696213734927052,-0.1572244192027357,0.2526,0.8603491271820449
20250317,8363.424,8399.0045,8408.2307,8314.4764,864375.0,-7883.0,961083.0,1.0,-3.0,10320.0,-24165.0,3.0,0.0,57572.0,0.0,8205.07702,8123.98143,8077.630655000001,81.09559000000081,127.4463649999998,-2.0,-13845.0,3.0,57572.0,-0.009119884309472161,-0.1522126523143276,0.2501,0.8291770573566085
20250318,8378.0734,8323.2461,8388.8499,8282.0563,875787.0,11412.0,948462.0,1.0,-3.0,11072.0,-27729.0,3.0,0.0,53055.0,0.0,8276.857820000001,8165.41624,8091.98762,111.4415800000006,184.8702000000012,-2.0,-16657.0,3.0,53055.0,0.013030565651237115,-0.122281859226743,0.2479,0.8017456359102247
20250319,8388.4294,8437.2884,8449.8154,8367.321,870809.0,-4978.0,957408.0,1.0,-3.0,10673.0,-21116.0,3.0,0.0,55555.0,0.0,8335.1936,8202.959190000001,8104.07134,132.2344099999991,231.1222600000001,-2.0,-10443.0,3.0,55555.0,-0.005716523370796581,-0.1425944588757436,0.232,0.6034912718204491
20250320,8367.1992,8362.2491,8400.4853,8315.8734,870695.0,-114.0,945146.0,1.0,-3.0,10246.0,-20259.0,3.0,0.0,48694.0,0.0,8376.86862,8231.5135,8114.229434999999,145.3551200000002,262.639185,-2.0,-10013.0,3.0,48694.0,-0.00013092988934127335,-0.1376359830938026,0.2271,0.5423940149625935
20250321,8219.9095,8308.4379,8335.2921,8182.4521,840449.0,-30246.0,1062165.0,1.0,-3.0,12538.0,-18550.0,3.0,0.0,47484.0,0.0,8343.4071,8246.094500000001,8119.103789999999,97.31259999999929,224.3033100000011,-2.0,-6012.0,3.0,47484.0,-0.03598790646428278,-0.1433493389451273,0.2113,0.3453865336658352
20250324,8262.0635,8218.8545,8267.8994,8157.5665,830259.0,-10190.0,872377.0,1.0,-3.0,12151.0,-16485.0,3.0,0.0,54105.0,0.0,8323.135,8264.10601,8126.867810000001,59.0289900000007,196.2671899999996,-2.0,-4334.0,3.0,54105.0,-0.012273278579334882,-0.1306637414880536,0.2068,0.28927680798004995
20250325,8262.9618,8244.4716,8271.5459,8212.3941,830547.0,288.0,627395.0,1.0,-3.0,11862.0,-16556.0,3.0,0.0,55657.0,0.0,8300.11268,8288.48525,8138.06017,11.62743000000046,162.0525100000004,-2.0,-4694.0,3.0,55657.0,0.0003467594248128041,-0.1273540181153838,0.1996,0.19950124688279294
20250326,8381.361,8313.7379,8398.6256,8296.9156,878513.0,47966.0,998217.0,1.0,-3.0,13113.0,-19663.0,3.0,0.0,56826.0,0.0,8298.698999999999,8316.9463,8160.779465,-18.24730000000091,137.9195349999991,-2.0,-6550.0,3.0,56826.0,0.05459907821512032,-0.1417206545089089,0.2053,0.2705735660847881
20250327,8387.968,8403.9387,8403.9387,8347.9028,873003.0,-5510.0,703866.0,1.0,-3.0,8240.0,-20346.0,3.0,0.0,67450.0,0.0,8302.85276,8339.86069,8183.965745,-37.00792999999976,118.8870150000002,-2.0,-12106.0,3.0,67450.0,-0.006311547612092971,-0.1449178347668555,0.2022,0.2319201995012467
20250328,8526.3046,8460.9403,8557.308,8395.4777,922507.0,49504.0,1599337.0,1.0,-3.0,6272.0,-23679.0,3.0,0.0,85285.0,0.0,8364.13178,8353.76944,8216.418674999999,10.36233999999968,147.7131050000007,-2.0,-17407.0,3.0,85285.0,0.05366246543386663,-0.1309000610716577,0.2234,0.49625935162094753
20250331,8522.279,8522.9192,8529.5641,8438.6251,887250.0,-35257.0,1167840.0,1.0,-3.0,7102.0,-22876.0,3.0,0.0,71967.0,0.0,8416.17488,8369.654939999999,8246.818185,46.51994000000195,169.3566950000004,-2.0,-15774.0,3.0,71967.0,-0.03973739081431389,-0.1299015907717681,0.2245,0.5099750623441398
20250401,8450.6765,8486.1305,8499.696,8358.6458,894353.0,7103.0,1378729.0,1.0,-3.0,9337.0,-18787.0,3.0,0.0,71762.0,0.0,8453.71782,8376.91525,8271.165745,76.80256999999983,182.5520749999996,-2.0,-9450.0,3.0,71762.0,0.007942054200075361,-0.1373958847628266,0.2281,0.5548628428927681
20250402,8421.5563,8450.2081,8463.0828,8380.2936,895615.0,1262.0,1134850.0,1.0,-3.0,9815.0,-16793.0,2.0,-1.0,71292.0,0.0,8461.75688,8380.22794,8291.593565,81.52894000000015,170.1633150000016,-2.0,-6978.0,1.0,71292.0,0.0014090876101896463,-0.1324693632296442,0.2255,0.5224438902743144
20250403,8312.5844,8440.489,8479.9243,8285.5552,890263.0,-5352.0,1676364.0,2.0,-2.0,22743.0,-6547.0,1.0,-2.0,53014.0,-5506.0,8446.68016,8374.76646,8303.13998,71.91369999999915,143.54018,0.0,16196.0,-1.0,47508.0,-0.0060117066529778275,-0.1395470161271005,0.2176,0.423940149625935
20250407,7647.1772,7554.0765,7843.8194,7554.0765,856507.0,-33756.0,1646492.0,2.0,-1.0,33489.0,-557.0,1.0,-2.0,48703.0,-23850.0,8270.85468,8317.49323,8281.793865,-46.63854999999967,-10.93918499999927,1.0,32932.0,-1.0,24853.0,-0.03941123656899476,-0.1470894416830258,0.3265,1.0
20250408,7713.6941,7683.1675,7773.6303,7649.1175,855406.0,-1101.0,1564864.0,2.0,0.0,32448.0,0.0,1.0,-2.0,42146.0,-15750.0,8109.137699999999,8262.656289999999,8263.38115,-153.5185899999997,-154.2434499999999,2.0,32448.0,-1.0,26396.0,-0.0012871081100670324,-0.136383164290048,0.2911,0.7408491947291362
20250409,7783.8222,7723.2483,7809.4267,7631.5875,870945.0,15539.0,1556957.0,2.0,0.0,25405.0,0.0,1.0,-2.0,46233.0,-13232.0,7975.766839999999,8214.74233,8251.61379,-238.9754899999998,-275.8469500000001,2.0,25405.0,-1.0,33001.0,0.017841539936505748,-0.1398005353930317,0.2899,0.7320644216691067
20250410,8002.105,7779.4739,8017.397,7769.2163,850210.0,-20735.0,1694078.0,1.0,-2.0,25605.0,-4465.0,2.0,-1.0,37495.0,-10178.0,7891.876579999999,8176.81673,8246.881515,-284.9401500000013,-355.0049349999999,-1.0,21140.0,1.0,27317.0,-0.024388092353653804,-0.145265816269043,0.2557,0.4816983894582721
20250411,7997.3235,7931.8529,8037.5389,7893.2056,850533.0,323.0,1423901.0,2.0,-2.0,24035.0,-4532.0,1.0,-1.0,35977.0,-11976.0,7828.8244,8137.752280000001,8238.806485,-308.9278800000011,-409.9820849999996,0.0,19503.0,0.0,24001.0,0.00037976186697047615,-0.1213403187503804,0.2897,0.7306002928257687
