,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250311,23782.7759,23757.0814,23787.6341,23489.0361,193074.0,-506.0,238859.0,0.0,-1.0,0.0,-4352.0,2.0,-1.0,7463.0,-5461.0,23805.89742,23687.08592,23786.330135,118.8114999999998,19.56728500000099,-1.0,-4352.0,1.0,2002.0,-0.0026207568082704043,0.3666319195807357,0.1309,0.24964936886395486
20250312,23814.8861,23915.1135,23944.2017,23801.0087,195073.0,1999.0,224369.0,0.0,-1.0,0.0,-2745.0,2.0,-1.0,8734.0,-5441.0,23849.38508,23713.11628,23788.51878,136.2688000000016,60.8663000000015,-1.0,-2745.0,1.0,3293.0,0.010247445827972093,0.3539780719518032,0.1296,0.23141654978962112
20250313,24011.0814,24082.5393,24134.1958,23933.5508,211641.0,16568.0,278186.0,0.0,-1.0,0.0,-2712.0,2.0,-1.0,12181.0,-6428.0,23862.73898,23760.3346,23801.718115,102.4043800000036,61.02086499999859,-1.0,-2712.0,1.0,5753.0,0.07828350839393124,0.3185083522664829,0.1286,0.2173913043478259
20250314,24129.6082,24000.7501,24236.7016,23946.1018,223825.0,12184.0,318094.0,0.0,-1.0,0.0,-2379.0,2.0,-1.0,7191.0,-5874.0,23904.8018,23832.81504,23803.837835,71.98675999999614,100.9639649999954,-1.0,-2379.0,1.0,1317.0,0.05443538478722216,0.2728329614714763,0.1387,0.3590462833099577
20250317,24171.2816,24176.4119,24232.0723,24052.9632,227467.0,3642.0,258640.0,0.0,-1.0,0.0,-1741.0,2.0,-1.0,6157.0,-4462.0,23981.92664,23880.46693,23821.214055,101.4597099999955,160.7125849999975,-1.0,-1741.0,1.0,1695.0,0.01601111370000923,0.0705560570784151,0.137,0.3352033660589061
20250318,23757.5792,24128.1711,24128.1711,23719.8019,222102.0,-5365.0,305408.0,0.0,-1.0,0.0,-1994.0,1.0,-1.0,0.0,-6644.0,23976.8873,23891.39236,23816.303235,85.4949400000005,160.5840650000027,-1.0,-1994.0,0.0,-6644.0,-0.024155568162375844,0.2536456873644432,0.1354,0.31276297335203346
20250319,23876.8924,23793.5141,23935.9031,23716.1013,218529.0,-3573.0,244081.0,0.0,-1.0,0.0,-2243.0,0.0,-1.0,0.0,-9521.0,23989.28856,23919.33682,23814.586325,69.95174000000043,174.7022350000007,-1.0,-2243.0,-1.0,-9521.0,-0.016350232692228493,0.2230389206737306,0.1321,0.2664796633941092
20250320,23833.448,23822.3348,23879.6037,23623.7652,219667.0,1138.0,299277.0,1.0,0.0,0.0,-580.0,1.0,-2.0,0.0,-12614.0,23953.76188,23908.25043,23800.26795,45.51144999999815,153.4939299999969,1.0,-580.0,-1.0,-12614.0,0.005180568770001866,0.2818284623713957,0.1339,0.2917251051893406
20250321,23745.2537,23768.9756,23909.5745,23682.2379,219492.0,-175.0,250637.0,1.0,0.0,308.0,0.0,1.0,-2.0,149.0,-10982.0,23876.89098,23890.84639,23788.1975,-13.95540999999503,88.69348000000537,1.0,308.0,-1.0,-10833.0,-0.0007972955734149764,0.2025244454458181,0.1334,0.284712482468443
20250324,24161.6677,23794.9169,24195.6872,23794.9169,236083.0,16591.0,355770.0,0.0,0.0,0.0,-266.0,2.0,-1.0,10781.0,-7978.0,23874.9682,23928.44742,23797.85683,-53.47922000000472,77.11136999999871,0.0,-266.0,1.0,2803.0,0.07027613169944469,0.2626225634708902,0.132,0.2650771388499299
20250325,24096.3707,24226.5361,24233.6698,24044.5545,232928.0,-3155.0,213126.0,1.0,0.0,718.0,0.0,2.0,-1.0,9747.0,-8010.0,23942.7265,23959.8069,23823.44641,-17.08040000000256,119.2800900000002,1.0,718.0,1.0,1737.0,-0.013544958098639924,0.2383961292891662,0.1328,0.27629733520336597
20250326,24138.0683,24122.9632,24243.912,24061.0998,233129.0,201.0,272276.0,0.0,-1.0,25.0,0.0,2.0,-1.0,9820.0,-8436.0,23994.96168,23992.12512,23852.6207,2.836559999999736,142.3409800000009,-1.0,25.0,1.0,1384.0,0.0008621835979221804,0.2475740299960549,0.1312,0.25385694249649376
20250327,24090.6297,24075.0967,24161.2526,24028.1297,227827.0,-5302.0,205560.0,1.0,-1.0,0.0,-175.0,1.0,-2.0,9137.0,-8775.0,24046.39802,24000.07995,23880.207275,46.31806999999753,166.1907449999999,0.0,-175.0,-1.0,362.0,-0.023272044138754406,0.2212753178273333,0.1285,0.2159887798036465
20250328,23753.0519,23978.6982,23978.6982,23685.5767,217184.0,-10643.0,302157.0,0.0,-1.0,0.0,-587.0,1.0,-2.0,4263.0,-12515.0,24047.95766,23962.42432,23897.61968,85.53333999999813,150.3379799999966,-1.0,-587.0,-1.0,-8252.0,-0.049004530720495064,0.1794366971885532,0.1269,0.19354838709677427
20250331,23426.2598,23701.8882,23771.9047,23319.9532,225779.0,8595.0,349633.0,1.0,0.0,0.0,-138.0,1.0,-2.0,0.0,-18481.0,23900.87608,23887.92214,23884.194535,12.95393999999578,16.68154499999946,1.0,-138.0,-1.0,-18481.0,0.038068199433959754,0.1912728051920803,0.1299,0.23562412342215963
20250401,23577.4228,23423.9723,23625.433,23327.6031,219195.0,-6584.0,272033.0,0.0,-1.0,0.0,-776.0,1.0,-2.0,2197.0,-17662.0,23797.0865,23869.9065,23880.64943,-72.82000000000335,-83.56293000000005,-1.0,-776.0,-1.0,-15465.0,-0.03003718150505258,0.290043910177913,0.1251,0.16830294530154252
