,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,262309.5938,258171.2031,263058.1875,256988.2344,73663.0,-918.0,73082.0,2.0,-1.0,955.0,-40.0,1.0,-2.0,0.0,-2332.0,261115.21878,262998.93908,254260.145335,-1883.720300000045,6855.073445000045,1.0,915.0,-1.0,-2332.0,-0.012462158749983031,-0.1481311415455193,,,
20240507,261003.1719,262307.1875,267114.7188,260439.2031,80178.0,6515.0,165815.0,2.0,0.0,2496.0,0.0,0.0,-3.0,0.0,-3545.0,261298.20004,262671.36564,255907.962525,-1373.165600000066,5390.237514999957,2.0,2496.0,-3.0,-3545.0,0.08125670383396942,-0.1685541841683513,,,
20240508,257702.0781,261611.1719,264119.3438,257170.4688,78901.0,-1277.0,173042.0,1.0,0.0,1332.0,0.0,1.0,-3.0,0.0,-3644.0,260141.4719,261174.6922,257386.200805,-1033.220300000015,2755.271095000033,1.0,1332.0,-2.0,-3644.0,-0.01618483922890711,-0.227514210895594,,,
20240509,259847.4531,258414.4531,261787.5781,258011.3594,78285.0,-616.0,141737.0,2.0,-1.0,704.0,-194.0,1.0,-3.0,128.0,-2923.0,260234.25626,259541.23126,258634.171895,693.0249999999651,1600.084364999988,1.0,510.0,-2.0,-2795.0,-0.00786868493325669,-0.2316604721119433,,,
20240510,268411.2813,260559.4219,268789.2813,260160.9375,84189.0,5904.0,188356.0,0.0,-1.0,0.0,-817.0,1.0,-2.0,1529.0,-2193.0,261854.71564,260968.60314,260144.35627,886.1124999999593,1710.359369999962,-1.0,-817.0,-1.0,-664.0,0.07012792645119909,-0.1539685580876896,,,0.3651
20240513,263751.9063,266529.125,266591.0938,258459.3281,82457.0,-1732.0,185100.0,1.0,-1.0,14.0,0.0,1.0,-2.0,777.0,-2717.0,262143.17814,261629.19846,260702.96799,513.9796800000186,1440.210150000057,0.0,14.0,-1.0,-1940.0,-0.02100488739585481,-0.2517503167646447,,,
20240514,273536.8125,264692.1563,274240.5625,264588.0,93028.0,10571.0,237128.0,0.0,-1.0,0.0,-904.0,2.0,-2.0,578.0,-2186.0,264649.90626,262974.05315,261949.985175,1675.853110000025,2699.921085000038,-1.0,-904.0,0.0,-1608.0,0.11363245474480801,-0.2137455317986919,,,
20240515,277985.375,272517.3125,278823.125,270981.375,98602.0,5574.0,247397.0,1.0,-1.0,1167.0,-935.0,2.0,-2.0,436.0,-1790.0,268706.56564,264424.01877,263104.24533,4282.54687000002,5602.320310000039,0.0,232.0,0.0,-1354.0,0.05653029350317438,-0.2002090616663692,,,
20240516,274182.2188,276795.7813,279060.1563,270743.8438,93433.0,-5169.0,273346.0,1.0,-1.0,681.0,-747.0,2.0,-2.0,622.0,-1982.0,271573.51878,265903.88752,263833.1258,5669.631259999995,7740.392980000004,0.0,-66.0,0.0,-1360.0,-0.055323065726242335,-0.3246523306994313,,,
20240517,277768.125,273646.9688,278586.8125,272178.8125,87061.0,-6372.0,194613.0,1.0,0.0,649.0,0.0,2.0,-2.0,523.0,-1428.0,273444.88752,267649.80158,264997.110955,5795.085939999961,8447.77656499995,1.0,649.0,0.0,-905.0,-0.07319006214033838,-0.0609130087267083,,,0.4531
