,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250314,133648.5634,132698.3785,135802.7706,132255.6565,252735.0,6383.0,467609.0,1.0,-1.0,2179.0,-1353.0,3.0,0.0,7306.0,0.0,133253.29608,130751.92366,127845.44707,2501.372420000014,5407.849010000034,0.0,826.0,3.0,7306.0,0.025255702613409304,-0.2032948736789323,0.2331,1.0
20250317,133866.1646,134188.9224,134294.6045,132428.9046,246677.0,-6058.0,282158.0,1.0,-1.0,2081.0,-998.0,3.0,0.0,7482.0,0.0,133490.26036,131423.97818,128332.873445,2066.282180000009,5157.38691500001,0.0,1083.0,3.0,7482.0,-0.0245584306603372,-0.1152650912504149,0.2232,0.8714285714285716
20250318,129708.0634,133757.2515,133757.2515,129121.9759,223147.0,-23530.0,397250.0,1.0,-1.0,1888.0,-659.0,2.0,-1.0,4869.0,-1517.0,132835.17362,131670.29136,128619.032,1164.882260000013,4216.141620000009,0.0,1229.0,1.0,3352.0,-0.10544618569821687,-0.2675471989332278,0.2074,0.6662337662337663
20250319,131731.9932,130303.7527,131899.2339,129360.923,214396.0,-8751.0,263264.0,1.0,-1.0,0.0,-1247.0,2.0,-1.0,10958.0,-2320.0,132448.19446,131956.55712,129001.36615,491.6373399999866,3446.828310000012,0.0,-1247.0,1.0,8638.0,-0.0408169928543443,-0.1579445708595993,0.2168,0.7883116883116882
20250320,129753.6268,132367.6694,132664.498,128247.6384,191760.0,-22636.0,400206.0,0.0,-1.0,0.0,-181.0,2.0,-1.0,10698.0,-1502.0,131741.68228,132089.51798,129170.30359,-347.835699999996,2571.378690000012,-1.0,-181.0,1.0,9196.0,-0.11804338756779308,-0.2025395510287065,0.2075,0.6675324675324674
20250321,129266.176,130143.8049,130720.7639,128962.671,188211.0,-3549.0,301686.0,1.0,-1.0,1818.0,0.0,2.0,-1.0,9638.0,-1936.0,130865.2048,132059.25044,129419.007555,-1194.045640000011,1446.197245000003,0.0,1818.0,1.0,7702.0,-0.018856496166536493,-0.1892791605297688,0.2048,0.6324675324675326
20250324,130039.5962,129559.5992,130394.4101,128764.5275,188477.0,266.0,251041.0,2.0,0.0,2106.0,0.0,2.0,-1.0,10684.0,-2150.0,130099.89112,131795.07574,129629.513565,-1695.18462,470.3775549999991,2.0,2106.0,1.0,8534.0,0.0014113127861755015,-0.1452667253633927,0.2032,0.6116883116883116
20250325,129335.837,129477.0569,129548.297,128396.1807,187526.0,-951.0,234359.0,2.0,0.0,2383.0,0.0,2.0,-1.0,9106.0,-2743.0,130025.44584,131430.30973,129881.217085,-1404.863889999993,144.2287550000328,2.0,2383.0,1.0,6363.0,-0.005071296780179815,-0.1648510350013605,0.2046,0.6298701298701299
20250326,129786.6469,129215.4142,131211.3116,128829.4842,189489.0,1963.0,315895.0,2.0,0.0,2468.0,0.0,2.0,-1.0,8018.0,-1193.0,129636.37658,131042.28552,130163.992805,-1405.908939999994,-527.6162250000052,2.0,2468.0,1.0,6825.0,0.010359440389679613,-0.2420139157462184,0.202,0.5961038961038964
20250327,130166.6604,130016.9782,131182.7759,129569.3253,190086.0,597.0,240149.0,2.0,0.0,3552.0,0.0,2.0,-1.0,7140.0,-508.0,129718.9833,130730.33279,130393.50149,-1011.349490000008,-674.5181899999734,2.0,3552.0,1.0,6632.0,0.0031406836905400713,-0.1916108752653449,0.2031,0.5341614906832299
20250328,131739.9256,130557.9935,132235.41,129694.374,187955.0,-2131.0,308065.0,1.0,-1.0,1634.0,-409.0,2.0,-1.0,11473.0,-589.0,130213.73322,130539.46901,130645.696335,-325.7357899999915,-431.9631150000059,0.0,1225.0,1.0,10884.0,-0.0113378202229257,-0.1204066880002985,0.2066,0.5885093167701865
20250331,129359.3784,132097.6712,132357.3721,128632.0701,184613.0,-3342.0,350515.0,2.0,0.0,2455.0,0.0,1.0,-2.0,8177.0,-2035.0,130077.68966,130088.79039,130756.384285,-11.10073000002012,-678.6946250000037,2.0,2455.0,-1.0,6142.0,-0.0181027338269786,-0.1525519129779975,0.1983,0.45962732919254673
20250401,130491.4135,128886.2152,130707.2189,127391.8503,177604.0,-7009.0,278735.0,1.0,-1.0,1220.0,-19.0,2.0,-1.0,12800.0,-103.0,130308.80496,130167.1254,130918.70838,141.6795600000187,-609.9034200000024,0.0,1201.0,1.0,12697.0,-0.039464201256728455,-0.0472490954260654,0.1998,0.48291925465838526
20250402,129595.522,129915.5024,130244.7583,128905.6849,177591.0,-13.0,236361.0,2.0,0.0,1398.0,0.0,2.0,-1.0,13784.0,-1800.0,130270.57998,129953.47828,130955.0177,317.1016999999993,-684.4377200000017,2.0,1398.0,1.0,11984.0,-7.32019077543344e-05,-0.1554970097202203,0.2046,0.5574534161490684
20250403,127477.6768,129087.5242,129493.3112,127378.3939,180420.0,2829.0,249967.0,2.0,0.0,3211.0,0.0,2.0,-1.0,11167.0,-1330.0,129732.78326,129725.88328,130907.70063,6.899979999987409,-1174.917370000025,2.0,3211.0,1.0,9837.0,0.015680079813767876,-0.1761511416330595,0.1963,0.4285714285714287
20250407,118797.7567,116031.7879,121773.6795,115531.8408,184416.0,3996.0,409748.0,1.0,-1.0,2768.0,-1346.0,2.0,-1.0,11941.0,-1652.0,127144.34948,128679.04135,130369.145895,-1534.691869999995,-3224.79641499999,0.0,1422.0,1.0,10289.0,0.021668401874023947,-0.2028477105305158,0.2889,1.0
20250408,119443.8234,118375.0454,120194.8739,118039.1199,179362.0,-5054.0,389253.0,1.0,0.0,3799.0,0.0,2.0,-1.0,7759.0,-378.0,125161.23848,127619.46407,129707.269905,-2458.225589999973,-4546.031424999979,1.0,3799.0,1.0,7381.0,-0.02817765189951049,-0.2052662989813765,0.2498,0.6747088186356074
20250409,119067.3598,119011.5537,119921.2546,117637.1575,180994.0,1632.0,388183.0,1.0,-1.0,3730.0,-1410.0,2.0,-1.0,8919.0,-2646.0,122876.42774,126592.61635,129011.46304,-3716.188609999983,-6135.035300000018,0.0,2320.0,1.0,6273.0,0.009016873487518923,-0.183923825618381,0.2523,0.6955074875207989
20250410,121649.6367,117662.113,121664.6708,117082.0645,188281.0,7287.0,404511.0,1.0,0.0,3320.0,0.0,2.0,-1.0,9315.0,-3101.0,121287.25068,125778.91533,128410.600425,-4491.664650000006,-7123.349744999985,1.0,3320.0,1.0,6214.0,0.03870278997880827,-0.162886956102091,0.2096,0.3402662229617306
20250411,121349.405,121668.5964,121782.0101,120193.9518,183950.0,-4331.0,255511.0,1.0,-1.0,2922.0,-1415.0,2.0,-1.0,8372.0,-2261.0,120061.59632,124897.18979,127813.76129,-4835.593470000022,-7752.164970000027,0.0,1507.0,1.0,6111.0,-0.02354444142430008,-0.2195525513361802,0.2135,0.372712146422629
20250414,123183.5023,123125.5096,123739.9881,122281.7725,183742.0,-208.0,287551.0,1.0,0.0,2566.0,0.0,2.0,-1.0,9070.0,-2405.0,120938.74544,124041.54746,127290.508235,-3102.802019999988,-6351.762795000002,1.0,2566.0,1.0,6665.0,-0.0011320220744304515,-0.1741464278206503,0.209,0.33527454242928456
20250415,124370.1427,123640.7779,124501.8531,122829.5453,179506.0,-4236.0,231852.0,1.0,0.0,1966.0,0.0,2.0,-1.0,8843.0,-652.0,121924.0093,123542.62389,126815.70714,-1618.614589999983,-4891.697840000008,1.0,1966.0,1.0,8191.0,-0.02359809699954319,-0.1108941848517084,0.2106,0.3485856905158072
20250416,124306.5936,124940.708,125785.3734,124019.8185,170200.0,-9306.0,280720.0,1.0,0.0,1416.0,0.0,3.0,0.0,14212.0,0.0,122971.85606,122924.1419,126545.63365,47.71415999998862,-3573.777590000012,1.0,1416.0,3.0,14212.0,-0.05467685076380729,-0.1678948741345448,0.2204,0.43011647254575724
20250417,126205.4111,125056.5717,126543.128,124889.2059,170233.0,33.0,250023.0,1.0,0.0,1138.0,0.0,3.0,0.0,15829.0,0.0,123883.01094,122585.13081,126269.304545,1297.88012999999,-2386.293605000013,1.0,1138.0,3.0,15829.0,0.00019385195584874847,-0.1411572579840164,0.2321,0.5274542429284527
