,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250314,2747.0,2671.8,2757.6,2671.0,58308.0,7637.0,64544.0,2.0,-1.0,1196.0,0.0,3.0,0.0,7303.0,0.0,2684.16,2667.24,2666.29,16.92000000000007,17.87000000000035,1.0,1196.0,3.0,7303.0,0.1309768813884887,0.4418479268224674,0.1814,0.5334608030592736
20250317,2737.2,2755.6,2760.4,2734.4,44818.0,-13490.0,34443.0,2.0,0.0,1108.0,0.0,3.0,0.0,7364.0,0.0,2698.68,2678.16,2669.78,20.51999999999998,28.90000000000009,2.0,1108.0,3.0,7364.0,-0.30099513588290416,0.4016640178197532,0.1648,0.4962025316455697
20250318,2740.0,2748.0,2753.8,2738.0,39173.0,-5645.0,28014.0,2.0,0.0,1425.0,0.0,3.0,0.0,7242.0,0.0,2711.6,2690.16,2674.03,21.44000000000005,37.57000000000016,2.0,1425.0,3.0,7242.0,-0.14410435759324025,0.4232809614667698,0.1573,0.4012658227848101
20250319,2750.0,2737.8,2760.6,2733.0,31527.0,-7646.0,30633.0,2.0,0.0,1355.0,0.0,3.0,0.0,8450.0,0.0,2727.6,2701.46,2678.18,26.13999999999987,49.42000000000007,2.0,1355.0,3.0,8450.0,-0.24252228248802613,0.4194147927437451,0.1602,0.43797468354430397
20250320,2721.2,2750.0,2751.8,2711.4,19712.0,-11815.0,26064.0,2.0,0.0,1171.0,0.0,3.0,0.0,8074.0,0.0,2739.08,2705.08,2681.59,34.0,57.48999999999978,2.0,1171.0,3.0,8074.0,-0.5993810876623377,0.4511060917851814,0.1521,0.3354430379746838
20250321,2671.8,2717.0,2721.6,2663.6,54648.0,34936.0,34642.0,3.0,0.0,2605.0,0.0,2.0,-1.0,3508.0,-194.0,2724.04,2704.1,2680.69,19.94000000000005,43.35000000000036,3.0,2605.0,1.0,3314.0,0.6392914653784219,0.5014085217902775,0.1521,0.3354430379746838
20250324,2689.0,2673.2,2692.6,2672.0,51401.0,-3247.0,25107.0,3.0,0.0,2100.0,0.0,2.0,-1.0,2985.0,-252.0,2714.4,2706.54,2681.39,7.860000000000127,33.01000000000022,3.0,2100.0,1.0,2733.0,-0.06316997723779692,0.4858032292632049,0.1415,0.20126582278481006
20250325,2690.0,2687.8,2694.2,2681.2,50834.0,-567.0,20859.0,3.0,0.0,3410.0,0.0,2.0,-1.0,2397.0,-609.0,2704.4,2708.0,2683.56,-3.599999999999909,20.84000000000015,3.0,3410.0,1.0,1788.0,-0.011153952079316992,0.4806115553255873,0.1347,0.11518987341772145
20250326,2676.0,2691.0,2697.0,2672.8,50488.0,-346.0,22285.0,3.0,0.0,3583.0,0.0,2.0,-1.0,2171.0,-270.0,2689.6,2708.6,2683.94,-19.0,5.660000000000309,3.0,3583.0,1.0,1901.0,-0.006853113611155126,0.4557704522639418,0.1352,0.12151898734177209
20250327,2690.6,2673.0,2707.6,2673.0,55492.0,5004.0,30381.0,3.0,0.0,3634.0,0.0,2.0,-2.0,2369.0,-719.0,2683.48,2711.28,2684.22,-27.79999999999973,-0.7399999999997817,3.0,3634.0,0.0,1650.0,0.0901751603834787,0.4583383444011313,0.1308,0.0658227848101267
20250328,2677.6,2693.0,2695.2,2668.0,50848.0,-4644.0,25280.0,3.0,0.0,3742.0,0.0,2.0,-2.0,2135.0,-788.0,2684.64,2704.34,2685.79,-19.69999999999936,-1.149999999999636,3.0,3742.0,0.0,1347.0,-0.09133102580239144,0.4430736761657857,0.1358,0.12911392405063307
20250331,2666.0,2675.4,2693.4,2652.8,56438.0,5590.0,33056.0,3.0,0.0,3561.0,0.0,3.0,-2.0,2118.0,-470.0,2680.04,2697.22,2687.69,-17.18000000000029,-7.650000000000091,3.0,3561.0,1.0,1648.0,0.09904674155710691,0.4474680424673722,0.1442,0.23544303797468358
20250401,2661.8,2670.2,2675.6,2658.0,50237.0,-6201.0,20983.0,3.0,0.0,3346.0,0.0,2.0,-2.0,2087.0,-769.0,2674.4,2689.4,2689.78,-15.0,-15.37999999999965,3.0,3346.0,0.0,1318.0,-0.12343491848637458,0.4532444987413005,0.1431,0.2215189873417723
20250402,2656.2,2662.0,2669.8,2651.4,51807.0,1570.0,20568.0,3.0,0.0,2873.0,0.0,3.0,-2.0,2015.0,-414.0,2670.44,2680.02,2690.74,-9.579999999999927,-20.30000000000018,3.0,2873.0,1.0,1601.0,0.030304785067654952,0.4441320478905274,0.141,0.19493670886075942
