,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,5548.6,5560.0,5597.2,5531.8,108078.0,1436.0,57463.0,2.0,0.0,8826.0,0.0,3.0,-3.0,1775.0,-328.0,5414.6,5288.9,5312.52,125.7000000000007,102.0800000000008,2.0,8826.0,0.0,1447.0,0.013286700346046374,1.1796272050579637,,,0.5806
20240507,5557.2,5545.0,5585.8,5533.0,106467.0,-1611.0,45224.0,2.0,-1.0,7701.0,0.0,3.0,-3.0,1570.0,-481.0,5483.2,5315.6,5315.05,167.5999999999995,168.1499999999996,1.0,7701.0,0.0,1089.0,-0.015131449181436501,1.2833623059096797,,,0.5323
20240508,5461.2,5538.0,5538.0,5451.0,109674.0,3207.0,50753.0,2.0,0.0,8717.0,0.0,3.0,-3.0,1493.0,-155.0,5505.2,5349.84,5314.36,155.3599999999997,190.8400000000001,2.0,8717.0,0.0,1338.0,0.029241205755238253,1.4144571335068028,,,0.5806
20240509,5562.8,5478.8,5587.0,5471.8,110212.0,538.0,56400.0,2.0,0.0,8142.0,0.0,3.0,-3.0,997.0,-415.0,5515.72,5394.28,5325.08,121.4400000000005,190.6400000000003,2.0,8142.0,0.0,582.0,0.0048815011069575,1.31401383551003,,,0.5968
20240510,5503.6,5580.0,5596.0,5466.0,113824.0,3612.0,67029.0,2.0,0.0,8956.0,0.0,3.0,-3.0,369.0,-1086.0,5526.68,5436.360000000001,5328.68,90.31999999999971,198.0,2.0,8956.0,0.0,-717.0,0.03173320213663199,1.4056258230129488,,,0.371
20240513,5443.8,5451.0,5492.2,5389.6,116072.0,2248.0,66036.0,2.0,0.0,8492.0,0.0,2.0,-3.0,540.0,-1655.0,5505.719999999999,5460.16,5334.370000000001,45.55999999999949,171.3499999999985,2.0,8492.0,-1.0,-1115.0,0.019367289268729753,1.5087482974770423,,,0.3871
20240514,5470.0,5477.0,5528.0,5444.0,116594.0,522.0,59866.0,2.0,0.0,8592.0,0.0,2.0,-3.0,136.0,-1351.0,5488.280000000001,5485.74,5340.18,2.540000000000873,148.1000000000004,2.0,8592.0,-1.0,-1215.0,0.004477074291987581,1.4782915810716948,,,0.4355
20240515,5424.0,5460.0,5486.0,5408.2,121328.0,4734.0,62134.0,2.0,0.0,8216.0,0.0,3.0,-3.0,131.0,-1426.0,5480.840000000001,5493.02,5345.93,-12.17999999999847,134.9100000000008,2.0,8216.0,0.0,-1295.0,0.03901819860213636,1.4924070653611183,,,0.4355
20240516,5415.0,5470.2,5485.4,5401.4,134269.0,12941.0,79478.0,2.0,0.0,7733.0,0.0,3.0,-3.0,199.0,-2382.0,5451.280000000001,5483.5,5353.54,-32.21999999999935,97.74000000000069,2.0,7733.0,0.0,-2183.0,0.09638114531276765,1.4704609864610565,,,0.4194
20240517,5530.2,5427.8,5536.0,5408.0,142465.0,8196.0,94821.0,2.0,0.0,8107.0,0.0,2.0,-3.0,430.0,-1724.0,5456.6,5491.64,5377.3,-35.03999999999996,79.30000000000018,2.0,8107.0,-1.0,-1294.0,0.057529919629382656,0.9358704046591596,,,0.4355
