,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct
20250306,6020.0,5941.0,6047.0,5940.0,113238.0,-610.0,77533.0,1.0,-2.0,0.0,-1015.0,3.0,0.0,5283.0,0.0,5901.559999999999,5946.08,5909.96,-44.52000000000044,-8.400000000000546,-1.0,-1015.0,3.0,5283.0,-0.005386884261466999,1.4575415378504724,,
20250307,5992.4,6006.0,6036.0,5968.2,106650.0,-6588.0,64656.0,1.0,-2.0,0.0,-803.0,3.0,-1.0,4498.0,-285.0,5932.36,5942.44,5919.2,-10.07999999999993,13.15999999999985,-1.0,-803.0,2.0,4213.0,-0.061772151898734175,1.4782656618326209,,
20250310,5961.2,5985.0,6008.4,5920.2,102298.0,-4352.0,66437.0,1.0,-2.0,71.0,-807.0,2.0,-1.0,4416.0,-609.0,5955.16,5939.120000000001,5925.059999999999,16.03999999999905,30.10000000000036,-1.0,-736.0,1.0,3807.0,-0.04254237619503803,1.5024012882404991,,
20250311,6011.0,5906.0,6011.8,5901.0,99223.0,-3075.0,68926.0,1.0,-2.0,6.0,-907.0,3.0,-1.0,3937.0,0.0,5978.08,5945.18,5934.469999999999,32.89999999999964,43.61000000000058,-1.0,-901.0,2.0,3937.0,-0.030990798504379025,1.5668467899354703,,
20250312,6019.0,6028.6,6079.8,5998.6,96372.0,-2851.0,67452.0,1.0,-2.0,168.0,-957.0,3.0,-1.0,3908.0,-147.0,6000.719999999999,5947.38,5940.29,53.33999999999924,60.42999999999938,-1.0,-789.0,2.0,3761.0,-0.029583281451043872,1.643153878405015,,
20250313,5967.8,6013.4,6027.8,5914.6,92425.0,-3947.0,71591.0,0.0,-2.0,402.0,0.0,3.0,0.0,5084.0,0.0,5990.28,5945.92,5945.030000000001,44.35999999999967,45.24999999999909,-2.0,402.0,3.0,5084.0,-0.04270489586150933,1.57478898613205,,
20250314,6096.2,5970.2,6099.2,5951.4,93645.0,1220.0,85658.0,2.0,-1.0,835.0,0.0,3.0,0.0,5521.0,0.0,6011.04,5971.7,5953.59,39.34000000000015,57.44999999999982,1.0,835.0,3.0,5521.0,0.013027924608895297,1.430698008301951,,
20250317,6083.0,6109.0,6110.0,6077.2,75358.0,-18287.0,57551.0,0.0,-2.0,0.0,-971.0,3.0,0.0,5568.0,0.0,6035.4,5995.280000000001,5962.27,40.11999999999898,73.13000000000011,-2.0,-971.0,3.0,5568.0,-0.2426683298389023,1.5172530829229771,,
20250318,6112.4,6105.0,6165.0,6094.6,69267.0,-6091.0,54619.0,2.0,-1.0,619.0,0.0,3.0,0.0,6192.0,0.0,6055.679999999999,6016.879999999999,5976.76,38.80000000000018,78.91999999999916,1.0,619.0,3.0,6192.0,-0.08793509174643048,1.5368080294425883,,
20250319,6099.4,6099.8,6121.0,6058.2,52332.0,-16935.0,53329.0,2.0,-2.0,513.0,0.0,3.0,0.0,7271.0,0.0,6071.76,6036.24,5986.059999999999,35.52000000000044,85.70000000000073,0.0,513.0,3.0,7271.0,-0.3236069708782389,1.567195116601939,,
20250320,6056.6,6091.6,6102.6,6045.6,35118.0,-17214.0,42196.0,0.0,-2.0,0.0,-1262.0,3.0,0.0,8240.0,0.0,6089.52,6039.9,5992.99,49.61999999999989,96.52999999999975,-2.0,-1262.0,3.0,8240.0,-0.49017597813087305,1.5887783719780182,,
20250321,5913.6,5988.8,6020.0,5880.4,77193.0,42075.0,58354.0,0.0,-2.0,76.0,-448.0,3.0,0.0,8055.0,0.0,6053.0,6032.02,5987.23,20.97999999999956,65.76999999999953,-2.0,-372.0,3.0,8055.0,0.5450623761221872,1.6587727458043549,,
