,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,3656.2,3666.0,3678.8,3647.6,64765.0,1842.0,47582.0,2.0,-1.0,3139.0,-1727.0,2.0,-1.0,2211.0,-8773.0,3603.8,3569.88,3552.74,33.92000000000007,51.05999999999995,3562.813492063492,3541.704746031746,48185.5,,,1.0,1412.0,1.0,-6562.0,0.028441287732571607,0.3687815652585995,,,0.9839
20240507,3658.0,3656.0,3666.2,3648.2,58149.0,-6616.0,32715.0,2.0,-1.0,3079.0,-1716.0,2.0,-1.0,2700.0,-8582.0,3628.72,3578.78,3556.16,49.9399999999996,72.55999999999995,3572.877142857143,3545.170396825397,47260.2,,,1.0,1363.0,1.0,-5882.0,-0.11377667715695884,0.4220597118609741,,,1.0
20240508,3628.6,3654.0,3654.0,3626.4,55972.0,-2177.0,33023.0,2.0,-1.0,3056.0,-1667.0,2.0,-1.0,2358.0,-7971.0,3636.92,3587.44,3558.860000000001,49.47999999999956,78.05999999999904,3580.650793650793,3549.383587301587,45691.5,,,1.0,1389.0,1.0,-5613.0,-0.03889444722361181,0.4699451332083732,,,1.0
20240509,3663.6,3635.0,3673.0,3631.2,54826.0,-1146.0,38078.0,2.0,-1.0,3064.0,-1775.0,2.0,-2.0,2796.0,-7654.0,3643.32,3600.239999999999,3564.95,43.08000000000038,78.36999999999989,3589.719047619048,3554.497777777778,44810.6,,,1.0,1289.0,0.0,-4858.0,-0.02090249151862255,0.4212819524658844,,,1.0
20240510,3665.0,3670.4,3681.0,3637.6,53884.0,-942.0,43705.0,2.0,-1.0,2637.0,-1483.0,2.0,-2.0,3347.0,-7602.0,3654.28,3615.78,3571.38,38.5,82.90000000000055,3599.294761904763,3560.790984126984,44491.9,,,1.0,1154.0,0.0,-4255.0,-0.017481998366862147,0.463402063053006,,,0.9677
20240513,3661.6,3645.0,3673.8,3618.0,49303.0,-4581.0,43591.0,2.0,-1.0,2545.0,-1482.0,2.0,-2.0,3821.0,-8326.0,3655.36,3629.58,3579.03,25.77999999999929,76.32999999999947,3607.136031746032,3568.054873015873,44692.4,,,1.0,1063.0,0.0,-4505.0,-0.09291523842362534,0.4010921591959645,,,0.9677
20240514,3655.6,3666.8,3678.0,3644.2,41898.0,-7405.0,37330.0,2.0,-1.0,3227.0,-1132.0,2.0,-2.0,4080.0,-8572.0,3654.88,3641.8,3586.37,13.07999999999947,68.50999999999976,3614.985714285715,3576.177412698413,43624.0,,,1.0,2095.0,0.0,-4492.0,-0.17673874647954557,0.3851605369830526,,,0.9677
20240515,3629.6,3650.0,3656.6,3622.2,33096.0,-8802.0,33460.0,2.0,-1.0,3368.0,-856.0,2.0,-2.0,3335.0,-8738.0,3655.08,3646.0,3594.23,9.080000000000382,60.84999999999991,3619.554126984126,3584.408126984127,40783.4,,0.149385,1.0,2512.0,0.0,-5403.0,-0.26595358955765047,0.3954941879787382,,,0.9355
20240516,3623.0,3627.2,3645.2,3614.0,135302.0,102206.0,57067.0,2.0,-1.0,3482.0,-837.0,2.0,-2.0,4349.0,-7978.0,3646.96,3645.14,3598.06,1.819999999999709,48.90000000000009,3622.931428571429,3592.194206349207,40560.7,68480.4,,1.0,2645.0,0.0,-3629.0,0.7553916423999645,0.4260287838660049,,,0.9355
20240517,3669.0,3628.0,3675.0,3615.8,142379.0,7077.0,73451.0,2.0,-1.0,3589.0,-658.0,2.0,-2.0,3099.0,-6549.0,3647.76,3651.02,3605.81,-3.259999999999764,41.94999999999982,3628.161587301588,3599.812412698413,44000.2,88141.2,,1.0,2931.0,0.0,-3450.0,0.049705363852815376,0.0948910332080484,,,0.9032
