,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2857.1709,2756.9182,2861.1995,2704.0828,76358.0,4209.0,62956.0,0.0,-5.0,0.0,-5058.0,1.0,-2.0,1431.0,-346.0,2771.4191,2632.68966,2342.185645,138.7294400000001,429.233455,2491.914281111111,2256.77277152381,77561.2,,7.148264018275524,6.115729260367988,13.26399327864351,-5.0,-5058.0,-1.0,1085.0,0.05512192566594201,11.087970946970303,,,0.2055,0.0198,1.0
20240507,2859.9951,2871.5293,2924.5129,2791.8496,81608.0,5250.0,83096.0,0.0,-5.0,0.0,-5416.0,1.0,-2.0,1452.0,-237.0,2783.77764,2685.25201,2386.43795,98.52563000000009,397.3396900000002,2543.612256587301,2308.504031325397,80437.6,,7.042754692170104,6.115729260367988,13.15848395253809,-5.0,-5416.0,-1.0,1215.0,0.06433192824232918,10.554219718347031,,,0.1781,0.0098,0.9941
20240508,2944.9026,2884.0911,2945.6313,2839.1248,84553.0,2945.0,55461.0,0.0,-5.0,0.0,-5828.0,1.0,-2.0,1357.0,-459.0,2799.7544,2728.34881,2434.651645,71.4055900000003,365.1027550000003,2596.348436031746,2360.769539388889,73798.4,,6.818208012490103,6.024615030821136,12.84282304331124,-5.0,-5828.0,-1.0,898.0,0.03483022482939695,11.046840588439323,,,0.137,0.0097,0.9942
20240509,3211.9294,2941.7495,3228.2651,2941.7495,95398.0,10845.0,112359.0,0.0,-4.0,0.0,-7426.0,2.0,-2.0,3236.0,-1769.0,2926.80844,2802.47849,2500.360755,124.3299499999998,426.4476849999996,2663.623334285714,2414.972554166667,80069.0,134830.8,7.092362614249398,6.115729260367988,13.20809187461738,-4.0,-7426.0,0.0,1467.0,0.11368162854567182,11.79001755026917,,,0.1507,0.0096,1.0
20240510,3390.6057,3256.7239,3443.4866,3210.7766,92717.0,-2681.0,149215.0,0.0,-4.0,0.0,-6167.0,1.0,-2.0,3178.0,-2166.0,3052.92074,2893.20049,2573.71093,159.7202499999999,479.2098099999998,2746.21357595238,2473.045463976191,90226.7,179058.0,7.180345298555755,6.181390898491868,13.36173619704762,-4.0,-6167.0,-1.0,1012.0,-0.028915948531553007,11.19579682037493,,,0.137,0.0095,0.9942
20240513,3789.4939,3428.8354,3807.427,3428.8354,92178.0,-539.0,141756.0,0.0,-3.0,0.0,-5042.0,1.0,-2.0,3299.0,-2089.0,3239.38534,3005.40222,2661.81383,233.9831199999999,577.5715099999998,2853.689822222223,2536.522795722222,97861.5,170107.2,7.576013782740907,6.181390898491868,13.75740468123277,-3.0,-5042.0,-1.0,1210.0,-0.005847382238712057,10.902185623100928,,,0.0685,0.0094,0.977
20240514,3570.2703,3821.3938,3929.6125,3466.5627,85704.0,-6474.0,204129.0,0.0,-3.0,0.0,-4579.0,1.0,-2.0,1312.0,-1018.0,3381.44038,3082.60901,2740.738465,298.8313699999999,640.7019150000001,2950.860502142857,2603.189183515873,111108.8,244954.8,7.687047089807771,6.181390898491868,13.86843798829964,-3.0,-4579.0,-1.0,294.0,-0.07553906468776253,11.167013830261476,,,0.0548,0.0187,0.9886
20240515,3802.8318,3626.7078,3805.2214,3485.8135,89726.0,4022.0,138652.0,0.0,-3.0,0.0,-5145.0,1.0,-2.0,1624.0,-948.0,3553.02622,3176.39031,2825.49247,376.6359099999995,727.5337499999996,3046.788708174603,2672.843619293651,115187.4,166382.4,7.818793855320534,6.282500747625179,14.10129460294571,-3.0,-5145.0,-1.0,676.0,0.04482535719858235,11.303701421770937,,,0.0548,0.0278,0.9943
20240516,3688.4832,3980.1816,4063.7185,3671.3472,91948.0,2222.0,155398.0,1.0,-3.0,443.0,-4988.0,1.0,-2.0,1535.0,-1264.0,3648.33698,3287.572709999999,2900.36784,360.7642700000006,747.9691400000002,3142.293079285715,2747.589305103175,119571.4,186477.6,8.223350579362224,6.282500747625179,14.5058513269874,-2.0,-4545.0,-1.0,271.0,0.024165832862052466,11.974137794792467,,,0.0822,0.0367,1.0
20240517,3762.6296,3823.8369,3823.8369,3617.6335,89585.0,-2363.0,116689.0,0.0,-3.0,0.0,-4671.0,2.0,-2.0,1137.0,-1089.0,3722.74176,3387.83125,2979.187335,334.9105099999997,743.5544249999998,3226.119714285715,2826.146371007937,121971.1,,8.058597292806763,6.181390898491868,14.23998819129863,-3.0,-4671.0,0.0,48.0,-0.02637718368030362,12.549413386148306,,,0.0822,0.0455,1.0
