,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,7407.8223,7389.1138,7453.2949,7336.7212,611112.0,22525.0,531523.0,1.0,0.0,3627.0,0.0,2.0,-3.0,0.0,-15715.0,7390.09542,7420.293619999999,7664.358115,-30.19819999999982,-274.2626950000003,7535.356713888889,7695.962794444444,913826.1,,,2.370583965848672,2.072573398047435,4.443157363896106,1.0,3627.0,-1.0,-15715.0,0.03685903729594575,0.4577054482673472,,,0.3014,0.3533,0.37
20240507,7557.7935,7425.0923,7562.4634,7420.668,644952.0,33840.0,783863.0,1.0,0.0,3357.0,0.0,2.0,-3.0,0.0,-11975.0,7435.90432,7426.97946,7640.339559999999,8.92486000000008,-204.4352399999989,7518.759917936509,7659.257946007938,910774.6,,,2.396761969712444,2.056546737199009,4.453308706911454,1.0,3357.0,-1.0,-11975.0,0.05246902095039631,0.3447932123843461,,,0.2877,0.336,0.308
20240508,7493.1699,7547.1924,7601.4565,7480.5952,648527.0,3575.0,795725.0,1.0,0.0,3771.0,0.0,1.0,-3.0,0.0,-21028.0,7452.372960000001,7434.58361,7599.767145,17.78935000000092,-147.3941849999992,7507.510580793649,7626.259254039682,875889.9,,,2.217267524242563,2.011875312225132,4.229142836467695,1.0,3771.0,-2.0,-21028.0,0.0055124921552996255,0.3821990824056411,,,0.2603,0.2547,0.331
20240509,7405.502,7459.4604,7477.2197,7388.7153,659113.0,10586.0,734054.0,1.0,0.0,3958.0,0.0,1.0,-3.0,0.0,-33413.0,7445.205980000001,7438.939469999999,7571.373715,6.26651000000129,-126.1677349999991,7488.362405555556,7596.449104388887,851799.1,,,2.12909944463762,1.984281655776965,4.113381100414585,1.0,3958.0,-2.0,-33413.0,0.016060978921672006,0.3137351715004072,,,0.2329,0.204,0.292
20240510,7292.9795,7383.1099,7420.8267,7255.999,698135.0,39022.0,820486.0,1.0,0.0,10384.0,0.0,1.0,-2.0,0.0,-41236.0,7431.45344,7422.37106,7535.941804999999,9.08237999999983,-104.4883649999992,7463.107738174604,7568.366316880953,818408.9,,,2.036834248138256,2.011875312225132,4.048709560363388,1.0,10384.0,-1.0,-41236.0,0.05589463355941186,0.3929560552649839,,,0.1644,0.1373,0.336
20240513,7455.1523,7303.938,7466.1426,7277.7305,652593.0,-45542.0,725718.0,1.0,0.0,10370.0,0.0,2.0,-3.0,0.0,-28097.0,7440.91944,7415.50743,7508.766535000001,25.41201000000001,-67.84709500000099,7448.74269253968,7542.150288436508,802398.0,,,2.109772294191813,2.056546737199009,4.166319031390822,1.0,10370.0,-1.0,-28097.0,-0.06978622204038351,0.1555487812967244,,,0.1644,0.1253,0.187
20240514,7486.6543,7474.0259,7554.0176,7468.2822,642666.0,-9927.0,841529.0,2.0,-1.0,3987.0,-6465.0,1.0,-3.0,0.0,-25747.0,7426.6916,7431.297959999999,7484.01827,-4.606359999998858,-57.32667000000038,7446.115691825396,7519.895791047619,769288.2,,,2.055564063421455,2.056546737199009,4.112110800620465,1.0,-2478.0,-2.0,-25747.0,-0.015446592786921978,0.3179165071658556,,,0.1507,0.1307,0.293
20240515,7528.1958,7400.585,7572.3745,7318.1499,655921.0,13255.0,1104744.0,1.0,-1.0,0.0,-7517.0,1.0,-3.0,0.0,-21799.0,7433.69678,7443.03487,7467.468565,-9.338090000000193,-33.77178499999991,7444.174602301586,7501.446753722221,791062.5,1325692.8,,2.156338984587319,2.072573398047435,4.228912382634753,0.0,-7517.0,-2.0,-21799.0,0.020208226295544737,0.0713879278269358,,,0.1644,0.1427,0.136
20240516,7455.9819,7503.1958,7559.7144,7423.6582,649794.0,-6127.0,871478.0,1.0,-1.0,505.0,0.0,1.0,-3.0,0.0,-32690.0,7443.792759999999,7444.49937,7453.079865,-0.7066100000001825,-9.287105000000338,7443.891106984127,7486.065640126983,795459.9,,,2.090753700326011,2.072573398047435,4.163327098373445,0.0,505.0,-2.0,-32690.0,-0.00942914215889959,0.1055022898002777,,,0.1507,0.1493,0.15
20240517,7638.2715,7463.3345,7644.9419,7458.3921,688551.0,38757.0,849729.0,0.0,-1.0,0.0,-9154.0,1.0,-2.0,0.0,-32062.0,7512.85116,7472.1523,7451.184480000001,40.69886000000042,61.66667999999936,7455.67105238095,7475.169250238095,805884.9,,,2.119109982565844,2.078575540310819,4.197685522876663,-1.0,-9154.0,-1.0,-32062.0,0.05628776953341147,0.0731592591705572,,,0.1781,0.1693,0.135
