,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2407.0225,2396.6707,2410.0166,2389.3394,1383179.0,-4270.0,448626.0,2.0,0.0,35464.0,0.0,2.0,-2.0,35748.0,-87095.0,2400.00216,2406.64293,2416.758,-6.64076999999952,-16.75583999999981,2410.162389047619,2417.460588698413,549712.6,,,0.7515537640062636,0.9110434421979193,1.662597206204183,2.0,35464.0,0.0,-51347.0,-0.003087091403209563,0.0185157878313613,,,0.8767,0.876,0.565
20240507,2434.5974,2407.3694,2437.1667,2406.9731,1367849.0,-15330.0,900324.0,2.0,0.0,25919.0,0.0,1.0,-2.0,5904.0,-94731.0,2404.54922,2409.70816,2416.260845,-5.158940000000257,-11.71162499999991,2410.989263015873,2416.3616625,587194.2,1080388.8,,0.8003937052512105,0.9110434421979193,1.71143714744913,2.0,25919.0,-1.0,-88827.0,-0.011207377422507894,0.0843258107114624,,,0.9041,0.9373,0.601
20240508,2440.8806,2432.8562,2446.9668,2430.3171,1397324.0,29475.0,696896.0,2.0,0.0,28597.0,0.0,2.0,-2.0,5419.0,-98813.0,2413.30884,2412.15804,2416.282355,1.15079999999989,-2.973515000000134,2413.130728333333,2415.574503023809,584567.8,,,0.7853948947638816,0.9110434421979193,1.696438336961801,2.0,28597.0,0.0,-93394.0,0.02109389089430941,0.1181970687957017,,,0.9178,0.9507,0.622
20240509,2443.7014,2439.5662,2460.4446,2437.2747,1445528.0,48204.0,789258.0,2.0,0.0,37720.0,0.0,1.0,-2.0,5270.0,-99219.0,2423.21412,2415.76627,2416.74025,7.447850000000017,6.473870000000261,2415.801725238095,2415.148365960317,606889.7,947109.6,,0.79212132418254,0.9110434421979193,1.703164766380459,2.0,37720.0,-1.0,-93949.0,0.03334698463122126,0.1184394014312033,,,0.9315,0.964,0.622
20240510,2448.6951,2441.593,2453.0498,2437.1653,1443367.0,-2161.0,619825.0,2.0,0.0,25889.0,0.0,1.0,-3.0,257.0,-90272.0,2434.9794,2418.97955,2417.42349,15.99985000000015,17.55591000000004,2418.562203968253,2415.04964415873,612687.6,,0.118105,0.7859056346239943,0.9110434421979193,1.696949076821914,2.0,25889.0,-2.0,-90015.0,-0.0014971937144191325,0.0675264817277987,,,0.9726,0.976,0.592
20240513,2445.4995,2450.468,2457.814,2439.7563,1423723.0,-19644.0,688497.0,2.0,0.0,26157.0,0.0,1.0,-3.0,2924.0,-75016.0,2442.6748,2421.33848,2417.757765,21.33631999999989,24.91703499999994,2421.469003253968,2415.243327587302,640495.5,,,0.7972226073375175,0.9110434421979193,1.708266049535437,2.0,26157.0,-2.0,-72092.0,-0.013797627768884818,-0.0167653599316559,,,0.9726,0.9787,0.545
20240514,2455.1604,2446.8984,2463.8274,2444.9165,1452836.0,29113.0,729111.0,2.0,0.0,27681.0,0.0,1.0,-2.0,829.0,-66596.0,2446.7874,2425.66831,2419.494385,21.11909000000014,27.2930150000002,2424.812243888889,2415.822334555555,670847.7,,0.1288,0.7875003986479392,0.901326514708555,1.688826913356494,2.0,27681.0,-1.0,-65767.0,0.020038738026866076,0.0761986869234716,,,0.9863,0.9987,0.597
20240515,2458.7434,2455.7729,2460.1431,2446.7319,1448667.0,-4169.0,491416.0,2.0,0.0,29143.0,0.0,1.0,-3.0,1680.0,-66939.0,2450.35996,2431.8344,2421.428895,18.5255600000005,28.93106500000022,2428.315736190476,2416.941945182539,637967.6,,,0.769879406588655,0.8966596402725069,1.666539046861162,2.0,29143.0,-2.0,-65259.0,-0.002877818021670957,-0.0079140026016296,,,0.9863,1.0,0.546
20240516,2468.2534,2460.2461,2470.8625,2457.4958,1466488.0,17821.0,546849.0,2.0,0.0,28442.0,0.0,1.0,-2.0,2447.0,-64544.0,2455.27036,2439.24224,2423.78865,16.02811999999994,31.48171000000002,2432.586153253968,2418.749921269841,629434.0,,,0.7416569545440567,0.8966596402725069,1.638316594816564,2.0,28442.0,-1.0,-62097.0,0.01215216217248283,-0.0500794915264927,,,0.9726,0.9827,0.527
20240517,2459.5327,2467.8806,2475.283,2456.8933,1471224.0,4736.0,643076.0,2.0,0.0,29262.0,0.0,2.0,-3.0,0.0,-64113.0,2457.43788,2446.20864,2426.31824,11.22924000000012,31.11964000000035,2436.365569444444,2421.219501563492,655387.8,,,0.7587638619979293,0.8936930618946262,1.652456923892555,2.0,29262.0,-1.0,-64113.0,0.0032190883237358824,-0.0248223499763702,,,0.9452,0.9747,0.538
20240520,2456.4602,2459.54,2464.8765,2450.5833,1480656.0,9432.0,593728.0,2.0,0.0,29651.0,0.0,1.0,-3.0,0.0,-69525.0,2459.63002,2451.15241,2428.89767,8.477609999999913,30.73235000000022,2439.339549682539,2424.137217626984,669898.0,,,0.7593421834827678,0.8910927284803136,1.650434911963081,2.0,29651.0,-2.0,-69525.0,0.00637014944727202,0.1004747269723133,,,0.9452,0.9613,0.613
20240521,2451.9976,2457.4939,2462.1582,2447.8081,1473511.0,-7145.0,618210.0,2.0,0.0,28129.0,0.0,1.0,-2.0,0.0,-77323.0,2458.99746,2452.89243,2431.300295,6.10503000000017,27.69716500000004,2441.731669206349,2427.211458246032,641686.6,,,0.7293810738673825,0.8715305856372283,1.600911659504611,2.0,28129.0,-1.0,-77323.0,-0.0048489627834471544,-0.0056067490938932,,,0.9178,0.9053,0.545
20240522,2475.6277,2453.8921,2475.6895,2453.4861,1507941.0,34430.0,664829.0,2.0,0.0,27479.0,0.0,2.0,-3.0,0.0,-73934.0,2462.37432,2456.36714,2434.26259,6.007180000000517,28.11173000000053,2445.345120555556,2430.432897468253,638479.9,,,0.7344459101967497,0.8715305856372283,1.605976495833978,2.0,27479.0,-1.0,-73934.0,0.02283245829909791,-0.0145617962702273,,,0.9315,0.868,0.541
20240523,2468.4573,2475.4011,2481.7756,2463.7012,1497728.0,-10213.0,632356.0,2.0,0.0,26143.0,0.0,1.0,-3.0,0.0,-76206.0,2462.4151,2458.84273,2437.3045,3.57236999999941,25.11059999999952,2448.880070952381,2433.740732039682,622789.7,,,0.7551318666150661,0.8573008952565236,1.61243276187159,2.0,26143.0,-2.0,-76206.0,-0.006818995171352876,0.0176755468275259,,,0.9041,0.8293,0.558
20240524,2461.4766,2470.9048,2476.9353,2457.0581,1475400.0,-22328.0,591520.0,2.0,0.0,25612.0,0.0,1.0,-3.0,0.0,-79039.0,2462.80388,2460.12088,2439.550215,2.683000000000447,23.25366500000018,2451.572010396825,2437.04171268254,619959.2,,,0.7516077683689585,0.8269764771022802,1.578584245471239,2.0,25612.0,-2.0,-79039.0,-0.015133523112376306,-0.0723361025828445,,,0.8493,0.7987,0.503
20240527,2450.2424,2460.5574,2462.0059,2447.5576,1471248.0,-4152.0,489125.0,2.0,0.0,27483.0,0.0,1.0,-3.0,0.0,-81641.0,2461.56032,2460.59517,2440.966825,0.9651499999999942,20.59349500000008,2452.983012777777,2440.19311363492,600022.0,,,0.7054742381081962,0.8068160501681011,1.512290288276297,2.0,27483.0,-2.0,-81641.0,-0.0028220938957945908,-0.1302861691112551,,,0.863,0.78,0.46
20240528,2451.7183,2453.4487,2458.4514,2447.46,1450116.0,-21132.0,528639.0,2.0,0.0,31861.0,0.0,1.0,-2.0,0.0,-84123.0,2461.50446,2460.25096,2442.959635,1.253499999999804,18.54482499999995,2454.134864920635,2443.125375738095,579974.8,,,0.6888012832816832,0.8068160501681011,1.495617333449784,2.0,31861.0,-1.0,-84123.0,-0.014572627293264815,-0.1298042165084715,,,0.8767,0.7533,0.461
20240529,2438.2979,2451.5242,2451.7803,2435.5691,1416612.0,-33504.0,653530.0,2.0,0.0,31839.0,0.0,1.0,-3.0,0.0,-81923.0,2454.0385,2458.20641,2445.020405,-4.16791000000012,9.018094999999448,2454.077728730159,2445.701574992063,596186.2,,,0.668674944469943,0.8068160501681011,1.475490994638044,2.0,31839.0,-2.0,-81923.0,-0.02365079499538335,-0.1715776228788791,,,0.863,0.7547,0.443
20240530,2431.6377,2438.0618,2447.6699,2427.9563,1429875.0,13263.0,636292.0,2.0,0.0,27474.0,0.0,1.0,-2.0,2682.0,-95310.0,2446.67458,2454.54484,2446.89354,-7.870260000000144,-0.2189600000001519,2453.112509761905,2447.754210642857,605130.5,,,0.6801465835566846,0.8088040780919286,1.488950661648613,2.0,27474.0,-1.0,-92628.0,0.009275635982166273,-0.2040779347643696,,,0.863,0.756,0.432
20240531,2437.3743,2433.0625,2440.616,2432.052,1410160.0,-19715.0,466486.0,2.0,0.0,26853.0,0.0,1.0,-3.0,282.0,-88163.0,2441.85412,2452.329,2449.26882,-10.47487999999976,-7.414699999999812,2452.05094531746,2449.322748230158,587471.5,,,0.6538868948967389,0.8088040780919286,1.462690972988667,2.0,26853.0,-2.0,-87881.0,-0.013980683043058944,-0.2027349089992791,,,0.8493,0.732,0.433
20240603,2437.6433,2438.1353,2444.0071,2435.9272,1397776.0,-12384.0,460368.0,2.0,0.0,34531.0,0.0,1.0,-3.0,252.0,-89891.0,2439.3343,2450.44731,2450.79986,-11.11301000000003,-11.4655600000001,2451.001468412699,2450.488940103175,574135.5,,,0.6226867505334276,0.8068160501681011,1.429502800701529,2.0,34531.0,-2.0,-89639.0,-0.008859788692894999,-0.1133763960016676,,,0.8493,0.7707,0.471
20240604,2429.8943,2439.8962,2447.02,2427.2021,1392251.0,-5525.0,566145.0,2.0,0.0,28962.0,0.0,1.0,-3.0,1841.0,-79839.0,2434.9695,2448.23698,2450.564705,-13.26747999999998,-15.59520500000008,2449.450579444444,2451.260831126984,568929.0,,,0.6418784917293975,0.8088040780919286,1.450682569821326,2.0,28962.0,-2.0,-77998.0,-0.003968393630171571,-0.1471621283152807,,,0.8219,0.8733,0.453
20240605,2435.4675,2429.9419,2439.9458,2427.4756,1376291.0,-15960.0,453820.0,2.0,0.0,27050.0,0.0,1.0,-3.0,358.0,-83596.0,2434.40342,2444.22096,2450.29405,-9.817540000000008,-15.89062999999987,2447.845673174603,2451.510886388889,547828.1,,,0.6398775064722165,0.8088040780919286,1.448681584564145,2.0,27050.0,-2.0,-83238.0,-0.011596384776184687,-0.0648206478958982,,,0.863,0.928,0.507
20240606,2441.7312,2439.1511,2445.8899,2437.3577,1357418.0,-18873.0,424130.0,2.0,0.0,22045.0,0.0,1.0,-3.0,806.0,-78937.0,2436.42212,2441.54835,2450.19554,-5.12622999999985,-13.77341999999999,2446.946939523809,2451.317573246032,527005.5,,,0.6169599560509215,0.8088040780919286,1.42576403414285,2.0,22045.0,-2.0,-78131.0,-0.013903602280211402,-0.0402991691427491,,,0.9726,0.9947,0.529
20240607,2463.3359,2444.1929,2469.7407,2444.1929,1325895.0,-31523.0,925309.0,2.0,-1.0,14716.0,0.0,1.0,-3.0,0.0,-80046.0,2441.61444,2441.73428,2450.92758,-0.1198399999998401,-9.313139999999748,2447.642167460317,2450.924588952381,560384.4,1110370.8,0.104535,0.6568546862657633,0.8126624939612591,1.469517180227022,1.0,14716.0,-2.0,-80046.0,-0.02377488413486739,0.0802771870610663,,,0.9863,0.9933,0.597
20240611,2460.4287,2465.5615,2476.23,2457.593,1318630.0,-7265.0,477900.0,2.0,-1.0,14195.0,0.0,1.0,-3.0,0.0,-84452.0,2446.17152,2442.75291,2451.67404,3.418609999999717,-5.502520000000004,2448.772064920635,2450.503494166667,559261.9,,,0.669197476601242,0.8088040780919286,1.47800155469317,1.0,14195.0,-2.0,-84452.0,-0.005509506078278213,0.0566827782486528,,,0.9863,0.988,0.583
20240612,2467.7751,2460.9043,2471.2468,2459.8899,1338963.0,20333.0,470328.0,2.0,-1.0,12979.0,-656.0,1.0,-3.0,0.0,-101511.0,2453.74768,2444.35859,2452.304775,9.389089999999669,1.442905000000337,2450.097641428571,2450.09977181746,553430.8,,,0.6333629662755519,0.8068160501681011,1.440179016443653,1.0,12323.0,-2.0,-101511.0,0.015185632463331697,0.0240825428266441,,,0.9863,0.984,0.559
20240613,2460.4744,2467.8367,2471.3645,2454.1953,1327727.0,-11236.0,610455.0,2.0,-1.0,14619.0,-1205.0,1.0,-3.0,0.0,-100491.0,2458.74906,2446.57624,2452.391325,12.17281999999977,6.357735000000048,2450.99406015873,2449.791404960318,549123.3,,,0.6308689432869431,0.8068160501681011,1.437684993455044,1.0,13414.0,-2.0,-100491.0,-0.008462583046062934,-0.0248385051429021,,,0.9863,0.976,0.53
20240614,2460.5125,2462.2817,2470.9741,2459.5107,1327752.0,25.0,514548.0,2.0,-1.0,18071.0,-1013.0,1.0,-3.0,0.0,-113294.0,2462.50532,2449.46372,2452.00428,13.04159999999956,10.50103999999965,2451.937837936508,2449.673937777778,536948.9,,,0.6063327065166917,0.797494400484071,1.403827107000763,1.0,17058.0,-2.0,-113294.0,1.8828817429760978e-05,-0.0326599700835037,,,0.9863,0.968,0.527
20240617,2445.4954,2461.1804,2461.2026,2444.7495,1284722.0,-43030.0,610493.0,2.0,-1.0,17587.0,0.0,1.0,-3.0,2441.0,-115682.0,2458.93722,2450.27583,2451.302415,8.661389999999756,7.634804999999687,2451.735364523809,2449.642379698413,551349.6,,,0.6122681314355835,0.7896610120781048,1.401929143513688,1.0,17587.0,-2.0,-113241.0,-0.033493627415113934,-0.074189762177359,,,0.9726,0.9667,0.493
20240618,2436.1604,2447.8015,2450.4524,2435.9915,1292876.0,8154.0,530829.0,2.0,-1.0,17611.0,0.0,1.0,-3.0,1261.0,-115635.0,2454.08356,2450.12754,2450.287425,3.956019999999626,3.796135000000049,2450.599781666667,2449.60221102381,558395.7,,,0.6226773245331871,0.7800399218827563,1.402717246415943,1.0,17611.0,-2.0,-114374.0,0.006306869336270455,-0.0575485478364332,,,0.9589,0.96,0.51
20240619,2438.281,2436.5286,2450.0874,2431.8491,1286773.0,-6103.0,510060.0,2.0,-1.0,16269.0,-1307.0,1.0,-2.0,2292.0,-107685.0,2448.18474,2450.96621,2449.601595,-2.781470000000354,-1.416854999999941,2449.320711349207,2449.589224214286,552787.2,,,0.6285968266673986,0.7718040199708083,1.400400846638207,1.0,14962.0,-1.0,-105393.0,-0.004742872285943208,-0.0407214208413203,,,0.9589,0.9533,0.522
20240620,2444.9893,2438.5901,2448.397,2438.5901,1285715.0,-1058.0,409105.0,2.0,-1.0,20082.0,-2564.0,1.0,-2.0,4326.0,-111180.0,2445.08772,2451.91839,2448.069675,-6.830669999999373,-2.981954999999289,2448.68648936508,2449.673305833333,548315.7,,,0.6003374829941259,0.7718040199708083,1.372141502964934,1.0,17518.0,-1.0,-106854.0,-0.0008228884317286491,-0.0160205071989941,,,0.9589,0.9453,0.536
20240621,2443.9536,2446.5339,2449.6221,2440.1873,1273959.0,-11756.0,380543.0,2.0,-1.0,18340.0,-3341.0,1.0,-2.0,2653.0,-104022.0,2441.77594,2452.14063,2446.84449,-10.36468999999988,-5.068549999999959,2448.278940158731,2449.806505896825,543957.0,,0.09222999999999998,0.6015544335007803,0.7718040199708083,1.373358453471589,1.0,14999.0,-1.0,-101369.0,-0.009227926487430128,0.0407358386921749,,,0.9589,0.9387,0.571
20240624,2471.5083,2443.5696,2476.0049,2441.1836,1243764.0,-30195.0,767300.0,2.0,-1.0,17356.0,-1964.0,1.0,-3.0,0.0,-72281.0,2446.97852,2452.95787,2447.346075,-5.979350000000068,-0.3675550000002659,2449.679296507936,2450.010218801587,528156.1,920760.0,0.09947499999999998,0.6789237562734531,0.7718040199708083,1.450727776244261,1.0,15392.0,-2.0,-72281.0,-0.024277113664650206,0.129543567222918,,,0.9589,0.9307,0.631
20240625,2482.8337,2469.8245,2485.2664,2460.332,1276016.0,32252.0,785284.0,2.0,-1.0,15048.0,-2920.0,1.0,-3.0,0.0,-78462.0,2456.31318,2455.19837,2448.97564,1.114810000000034,7.33753999999999,2452.423430714285,2450.375355380952,558894.5,942340.7999999999,0.10166,0.692771423656899,0.7777105426741066,1.470481966331006,1.0,12128.0,-2.0,-78462.0,0.025275545134230294,0.119424186672919,,,0.9589,0.9227,0.622
20240626,2487.9451,2480.3882,2493.3413,2479.5999,1272810.0,-3206.0,746928.0,2.0,-1.0,15234.0,-3641.0,0.0,-3.0,0.0,-84805.0,2466.246,2457.21537,2450.78698,9.030630000000201,15.45902000000024,2455.991612142857,2450.964752452381,586554.5,896313.6,,0.695409525624631,0.7625822140463265,1.457991739670958,1.0,11593.0,-3.0,-84805.0,-0.0025188362756420834,0.150847744295822,,,0.9452,0.9013,0.646
20240627,2482.0183,2486.9429,2489.9695,2480.3745,1267635.0,-5175.0,595695.0,1.0,0.0,13785.0,0.0,0.0,-3.0,0.0,-75443.0,2473.6518,2459.36976,2452.973,14.28204000000005,20.67879999999968,2459.123996904762,2451.777746126984,585078.5,,,0.6921941461874351,0.7625822140463265,1.454776360233762,1.0,13785.0,-3.0,-75443.0,-0.004082405424274338,0.1643417421798396,,,0.9589,0.912,0.657
20240628,2480.2793,2480.1604,2485.7844,2473.1223,1259204.0,-8431.0,471607.0,2.0,-1.0,13675.0,-10483.0,0.0,-3.0,0.0,-77676.0,2480.91694,2461.34644,2455.40508,19.57049999999981,25.51186000000052,2461.655470952381,2452.749509428571,580784.4,,,0.6473204091579142,0.7517868186692122,1.399107227827126,1.0,3192.0,-3.0,-77676.0,-0.006695499696633746,0.1159471119714068,,,0.9863,0.9747,0.612
20240701,2455.387,2478.0449,2480.4985,2453.082,1213063.0,-46141.0,726950.0,2.0,0.0,26499.0,0.0,1.0,-3.0,0.0,-81153.0,2477.69268,2462.3356,2456.305715,15.35708000000022,21.38696500000015,2462.390793253968,2453.815052301587,592430.1,872340.0,,0.6728942521596719,0.7517868186692122,1.424681070828884,2.0,26499.0,-2.0,-81153.0,-0.03803677137955737,0.0442511089166475,,,0.9863,0.9667,0.569
20240702,2459.5334,2455.7937,2459.8452,2447.8918,1188930.0,-24133.0,457795.0,2.0,0.0,32359.0,0.0,1.0,-3.0,0.0,-80645.0,2473.03262,2464.6729,2457.40022,8.359719999999925,15.63239999999996,2462.468333968253,2455.001907531746,585126.7,,,0.6747867625115539,0.7478137997674048,1.422600562278959,2.0,32359.0,-2.0,-80645.0,-0.020298083150395736,0.0185892722489616,,,0.9863,0.9613,0.549
20240703,2451.8069,2460.6824,2464.0923,2451.4187,1189869.0,939.0,426945.0,2.0,0.0,31120.0,0.0,1.0,-3.0,0.0,-85974.0,2465.80498,2466.02549,2458.49585,-0.2205100000001039,7.309129999999641,2462.237164603175,2456.293552857142,576815.2,,,0.6619034229851805,0.7421195555846385,1.404022978569819,2.0,31120.0,-2.0,-85974.0,0.0007891625044437665,0.1839877381766704,,,0.9863,0.9133,0.667
20240704,2440.5095,2451.8259,2453.7153,2438.9375,1193050.0,3181.0,471607.0,2.0,0.0,27046.0,0.0,1.0,-3.0,0.0,-85521.0,2457.50322,2465.57751,2458.74795,-8.074290000000019,-1.24472999999989,2460.849923888889,2457.509896309524,583065.4,,,0.671917165940828,0.7421195555846385,1.414036721525466,2.0,27046.0,-2.0,-85521.0,0.0026662755123423158,0.1183473420823019,,,0.9863,0.9133,0.616
20240705,2436.0583,2439.6262,2447.292,2432.8958,1207020.0,13970.0,485183.0,2.0,0.0,30654.0,0.0,1.0,-3.0,0.0,-83693.0,2448.65902,2464.78798,2458.464305,-16.12896000000001,-9.805284999999913,2458.799618968254,2458.561964190476,593529.4,,,0.6661240323339371,0.7354787906107972,1.401602822944734,2.0,30654.0,-2.0,-83693.0,0.011573959006478765,0.1593715364212737,,,0.9863,0.9133,0.65
20240708,2424.6768,2436.6296,2440.7437,2423.8091,1259923.0,52903.0,568659.0,2.0,0.0,33340.0,0.0,1.0,-2.0,3833.0,-79972.0,2442.51698,2460.10483,2456.53135,-17.58784999999989,-14.01436999999987,2456.026141269841,2459.196648666667,573665.3,,,0.673537437251963,0.7354787906107972,1.40901622786276,2.0,33340.0,-1.0,-76139.0,0.04198907393547066,0.2162567121402001,,,0.9863,0.9133,0.679
20240709,2402.5005,2423.9363,2424.1023,2401.0264,1308910.0,48987.0,687476.0,3.0,0.0,48286.0,0.0,1.0,-3.0,0.0,-82372.0,2431.1104,2452.07151,2453.63494,-20.96110999999974,-22.52453999999989,2451.466814841271,2459.100987079365,563884.5,824971.2,,0.6899880689093253,0.7421195555846385,1.432107624493964,3.0,48286.0,-2.0,-82372.0,0.03742579703722945,0.3825207597516897,,,0.9863,0.9053,0.743
20240710,2383.5356,2403.0315,2403.0315,2379.6931,1353260.0,44350.0,697694.0,3.0,0.0,58101.0,0.0,1.0,-3.0,0.0,-73577.0,2417.45614,2441.63056,2449.422965,-24.17442000000028,-31.96682500000043,2445.270531031746,2458.028878968254,558961.1,837232.7999999999,,0.7297706059797684,0.7421195555846385,1.471890161564407,3.0,58101.0,-2.0,-73577.0,0.032772711821822856,0.547458669297634,,,0.9863,0.896,0.818
20240711,2375.9011,2384.9309,2391.2078,2374.0442,1380710.0,27450.0,529092.0,3.0,0.0,63584.0,0.0,1.0,-3.0,0.0,-75554.0,2404.53446,2431.01884,2445.1943,-26.48438000000033,-40.65984000000026,2438.466466428571,2455.963125920635,552300.8,,0.09257499999999999,0.7537973294058196,0.7421195555846385,1.495916884990458,3.0,63584.0,-2.0,-75554.0,0.019881075678455287,0.6308209240140406,,,0.9726,0.956,0.854
20240712,2371.0449,2376.7986,2388.8948,2370.0657,1394776.0,14066.0,554975.0,3.0,0.0,64767.0,0.0,1.0,-3.0,922.0,-77083.0,2391.53178,2420.0954,2440.72092,-28.56361999999945,-49.18913999999995,2431.668184365079,2452.964397261905,560637.6,,0.09981999999999999,0.7091647167455526,0.7421195555846385,1.451284272330191,3.0,64767.0,-2.0,-76161.0,0.010084773469001475,0.6876622806188548,,,0.9452,0.86,0.863
20240715,2355.3679,2374.8059,2382.8181,2349.2715,1409114.0,14338.0,841183.0,3.0,0.0,65444.0,0.0,1.0,-2.0,5126.0,-60789.0,2377.67,2410.09349,2436.214545,-32.42349000000013,-58.54454499999974,2424.018755793651,2449.127193515873,572060.9,1009419.6,0.117185,0.7371479681896501,0.7421195555846385,1.479267523774288,3.0,65444.0,-1.0,-55663.0,0.010175188096917637,0.1413821238880246,,,0.9315,0.852,0.631
20240716,2350.1167,2354.197,2358.9985,2334.925,1442453.0,33339.0,626912.0,3.0,0.0,70398.0,0.0,1.0,-2.0,9612.0,-62634.0,2367.19324,2399.15182,2431.91236,-31.95858000000044,-64.7191200000002,2415.574380476191,2444.437798166667,588972.6,,0.119715,0.7706540877660529,0.7478137997674048,1.518467887533458,3.0,70398.0,-1.0,-53022.0,0.02311271147136163,0.157220638195329,,,0.9452,0.8387,0.644
20240717,2356.7822,2349.228,2365.9951,2348.6438,1445703.0,3250.0,665443.0,3.0,0.0,72647.0,0.0,1.0,-2.0,18090.0,-64676.0,2361.84256,2389.64935,2427.83742,-27.80679000000009,-65.99486000000024,2408.141062380952,2439.028187944445,612822.4,,,0.7965003606724274,0.7478137997674048,1.544314160439832,3.0,72647.0,-1.0,-46586.0,0.0022480412643537434,0.2334321954712916,,,0.9178,0.7947,0.682
20240718,2364.5134,2357.9253,2365.2295,2348.2161,1456021.0,10318.0,487530.0,3.0,0.0,68800.0,0.0,1.0,-2.0,23224.0,-59163.0,2359.56502,2382.04974,2423.813625,-22.48471999999992,-64.24860500000023,2401.63574436508,2433.106769992063,614414.7,,,0.8121819875690608,0.7421195555846385,1.554301543153699,3.0,68800.0,-1.0,-35939.0,0.007086436253323269,0.2088127885702252,,,0.9178,0.8173,0.671
20240719,2362.9983,2365.3015,2367.3801,2354.6995,1478614.0,22593.0,452499.0,2.0,0.0,42266.0,0.0,1.0,-2.0,23229.0,-57122.0,2357.9557,2374.74374,2419.76586,-16.78803999999991,-61.81016000000045,2395.611326428571,2426.787940738095,611146.3,,,0.7704781213600442,0.7370991970205215,1.507577318380566,2.0,42266.0,-1.0,-33893.0,0.015279849913500076,0.2580662754729105,,,0.9178,0.836,0.688
20240722,2373.4939,2364.8838,2380.8601,2364.0422,1459278.0,-19336.0,545743.0,2.0,0.0,40508.0,0.0,1.0,-2.0,28873.0,-56951.0,2361.5809,2369.62545,2414.86514,-8.044550000000072,-53.28424000000041,2390.926211587302,2420.277947769841,608854.7,,,0.7901237173650165,0.7370991970205215,1.527222914385538,2.0,40508.0,-1.0,-28078.0,-0.013250388205674313,0.273476796105762,,,0.8904,0.8573,0.692
20240723,2362.1785,2372.8298,2379.9795,2360.4336,1441906.0,-17372.0,540196.0,2.0,0.0,39876.0,0.0,2.0,-2.0,31360.0,-53355.0,2363.99326,2365.59325,2408.83238,-1.599990000000162,-44.83911999999964,2386.203151984127,2413.751581484127,594126.7,,,0.812847184110676,0.7421195555846385,1.554966739695315,2.0,39876.0,0.0,-21995.0,-0.012047942098860813,0.2087824003322518,,,0.8904,0.756,0.668
20240724,2342.6616,2365.7795,2367.3096,2341.6565,1470876.0,28970.0,724608.0,3.0,0.0,59534.0,0.0,2.0,-2.0,20900.0,-44863.0,2361.16914,2361.50585,2401.568205,-0.3367100000004939,-40.39906500000006,2380.491877222222,2407.273716103174,596818.1,869529.6,0.119485,0.8479344117380293,0.7478137997674048,1.595748211505434,3.0,59534.0,0.0,-23963.0,0.01969574593643516,0.0835976917111348,,,0.8767,0.756,0.577
20240725,2326.1318,2343.0017,2343.0017,2312.1431,1501945.0,31069.0,918562.0,3.0,0.0,60344.0,0.0,2.0,-2.0,32200.0,-61208.0,2353.49282,2356.52892,2393.77388,-3.036099999999806,-40.2810599999998,2373.378391825397,2400.764908642857,635765.1,1102274.4,0.131675,0.9004035098654608,0.7478137997674048,1.648217309632866,3.0,60344.0,0.0,-29008.0,0.020685844022251147,-0.0159549675351865,,,0.9041,0.756,0.512
20240726,2328.1777,2324.9871,2335.7493,2316.3108,1502846.0,901.0,704438.0,3.0,0.0,60157.0,0.0,2.0,-1.0,46403.0,-62902.0,2346.5287,2352.2422,2386.1688,-5.713500000000295,-39.64010000000053,2366.817791984127,2394.279869404762,650711.4,,,0.9106069285657279,0.7478137997674048,1.658420728333133,3.0,60157.0,1.0,-16499.0,0.0005995291600070799,0.050775630292367,,,0.9041,0.828,0.556
