,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,9104.3633,9080.1338,9153.7715,9056.2568,101522.0,-536.0,65661.0,2.0,0.0,3001.0,0.0,2.0,-2.0,434.0,-2018.0,9027.750600000001,9099.317490000001,9248.54053,-71.56689000000006,-220.789929999999,9171.311162777778,9275.588497269842,58339.2,,0.155595,1.179734859049676,1.135193452412341,2.314928311462017,2.0,3001.0,0.0,-1584.0,-0.0052796438210437144,0.2823169633657215,,,0.0959,0.1086,0.6692
20240507,9158.9873,9120.6025,9171.1367,9090.3154,105821.0,4299.0,56782.0,2.0,0.0,3218.0,0.0,2.0,-2.0,1330.0,-2295.0,9057.25724,9103.35177,9238.164165,-46.09452999999849,-180.9069249999993,9160.739598174603,9254.344243960319,58134.4,,,1.193649921553282,1.127281391080581,2.320931312633864,2.0,3218.0,0.0,-965.0,0.04062520671700324,0.3825876385413151,,,0.0822,0.1099,0.6861
20240508,9112.8838,9136.3838,9136.3838,9092.6885,106186.0,365.0,40601.0,2.0,0.0,3573.0,0.0,2.0,-2.0,1388.0,-2849.0,9080.874619999999,9096.551669999999,9224.159625,-15.67705000000024,-143.2850050000015,9148.483642460316,9234.054647373017,56624.2,,,1.111685700364494,1.104077222988226,2.215762923352719,2.0,3573.0,0.0,-1461.0,0.003437364624338425,0.3632137604279139,,,0.1096,0.1111,0.6802
20240509,8995.1143,9091.1143,9091.1143,8962.5957,112867.0,6681.0,74206.0,2.0,0.0,4050.0,0.0,1.0,-2.0,888.0,-3339.0,9074.771499999999,9079.64279,9200.38419,-4.871290000000954,-125.6126900000017,9128.923085476188,9213.79253463492,58920.2,89047.2,,1.152684539689042,1.127281391080581,2.279965930769623,2.0,4050.0,-1.0,-2451.0,0.05919356410642615,0.1394071284111743,,,0.0822,0.1123,0.6362
20240510,8925.9111,8959.3535,8981.3232,8893.1309,119043.0,6176.0,62095.0,2.0,0.0,4214.0,0.0,1.0,-2.0,787.0,-2482.0,9059.45196,9051.75499,9173.15831,7.696970000000874,-113.7063500000004,9103.067219761904,9192.544227190476,57335.7,,,1.086145585592793,1.135193452412341,2.221339038005135,2.0,4214.0,-1.0,-1695.0,0.05188041296002285,0.0334273933529589,,,0.0685,0.1136,0.6101
20240513,9020.3213,8926.1797,9075.1455,8926.1797,113884.0,-5159.0,69263.0,2.0,0.0,3843.0,0.0,1.0,-2.0,850.0,-2714.0,9042.64356,9035.197080000002,9150.128865,7.446479999998701,-107.4853050000002,9085.64944,9171.206962309525,59878.3,,0.157435,1.123186790400618,1.140968119024496,2.264154909425113,2.0,3843.0,-1.0,-1864.0,-0.04530048119138773,0.179994451970242,,,0.0822,0.1093,0.6422
20240514,9238.4727,9034.0449,9273.9971,9001.4902,121354.0,7470.0,163838.0,1.0,0.0,2362.0,-278.0,1.0,-1.0,2258.0,-1799.0,9058.54064,9057.898940000001,9136.896980000001,0.6416999999983091,-78.35634000000209,9086.955500000002,9152.696779595239,67527.1,196605.6,0.16399,1.24653215651848,1.146667844078396,2.393200000596876,1.0,2084.0,0.0,459.0,0.06155544934653988,0.54741651392846,,,0.1507,0.1644,0.7172
20240515,9181.7842,9206.5996,9317.1357,9136.4521,114054.0,-7300.0,175271.0,2.0,0.0,2071.0,-318.0,1.0,-1.0,286.0,-1701.0,9072.32072,9076.59767,9120.489754999999,-4.276949999999488,-48.16903499999898,9093.260037460317,9137.941223198413,79409.2,210325.2,,1.331003752719822,1.157669765749268,2.48867351846909,2.0,1753.0,0.0,-1415.0,-0.06400476967050696,0.4264205474338851,,,0.1507,0.1945,0.6986
20240516,9211.7314,9203.4951,9221.3809,9157.2979,109656.0,-4398.0,61319.0,2.0,0.0,2661.0,0.0,0.0,-2.0,0.0,-2536.0,9115.64414,9095.20782,9114.262064999999,20.43632000000071,1.38207500000135,9100.512062619047,9126.619937650794,81128.9,,,1.296270206227602,1.157669765749268,2.45393997197687,2.0,2661.0,-2.0,-2536.0,-0.04010724447362662,0.4515945678268783,,,0.1507,0.2121,0.7003
20240517,9240.1143,9205.666,9254.8525,9192.2646,109764.0,108.0,56565.0,2.0,0.0,1221.0,0.0,0.0,-2.0,0.0,-2835.0,9178.48478,9118.96837,9111.630720000001,59.51641000000018,66.85405999999966,9111.346547698413,9119.024829642858,82560.1,,,1.29047668112158,1.146667844078396,2.437144525199975,2.0,1221.0,-2.0,-2835.0,0.0009839291571006887,0.4722835800122188,,,0.1781,0.2352,0.7044
20240520,9125.374,9209.6074,9250.4141,9115.3066,106387.0,-3377.0,93579.0,3.0,0.0,2542.0,0.0,1.0,-2.0,0.0,-4503.0,9199.49532,9121.06944,9110.193465,78.42588000000069,89.3018549999997,9115.155646746034,9113.409278039682,85351.9,,0.16744,1.251093533606048,1.146667844078396,2.397761377684444,3.0,2542.0,-1.0,-4503.0,-0.031742600129715096,0.300179886767216,,,0.1781,0.2775,0.6671
20240521,9126.415,9132.9229,9221.0039,9084.6279,106257.0,-130.0,94629.0,3.0,0.0,2700.0,0.0,0.0,-2.0,0.0,-5809.0,9177.08378,9117.81221,9110.58199,59.27157000000079,66.50179000000026,9117.220767460318,9109.057394968255,89136.6,,,1.312328076964706,1.146667844078396,2.458995921043101,3.0,2700.0,-2.0,-5809.0,-0.0012234488080785266,0.2913452349846461,,,0.2055,0.2798,0.6662
20240522,9174.125,9122.5127,9193.3447,9095.9336,110855.0,4598.0,66151.0,3.0,0.0,3615.0,0.0,0.0,-2.0,0.0,-5436.0,9175.551940000001,9123.93633,9110.244,51.61561000000074,65.3079400000006,9121.335071746033,9106.342537896826,91691.6,,,1.334482423150512,1.140968119024496,2.475450542175008,3.0,3615.0,-2.0,-5436.0,0.04147760588155699,0.4045542655947381,,,0.2329,0.2959,0.693
20240523,9188.7607,9153.5527,9301.4229,9132.2236,119609.0,8754.0,161846.0,3.0,0.0,4205.0,0.0,1.0,-2.0,0.0,-3886.0,9170.9578,9143.30097,9111.471880000001,27.6568299999999,59.48591999999917,9128.80326031746,9106.330555380951,100455.6,194215.2,0.1679,1.422364638231307,1.146667844078396,2.569032482309702,3.0,4205.0,-1.0,-3886.0,0.07318847243936492,0.399768195909408,,,0.137,0.1395,0.6909
20240524,9138.332,9195.1973,9195.1973,9115.124,115884.0,-3725.0,84940.0,3.0,0.0,5308.0,0.0,0.0,-2.0,0.0,-6161.0,9150.601340000001,9164.54306,9108.149025,-13.9417199999989,42.45231500000045,9132.878513174603,9109.311684722223,102740.1,,0.171005,1.366299637692929,1.146667844078396,2.512967481771325,3.0,5308.0,-2.0,-6161.0,-0.03214421317869594,0.3092449031181385,,,0.1233,0.1407,0.6675
