,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2810.2893,2814.3501,2831.2065,2792.1213,1097554.0,4794.0,848526.0,2.0,-1.0,33398.0,-12460.0,2.0,-1.0,14846.0,-42968.0,2762.10584,2743.24232,2717.219015,18.86351999999988,44.88682500000004,2735.012336111111,2707.802058357143,1033357.3,,0.27002,2.352037767761241,2.015695265483162,4.367733033244402,1.0,20938.0,1.0,-28122.0,0.004367894427062358,0.496157608621965,,,0.4795,0.4027,0.293
20240507,2893.3057,2817.0288,2902.803,2817.0288,1166778.0,69224.0,1272998.0,1.0,-1.0,14221.0,-8943.0,2.0,-1.0,23370.0,-34404.0,2790.15888,2763.73163,2729.58114,26.42724999999973,60.57774000000018,2749.690536587302,2714.068422976191,1067763.9,,0.278415,2.458762745183087,2.015695265483162,4.474458010666249,0.0,5278.0,1.0,-11034.0,0.05932919544249206,0.4641675639033963,,,0.5342,0.424,0.28
20240508,2879.8735,2879.6836,2907.0859,2861.1326,1190684.0,23906.0,1115601.0,2.0,-1.0,31747.0,-16812.0,2.0,-1.0,18880.0,-37805.0,2814.62934,2778.82313,2741.11743,35.80621000000019,73.51191000000017,2764.311683333333,2721.543589809524,1068563.6,,,2.412532444457483,1.954580173876777,4.36711261833426,1.0,14935.0,1.0,-18925.0,0.020077535265444063,0.5096344764697635,,,0.7808,0.6987,0.305
20240509,2863.6404,2871.7771,2889.8,2847.3245,1180595.0,-10089.0,1081057.0,2.0,-1.0,29529.0,-14361.0,2.0,-2.0,14836.0,-43390.0,2839.72876,2794.69518,2750.368555,45.03358000000026,89.36020499999995,2776.657297619047,2729.938158198413,1076153.1,,,2.282871093808732,1.954580173876777,4.237451267685509,1.0,15168.0,0.0,-28554.0,-0.008545690943973167,0.5312793143290047,,,0.7534,0.6533,0.315
20240510,2826.2678,2854.7351,2869.019,2810.4175,1178716.0,-1879.0,1048706.0,2.0,-1.0,31223.0,-14240.0,2.0,-1.0,15422.0,-34555.0,2854.67534,2803.6787,2757.35813,50.99663999999984,97.31721000000016,2785.072288412699,2738.709205277778,1031497.3,,,2.068198328266708,1.954580173876777,4.022778502143485,1.0,16983.0,1.0,-19133.0,-0.001594107486451359,0.6024116858172802,,,0.7123,0.6027,0.35
20240513,2848.2339,2827.728,2857.998,2824.2991,1185054.0,6338.0,739852.0,2.0,-1.0,29789.0,-14289.0,1.0,-2.0,13686.0,-37639.0,2862.26426,2812.18505,2765.536475,50.07921000000033,96.7277850000005,2793.442829285714,2747.67406097619,1005532.2,,,2.065801929595175,1.954580173876777,4.020382103471952,1.0,15500.0,-1.0,-23953.0,0.005348279487685793,0.3964615586760932,,,0.6849,0.552,0.253
20240514,2846.2375,2841.3059,2886.1196,2836.1902,1173595.0,-11459.0,1061260.0,2.0,-1.0,27944.0,-14283.0,1.0,-2.0,14683.0,-35034.0,2852.85062,2821.50475,2774.227695,31.3458700000001,78.62292500000012,2801.674917539683,2756.807211515873,1007783.0,,,2.016049177870857,1.942182128711763,3.958231306582621,1.0,13661.0,-1.0,-20351.0,-0.009764015695363393,0.5466860715099946,,,0.6575,0.608,0.325
20240515,2863.7524,2842.9983,2881.2478,2836.9612,1181029.0,7434.0,911492.0,2.0,-1.0,30135.0,-14484.0,1.0,-2.0,14073.0,-39334.0,2849.6264,2832.12787,2782.99039,17.4985300000003,66.63601000000017,2809.732189920635,2766.140164190476,998812.8,,,2.006162835102054,1.942182128711763,3.948344963813817,1.0,15651.0,-1.0,-25261.0,0.00629451097305824,0.4830896997082398,,,0.589,0.5613,0.289
20240516,2842.416,2872.8337,2879.2156,2831.0605,1188908.0,7879.0,879703.0,2.0,-1.0,32071.0,-14635.0,1.0,-2.0,13996.0,-37581.0,2845.38152,2842.55514,2788.03176,2.826379999999972,57.34975999999961,2816.456193412699,2775.707034198413,986155.1,,,1.8616678611496,1.883190880284432,3.744858741434032,1.0,17436.0,-1.0,-23585.0,0.006627089732763174,0.4071693478526599,,,0.589,0.452,0.257
20240517,2868.25,2841.2383,2874.0105,2826.4121,1192448.0,3540.0,954962.0,2.0,-1.0,29213.0,-15387.0,2.0,-1.0,13296.0,-26971.0,2853.77796,2854.22665,2791.896605,-0.4486899999997149,61.88135499999999,2823.714084920635,2785.576435714286,991415.7,,,1.856603606694995,1.866476333398675,3.723079940093671,1.0,13826.0,1.0,-13675.0,0.0029686829111206527,0.0712628268657432,,,0.5479,0.376,0.138
