,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,4653.9063,4661.6318,4693.561,4649.6743,143083.0,9146.0,86199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4647.50478,4637.094440000001,4698.553180000001,10.41033999999945,-51.04840000000058,4669.612044444444,4701.499621174602,111229.8,,,1.027501833744499,1.041677080971845,2.069178914716344,0.0,0.0,0.0,0.0,0.06392094099229119,0.3533974581558904,,,0.1233,0.208,0.244
20240507,4705.6235,4651.7979,4713.5146,4646.793,153387.0,10304.0,143612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4656.3619,4645.4583,4695.27051,10.90359999999964,-38.90861000000041,4668.281965634921,4694.084084182539,113518.8,172334.4,,1.051123729539861,1.041677080971845,2.092800810511706,0.0,0.0,0.0,0.0,0.06717648822911981,0.2729299188019395,,,0.1507,0.3267,0.201
20240508,4675.9502,4710.8882,4726.4136,4669.6289,151770.0,-1617.0,122118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4664.312199999999,4649.683889999999,4690.047974999999,14.62831000000006,-25.7357750000001,4667.422384047619,4687.588972261905,114086.0,,0.12144,1.043234605874734,1.054713786642639,2.097948392517373,0.0,0.0,0.0,0.0,-0.010654279501877842,0.4239761082360078,,,0.2466,0.4573,0.301
20240509,4676.6934,4669.4585,4682.3794,4652.2056,150881.0,-889.0,95461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4670.07598,4655.33111,4683.593070000001,14.74486999999954,-13.51709000000119,4665.489239126984,4681.96793926984,109984.4,,,1.023874158594961,1.041677080971845,2.065551239566806,0.0,0.0,0.0,0.0,-0.005892060630563159,0.4152170398215369,,,0.274,0.524,0.29
20240510,4593.688,4676.1992,4687.6938,4586.8667,166988.0,16107.0,178390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4661.172280000001,4653.733450000001,4673.59422,7.438830000000053,-12.42193999999927,4659.300676666667,4676.843056428571,115411.9,214068.0,,1.063409053298216,1.054713786642639,2.118122839940855,0.0,0.0,0.0,0.0,0.09645603276882171,0.4035463270112102,,,0.2877,0.568,0.281
20240513,4602.3809,4591.3262,4607.2563,4578.0264,181937.0,14949.0,115139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.8672,4649.18599,4664.25223,1.681209999999737,-13.38503000000037,4651.526776111111,4671.845094309524,113842.5,,,1.018903110843051,1.054713786642639,2.073616897485689,0.0,0.0,0.0,0.0,0.08216580464666341,0.453939229260783,,,0.3288,0.5987,0.329
20240514,4638.6743,4601.4639,4648.4951,4595.7578,169364.0,-12573.0,135786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4637.47736,4646.919629999999,4656.269025,-9.442269999999553,-18.79166499999974,4647.653845,4667.121402071428,113236.9,,,1.04178259581736,1.072871119631053,2.114653715448412,0.0,0.0,0.0,0.0,-0.07423655558442172,0.2595281719715204,,,0.3973,0.688,0.192
20240515,4621.7876,4637.0098,4640.2354,4601.2119,166943.0,-2421.0,110972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4626.64484,4645.47852,4649.22684,-18.83367999999973,-22.58200000000033,4644.220562936508,4662.783318865079,116290.9,,,1.068460989442892,1.054713786642639,2.123174776085531,0.0,0.0,0.0,0.0,-0.014501955757354306,0.4489460988458654,,,0.6301,0.872,0.326
20240516,4620.7617,4630.5259,4635.5737,4611.3716,170649.0,3706.0,68807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4615.4585,4642.767239999999,4643.767949999999,-27.30873999999949,-28.30944999999974,4641.378780555556,4658.882555857143,114656.3,,,1.0566597630957,1.054713786642639,2.111373549738339,0.0,0.0,0.0,0.0,0.021717091808331722,0.3505488504251651,,,0.6027,0.836,0.242
20240517,4660.9673,4619.8765,4668.1167,4618.4155,163352.0,-7297.0,126567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4628.91436,4645.04332,4641.43355,-16.12896000000001,-12.51918999999998,4641.602587619047,4655.648886214285,118305.1,,,1.034303248414597,1.063410565430335,2.097713813844932,0.0,0.0,0.0,0.0,-0.04467040501493707,0.3009320258786616,,,0.6301,0.8413,0.212
20240520,4654.7305,4661.7319,4666.3213,4644.1963,168691.0,5339.0,95591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4639.38428,4645.125739999999,4641.11009,-5.741459999999279,-1.72580999999991,4642.783351666668,4652.966016936508,119244.3,,,0.9774709980371131,1.054713786642639,2.032184784679752,0.0,0.0,0.0,0.0,0.03164958415090313,0.3365559029725175,,,0.6438,0.8387,0.235
20240521,4647.8955,4654.5757,4672.7134,4640.3721,170698.0,2007.0,105718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4641.22852,4639.35294,4642.40562,1.8755799999999,-1.177099999999882,4643.538954126984,4650.491715785714,115454.9,,,0.9670624458839314,1.054713786642639,2.02177623252657,0.0,0.0,0.0,0.0,0.011757607001839506,0.2410938506288814,,,0.6575,0.8053,0.181
20240522,4664.5742,4649.4126,4667.2222,4634.4282,172169.0,1471.0,107878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4649.78584,4638.215340000001,4643.949615,11.5704999999989,5.836225000000013,4644.969657063492,4648.246443087302,114030.9,,,0.9645040337108903,1.054713786642639,2.019217820353529,0.0,0.0,0.0,0.0,0.008543930672769198,0.2618018365013452,,,0.6712,0.804,0.196
20240523,4664.5566,4663.1494,4681.1035,4655.4121,171201.0,-968.0,122337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4658.54482,4637.00166,4646.166385,21.54316000000017,12.37843499999963,4647.014383571428,4646.398957531746,116718.5,,,0.9491189525121994,1.041677080971845,1.990796033484044,0.0,0.0,0.0,0.0,-0.005654172580767636,0.2829642806313481,,,0.6986,0.804,0.207
