,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,4008.1321,3981.1543,4026.3196,3971.4341,125605.0,16396.0,108304.0,2.0,-1.0,2733.0,-1089.0,2.0,-1.0,3156.0,-7763.0,3918.06022,3866.38387,3830.57395,51.67635000000018,87.48626999999988,3851.703783174602,3813.946465174603,164659.4,,,2.046611237980283,1.898107465756803,3.944718703737086,1.0,1644.0,1.0,-4607.0,0.13053620476891845,-0.1222640988955102,,,0.4658,0.6693,0.135
20240507,4110.5503,4000.2324,4116.0835,4000.2324,147046.0,21441.0,203378.0,2.0,-2.0,1823.0,-1649.0,2.0,-1.0,3774.0,-5936.0,3967.64216,3900.60201,3845.606825,67.04015000000027,122.035335,3875.051311746032,3820.962586952381,168099.6,244053.6,0.22609,2.142267058918625,1.898107465756803,4.040374524675427,0.0,174.0,1.0,-2162.0,0.14581151476408744,-0.0907212896328292,,,0.2603,0.4453,0.141
20240508,4106.8325,4097.1118,4120.0708,4074.9661,149308.0,2262.0,183291.0,2.0,-1.0,2126.0,-1561.0,2.0,-1.0,3409.0,-6206.0,4008.41774,3933.1418,3860.81936,75.27593999999999,147.5983799999995,3899.766758015873,3830.971081793651,165681.3,,0.229195,2.02899789541449,1.898107465756803,3.927105361171293,1.0,565.0,1.0,-2797.0,0.015149891499450799,-0.1875590479389595,,,0.5205,0.6827,0.114
20240509,4065.4409,4093.6372,4108.7266,4059.5842,151769.0,2461.0,176712.0,3.0,0.0,3372.0,0.0,2.0,-1.0,1965.0,-6941.0,4040.8524,3961.80623,3873.61495,79.04617000000007,167.2374499999996,3920.795447460318,3843.454019738095,168462.1,,,1.996635212378471,1.866117565797543,3.862752778176013,3.0,3372.0,1.0,-4976.0,0.016215432664114543,-0.1077771134236126,,,0.4795,0.6547,0.137
20240510,4013.6736,4056.7588,4072.0247,3993.6045,151651.0,-118.0,171743.0,2.0,-1.0,2285.0,-1259.0,2.0,-1.0,2119.0,-8417.0,4060.92588,3978.94244,3884.59084,81.98343999999997,176.3350400000004,3935.838978015873,3857.336442023809,165286.0,,,1.874283665223589,1.866117565797543,3.740401231021132,1.0,1026.0,1.0,-6298.0,-0.0007781023534299147,0.0399589535322383,,,0.4521,0.616,0.197
20240513,4058.0198,4003.5862,4060.8931,4003.4167,149200.0,-2451.0,134983.0,3.0,-1.0,5097.0,-1444.0,2.0,-1.0,1756.0,-9770.0,4070.90342,3994.48182,3898.25893,76.42160000000058,172.6444900000001,3951.049758253969,3872.093530047619,152877.7,,,1.860218902603937,1.866117565797543,3.72633646840148,2.0,3653.0,1.0,-8014.0,-0.016427613941018767,-0.0155888628589131,,,0.4384,0.5653,0.172
20240514,4049.0649,4061.0789,4091.356,4039.2407,149299.0,99.0,142172.0,3.0,-1.0,5831.0,-1529.0,2.0,-1.0,2918.0,-9011.0,4058.60634,4013.12425,3912.24362,45.48208999999997,146.3627200000001,3966.488288650795,3887.764034285714,151835.0,,,1.806807911777596,1.866117565797543,3.672925477575139,2.0,4302.0,1.0,-6093.0,0.0006630988821090564,-0.3069582192245537,,,0.4247,0.572,0.079
20240515,4081.8694,4027.5754,4083.4031,4019.9836,149521.0,222.0,126157.0,3.0,-2.0,5721.0,-3169.0,2.0,-1.0,3003.0,-9721.0,4053.61372,4031.01573,3926.834355,22.59799000000021,126.7793649999999,3981.145911746032,3904.15292268254,151418.1,,,1.846289252246792,1.832906497008997,3.679195749255789,1.0,2552.0,1.0,-6718.0,0.0014847412738010046,-0.3489255289380332,,,0.3699,0.536,0.065
20240516,4055.9231,4098.3271,4105.8838,4047.8723,150882.0,1361.0,155256.0,4.0,-1.0,4161.0,-2158.0,2.0,-1.0,1859.0,-9549.0,4051.71016,4046.28128,3938.64302,5.428879999999936,113.0671399999997,3995.241179285715,3921.145019150795,154280.9,,,1.717441767847428,1.807567815861865,3.525009583709292,3.0,2003.0,1.0,-7690.0,0.009020294004586366,-0.3562988208753563,,,0.3699,0.4773,0.063
20240517,4117.7285,4061.6296,4124.5059,4046.4714,157097.0,6215.0,141884.0,3.0,-1.0,3087.0,-3249.0,2.0,-1.0,2244.0,-9545.0,4072.52114,4066.723510000001,3952.54668,5.797629999999117,119.9744599999995,4011.190591269841,3938.827200761905,154388.0,,,1.697689984950436,1.807567815861865,3.5052578008123,2.0,-162.0,1.0,-7301.0,0.03956154477806705,-0.1150079917038886,,,0.3014,0.392,0.133
20240520,4113.1846,4116.0835,4126.4897,4082.0835,145935.0,-11162.0,138376.0,2.0,-1.0,2041.0,-1988.0,2.0,-1.0,2587.0,-9756.0,4083.5541,4077.22876,3971.806314999999,6.325339999999414,111.7477850000005,4026.333484126985,3956.290170857143,157395.2,,,1.658833913158939,1.797637179561429,3.456471092720367,1.0,53.0,1.0,-7169.0,-0.0764861068283825,0.120654748005192,,,0.2603,0.3853,0.242
20240521,4121.1094,4125.9351,4179.3354,4094.916,149737.0,3802.0,203076.0,3.0,-1.0,3498.0,-3222.0,2.0,-1.0,2197.0,-8785.0,4097.963000000001,4078.28467,3989.44334,19.6783300000011,108.5196600000004,4041.65446888889,3972.950486571429,157365.0,243691.2,,1.68311447525513,1.807567815861865,3.490682291116995,2.0,276.0,1.0,-6588.0,0.025391185879241603,0.1375028707721513,,,0.3014,0.3627,0.247
20240522,4164.0303,4128.208,4165.5195,4096.1816,153576.0,3839.0,138201.0,3.0,-1.0,2567.0,-1708.0,2.0,-1.0,2548.0,-9192.0,4114.39518,4084.00445,4008.573125,30.39073000000008,105.8220550000005,4057.237907222222,3988.697601492064,152856.0,,0.223675,1.704467594735687,1.807567815861865,3.512035410597552,2.0,859.0,1.0,-6644.0,0.024997395426368703,0.1411030756604863,,,0.2877,0.3613,0.248
20240523,4153.6704,4157.6147,4175.103,4125.3506,155895.0,2319.0,175095.0,3.0,-1.0,2113.0,-3317.0,2.0,-1.0,3925.0,-9661.0,4133.94464,4092.8274,4027.316815,41.11724000000004,106.627825,4071.416496904762,4003.759706436508,152694.3,,,1.675144708082038,1.797637179561429,3.472781887643467,2.0,-1204.0,1.0,-5736.0,0.0148753969017608,0.1509814868290895,,,0.274,0.3627,0.254
20240524,4110.5918,4176.9751,4202.6323,4108.9517,155710.0,-185.0,175600.0,3.0,-1.0,4064.0,-3212.0,2.0,-1.0,2842.0,-10615.0,4132.5173,4102.51922,4040.73083,29.9980800000003,91.78647000000001,4082.381974206349,4018.414006055556,153080.0,,,1.638423619736472,1.807567815861865,3.445991435598336,2.0,852.0,1.0,-7773.0,-0.001188106094663156,0.0659652400662714,,,0.274,0.364,0.21
20240527,4102.9858,4120.8115,4157.6772,4096.6597,153394.0,-2316.0,140135.0,2.0,-1.0,4180.0,-3211.0,2.0,-1.0,3060.0,-10984.0,4130.47754,4107.015820000001,4050.74882,23.46171999999933,79.72872000000007,4090.023487301588,4032.311378960317,153595.2,,,1.542967811163481,1.807567815861865,3.350535627025345,1.0,969.0,1.0,-7924.0,-0.015098374121543216,0.0915244412098586,,,0.274,0.3653,0.226
20240528,4113.064,4109.8945,4162.5947,4104.0371,155589.0,2195.0,158587.0,2.0,-2.0,3709.0,-3348.0,2.0,-1.0,2319.0,-10152.0,4128.86846,4113.41573,4063.26999,15.45272999999997,65.5984699999999,4096.692986031746,4045.331848698413,155236.7,,,1.568103820149828,1.801111226438025,3.369215046587852,0.0,361.0,1.0,-7833.0,0.014107681134270418,0.0731863671840686,,,0.3288,0.3693,0.212
20240529,4070.3911,4103.6123,4110.3232,4021.4893,145492.0,-10097.0,218075.0,1.0,-1.0,2030.0,-1582.0,2.0,-1.0,3867.0,-10902.0,4110.14062,4112.267900000001,4071.641815,-2.12728000000061,38.49880500000017,4097.997715079365,4057.017029031746,164428.5,261690.0,,1.641988598379361,1.845701767439253,3.487690365818614,0.0,448.0,1.0,-7035.0,-0.06939900475627526,-0.0044693730402573,,,0.4247,0.448,0.173
20240530,4023.1807,4065.6147,4065.6147,4009.0688,140769.0,-4723.0,153144.0,2.0,-1.0,3276.0,-1604.0,2.0,-1.0,3530.0,-9499.0,4084.04268,4108.99366,4077.63747,-24.95098000000007,6.405209999999897,4094.646285476191,4066.957539650793,164217.3,,,1.611895179818304,1.845701767439253,3.457596947257557,1.0,1672.0,1.0,-5969.0,-0.03355142112254829,-0.1129127858690093,,,0.4384,0.4813,0.127
20240531,4047.0493,4029.3169,4053.4336,4013.9351,136429.0,-4340.0,132242.0,1.0,-1.0,2063.0,-456.0,2.0,-1.0,4620.0,-6789.0,4071.33418,4101.925740000001,4084.324625,-30.5915600000003,-12.99044499999991,4090.74136547619,4074.912617071428,163253.1,,,1.580841666978739,1.801111226438025,3.381952893416764,0.0,1607.0,1.0,-2169.0,-0.03181141839345007,-0.0946594697144299,,,0.4658,0.5107,0.132
20240603,3955.7881,4045.823,4053.5647,3953.6418,133241.0,-3188.0,149737.0,3.0,-1.0,4822.0,-1713.0,2.0,-1.0,4641.0,-953.0,4041.89464,4086.18609,4081.707425,-44.29145000000017,-39.81278499999962,4081.613932619046,4080.440661920635,164389.2,,,1.666953270504494,1.801111226438025,3.468064496942519,2.0,3109.0,1.0,3688.0,-0.023926569149135775,0.0866880412342839,,,0.4932,0.5413,0.222
20240604,3955.4795,3965.3584,3975.6768,3929.2693,128036.0,-5205.0,126318.0,2.0,-1.0,3648.0,-1915.0,3.0,0.0,6969.0,0.0,4010.37774,4069.6231,4073.953885,-59.24535999999989,-63.576145,4069.793387460318,4083.254553777778,156713.4,,,1.640851608041573,1.801111226438025,3.441962834479598,1.0,1733.0,3.0,6969.0,-0.040652628948108345,0.1250772028108316,,,0.6712,0.8667,0.242
20240605,3979.7661,3950.0115,3985.4292,3940.4612,129809.0,1773.0,113567.0,3.0,-1.0,4763.0,-1702.0,3.0,0.0,9831.0,0.0,3992.25274,4051.19668,4067.600565,-58.94394000000011,-75.34782499999983,4059.813298492064,4083.512092904763,154250.0,,,1.620170762514082,1.801111226438025,3.421281988952106,2.0,3061.0,3.0,9831.0,0.013658529069633076,0.1335905546334863,,,0.7123,0.8773,0.244
