,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,7699.1572,7653.4653,7732.9849,7651.9351,880286.0,27050.0,409631.0,1.0,0.0,12589.0,0.0,3.0,-2.0,32597.0,0.0,7632.863579999999,7588.760649999999,7637.8487,44.10293000000001,-4.985120000000279,7610.178676190476,7623.139020206349,591826.3,,,1.788579873600153,1.71619723466855,3.504777108268704,1.0,12589.0,1.0,32597.0,0.03072864955253179,-0.0014390100796456,,,0.6301,0.744,0.097
20240507,7817.1484,7702.7622,7843.3691,7702.7622,921689.0,41403.0,599683.0,1.0,0.0,13145.0,0.0,2.0,-1.0,31023.0,0.0,7684.44258,7619.60396,7639.480585,64.83861999999954,44.96199499999966,7623.637808571429,7618.010925,597155.2,,0.19964,1.775450722117173,1.71619723466855,3.491647956785723,1.0,13145.0,1.0,31023.0,0.04492079215440349,-0.0647890482235688,,,0.8904,0.888,0.083
20240508,7787.3467,7801.3057,7858.917,7768.0801,943034.0,21345.0,521886.0,1.0,0.0,11093.0,0.0,3.0,-1.0,28296.0,0.0,7717.690919999999,7654.174419999998,7635.1393,63.51650000000063,82.55161999999928,7639.534913174602,7616.941701619047,577706.2,,,1.685234496495085,1.71312691135451,3.398361407849595,1.0,11093.0,2.0,28296.0,0.02263439070065342,-0.013161762520242,,,0.8767,0.888,0.095
20240509,7706.8271,7756.875,7774.8154,7691.3945,935857.0,-7177.0,502342.0,1.0,0.0,8613.0,0.0,2.0,-2.0,16935.0,0.0,7728.264539999999,7675.987889999999,7635.060954999999,52.27664999999979,93.2035850000002,7647.446560238095,7618.755959753968,572662.8,,,1.644976653940564,1.71312691135451,3.358103565295074,1.0,8613.0,0.0,16935.0,-0.00766890668125579,0.0642714866543233,,,0.8767,0.888,0.11
20240510,7579.98,7693.5029,7720.1753,7554.6553,957726.0,21869.0,626884.0,1.0,0.0,9312.0,0.0,2.0,-2.0,14539.0,-12897.0,7718.09188,7672.288769999999,7628.29992,45.80311000000074,89.79195999999956,7645.694844285715,7621.351478825398,552539.2,,,1.650903087006356,1.71619723466855,3.367100321674906,1.0,9312.0,0.0,1642.0,0.022834297074528623,-0.3163073827935337,,,0.9041,0.8933,0.044
20240513,7745.894,7583.8286,7755.7866,7572.6758,936295.0,-21431.0,522052.0,1.0,0.0,10417.0,0.0,2.0,-2.0,12989.0,-2891.0,7727.43924,7680.15141,7629.71796,47.2878299999993,97.72127999999975,7651.428193809526,7624.709522857143,549433.6,,0.20194,1.746684863382511,1.724622895352024,3.471307758734536,1.0,10417.0,0.0,10098.0,-0.022889153525331225,-0.4781995026577079,,,0.8767,0.8933,0.019
20240514,7762.9824,7755.1265,7816.0767,7730.106,961515.0,25220.0,641342.0,1.0,0.0,13295.0,0.0,2.0,-2.0,13942.0,-846.0,7716.606040000001,7700.524310000001,7631.986125,16.08172999999988,84.61991500000022,7664.572535079365,7630.001630777779,544467.8,,,1.702788989045244,1.724622895352024,3.427411884397269,1.0,13295.0,0.0,13096.0,0.02622943999833596,-0.4387609106204106,,,0.8767,0.9453,0.023
20240515,7819.2583,7668.3784,7829.0137,7613.9756,966935.0,5420.0,814242.0,1.0,0.0,15755.0,0.0,2.0,-1.0,21292.0,0.0,7722.98836,7720.33964,7640.686199999999,2.648720000000139,82.3021600000011,7676.524501428571,7637.029187777776,578537.3,977090.3999999999,,1.809272871970747,1.753906607947412,3.563179479918159,1.0,15755.0,1.0,21292.0,0.005605340586492371,-0.3853020788711696,,,0.8904,0.9453,0.032
20240516,7797.7979,7803.9878,7848.0522,7764.5537,963144.0,-3791.0,681228.0,1.0,0.0,12421.0,0.0,2.0,-1.0,25726.0,-594.0,7741.182519999999,7734.72353,7648.379515000001,6.458989999999176,92.80300499999885,7692.415009365079,7645.69947776984,590715.6,,,1.680597798805964,1.747714948452044,3.428312747258008,1.0,12421.0,1.0,25132.0,-0.003936067711577916,-0.1793781641369125,,,0.8904,0.8853,0.068
20240517,7974.5825,7819.7065,7980.731,7803.1245,990478.0,27334.0,718320.0,1.0,0.0,5598.0,0.0,2.0,-2.0,22962.0,-3913.0,7820.10302,7769.097449999999,7668.415355,51.00557000000117,151.6876650000004,7718.954455396825,7657.038749753969,603761.0,,,1.747031730105682,1.747714948452044,3.494746678557726,1.0,5598.0,0.0,19049.0,0.027596776505889077,-0.5032102523000199,,,0.8904,0.8947,0.013
20240520,7994.5298,7975.2407,8035.7788,7954.7793,997564.0,7086.0,662613.0,1.0,0.0,4020.0,0.0,2.0,-2.0,28344.0,-4002.0,7869.83018,7798.63471,7693.69768,71.19546999999966,176.1324999999997,7750.136635714285,7671.034545706349,629059.2,,,1.663887846541265,1.71619723466855,3.380085081209815,1.0,4020.0,0.0,24342.0,0.007103303647685763,0.0939806508871452,,,0.8904,0.908,0.119
20240521,8017.3677,7998.0488,8102.0942,7945.1313,998022.0,458.0,780704.0,1.0,0.0,2780.0,0.0,2.0,-1.0,40805.0,-2435.0,7920.707240000001,7818.656639999999,7719.1303,102.0506000000014,201.5769400000008,7781.946289920634,7686.86539384127,647161.3,936844.7999999999,,1.699116539456242,1.71619723466855,3.415313774124792,1.0,2780.0,1.0,38370.0,0.0004589077194691099,0.1484331197361605,,,0.9178,0.8613,0.126
20240522,8051.6079,8006.9199,8071.1108,7970.4194,992304.0,-5718.0,577684.0,1.0,-1.0,2019.0,0.0,2.0,-1.0,40158.0,-1226.0,7967.177160000001,7845.082759999999,7749.628589999998,122.0944000000018,217.5485700000027,7812.533310238096,7704.165233547619,652741.1,,0.191935,1.694294486483722,1.71619723466855,3.410491721152273,0.0,2019.0,1.0,38932.0,-0.005762347022686596,0.1827947212670661,,,0.8082,0.7653,0.132
20240523,8017.4907,8037.0327,8105.6118,7951.0605,987693.0,-4611.0,778818.0,1.0,-1.0,2192.0,0.0,2.0,-1.0,46028.0,-2926.0,8011.11572,7876.14912,7776.068505,134.9665999999997,235.0472149999996,7839.373853412699,7723.35796286508,680388.7,,,1.678405598377771,1.747714948452044,3.426120546829815,0.0,2192.0,1.0,43102.0,-0.004668454671643922,0.1764339347463664,,,0.8082,0.7653,0.129
20240524,7987.4072,8070.3438,8115.1606,7967.1646,1000445.0,12752.0,748786.0,1.0,0.0,1617.0,0.0,2.0,-1.0,42600.0,-2397.0,8013.68066,7916.891839999999,7794.590305,96.78882000000067,219.0903550000003,7863.655628412698,7745.154041277778,692578.9,,,1.715672828662312,1.794880830457148,3.51055365911946,1.0,1617.0,1.0,40203.0,0.01274632788409158,0.1408711336334832,,,0.8082,0.7653,0.122
20240527,7951.8696,7988.7397,8041.6289,7924.7144,1001847.0,1402.0,589075.0,0.0,-1.0,0.0,-1531.0,2.0,-1.0,42927.0,-5763.0,8005.14862,7937.4894,7808.820405,67.65921999999955,196.3282149999995,7881.442506269841,7768.155472523809,699281.2,,,1.688803378450535,1.794880830457148,3.483684208907682,-1.0,-1531.0,1.0,37164.0,0.001399415279977881,0.1047878271212583,,,0.8356,0.7653,0.117
20240528,8112.7007,7956.5522,8146.4673,7953.7056,1056229.0,54382.0,802017.0,0.0,-1.0,0.0,-4123.0,3.0,-1.0,56442.0,0.0,8024.21522,7972.461229999999,7836.49277,51.75399000000107,187.7224500000002,7906.086855476189,7792.306904563491,715348.7,,,1.777715745129231,1.804941652939211,3.582657398068442,-1.0,-4123.0,2.0,56442.0,0.05148694080545033,0.1268286165056452,,,0.8493,0.768,0.12
20240529,8158.9058,8126.8657,8160.9609,8054.0938,1033718.0,-22511.0,756759.0,0.0,-1.0,0.0,-3533.0,2.0,-1.0,61440.0,-5205.0,8045.674800000001,8006.42598,7863.38281,39.24882000000071,182.2919900000006,7935.258304285714,7818.180284849206,709600.4,,,1.780309386819511,1.804941652939211,3.585251039758721,-1.0,-3533.0,1.0,56235.0,-0.021776732145517442,0.1655648730985489,,,0.8493,0.768,0.128
20240530,8037.353,8151.1753,8190.5444,8032.0513,1021525.0,-12193.0,704085.0,0.0,-1.0,0.0,-5083.0,2.0,-2.0,57116.0,-6039.0,8049.64726,8030.38149,7882.55251,19.26576999999997,167.0947500000002,7957.03061373016,7844.641845285715,711886.1,,,1.766695827790511,1.821391804788762,3.588087632579272,-1.0,-5083.0,0.0,51077.0,-0.011936075964856465,0.1719402850745311,,,0.8082,0.768,0.128
20240531,8146.5386,8027.2017,8163.9653,8027.2017,1027256.0,5731.0,592929.0,0.0,-1.0,0.0,-6637.0,2.0,-2.0,61197.0,-4793.0,8081.473540000001,8047.5771,7908.337275,33.89644000000135,173.136265000001,7978.992672063493,7870.64566695238,699347.0,,0.183885,1.718922257091864,1.821391804788762,3.540314061880625,-1.0,-6637.0,0.0,56404.0,0.005578940400445458,0.1286635135703633,,,0.8219,0.768,0.118
20240603,7909.7842,8156.2744,8173.7354,7887.2065,998564.0,-28692.0,832510.0,0.0,-1.0,0.0,-6126.0,1.0,-2.0,60738.0,-8238.0,8073.056460000002,8039.10254,7918.868625,33.95392000000174,154.1878350000015,7987.434118730158,7894.375415253968,716336.7,,0.18607,1.895775046743693,1.848035437402305,3.743810484145998,-1.0,-6126.0,-1.0,52500.0,-0.028733260962742497,0.0786717433074929,,,0.7945,0.7827,0.107
20240604,7871.7881,7937.1987,7937.5742,7839.6104,979986.0,-18578.0,604543.0,0.0,-1.0,0.0,-6401.0,1.0,-2.0,55906.0,-3597.0,8024.87394,8024.54458,7921.60061,0.3293600000006336,103.2733300000009,7985.255223571427,7914.706308619048,698720.6,,,1.790383242728644,1.848035437402305,3.638418680130949,-1.0,-6401.0,-1.0,52309.0,-0.018957413677338247,0.1195454950099957,,,0.9726,0.9533,0.116
