,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,15519.0664,15559.5039,15629.1191,15469.8486,674561.0,19172.0,242619.0,1.0,0.0,9468.0,0.0,1.0,-3.0,0.0,-23640.0,15637.06072,15722.55917,16002.429295,-85.49844999999914,-365.3685749999986,15862.35080634921,16038.05164811112,379466.6,,,0.9846853401852939,1.032256684924036,2.01694202510933,1.0,9468.0,-2.0,-23640.0,0.02842144743025464,-0.1648145597416737,,,0.6164,0.7173,0.492
20240507,15536.7656,15444.3975,15571.7617,15428.3594,696839.0,22278.0,337240.0,2.0,0.0,18834.0,0.0,1.0,-3.0,251.0,-21441.0,15614.23806,15686.94901,15964.280465,-72.7109500000006,-350.0424050000001,15814.96033142857,16000.44036246032,353481.0,,,1.001106082308645,1.02630479368871,2.027410875997354,2.0,18834.0,-2.0,-21190.0,0.03197008204190638,-0.1129405863043859,,,0.6301,0.7373,0.515
20240508,15581.4629,15554.3213,15649.8223,15552.042,701974.0,5135.0,371362.0,2.0,0.0,22883.0,0.0,1.0,-3.0,594.0,-24978.0,15593.52498,15667.23173,15926.71362,-73.70675000000483,-333.1886400000021,15778.63230071429,15962.33506780159,338110.1,,,0.991197325075941,1.02630479368871,2.017502118764651,2.0,22883.0,-2.0,-24384.0,0.007315085743916441,-0.1386878532117848,,,0.6301,0.7373,0.5
20240509,15267.8389,15610.9482,15642.2627,15252.5732,768093.0,66119.0,681627.0,2.0,0.0,24293.0,0.0,1.0,-3.0,0.0,-35325.0,15503.82558,15611.69296,15876.6457,-107.8673799999997,-372.8201200000021,15725.63684071428,15921.91300126191,359235.9,817952.4,0.14973,1.10564935219101,1.02630479368871,2.13195414587972,2.0,24293.0,-2.0,-35325.0,0.08608202392158242,-0.2399224519273051,,,0.7808,0.9307,0.473
20240510,15162.3779,15285.6279,15294.3213,15022.707,774579.0,6486.0,659727.0,2.0,0.0,26225.0,0.0,1.0,-3.0,0.0,-37992.0,15413.50234,15548.71171,15817.258395,-135.2093699999987,-403.7560549999998,15658.16476888889,15877.71900973016,394548.4,791672.4,0.153065,1.106002125837262,1.032256684924036,2.138258810761299,2.0,26225.0,-2.0,-37992.0,0.008373581003357953,-0.2149675893461853,,,0.7808,0.9133,0.478
20240513,15102.1172,15174.2344,15206.5586,15010.9238,782947.0,8368.0,413964.0,2.0,0.0,26710.0,0.0,1.0,-3.0,0.0,-38078.0,15330.1125,15483.58661,15753.6812,-153.4741100000028,-423.5687000000016,15590.18779714286,15830.21052653175,400785.0,,0.155135,1.096721236247805,1.032256684924036,2.128977921171841,2.0,26710.0,-2.0,-38078.0,0.01068782433549142,-0.24366632600282,,,0.7671,0.8893,0.471
20240514,15126.7119,15101.9141,15241.8457,15082.373,786336.0,3389.0,398347.0,2.0,0.0,27647.0,0.0,1.0,-3.0,0.0,-44181.0,15248.10176,15431.16991,15694.56323,-183.0681499999992,-446.4614699999984,15529.53784039682,15780.56142386508,400332.7,,,1.107588368543394,1.04638789487279,2.153976263416184,2.0,27647.0,-2.0,-44181.0,0.004309862450657225,-0.1824553927410676,,,0.7534,0.9267,0.484
20240515,14888.6436,15069.3955,15100.2686,14812.0303,819450.0,33114.0,595904.0,2.0,0.0,28197.0,0.0,0.0,-3.0,0.0,-44464.0,15109.5379,15351.53144,15625.873435,-241.9935399999995,-516.3355349999965,15455.60610015873,15727.51346352381,427302.9,715084.7999999999,0.16583,1.158366218611602,1.056852665425426,2.215218884037028,2.0,28197.0,-3.0,-44464.0,0.040410031118433096,-0.2253538407785691,,,0.7123,0.904,0.475
20240516,15168.3867,14922.4805,15209.4775,14869.8896,765933.0,-53517.0,547176.0,2.0,0.0,27391.0,0.0,1.0,-3.0,0.0,-39240.0,15089.64746,15296.73652,15568.7331,-207.0890599999984,-479.0856399999993,15402.18340444445,15672.77230557143,451908.0,656611.2,,1.27282000023761,1.061448530982119,2.334268531219729,2.0,27391.0,-2.0,-39240.0,-0.06987164673672501,-0.1879379969473648,,,0.6438,0.7973,0.482
20240517,15209.5859,15128.2207,15259.4199,15128.2207,754785.0,-11148.0,339337.0,2.0,0.0,27227.0,0.0,1.0,-3.0,216.0,-35072.0,15099.08906,15256.2957,15515.73891,-157.2066399999967,-416.649849999998,15365.40252436508,15618.26627146032,458730.3,,,1.296169653178025,1.056852665425426,2.353022318603451,2.0,27227.0,-2.0,-34856.0,-0.014769768874580178,-0.2410204202202451,,,0.6027,0.7413,0.468
