,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,17274.7285,16973.7324,17286.9473,16902.4453,144885.0,9577.0,65129.0,2.0,-1.0,2706.0,-1049.0,3.0,-1.0,2802.0,-823.0,17112.4082,17251.18983,17264.11151,-138.7816300000013,-151.7033100000008,17241.38867880952,17247.19930807937,69776.0,,,1.694316416238686,1.520615196111346,3.214931612350032,1.0,1657.0,2.0,1979.0,0.06610070055561307,-2.30798566426358,,,0.4247,0.5095,0.5037
20240507,17312.7207,17325.4121,17537.916,17299.4297,152118.0,7233.0,85191.0,2.0,-1.0,3319.0,-708.0,2.0,-1.0,2314.0,-984.0,17153.43398,17242.61073,17292.630065,-89.17674999999872,-139.1960849999996,17249.47026357143,17256.32776365873,70034.8,102229.2,,1.694440453539408,1.522289421927985,3.216729875467394,1.0,2611.0,1.0,1330.0,0.047548613576302606,-2.506405139566781,,,0.4384,0.551,0.4795
20240508,17471.1836,17322.9707,17540.4785,17305.5742,153651.0,1533.0,65194.0,1.0,-1.0,1268.0,-720.0,2.0,-1.0,3399.0,-1137.0,17200.43164,17235.74843,17306.441295,-35.31678999999713,-106.009654999998,17264.09683690476,17262.53295509524,69344.3,,,1.6811750982194,1.518523001185353,3.199698099404753,0.0,548.0,1.0,2262.0,0.009977156022414432,-2.698789447464291,,,0.4247,0.4959,0.4552
20240509,17494.5332,17475.7793,17554.6094,17341.0215,157399.0,3748.0,57637.0,3.0,-1.0,2708.0,-593.0,2.0,-1.0,3742.0,-1092.0,17309.69726,17241.96093,17313.06698,67.73632999999973,-3.369719999998779,17280.32951706349,17266.40672203968,68513.0,,,1.580248906185047,1.518523001185353,3.0987719073704,2.0,2115.0,1.0,2650.0,0.023812095375447113,-2.641094225659057,,,0.411,0.4301,0.4596
20240510,17742.6328,17502.6836,17785.1055,17271.0469,167424.0,10025.0,125881.0,2.0,-1.0,1350.0,-717.0,2.0,-1.0,5626.0,-1340.0,17459.15976,17294.72304,17315.680165,164.4367200000015,143.4795950000043,17312.40076015873,17271.490514,72457.7,151057.2,,1.700883481455067,1.522289421927985,3.223172903383052,1.0,633.0,1.0,4286.0,0.05987791475535168,-2.408919790140194,,,0.4384,0.4878,0.4938
20240513,17811.0801,17660.209,17878.6934,17617.7227,171553.0,4129.0,97953.0,1.0,-1.0,1392.0,-2345.0,2.0,-1.0,5253.0,-1472.0,17566.43008,17339.41914,17330.39999,227.0109400000001,236.0300900000002,17355.91599444444,17278.96091016666,75877.9,117543.6,,1.668408627732893,1.518523001185353,3.186931628918246,0.0,-953.0,1.0,3781.0,0.024068363712671886,-2.4147954161327707,,,0.5068,0.5467,0.4932
20240514,17774.0898,17804.8926,17893.5039,17669.709,170423.0,-1130.0,72130.0,1.0,-1.0,1296.0,-1753.0,2.0,-1.0,4509.0,-1543.0,17658.7039,17406.06894,17353.73661,252.6349599999994,304.9672900000005,17399.32732420636,17290.42624873016,75358.1,,,1.661243394570126,1.518523001185353,3.179766395755479,0.0,-457.0,1.0,2966.0,-0.0066305604290500695,-2.125302829230175,,,0.5753,0.6797,0.5235
20240515,17695.6152,17848.5488,17871.2188,17637.8574,170903.0,480.0,69234.0,1.0,-1.0,1184.0,-1752.0,2.0,-1.0,3023.0,-1704.0,17703.59022,17452.01093,17378.0662,251.5792900000015,325.5240200000007,17436.02402087301,17305.45456829365,75886.9,,,1.648428606132616,1.518523001185353,3.166951607317969,0.0,-568.0,1.0,1319.0,0.0028086107324037613,-2.1164966752724195,,,0.5753,0.7126,0.5241
20240516,17743.5684,17726.291,17785.0234,17665.5586,168306.0,-2597.0,45230.0,1.0,-1.0,1484.0,-1688.0,2.0,-1.0,3561.0,-1709.0,17753.39726,17531.54726,17397.025185,221.8500000000022,356.372075000003,17471.83920873016,17325.77868549206,73324.3,,,1.551499047344589,1.518523001185353,3.070022048529943,0.0,-204.0,1.0,1852.0,-0.015430228274690148,-2.235091059002824,,,0.3425,0.2951,0.516
20240517,17956.543,17777.1445,18004.9648,17757.6504,177052.0,8746.0,75514.0,1.0,-1.0,1239.0,-2356.0,2.0,-1.0,5052.0,-1649.0,17796.1793,17627.66953,17439.571965,168.5097699999969,356.607334999997,17519.5741268254,17353.03667315873,75909.3,,,1.555426587182386,1.518523001185353,3.07394958836774,0.0,-1117.0,1.0,3403.0,0.04939791699613673,-2.335120459584724,,,0.3562,0.2921,0.5018
20240520,17891.6699,17934.7949,18150.4824,17856.7285,176923.0,-129.0,94604.0,2.0,-1.0,2944.0,-2886.0,2.0,-1.0,3704.0,-1790.0,17812.29726,17689.36367,17470.27675,122.9335900000005,342.0205100000021,17568.09302531746,17385.70710780953,78856.8,,,1.537536470342606,1.518523001185353,3.056059471527959,1.0,58.0,1.0,1914.0,-0.000729130751795979,-2.279423315782215,,,0.3288,0.2917,0.5086
20240521,17988.7051,17865.4297,18028.9648,17834.8789,175106.0,-1817.0,61496.0,1.0,-1.0,1587.0,-2522.0,2.0,-1.0,4914.0,-1679.0,17855.22032,17756.96211,17499.78642,98.25820999999996,355.4339,17614.36392277778,17422.19647373016,76487.3,,,1.504862875063739,1.518523001185353,3.023385876249092,0.0,-935.0,1.0,3235.0,-0.010376571905017533,-2.3498446089872664,,,0.3699,0.2738,0.4969
20240522,18196.2637,18017.2148,18213.875,18017.2148,180438.0,5332.0,69492.0,2.0,-1.0,3531.0,-2862.0,2.0,-1.0,4357.0,-2172.0,17955.35002,17829.47012,17532.609275,125.8798999999999,422.7407449999992,17676.7636731746,17463.46315735715,76917.1,,,1.449177643656179,1.518523001185353,2.967700644841533,1.0,669.0,1.0,2185.0,0.029550316452188564,-2.40718623394347,,,0.3425,0.2708,0.4914
20240523,17943.3125,18219.5313,18241.6914,17867.4238,180507.0,69.0,89273.0,3.0,-1.0,5044.0,-2489.0,2.0,-2.0,2993.0,-2864.0,17995.29884,17874.34805,17558.15449,120.950789999999,437.1443499999987,17725.33265761905,17507.9634714127,80080.7,,,1.52902016741495,1.518523001185353,3.047543168600303,2.0,2555.0,0.0,129.0,0.00038225664378666756,-2.138189139814985,,,0.3151,0.2718,0.5239
20240524,18014.1914,17986.1836,18071.1699,17907.6973,175483.0,-5024.0,54205.0,2.0,-1.0,3511.0,-2289.0,2.0,-2.0,3536.0,-2567.0,18006.82852,17901.50391,17598.113475,105.3246099999997,408.7150449999972,17767.21148952381,17553.44454434921,72913.1,,,1.435726091535225,1.518523001185353,2.954249092720578,1.0,1222.0,0.0,969.0,-0.028629553859918055,-2.303395397304454,,,0.3014,0.2727,0.5074
20240527,17988.2168,18070.0742,18162.4805,17953.6133,180426.0,4943.0,64225.0,3.0,-1.0,5868.0,-2144.0,2.0,-2.0,2909.0,-2938.0,18026.1379,17919.21758,17629.31836,106.9203200000011,396.8195400000004,17809.7619984127,17598.82914474603,69540.3,,,1.410089087749671,1.518523001185353,2.928612088935024,2.0,3724.0,0.0,-29.0,0.027396273264385398,-2.307394512679618,,,0.3425,0.2737,0.5055
20240528,17708.4805,18045.6855,18152.125,17696.4648,188872.0,8446.0,131268.0,3.0,-1.0,7322.0,-1825.0,2.0,-2.0,1838.0,-3521.0,17970.09298,17912.65665,17659.362795,57.43633000000045,310.7301849999967,17829.54225174603,17641.8506375,75454.1,157521.6,,1.497070786896964,1.522289421927985,3.019360208824949,2.0,5497.0,0.0,-1683.0,0.04471811597272227,-2.119079179470573,,,0.3973,0.2787,0.5281
20240529,17780.8574,17780.3945,17884.5156,17694.1484,179712.0,-9160.0,70166.0,3.0,-1.0,6752.0,-1670.0,1.0,-2.0,2748.0,-2996.0,17887.01172,17921.18087,17686.5959,-34.1691499999979,200.415820000002,17842.69529492064,17682.51776490476,75547.3,,,1.486078259454779,1.522289421927985,3.008367681382764,2.0,5082.0,-1.0,-248.0,-0.0509704415954416,-0.1895247725757549,,,0.3836,0.2787,0.6764
20240530,17780.7715,17800.0234,17862.2188,17707.0859,177105.0,-2607.0,57680.0,3.0,-1.0,6245.0,-2010.0,2.0,-2.0,4342.0,-2951.0,17854.50352,17924.90118,17728.22422,-70.39766000000236,126.279300000002,17851.64410793651,17720.4982548254,76792.3,,,1.342438335766448,1.522289421927985,2.864727757694434,2.0,4235.0,0.0,1391.0,-0.014720081307698822,-0.3333299522595664,,,0.3562,0.2787,0.6634
