,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,6179.7861,6154.7119,6216.8828,6141.5386,543977.0,9901.0,283339.0,2.0,0.0,16641.0,0.0,2.0,-2.0,6794.0,-4873.0,6165.08124,6191.06503,6321.366595,-25.98378999999932,-156.2853549999991,6246.71383579365,6334.987176746032,443355.0,,,1.151747105556471,1.16307522151012,2.314822327066591,2.0,16641.0,0.0,1921.0,0.018201137180432262,1.9256567970338847,,,0.1781,0.1507,0.982
20240507,6278.7852,6184.7705,6281.373,6184.7705,540402.0,-3575.0,534579.0,2.0,0.0,16266.0,0.0,2.0,-1.0,7531.0,-5536.0,6186.695699999999,6199.27529,6306.8977,-12.57959000000028,-120.2020000000002,6239.511591587303,6316.311640412699,444669.1,641494.7999999999,,1.173101783768367,1.198816977324473,2.371918761092839,2.0,16266.0,1.0,1995.0,-0.006615445538691566,1.60292787561654,,,0.137,0.072,0.957
20240508,6299.7524,6282.3911,6315.2065,6273.8535,524667.0,-15735.0,505626.0,2.0,0.0,14434.0,0.0,2.0,-1.0,9419.0,-5615.0,6210.82304,6205.25048,6294.73266,5.572560000000522,-83.90961999999945,6238.022427698412,6299.56138881746,448444.8,,,1.115474448453009,1.198816977324473,2.314291425777482,2.0,14434.0,1.0,3804.0,-0.02999045108611748,1.6097715279503977,,,0.1507,0.1627,0.959
20240509,6290.1431,6275.8828,6314.3608,6262.9912,524348.0,-319.0,402630.0,2.0,0.0,8752.0,0.0,2.0,-2.0,10362.0,-4590.0,6242.02744,6210.81235,6282.16313,31.21508999999969,-40.13569000000007,6237.145230714284,6284.71769176984,447839.6,,,1.08769574535094,1.198816977324473,2.286512722675413,2.0,8752.0,0.0,5772.0,-0.0006083745909205337,1.5764163203608343,,,0.1781,0.2,0.953
20240510,6330.7461,6289.1104,6331.9932,6263.6685,538203.0,13855.0,465655.0,2.0,0.0,13214.0,0.0,2.0,-1.0,12554.0,-2325.0,6275.84258,6223.50644,6273.020794999999,52.33614000000034,2.821785000001,6239.759456031748,6272.095881992063,445525.8,,,1.077778061110221,1.198816977324473,2.276595038434694,2.0,13214.0,1.0,10229.0,0.025743074639123155,1.476113517160273,,,0.2329,0.2413,0.931
20240513,6306.3203,6321.3071,6329.8164,6268.4683,543036.0,4833.0,436184.0,1.0,-1.0,7771.0,-872.0,2.0,-1.0,10156.0,-3275.0,6301.14942,6233.115330000001,6262.93598,68.0340899999992,38.21343999999954,6242.988233730158,6261.741023523809,451111.7,,,1.045292227898914,1.198816977324473,2.244109205223388,0.0,6899.0,1.0,6881.0,0.008899962433429828,1.5675195065590402,,,0.2877,0.272,0.952
20240514,6169.4854,6278.1738,6287.9346,6165.1543,555891.0,12855.0,644695.0,2.0,-1.0,4641.0,0.0,1.0,-2.0,6342.0,-10819.0,6279.289460000001,6232.99258,6247.88503,46.29688000000078,31.4044300000005,6237.682215238096,6253.0222615,450510.2,773634.0,0.144095,1.131920549351871,1.198816977324473,2.330737526676344,1.0,4641.0,-1.0,-4477.0,0.023125037102597452,1.5474274234653205,,,0.3425,0.4427,0.951
20240515,6164.1709,6177.8462,6200.2671,6161.9072,552131.0,-3760.0,378585.0,2.0,0.0,10564.0,0.0,2.0,-2.0,4664.0,-4921.0,6252.17316,6231.4981,6235.701805000001,20.67506000000049,16.47135499999968,6230.231366746032,6245.69488768254,440337.5,,,1.134470245197163,1.198816977324473,2.333287222521636,2.0,10564.0,0.0,-257.0,-0.006809978066799365,1.488632258511683,,,0.3836,0.4813,0.934
20240516,6157.4136,6147.6982,6168.3462,6128.1885,569611.0,17480.0,412937.0,2.0,0.0,16899.0,0.0,2.0,-2.0,1187.0,-5041.0,6225.627259999999,6233.82735,6226.20154,-8.200090000000273,-0.5742800000007264,6222.039262222222,6239.662403563492,441230.5,,,1.118371306972192,1.198816977324473,2.317188284296665,2.0,16899.0,0.0,-3854.0,0.030687609614280624,1.399654915389663,,,0.4384,0.48,0.908
20240517,6163.8491,6107.5112,6169.4443,6099.2783,574333.0,4722.0,469804.0,2.0,0.0,17595.0,0.0,2.0,-2.0,7075.0,-4357.0,6192.24786,6234.045220000001,6217.68286,-41.79736000000048,-25.43499999999949,6214.338229682541,6234.843184944444,453403.4,,,1.153092757816127,1.198816977324473,2.3519097351406,2.0,17595.0,0.0,2718.0,0.008221711097917061,1.8306272718585808,,,0.6164,0.728,0.976
20240520,6185.748,6144.4331,6187.4248,6138.1274,569962.0,-4371.0,477076.0,2.0,0.0,19074.0,0.0,2.0,-1.0,6637.0,-4272.0,6168.133400000001,6234.64141,6212.85322,-66.50800999999956,-44.71981999999934,6209.974521349206,6231.169253499999,472777.1,,,1.076869741085617,1.162071296852921,2.238941037938538,2.0,19074.0,1.0,2365.0,-0.007668932314785898,1.523144646746633,,,0.6301,0.7187,0.94
20240521,6192.4893,6197.1875,6226.6479,6151.7393,548859.0,-21103.0,516118.0,2.0,0.0,18622.0,0.0,2.0,-1.0,6370.0,-4195.0,6172.734179999999,6226.01182,6212.643555000001,-53.27764000000025,-39.90937500000109,6207.721431428571,6227.990237484127,470931.0,,,1.072342774761823,1.162071296852921,2.234414071614744,2.0,18622.0,1.0,2175.0,-0.0384488548060613,1.4769349240573928,,,0.6438,0.644,0.926
20240522,6173.6567,6188.0757,6206.8018,6168.9741,552766.0,3907.0,350713.0,2.0,0.0,20223.0,0.0,2.0,-1.0,3935.0,-4280.0,6174.63134,6213.402250000001,6209.326365,-38.77091000000109,-34.69502499999999,6205.004215952382,6224.688416309524,455439.7,,,1.020803214724959,1.162071296852921,2.18287451157788,2.0,20223.0,1.0,-345.0,0.0070680902949892,1.3673496896674433,,,0.6438,0.6387,0.901
20240523,6114.6094,6170.4585,6171.8379,6091.5278,594051.0,41285.0,594144.0,2.0,0.0,24562.0,0.0,2.0,-3.0,0.0,-11710.0,6166.0705,6195.84888,6203.330615,-29.77837999999974,-37.26011500000004,6197.602827857143,6220.734176023811,474591.1,712972.7999999999,0.154215,1.073785875574296,1.198816977324473,2.272602852898769,2.0,24562.0,-1.0,-11710.0,0.06949740005487744,1.2768796113982277,,,0.4247,0.4147,0.878
20240524,6132.6201,6127.3271,6149.2041,6108.1533,583560.0,-10491.0,383496.0,2.0,0.0,23324.0,0.0,2.0,-2.0,639.0,-7358.0,6159.824699999999,6176.036279999999,6199.771360000001,-16.21158000000014,-39.94666000000143,6190.693836825395,6215.827614103174,466375.2,,,1.034932356828056,1.162071296852921,2.197003653680977,2.0,23324.0,0.0,-6719.0,-0.017977585852354514,1.3086452045191104,,,0.3699,0.388,0.883
20240527,6178.0347,6118.271,6202.8228,6118.271,549379.0,-34181.0,472382.0,2.0,0.0,21641.0,0.0,2.0,-1.0,5056.0,-3703.0,6158.28204,6163.20772,6198.161525,-4.925680000000284,-39.87948500000039,6187.393764206348,6210.268167150794,469995.0,,,1.016520455612546,1.198816977324473,2.215337432937019,2.0,21641.0,1.0,1353.0,-0.06221752196571038,1.3775184182010642,,,0.3562,0.3533,0.902
20240528,6194.4868,6185.8223,6212.5596,6167.7017,535284.0,-14095.0,426497.0,2.0,0.0,19848.0,0.0,2.0,-1.0,7497.0,-3708.0,6158.68154,6165.70786,6199.35022,-7.026320000000851,-40.66868000000068,6186.888512460318,6205.188796873016,448175.2,,,1.021793939603099,1.198816977324473,2.220610916927572,2.0,19848.0,1.0,3789.0,-0.026331816381584355,1.3635585108091175,,,0.3014,0.2307,0.899
20240529,6190.4932,6201.5117,6204.7695,6158.0142,519412.0,-15872.0,372218.0,2.0,0.0,19729.0,0.0,2.0,-1.0,9817.0,-7007.0,6162.048839999999,6168.34009,6199.919094999999,-6.291250000000218,-37.87025499999982,6186.158782222221,6200.781538420635,447538.5,,,1.017644012038684,1.198816977324473,2.216460989363157,2.0,19729.0,1.0,2810.0,-0.03055763055146974,1.3745017049680504,,,0.3014,0.232,0.9
