,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,3634.1677,3606.916,3665.1946,3599.4629,637024.0,31623.0,389593.0,4.0,0.0,33087.0,0.0,2.0,-2.0,8226.0,-14488.0,3611.74008,3551.83881,3517.01833,59.90126999999984,94.7217499999997,3541.60380468254,3504.707994333334,494528.1,,,2.007546852531574,1.611337373728692,3.618884226260265,4.0,33087.0,0.0,-6262.0,0.04964177173858442,-2.428599486119951,,,0.6849,0.6547,0.048
20240507,3855.3291,3677.8057,3856.4773,3677.8057,613407.0,-23617.0,1021214.0,4.0,-1.0,26298.0,0.0,2.0,-2.0,6415.0,-12478.0,3681.74252,3589.48896,3537.480525,92.25355999999965,144.2619949999998,3568.214607301587,3512.087659269841,552410.5,1225456.8,,2.322770755264754,1.615412926979637,3.938183682244391,3.0,26298.0,0.0,-6063.0,-0.03850135391347018,-2.32914543981084,,,0.6438,0.66,0.051
20240508,3806.5295,3789.7151,3919.4551,3734.4104,518826.0,-94581.0,1694985.0,4.0,-1.0,21277.0,-87.0,2.0,-1.0,6920.0,-11748.0,3704.4515,3620.15949,3555.417705,84.29201000000057,149.0337950000003,3594.608713492063,3522.326416174603,668369.4,2033982.0,,2.564489030893666,1.615412926979637,4.179901957873303,3.0,21190.0,1.0,-4828.0,-0.18229811150559147,-2.406222298738104,,,0.3836,0.34,0.048
20240509,3852.4558,3855.2659,3908.594,3845.5688,549263.0,30437.0,802003.0,4.0,-1.0,22976.0,0.0,2.0,-1.0,9190.0,-9576.0,3748.27142,3655.03044,3575.0704,93.24098000000004,173.2010200000004,3623.908786746032,3535.497840452381,709427.1,,,2.606632901981238,1.61917239961445,4.225805301595688,3.0,22976.0,1.0,-386.0,0.05541425510183646,-2.2426682335738537,,,0.3836,0.3413,0.054
20240510,3882.8457,3845.8652,3904.689,3837.2151,522557.0,-26706.0,724802.0,2.0,-1.0,14218.0,-1275.0,2.0,-1.0,9222.0,-8474.0,3806.26556,3696.40629,3593.169425,109.8592699999999,213.0961349999998,3652.724507460318,3551.749457063493,747635.5,,,2.580462641468721,1.61917239961445,4.199635041083171,1.0,12943.0,1.0,748.0,-0.051106386480326546,-1.8911038085132823,,,0.3973,0.3427,0.094
20240513,3887.4768,3963.9324,3970.0576,3881.8896,514305.0,-8252.0,787556.0,4.0,-1.0,21022.0,-902.0,1.0,-2.0,8001.0,-16735.0,3856.92738,3734.33373,3612.549505,122.5936499999998,244.3778749999992,3683.435819841271,3571.114576547619,794935.9,,,2.630227394457024,1.61917239961445,4.249399794071475,3.0,20120.0,-1.0,-8734.0,-0.01604495386978544,-1.4161278558379686,,,0.411,0.3253,0.176
20240514,3843.0273,3899.8855,3916.1094,3825.0679,502979.0,-11326.0,521969.0,4.0,-1.0,20574.0,-52.0,1.0,-2.0,7385.0,-13946.0,3854.46702,3768.10477,3628.578065,86.36224999999968,225.8889549999999,3707.489344365079,3592.760090476191,815329.9,,,2.674985942054507,1.629918370654639,4.304904312709146,3.0,20522.0,-1.0,-6561.0,-0.022517838716924563,-1.4153326141156546,,,0.4658,0.396,0.177
20240515,3879.3733,3855.5977,3883.4392,3839.6912,503545.0,566.0,333286.0,3.0,-1.0,19039.0,-1145.0,2.0,-1.0,7492.0,-6702.0,3869.03578,3786.743640000001,3648.369535,82.29213999999911,220.6662449999994,3730.351590238094,3615.284117920635,729456.5,,,2.631435882549299,1.629918370654639,4.261354253203938,2.0,17894.0,1.0,790.0,0.0011240306228837542,-1.395687815153601,,,0.4521,0.3973,0.182
20240516,3880.0249,3904.1025,3918.6199,3862.2314,501869.0,-1676.0,466790.0,3.0,-1.0,15690.0,-678.0,2.0,-2.0,1139.0,-11290.0,3874.5496,3811.41051,3666.898905,63.13908999999967,207.6506949999994,3753.451653095238,3638.594393039682,719645.0,,,2.620215449412772,1.629918370654639,4.250133820067411,2.0,15012.0,0.0,-10151.0,-0.0033395168858805784,-0.8679605373923326,,,0.4795,0.3267,0.33
20240517,3918.3638,3897.9131,3929.7078,3888.1277,487701.0,-14168.0,427890.0,3.0,-1.0,17666.0,-2228.0,2.0,-2.0,2507.0,-7575.0,3881.65322,3843.95939,3689.780755,37.69383000000016,191.8724650000004,3776.769549761906,3663.255837698413,717008.8,,,2.59743816518478,1.629918370654639,4.227356535839419,2.0,15438.0,0.0,-5068.0,-0.029050586322357345,-0.4422384891684869,,,0.4795,0.324,0.478
20240520,3911.8342,3936.6052,3969.1516,3904.708,486424.0,-1277.0,531259.0,3.0,-1.0,17212.0,-1919.0,2.0,-2.0,3487.0,-8596.0,3886.5247,3871.72604,3711.782425,14.79865999999993,174.7422750000001,3799.263749920636,3689.021832222222,731175.4,,,2.643445802238556,1.629918370654639,4.273364172893196,2.0,15293.0,0.0,-5109.0,-0.0026252816472871403,-0.1899656613047073,,,0.4658,0.3133,0.557
20240521,3849.1846,3899.2251,3906.1045,3829.1956,526494.0,40070.0,650023.0,4.0,0.0,21968.0,0.0,1.0,-3.0,959.0,-12493.0,3887.75616,3871.11159,3730.300275,16.64456999999948,157.4558849999999,3813.869744682539,3713.587345960318,694056.3,,,2.373520326923147,1.641752409013587,4.015272735936733,4.0,21968.0,-2.0,-11534.0,0.07610723009189088,-0.2847215737651131,,,0.4521,0.272,0.525
20240522,3874.2808,3827.6514,3885.5552,3823.5085,519395.0,-7099.0,474265.0,4.0,-1.0,21290.0,0.0,2.0,-3.0,1224.0,-7961.0,3886.73766,3877.88672,3749.023104999999,8.850940000000264,137.7145550000005,3826.291625476189,3736.755637158731,571984.3,,,2.3186894756021,1.641752409013587,3.960441884615687,3.0,21290.0,-1.0,-6737.0,-0.01366782506570144,-0.2972282325640145,,,0.4658,0.2693,0.519
20240523,3895.6003,3887.3328,3904.9426,3859.8635,510628.0,-8767.0,440920.0,4.0,-1.0,20078.0,0.0,2.0,-3.0,2715.0,-5750.0,3889.85274,3882.20117,3768.615805,7.651569999999538,121.2369349999999,3840.032231904761,3758.367981674603,535876.0,,,2.283561096489354,1.633684170764175,3.91724526725353,3.0,20078.0,-1.0,-3035.0,-0.01716905457593395,-0.3302924535484827,,,0.4658,0.2707,0.507
20240524,3909.5605,3892.9688,3927.2871,3892.9688,478126.0,-32502.0,417065.0,3.0,0.0,14803.0,0.0,2.0,-2.0,1654.0,-8801.0,3888.09208,3884.87265,3790.639470000001,3.219429999999647,97.45260999999937,3853.180451587301,3778.413576087302,505102.3,,,2.2019142369405,1.61917239961445,3.821086636554951,3.0,14803.0,0.0,-7147.0,-0.06797789703969247,-0.3094274277239024,,,0.6986,0.5427,0.512
20240527,3901.3137,3910.6765,3941.9231,3880.9731,489937.0,11811.0,402166.0,4.0,0.0,20848.0,0.0,0.0,-3.0,0.0,-12557.0,3885.98798,3886.25634,3810.295035,-0.2683599999995749,75.69294500000024,3864.434384365079,3796.513432539682,466563.3,,,1.902841580453759,1.61917239961445,3.522013980068209,4.0,20848.0,-3.0,-12557.0,0.024107181127369436,-0.2954084243513596,,,0.6849,0.508,0.52
20240528,3886.3723,3888.0435,3917.0017,3876.1116,498258.0,8321.0,365781.0,4.0,0.0,20638.0,0.0,1.0,-3.0,74.0,-12771.0,3893.42552,3890.59084,3829.347805,2.834679999999935,64.07771499999944,3871.619097777777,3812.926407880952,450944.5,,,1.634919399450969,1.61917239961445,3.25409179906542,4.0,20638.0,-2.0,-12697.0,0.01670018343910183,-0.4042778516676387,,,0.6575,0.4773,0.481
20240529,3853.3193,3863.895,3865.2681,3828.3086,502370.0,4112.0,302895.0,4.0,0.0,20638.0,0.0,1.0,-3.0,37.0,-10697.0,3889.23322,3887.985439999999,3837.36454,1.247780000000148,51.86867999999959,3874.549748730159,3827.346223730159,447905.4,,,1.553968818197002,1.61917239961445,3.173141217811453,4.0,20638.0,-2.0,-10660.0,0.008185202141847642,-1.84506005001611,,,0.6027,0.44,0.088
