,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,105.82,105.99,106.08,105.68,51975.0,-3935.0,37552.0,2.0,-1.0,5064.0,-1746.0,3.0,-1.0,3025.0,0.0,106.086,106.857,106.622,-0.771000000000015,-0.5360000000000156,106.650880952381,106.7073134920635,44684.9,,0.6592244575620059,0.7195062054702466,1.378730663032252,1.0,3318.0,2.0,3025.0,-0.07570947570947571,0.1986314989630894,,,0.9589,0.9833,0.4458
20240507,106.23,105.86,106.36,105.86,49742.0,-2233.0,37057.0,2.0,-1.0,3888.0,-1986.0,3.0,-1.0,2451.0,0.0,105.98,106.737,106.631,-0.7570000000000192,-0.6510000000000105,106.6029920634921,106.7319095238095,43692.2,,0.6545133311917756,0.7195062054702466,1.374019536662022,1.0,1902.0,2.0,2451.0,-0.04489164086687306,0.2261590630317351,,,0.9589,0.9945,0.46
20240508,106.39,106.12,106.57,106.05,47586.0,-2156.0,30262.0,2.0,-1.0,3195.0,-1260.0,3.0,-1.0,2531.0,-349.0,106.006,106.632,106.631,-0.6259999999999906,-0.625,106.5741825396825,106.7421849206349,43129.7,,0.6597700841775614,0.7141484083909696,1.373918492568531,1.0,1935.0,2.0,2182.0,-0.045307443365695796,0.25407797811863,,,0.9589,0.9945,0.4701
20240509,105.85,106.18,106.35,105.74,45367.0,-2219.0,32949.0,2.0,-1.0,3385.0,-1591.0,2.0,-1.0,2476.0,-1405.0,106.098,106.435,106.5915,-0.3369999999999891,-0.4934999999999974,106.5116984126984,106.7316571428571,43562.3,,0.6667960983055609,0.6884062191205575,1.355202317426119,1.0,1794.0,1.0,1071.0,-0.04891220490665021,0.3359418817602032,,,0.9589,1.0,0.5833
20240510,105.7,106.03,106.26,105.51,40691.0,-4676.0,38463.0,2.0,-1.0,3706.0,-2527.0,2.0,-2.0,1420.0,-1338.0,105.998,106.17,106.5325,-0.171999999999997,-0.5344999999999942,106.4403571428572,106.6960182539683,43146.3,,0.6772780256441174,0.709985623335698,1.387263648979816,1.0,1179.0,0.0,82.0,-0.1149148460347497,0.3269165631196525,,,0.9178,0.9293,0.5534
20240513,106.43,106.05,106.6,105.98,35818.0,-4873.0,38159.0,2.0,-1.0,4046.0,-2130.0,2.0,-1.0,1578.0,-1221.0,106.12,106.103,106.532,0.01700000000001012,-0.4119999999999919,106.4192301587302,106.6500515873016,41681.6,,0.685776341721747,0.7141484083909696,1.399924750112717,1.0,1916.0,1.0,357.0,-0.13604891395387794,0.2587113746195045,,,0.9315,0.9243,0.4724
20240514,106.56,106.57,106.86,106.44,33038.0,-2780.0,24845.0,2.0,-1.0,4123.0,-2267.0,2.0,-2.0,1793.0,-1293.0,106.186,106.083,106.567,0.1030000000000086,-0.3810000000000002,106.4213968253969,106.6013396825397,38850.4,,0.6915471606991929,0.709985623335698,1.401532784034891,1.0,1856.0,0.0,500.0,-0.08414552939039893,0.2724899617530075,,,0.9178,0.9785,0.4745
20240515,106.43,106.64,106.73,106.26,30709.0,-2329.0,21412.0,2.0,-1.0,4127.0,-2433.0,2.0,-2.0,1574.0,-1062.0,106.194,106.1,106.58,0.0940000000000083,-0.3859999999999957,106.4144761904762,106.553503968254,36293.2,,0.6895070058477165,0.6879759411017942,1.377482946949511,1.0,1694.0,0.0,512.0,-0.07584095867660946,0.2869822730063221,,,0.9041,0.9786,0.4805
20240516,105.72,106.0,106.08,105.56,53640.0,22931.0,38296.0,2.0,-1.0,3967.0,-2635.0,2.0,-2.0,1626.0,-1567.0,106.168,106.133,106.5575,0.0350000000000108,-0.3894999999999982,106.3389365079365,106.5099333333333,33676.7,,0.7048505555406079,0.6879759411017942,1.392826496642402,1.0,1332.0,0.0,59.0,0.4274981357196122,0.2881227197385662,,,0.9178,0.9149,0.4864
20240517,105.42,105.4,105.83,105.02,58257.0,4617.0,53029.0,2.0,-1.0,3606.0,-2225.0,2.0,-2.0,1163.0,-765.0,106.112,106.055,106.4985,0.05700000000001637,-0.3864999999999981,106.2298650793651,106.4604015873016,35202.4,63634.8,0.6733281262624893,0.6879759411017942,1.361304067364284,1.0,1381.0,0.0,398.0,0.07925227869612235,0.2984274460285068,,,0.9726,0.9841,0.5039
