,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,101.612,101.574,101.638,101.514,53844.0,-5017.0,35887.0,1.0,-2.0,410.0,-6153.0,2.0,-2.0,767.0,-512.0,101.5952,101.6522,101.6539,-0.05699999999998795,-0.05869999999998754,101.6479476190476,101.6648633333333,32763.1,,0.08881419003426261,0.07675930027371966,0.1655734903079823,-1.0,-5743.0,0.0,255.0,-0.09317658420622539,0.0009835546752983,,,0.3151,0.3467,0.111
20240507,101.674,101.632,101.698,101.632,52569.0,-1275.0,37708.0,1.0,-2.0,130.0,-7100.0,2.0,-2.0,424.0,-2224.0,101.5856,101.6478,101.6572,-0.06220000000000425,-0.07160000000000366,101.6488031746032,101.6650488888889,33422.0,,0.09022163323641443,0.07688766794905069,0.1671093011854651,-1.0,-6970.0,0.0,-1800.0,-0.024253837813159845,0.0039326529532524,,,0.4247,0.4333,0.114
20240508,101.65,101.674,101.674,101.64,51200.0,-1369.0,26681.0,1.0,-2.0,302.0,-6248.0,2.0,-2.0,624.0,-2416.0,101.5956,101.6424,101.6599,-0.0467999999999904,-0.0642999999999887,101.6485238095238,101.6643103174603,33672.0,,0.08670845161471817,0.07675930027371966,0.1634677518884378,-1.0,-5946.0,0.0,-1792.0,-0.02673828125,0.0029513422051033,,,0.5205,0.4867,0.114
20240509,101.638,101.644,101.676,101.63,50390.0,-810.0,23231.0,1.0,-2.0,136.0,-5859.0,2.0,-3.0,0.0,-3173.0,101.6296,101.6358,101.6593,-0.006200000000006867,-0.02970000000000539,101.6470222222222,101.6626001587302,33338.1,,0.0855858767844457,0.07453036850408812,0.1601162452885338,-1.0,-5723.0,-1.0,-3173.0,-0.01607461797975789,0.0137750146616089,,,0.5479,0.5173,0.139
20240510,101.64,101.644,101.682,101.634,48332.0,-2058.0,29115.0,1.0,-2.0,14.0,-6325.0,2.0,-3.0,0.0,-3453.0,101.6428,101.6252,101.6575,0.01760000000000161,-0.01469999999999061,101.6458142857143,101.6598220634921,32706.5,,0.08502421433410035,0.07453036850408812,0.1595545828381885,-1.0,-6311.0,-1.0,-3453.0,-0.04258048497889597,0.0167268602456881,,,0.6027,0.5573,0.144
20240513,101.726,101.66,101.746,101.652,46190.0,-2142.0,29622.0,0.0,-1.0,0.0,-6745.0,2.0,-3.0,278.0,-4063.0,101.6656,101.6304,101.6597,0.03520000000000323,0.005899999999996908,101.6502650793651,101.6570853968254,32867.4,,0.08642908739315946,0.07675930027371966,0.1631883876668791,-1.0,-6745.0,-1.0,-3785.0,-0.0463736739554016,0.0147454927943697,,,0.6712,0.6333,0.141
20240514,101.726,101.738,101.772,101.706,42032.0,-4158.0,31252.0,0.0,-1.0,0.0,-7174.0,2.0,-2.0,455.0,-4651.0,101.676,101.6308,101.6625,0.04520000000000834,0.01350000000000762,101.6569841269841,101.6544071428572,32916.3,,0.08727094889239104,0.07453036850408812,0.1618013173964792,-1.0,-7174.0,0.0,-4196.0,-0.09892462885420632,0.0098305024766436,,,0.6849,0.7533,0.133
20240515,101.726,101.762,101.762,101.708,39054.0,-2978.0,27480.0,0.0,-1.0,0.0,-7500.0,2.0,-2.0,1118.0,-4441.0,101.6912,101.6434,101.6634,0.04779999999999518,0.02780000000001337,101.6640825396825,101.6526282539682,31847.5,,0.08783172285086413,0.07294564898964284,0.160777371840507,-1.0,-7500.0,0.0,-3323.0,-0.07625339273825985,-9.468962019831092e-07,,,0.726,0.784,0.11
20240516,101.704,101.718,101.734,101.692,34281.0,-4773.0,27759.0,0.0,-1.0,0.0,-7296.0,2.0,-2.0,1552.0,-4678.0,101.7044,101.667,101.666,0.037399999999991,0.03839999999999577,101.6682746031746,101.6531707936508,30336.6,,0.08755324516173524,0.07294564898964284,0.1604988941513781,-1.0,-7296.0,0.0,-3126.0,-0.13923164435109828,0.0049155314627934,,,0.7671,0.7307,0.121
20240517,101.71,101.65,101.718,101.65,30287.0,-3994.0,29079.0,0.0,-1.0,0.0,-7240.0,2.0,-2.0,1614.0,-5027.0,101.7184,101.6806,101.6682,0.03780000000000427,0.0502000000000038,101.6705682539683,101.6548285714286,29781.4,,0.08684837370096464,0.07168899487454548,0.1585373685755101,-1.0,-7240.0,0.0,-3413.0,-0.13187176016112523,-9.4719411739588e-07,,,0.9315,0.9333,0.11
