,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20250122,44077.5013,44364.0331,44463.1905,43646.9091,36567.0,-1914.0,30632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44588.429,44091.8811,43172.132975,496.547900000005,1416.296025000003,,,40411.4,,,1.677559866835855,,,0.0,0.0,0.0,0.0,-0.052342275822462876,-0.6974280582822373,0.2118,,,,0.4737
20250123,43697.2148,44012.6623,44182.697,43664.2163,35388.0,-1179.0,18391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44465.82268,44182.02178,43426.993715,283.800900000002,1038.828965000001,,,38370.6,,,1.697246941421102,,,0.0,0.0,0.0,0.0,-0.033316378433367246,-0.885304246488051,0.2126,,,,0.1
20250124,43585.0447,43648.1106,44065.5361,43323.6443,34223.0,-1165.0,23083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44160.4347,44210.43497,43524.14488,-50.00027000000409,636.2898199999981,43867.86518952381,,37171.8,,,1.655292999135158,,,0.0,0.0,0.0,0.0,-0.03404143412325045,-0.9415312502078076,0.2075,,,,0.0476
20250127,44082.2565,43691.2611,44085.374,43502.4896,33263.0,-960.0,11186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43995.1427,44259.25282,43626.246475,-264.1101200000048,368.8962249999968,43904.69633706348,,35954.1,,,1.643448634941654,,,0.0,0.0,0.0,0.0,-0.02886089649159727,-0.7683096381285016,0.208,,,,0.4545
20250205,43581.1692,43881.9311,44308.5156,43288.0845,33056.0,-207.0,16618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43804.6373,44229.99811,43673.859055,-425.3608099999983,130.7782450000013,43918.24831150794,,33854.6,,,1.71060304092912,,,0.0,0.0,0.0,0.0,-0.006262100677637948,-0.9457806101272376,0.2016,,,,0.0435
20250206,44136.0604,43629.2661,44207.8452,43615.3454,33786.0,730.0,14596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43816.34912000001,44202.38906,43751.86577,-386.0399399999951,64.48335000000952,43950.11342650793,,27096.5,,,1.68003662050892,,,0.0,0.0,0.0,0.0,0.021606582608180904,-0.7487670786415984,0.2036,,,,0.5
20250207,44387.1629,44077.0898,44870.4469,44041.3232,35218.0,1432.0,31336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43954.33874,44210.08071,43837.657485,-255.7419700000028,116.6812550000031,44011.16120039681,,27199.7,,,1.65239505693616,,,0.0,0.0,0.0,0.0,0.040661025611903004,-0.7717340239422118,0.2019,,,,0.44
20250210,44703.2091,44379.2632,44765.3153,44097.0044,34233.0,-985.0,16526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44177.97162,44169.20316,43939.66439000001,8.768460000006598,238.3072299999985,44080.57181619047,,22281.5,,,1.67193963994549,,,0.0,0.0,0.0,0.0,-0.028773405778050418,-0.6627244026454417,0.2019,,,,0.7308
20250211,44203.5961,44651.0167,44685.3908,44032.5408,32686.0,-1547.0,17410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44202.23954,44098.69112,43976.56305,103.5484199999992,225.676489999998,44124.05325095238,,21599.0,,,1.671352789045254,,,0.0,0.0,0.0,0.0,-0.04732913173835893,-0.8474791829360019,0.2006,,,,0.2963
20250212,44267.0401,44181.6356,44566.0546,44162.3217,32813.0,127.0,11014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44339.41372,44072.02551,44022.79289500001,267.3882099999973,316.6208249999909,44157.45640539681,,19079.2,,,1.571997448431037,,,0.0,0.0,0.0,0.0,0.0038704172126900922,-0.8319143903066561,0.1969,,,,0.3214
20250213,44168.3279,44301.3907,44449.8163,44003.2889,32532.0,-281.0,11176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44345.86722,44081.10817,44086.494635,264.7590500000006,259.3725849999973,44177.01379238096,,17133.6,,,1.55575906200967,,,0.0,0.0,0.0,0.0,-0.008637649083978852,-0.866011622039591,0.1908,,,,0.2759
20250214,44456.4383,44349.9004,44552.2362,44213.7386,32465.0,-67.0,10738.0,0.0,-3.0,64.0,-512.0,1.0,-2.0,1072.0,-6076.0,44359.7223,44157.03052,44169.52615,202.691780000001,190.1961500000034,44208.32319515874,44039.95029250793,16368.3,,,1.441114623539693,,,-3.0,-448.0,-1.0,-5004.0,-0.002063760973355922,-0.7542342018327532,0.1893,,,,0.5333
20250217,44543.1709,44423.6114,44648.7074,44329.4595,32943.0,478.0,11394.0,0.0,-3.0,0.0,-508.0,1.0,-2.0,1045.0,-5725.0,44327.71466000001,44252.84314,44231.639055,74.87152000000788,96.07560500000545,44243.4488347619,44077.50865703174,15199.4,,,1.433943326770518,,,-3.0,-508.0,-1.0,-4680.0,0.014509911058494977,-0.7075582807985319,0.1845,,,,0.6129
20250218,44462.8372,44551.9264,44672.3156,44423.7653,32550.0,-393.0,9106.0,0.0,-3.0,0.0,-475.0,1.0,-2.0,977.0,-5780.0,44379.56288,44290.90121,44275.077015,88.66167000000132,104.4858649999951,44272.65586206349,44114.30460953175,14991.4,,,1.349916213141833,,,-3.0,-475.0,-1.0,-4803.0,-0.012073732718894009,-0.7379155894771237,0.1806,,,,0.5625
20250219,44386.9932,44542.529,44547.644,44347.819,32400.0,-150.0,6226.0,0.0,-3.0,0.0,-440.0,1.0,-2.0,997.0,-5648.0,44403.5535,44371.48361,44300.74086,32.06988999999885,102.8126400000037,44288.4798013492,44151.32775851587,13952.2,,,1.238200666805668,,,-3.0,-440.0,-1.0,-4651.0,-0.004629629629629629,-0.6578116607407417,0.1626,,,,0.7879
20250220,44080.7529,44317.665,44367.3875,44013.256,32907.0,507.0,13485.0,1.0,-2.0,233.0,-479.0,1.0,-2.0,1072.0,-5499.0,44386.0385,44365.95286,44284.17096,20.08564000000479,101.8675399999993,44278.17939063493,44184.13435492857,13841.1,,,1.214051744117264,,,-1.0,-246.0,-1.0,-4427.0,0.015407056249430213,-0.7422839221572736,0.175,,,,0.5294
20250221,44149.2646,44169.2944,44345.1443,43903.5124,32542.0,-365.0,9876.0,1.0,-2.0,157.0,-470.0,1.0,-2.0,1062.0,-5381.0,44324.60376,44342.16303,44276.12187,-17.55926999999792,48.48188999999547,44262.65153793651,44209.28338868254,11695.1,,,1.164486586291491,,,-1.0,-313.0,-1.0,-4319.0,-0.011216274353143629,-0.7278759139761337,0.1655,,,,0.5714
20250224,44212.6145,44083.2711,44219.091,43963.5955,32821.0,279.0,6066.0,1.0,-2.0,159.0,-464.0,1.0,-2.0,1099.0,-5271.0,44258.49248,44293.10357,44231.15336500001,-34.61108999999851,27.33911499999522,44253.50468484126,44226.57667554761,10649.1,,,1.111414713468279,,,-1.0,-305.0,-1.0,-4172.0,0.008500655068401329,-0.7045331701602072,0.1606,,,,0.6389
20250225,44204.0751,44121.0216,44374.7852,44012.9186,32048.0,-773.0,11405.0,1.0,-2.0,63.0,-465.0,1.0,-2.0,714.0,-5195.0,44206.74006,44293.15147,44195.92129499999,-86.41140999999334,10.8187650000109,44249.90007396824,44239.1613578492,10048.6,,,1.004140564205111,,,-1.0,-402.0,-1.0,-4481.0,-0.024120069895157265,-0.7661398738089286,0.1588,,,,0.4324
20250226,44781.9702,44171.8788,44865.0989,44073.6761,34410.0,2362.0,25870.0,0.0,-2.0,66.0,-639.0,1.0,-2.0,592.0,-5294.0,44285.73546,44344.64448,44208.334995,-58.90902000000642,77.4004649999988,44286.76357777777,44252.0920750873,11534.2,31044.0,,1.029625114660259,,,-2.0,-573.0,-1.0,-4702.0,0.06864283638477187,-0.5732846716780665,0.1707,,,,0.9211
20250227,44834.7146,44689.4406,45028.6323,44637.885,34699.0,289.0,16610.0,0.0,-3.0,84.0,-639.0,1.0,-2.0,442.0,-5216.0,44436.5278,44411.28315,44246.19566,25.24464999999327,190.3321399999986,44343.81412873016,44268.77210872222,12077.6,19932.0,0.198605,0.9583432838995364,,,-3.0,-555.0,-1.0,-4774.0,0.008328770281564311,-0.5628627534666873,0.1727,,,,0.9487
20250228,44592.881,44812.7603,44867.7377,44484.9017,33517.0,-1182.0,9406.0,1.0,-2.0,23.0,-298.0,1.0,-2.0,504.0,-5165.0,44525.25108,44424.92742,44290.97897,100.3236600000018,234.2721099999981,44383.63984896825,44286.30377410317,11944.4,,,0.912568758298104,,,-1.0,-275.0,-1.0,-4661.0,-0.03526568606975564,-0.6431396254009669,0.1628,,,,0.775
20250303,44682.2227,44636.9832,44751.9632,44508.9059,33842.0,325.0,6941.0,0.0,-2.0,0.0,-607.0,1.0,-2.0,516.0,-5230.0,44619.17272,44438.8326,44345.83787,180.3401200000008,273.3348499999993,44417.68865571429,44303.72775619841,11499.1,,,0.843099056117843,,,-2.0,-607.0,-1.0,-4714.0,0.009603451332663554,-0.6055463916610844,0.1679,,,,0.8049
20250304,44356.375,44620.3367,44686.2842,44302.8882,33551.0,-291.0,9430.0,0.0,-2.0,0.0,-545.0,1.0,-2.0,580.0,-5439.0,44649.6327,44428.18638000001,44359.543795,221.4463199999955,290.0889050000042,44431.46743642857,44319.60891363492,11531.5,,,0.8397078914418658,,,-2.0,-545.0,-1.0,-4859.0,-0.008673362940001789,-0.5427155035493493,0.1583,,,,0.9762
20250305,44125.13,44400.7847,44419.5754,44066.9965,34468.0,917.0,9073.0,0.0,-1.0,0.0,-417.0,1.0,-2.0,667.0,-5305.0,44518.26466,44402.00006,44386.741835,116.2646000000022,131.522825,44415.52378150793,44332.31331165079,11816.2,,,0.8246587898499522,,,-1.0,-417.0,-1.0,-4638.0,0.026604386677497968,-0.6659464746823418,0.1625,,,,0.6512
20250306,44552.9084,44173.681,44615.3325,43981.564,36465.0,1997.0,20515.0,0.0,-2.0,0.0,-879.0,1.0,-2.0,1186.0,-5887.0,44461.90342,44449.21561,44407.584235,12.68781000000308,54.31918500000029,44417.50215603173,44346.24558819047,12519.2,24618.0,,0.8647035329325166,,,-2.0,-879.0,-1.0,-4701.0,0.05476484300013712,-0.5072716742043355,0.1598,,,,0.9773
20250307,44185.6253,44506.8969,44551.3724,44156.16,35437.0,-1028.0,8767.0,0.0,-2.0,0.0,-669.0,1.0,-2.0,839.0,-5952.0,44380.45228,44452.85168000001,44397.507355,-72.39940000000206,-17.05507499999658,44408.37842412698,44360.81827680951,12408.3,,,0.8776686431227464,,,-2.0,-669.0,-1.0,-5113.0,-0.02900922764342354,-0.6172764600635405,0.1502,,,,0.7556
20250310,44028.2039,44301.3148,44366.8083,44010.9026,36252.0,815.0,8122.0,0.0,-2.0,0.0,-669.0,1.0,-2.0,867.0,-5897.0,44249.64852,44434.41062,44363.75709499999,-184.7620999999999,-114.1085749999911,44384.73816325398,44373.94162465079,12613.9,,,0.8955654141172488,,,-2.0,-669.0,-1.0,-5030.0,0.02248151826106146,-0.6653690343951317,0.1545,,,,0.6304
20250311,44308.6255,44114.7188,44348.5786,44096.9135,36517.0,265.0,8592.0,0.0,-2.0,0.0,-638.0,1.0,-2.0,824.0,-5687.0,44240.09862,44444.86566,44369.008565,-204.7670399999988,-128.9099450000067,44371.70216301586,44386.12183355555,12332.6,,,0.9150876229604638,,,-2.0,-638.0,-1.0,-4863.0,0.00725689404934688,-0.5776399331740918,0.1544,,,,0.8298
20250312,44220.2547,44311.6171,44397.0465,44098.1987,36697.0,180.0,6602.0,0.0,-2.0,0.0,-614.0,1.0,-2.0,762.0,-5766.0,44259.12356,44388.69411,44366.669295,-129.5705499999967,-107.5457349999997,44359.78548547619,44393.4240243254,10405.8,,,0.9028272093978248,,,-2.0,-614.0,-1.0,-5004.0,0.004905033108973485,-0.6063343349689804,0.1466,,,,0.75
20250313,44269.6431,44229.4911,44366.9132,44142.292,36882.0,185.0,6987.0,0.0,-2.0,0.0,-638.0,1.0,-2.0,713.0,-5552.0,44202.4705,44332.18696,44371.735055,-129.716459999996,-169.2645549999943,44347.85537817459,44393.82814926984,9443.5,,,0.8677269166171196,,,-2.0,-638.0,-1.0,-4839.0,0.005015996963288325,-0.5870852470610024,0.1474,,,,0.8163
20250314,43946.6012,44183.0063,44365.3654,43933.1437,38004.0,1122.0,13010.0,1.0,-1.0,288.0,-353.0,1.0,-2.0,764.0,-5691.0,44154.66568,44267.55898,44346.2432,-112.8933000000034,-191.5775200000062,44318.10201269841,44387.27436564285,9803.9,15612.0,,0.8965528018774559,,,0.0,-65.0,-1.0,-4927.0,0.029523208083359648,-0.6883171347925938,0.1515,,,,0.54
20250317,43385.1148,44005.9594,44005.9594,43284.9167,41414.0,3410.0,27996.0,1.0,-1.0,118.0,-486.0,1.0,-2.0,1045.0,-5168.0,44026.04786000001,44137.84819,44288.340395,-111.8003299999982,-262.2925349999932,44244.41400634922,44369.94690070635,11909.4,33595.2,0.190555,0.9556429322619976,,,0.0,-368.0,-1.0,-4123.0,0.08233930554884822,-0.6337620225195584,0.1657,,,,0.6863
20250318,43189.7453,43444.0133,43552.6843,42647.3214,42960.0,1546.0,38549.0,1.0,-1.0,72.0,-524.0,1.0,-2.0,1019.0,-4045.0,43802.27182,44021.18522,44224.6858,-218.9133999999976,-422.4139799999975,44139.53751849206,44340.75390891269,14821.3,46258.8,0.192855,0.976519070612468,,,0.0,-452.0,-1.0,-3026.0,0.03598696461824953,-0.6705031397379074,0.1677,,,,0.5577
20250319,43555.2279,43187.8577,43585.5853,42847.1567,43541.0,581.0,27664.0,1.0,-1.0,129.0,-717.0,1.0,-2.0,714.0,-3233.0,43669.26646,43964.19501,44183.097535,-294.9285500000042,-513.8310750000019,44058.51969404762,44305.05350016666,16680.4,33196.8,,1.034856707864409,,,0.0,-588.0,-1.0,-2519.0,0.013343744975999633,-0.5390558597802136,0.163,,,,0.9623
20250320,43603.8165,43523.9269,43873.4368,43278.6887,43133.0,-408.0,30301.0,0.0,-2.0,0.0,-1099.0,1.0,-2.0,891.0,-2272.0,43536.10114,43869.28582,44159.25071499999,-333.1846800000058,-623.1495749999958,43999.3531545238,44263.23860001587,17659.0,36361.2,0.203435,1.07089565638444,,,-2.0,-1099.0,-1.0,-1381.0,-0.009459114830871954,-0.5177428132091658,0.1769,,,,0.963
20250321,43413.5037,43658.6514,43736.4017,43310.6123,43773.0,640.0,15368.0,1.0,-2.0,0.0,-735.0,1.0,-2.0,848.0,-2189.0,43429.48164,43792.07366,44122.46266999999,-362.5920200000037,-692.9810299999954,43935.50190142858,44215.95094774603,18319.1,,,1.102810100125709,,,-1.0,-735.0,-1.0,-1341.0,0.014620885020446395,-0.5478279683323324,0.1721,,,,0.9091
20250324,43532.1447,43490.9032,43624.1215,43321.2026,42481.0,-1292.0,10049.0,0.0,-2.0,0.0,-879.0,1.0,-2.0,824.0,-2692.0,43458.88762000001,43742.46774,44088.43918,-283.5801199999914,-629.5515599999926,43876.08164158731,44165.08529557936,18511.8,,,1.091189477893681,,,-2.0,-879.0,-1.0,-1868.0,-0.030413596666745132,-0.5190123301011363,0.1672,,,,0.9464
20250325,43672.9382,43523.0328,43725.6753,43518.0523,41913.0,-568.0,9832.0,0.0,-2.0,0.0,-853.0,1.0,-2.0,962.0,-2842.0,43555.5262,43678.89901,44061.882335,-123.3728100000008,-506.3561350000018,43830.14554126983,44110.92963340476,18635.8,,,1.068379612826816,,,-2.0,-853.0,-1.0,-1880.0,-0.013551881277885144,-0.4792597440049621,0.1583,,,,0.9825
20250326,43554.5749,43702.509,43912.7399,43532.1687,42168.0,255.0,14046.0,0.0,-2.0,0.0,-948.0,1.0,-2.0,768.0,-2667.0,43555.3956,43612.33103,44000.51257,-56.93542999999772,-445.1169699999955,43789.68345857143,44053.91943071429,19380.2,,,1.028806312852264,,,-2.0,-948.0,-1.0,-1899.0,0.0060472396129766645,-0.5179218564770991,0.165,,,,0.931
20250327,43629.1581,43645.4364,43726.0299,43519.143,42196.0,28.0,8456.0,0.0,-2.0,0.0,-943.0,1.0,-2.0,844.0,-2508.0,43560.46391999999,43548.28253,43940.234745,12.18138999999064,-379.7708250000069,43754.27833460317,43994.56172635715,19527.1,,,0.9987338552912753,,,-2.0,-943.0,-1.0,-1664.0,0.0006635700066357001,-0.4875528876600287,0.1656,,,,0.9661
